date,time,primary_team,opponent,home/away,primary_score,opp_score,notes,level_code
04/07/2023,4:30PM,Detroit Communication Media Arts,Detroit Southeastern,home,17.0,2.0, (3 Inn),V
04/05/2023,4:00PM,Detroit Communication Media Arts,Detroit Southeastern,away,17.0,2.0, (3 Inn),V
06/03/2023,10:00AM,Harbor Springs Harbor Light Christian,Harbor Springs,home,3.0,6.0,,V
05/30/2023,5:00PM,Harbor Springs Harbor Light Christian,Burt Lake Northern Michigan Christian,home,12.0,2.0, (5 Inn),V
05/15/2023,5:30PM,Harbor Springs Harbor Light Christian,Mackinaw City,home,3.0,5.0,,V
05/15/2023,4:00PM,Harbor Springs Harbor Light Christian,Mackinaw City,home,10.0,8.0,,V
05/11/2023,5:30PM,Harbor Springs Harbor Light Christian,Onaway,home,6.0,5.0,,V
05/11/2023,4:00PM,Harbor Springs Harbor Light Christian,Onaway,home,3.0,6.0,,V
05/09/2023,5:45PM,Harbor Springs Harbor Light Christian,Posen,home,8.0,11.0,,V
05/09/2023,4:00PM,Harbor Springs Harbor Light Christian,Posen,home,15.0,0.0,,V
05/08/2023,6:00PM,Harbor Springs Harbor Light Christian,Burt Lake Northern Michigan Christian,home,9.0,0.0,,V
05/08/2023,4:00PM,Harbor Springs Harbor Light Christian,Burt Lake Northern Michigan Christian,home,13.0,0.0,,V
05/04/2023,7:25PM,Harbor Springs Harbor Light Christian,Alanson ,away,17.0,0.0, (2 Inn),V
05/04/2023,4:00PM,Harbor Springs Harbor Light Christian,Alanson ,away,9.0,0.0, (6 Inn),V
04/24/2023,6:00PM,Harbor Springs Harbor Light Christian,Indian River Inland Lakes,home,4.0,11.0, (3 Inn),V
04/24/2023,4:00PM,Harbor Springs Harbor Light Christian,Indian River Inland Lakes,home,4.0,13.0,,V
04/21/2023,6:30PM,Harbor Springs Harbor Light Christian,Boyne Falls,away,14.0,0.0, (5 Inn),V
04/21/2023,4:00PM,Harbor Springs Harbor Light Christian,Boyne Falls,away,21.0,0.0, (3 Inn),V
04/14/2023,9:25PM,Harbor Springs Harbor Light Christian,Gaylord St Mary,away,1.0,16.0,,V
04/14/2023,4:00PM,Harbor Springs Harbor Light Christian,Gaylord St Mary,away,0.0,6.0,,V
04/11/2023,11:25PM,Harbor Springs Harbor Light Christian,Traverse City Christian,away,6.0,7.0,,V
04/11/2023,4:15PM,Harbor Springs Harbor Light Christian,Traverse City Christian,away,1.0,5.0,,V
05/30/2023,5:00PM,Menominee,Gladstone,away,3.0,13.0,,V
05/25/2023,6:00PM,Menominee,Marquette,away,1.0,11.0,,V
05/25/2023,4:00PM,Menominee,Marquette,away,7.0,9.0,,V
05/16/2023,4:00PM,Menominee,Gladstone,home,4.0,15.0, (5 Inn),V
05/12/2023,5:00PM,Menominee,Powers North Central,away,3.0,13.0, (4 Inn),V
05/12/2023,3:00PM,Menominee,Powers North Central,away,2.0,5.0, (6 Inn),V
05/11/2023,5:00PM,Menominee,Escanaba,away,3.0,13.0, (5 Inn),V
05/08/2023,4:00PM,Menominee,Gladstone,away,0.0,17.0, (4 Inn),V
05/02/2023,4:00PM,Menominee,Bark River-Harris,home,11.0,5.0,,V
04/18/2023,5:00PM,Menominee,Escanaba,home,2.0,18.0,,V
04/15/2023,2:00PM,Menominee,Marquette,home,9.0,14.0, (5 Inn),V
04/15/2023,11:00AM,Menominee,Marquette,home,1.0,15.0, (5 Inn),V
04/13/2023,4:00PM,Menominee,Powers North Central,home,13.0,17.0,,V
04/18/2023,4:30PM,Detroit Davis Aerospace,Detroit Academy of the Americas,home,0.0,3.0,Forfeit ,V
05/15/2023,5:00PM,Hope of Detroit Academy,Detroit University Prep,home,7.0,20.0,,V
04/27/2023,4:30PM,Hope of Detroit Academy,Detroit University Prep,away,15.0,8.0,,V
04/20/2023,5:00PM,Hope of Detroit Academy,Canton Prep,home,0.0,20.0, (3 Inn),V
04/13/2023,5:45PM,Hope of Detroit Academy,Detroit Jalen Rose Leadership Academy,away,0.0,0.0,,V
04/13/2023,4:00PM,Hope of Detroit Academy,Detroit Jalen Rose Leadership Academy,away,19.0,5.0,,V
04/03/2023,4:00PM,Hope of Detroit Academy,Hamtramck,home,2.0,4.0,,V
06/02/2023,1:00PM,Manistique,Gladstone,away,3.0,15.0, (5 Inn),V
05/25/2023,6:00PM,Manistique,Eben Junction Superior Central,home,14.0,1.0,,V
05/25/2023,4:00PM,Manistique,Eben Junction Superior Central,home,4.0,6.0,,V
05/12/2023,5:00PM,Manistique,Escanaba,home,0.0,15.0, (5 Inn),V
05/09/2023,6:00PM,Manistique,Rudyard,home,5.0,7.0,,V
05/09/2023,4:00PM,Manistique,Rudyard,home,3.0,2.0,,V
05/06/2023,2:00PM,Manistique,Gwinn,home,10.0,0.0, (4 Inn),V
05/06/2023,12:00PM,Manistique,Gwinn,home,10.0,0.0, (4 Inn),V
05/05/2023,5:00PM,Manistique,Ishpeming Westwood,home,7.0,4.0,,V
05/05/2023,1:00PM,Manistique,Ishpeming Westwood,home,3.0,0.0,,V
04/29/2023,1:30PM,Manistique,Mio,home,3.0,13.0,,V
04/29/2023,11:00AM,Manistique,Charlevoix,away,3.0,24.0,,V
04/29/2023,9:00AM,Manistique,Indian River Inland Lakes,away,0.0,11.0,,V
04/26/2023,5:00PM,Manistique,Gladstone,away,3.0,9.0,,V
04/22/2023,2:00PM,Manistique,St Ignace,away,8.0,6.0, (6 Inn),V
04/22/2023,12:00PM,Manistique,St Ignace,away,10.0,0.0, (6 Inn),V
04/21/2023,5:30PM,Manistique,Escanaba,away,0.0,8.0,,V
06/03/2023,10:00AM,Hillman,Rogers City,home,2.0,9.0,,V
05/30/2023,4:00PM,Hillman,Atlanta,away,10.0,0.0, (5 Inn),V
05/19/2023,6:00PM,Hillman,Johannesburg-Lewiston,away,4.0,11.0, (6 Inn),V
05/19/2023,4:00PM,Hillman,Johannesburg-Lewiston,home,11.0,1.0, (5 Inn),V
05/18/2023,6:00PM,Hillman,Posen,home,20.0,5.0, (5 Inn),V
05/18/2023,4:00PM,Hillman,Posen,home,16.0,0.0, (3 Inn),V
05/16/2023,6:00PM,Hillman,Mio,home,13.0,2.0, (5 Inn),V
05/16/2023,4:00PM,Hillman,Mio,home,18.0,7.0, (5 Inn),V
05/11/2023,6:00PM,Hillman,Atlanta,away,12.0,1.0, (6 Inn),V
05/11/2023,4:00PM,Hillman,Atlanta,away,8.0,0.0, (6 Inn),V
05/10/2023,6:00PM,Hillman,Tawas,home,4.0,9.0,,V
05/10/2023,4:00PM,Hillman,Tawas,home,5.0,7.0,,V
05/08/2023,6:00PM,Hillman,Au Gres-Sims,home,9.0,1.0, (6 Inn),V
05/08/2023,4:00PM,Hillman,Au Gres-Sims,home,11.0,3.0,,V
05/06/2023,2:00PM,Hillman,Montrose,away,0.0,15.0,,V
05/06/2023,12:00PM,Hillman,Mount Pleasant,home,0.0,9.0, (4 Inn),V
05/04/2023,6:00PM,Hillman,Hale,away,19.0,0.0, (3 Inn),V
05/04/2023,4:00PM,Hillman,Hale,away,19.0,0.0, (3 Inn),V
05/03/2023,6:00PM,Hillman,Alcona,away,15.0,0.0, (5 Inn),V
05/03/2023,4:00PM,Hillman,Alcona,away,14.0,0.0, (5 Inn),V
04/29/2023,2:00PM,Hillman,Rogers City,away,8.0,10.0,,V
04/29/2023,10:00AM,Hillman,Lake Linden-Hubbell,home,8.0,1.0, (6 Inn),V
04/26/2023,6:00PM,Hillman,Oscoda,home,12.0,4.0,,V
04/26/2023,4:00PM,Hillman,Oscoda,home,8.0,2.0, (6 Inn),V
04/24/2023,6:00PM,Hillman,Whittemore-Prescott,away,11.0,0.0, (5 Inn),V
04/24/2023,4:00PM,Hillman,Whittemore-Prescott,away,4.0,0.0, (6 Inn),V
04/19/2023,4:00PM,Hillman,Gaylord St Mary,away,3.0,1.0, (6 Inn),V
04/13/2023,6:00PM,Hillman,East Jordan,away,3.0,4.0, (6 Inn),V
04/13/2023,4:00PM,Hillman,East Jordan,away,0.0,6.0, (6 Inn),V
04/11/2023,6:00PM,Hillman,Sault Ste Marie,home,2.0,11.0, (6 Inn),V
04/11/2023,4:00PM,Hillman,Sault Ste Marie,home,6.0,5.0, (6 Inn),V
06/02/2023,2:30PM,Au Gres-Sims,Alcona,home,8.0,18.0,,V
06/02/2023,10:00AM,Au Gres-Sims,Whittemore-Prescott,home,11.0,10.0,,V
05/30/2023,4:00PM,Au Gres-Sims,Hale,away,21.0,0.0, (5 Inn),V
05/22/2023,6:00PM,Au Gres-Sims,Whittemore-Prescott,away,6.0,6.0,,V
05/22/2023,4:00PM,Au Gres-Sims,Whittemore-Prescott,away,11.0,4.0,,V
05/15/2023,6:00PM,Au Gres-Sims,Atlanta,home,21.0,2.0, (6 Inn),V
05/15/2023,4:00PM,Au Gres-Sims,Atlanta,home,4.0,2.0, (6 Inn),V
05/13/2023,12:00PM,Au Gres-Sims,Tawas,away,7.0,13.0,,V
05/13/2023,10:00AM,Au Gres-Sims,Tawas,away,8.0,9.0,,V
05/11/2023,6:00PM,Au Gres-Sims,Hale,away,22.0,2.0, (3 Inn),V
05/11/2023,4:00PM,Au Gres-Sims,Hale,away,18.0,0.0, (3 Inn),V
05/08/2023,6:00PM,Au Gres-Sims,Hillman,away,1.0,9.0, (6 Inn),V
05/08/2023,4:00PM,Au Gres-Sims,Hillman,away,3.0,11.0,,V
05/04/2023,6:00PM,Au Gres-Sims,Posen,home,21.0,2.0, (4 Inn),V
05/04/2023,4:00PM,Au Gres-Sims,Posen,home,5.0,4.0,,V
04/27/2023,6:00PM,Au Gres-Sims,Alcona,home,4.0,17.0, (5 Inn),V
04/27/2023,4:00PM,Au Gres-Sims,Alcona,home,5.0,2.0,,V
04/24/2023,6:00PM,Au Gres-Sims,Oscoda,home,4.0,3.0,,V
04/24/2023,4:00PM,Au Gres-Sims,Oscoda,home,3.0,2.0,,V
04/22/2023,10:00AM,Au Gres-Sims,St Helen Charlton Heston Academy,away,11.0,12.0, (6 Inn),V
04/22/2023,9:00AM,Au Gres-Sims,Mio,home,0.0,5.0,,V
04/16/2023,12:00PM,Au Gres-Sims,Mayville,home,7.0,16.0, (6 Inn),V
04/14/2023,4:00PM,Au Gres-Sims,Unionville-Sebewaing,away,1.0,16.0, (3 Inn),V
04/14/2023,8:00AM,Au Gres-Sims,Unionville-Sebewaing,away,1.0,12.0, (5 Inn),V
05/30/2023,4:00PM,Atlanta,Hillman,home,0.0,10.0, (5 Inn),V
05/23/2023,4:00PM,Atlanta,Alcona,away,2.0,0.0, (6 Inn),V
05/18/2023,4:00PM,Atlanta,Hale,home,15.0,5.0, (5 Inn),V
05/16/2023,5:30PM,Atlanta,Wolverine,away,1.0,0.0,Forfeit ,V
05/16/2023,4:00PM,Atlanta,Wolverine,away,1.0,0.0,Forfeit ,V
05/15/2023,6:00PM,Atlanta,Au Gres-Sims,away,2.0,21.0, (6 Inn),V
05/15/2023,4:00PM,Atlanta,Au Gres-Sims,away,2.0,4.0, (6 Inn),V
05/11/2023,6:00PM,Atlanta,Hillman,home,1.0,12.0, (6 Inn),V
05/11/2023,4:00PM,Atlanta,Hillman,home,0.0,8.0, (6 Inn),V
05/08/2023,5:45PM,Atlanta,Posen,away,8.0,6.0, (6 Inn),V
05/08/2023,4:00PM,Atlanta,Posen,away,12.0,1.0, (5 Inn),V
05/04/2023,6:30PM,Atlanta,Boyne Falls,away,9.0,2.0, (5 Inn),V
05/04/2023,4:00PM,Atlanta,Boyne Falls,away,21.0,1.0, (5 Inn),V
04/27/2023,5:00PM,Atlanta,Mio,away,1.0,6.0, (6 Inn),V
04/27/2023,4:00PM,Atlanta,Mio,away,2.0,10.0, (6 Inn),V
