game_id,game_info,away_team_runs,home_team_runs,total_runs,team_1,team_2,runs_1,hits_1,errors_1,home_runs_1,runs_2,hits_2,errors_2,home_runs_2
401551019,Winston-Salem,0,12,12,GMU,WAKE,0,3,2,0.0,12,12,1,0.0
401551049,Fayetteville,6,13,19,SCU,ARK,6,13,1,1.0,13,10,1,1.0
401551027,Baton Rouge,2,7,9,TULN,LSU,2,7,0,1.0,7,11,0,1.0
401551041,Charlottesville,1,15,16,ARMY,UVA,1,2,3,0.0,15,18,1,0.0
401551023,Coral Gables,1,9,10,ME,MIA,1,5,1,0.0,9,11,2,0.0
401551045,Stillwater,6,4,10,ORU,OKST,6,13,0,0.0,4,10,0,0.0
401551031,Auburn,6,3,9,PENN,AUB,6,11,0,1.0,3,4,1,1.0
401551037,Columbia,1,19,20,CCSU,SC,1,4,2,0.0,19,16,0,0.0
401551036,Gainesville,3,2,5,TTU,CONN,3,8,1,0.0,2,3,0,0.0
401551046,Stillwater,9,5,14,WASH,DBU,9,12,0,2.0,5,13,0,2.0
401551040,Conway,3,12,15,UNCW,DUKE,3,7,2,1.0,12,10,0,1.0
401551032,Auburn,4,2,6,SAM,USM,4,11,0,1.0,2,8,0,1.0
401551024,Coral Gables,2,4,6,UL,TEX,2,7,0,1.0,4,8,1,1.0
401551042,Charlottesville,5,14,19,OU,ECU,5,9,2,0.0,14,15,1,0.0
401551030,Lexington,12,6,18,IU,WVU,12,9,0,1.0,6,8,2,1.0
401551050,Fayetteville,4,12,16,ARIZ,TCU,4,7,3,3.0,12,17,0,3.0
401551035,Gainesville,0,3,3,FAMU,FLA,0,7,0,0.0,3,5,0,0.0
401551033,Clemson,5,12,17,LIP,CLEM,5,10,1,3.0,12,12,3,3.0
401551043,Nashville,2,12,14,EIU,VAN,2,9,1,0.0,12,13,2,0.0
401551025,Stanford,2,13,15,SJSU,STAN,2,7,1,0.0,13,11,1,0.0
401551039,Conway,11,10,21,RID,CCU,11,12,3,0.0,10,14,1,0.0
401551029,Lexington,0,4,4,BALL,UK,0,3,0,0.0,4,6,0,0.0
401551047,Terre Haute,5,6,11,WRST,INST,5,9,1,2.0,6,10,2,2.0
401551021,Tuscaloosa,3,4,7,NICH,ALA,3,7,1,2.0,4,6,0,2.0
401551038,Columbia,5,1,6,NCST,CAM,5,10,2,3.0,1,10,3,3.0
401551044,Nashville,4,5,9,XAV,ORE,4,5,3,0.0,5,9,0,0.0
401551020,Winston-Salem,2,7,9,NE,MD,2,7,1,0.0,7,7,0,0.0
