conference,game,time,road_team,road_score,home_team,home_score,loc_1,date
ACC ,1,11:00,Virginia Tech,7,Boston College,11,"Durham, NC",05/23
ACC ,2,3:30,Georgia Tech,5,North Carolina,11,"Durham, NC",05/23
ACC ,3,7:00,NC State,8,Duke,7,"Durham, NC",05/23
ACC ,4,11:00,Pittsburgh,,Notre Dame,,"Durham, NC",05/24
ACC ,5,3:00,Georgia Tech,,Virginia,,"Durham, NC",05/24
ACC ,6,7:00,Virginia Tech,,Clemson,,"Durham, NC",05/24
ACC ,7,11:00,Pittsburgh,,Wake Forest,,"Durham, NC",05/25
ACC ,8,3:00,North Carolina,,Virginia,,"Durham, NC",05/25
ACC ,9,7:00,NC State,,Miami,,"Durham, NC",05/25
ACC ,10,11:00,Boston College,,Clemson,,"Durham, NC",05/26
ACC ,11,3:00,Duke,,Miami,,"Durham, NC",05/26
ACC ,12,7:00,Notre Dame,,Wake Forest,,"Durham, NC",05/26
America East ,1,1:00,UMass Lowell,,Bryant,,"Binghamton, NY",05/24
America East ,2,5:00,New Jersey Tech,,Binghamton,,"Binghamton, NY",05/24
America East ,3,11:00,TBA,,Maine,,"Binghamton, NY",05/25
America East ,4,3:00,TBA,,UMBC,,"Binghamton, NY",05/25
American Athletic ,1,9:00,Cincinnati,3,UCF,4,"Clearwater, FL",05/23
American Athletic ,2,12:30,South Florida,12,East Carolina,11,"Clearwater, FL",05/23
American Athletic ,3,5:30,Tulane,10,Houston,8,"Clearwater, FL",05/23
American Athletic ,4,7:30,Memphis,10,Wichita State,6,"Clearwater, FL",05/23
American Athletic ,5,3:00,Cincinnati,,East Carolina,,"Clearwater, FL",05/24
American Athletic ,6,6:30,Wichita State,,Houston,,"Clearwater, FL",05/24
American Athletic ,7,1:00,South Florida,,UCF,,"Clearwater, FL",05/25
American Athletic ,8,4:30,Tulane,,Memphis,,"Clearwater, FL",05/25
Atlantic 10 ,101,11:00,Richmond,3,Saint Louis,6,"Richmond, VA",05/23
Atlantic 10 ,102,3:00,Rhode Island,4,Davidson,8,"Richmond, VA",05/23
Atlantic 10 ,103,7:00,George Mason,5,Dayton,4,"Richmond, VA",05/23
Atlantic 10 ,104,11:00,Saint Louis,,Saint Joseph's,,"Richmond, VA",05/24
Atlantic 10 ,105,3:00,George Mason,,Davidson,,"Richmond, VA",05/24
Atlantic 10 ,106,7:00,Rhode Island,,Richmond,,"Richmond, VA",05/24
Atlantic 10 ,107,11:00,TBA,,Dayton,,"Richmond, VA",05/25
Atlantic Sun ,1,10:00,Liberty,12,Lipscomb,11,"DeLand, FL",05/23
Atlantic Sun ,2,2:30,Jacksonville,0,Florida Gulf Coast,7,"DeLand, FL",05/23
Atlantic Sun ,3,7:00,Eastern Kentucky,3,Stetson,8,"DeLand, FL",05/23
Atlantic Sun ,4,10:00,Jacksonville,,Liberty,,"DeLand, FL",05/24
Atlantic Sun ,5,2:30,Jacksonville State,,Stetson,,"DeLand, FL",05/24
Atlantic Sun ,6,7:00,Austin Peay,,Eastern Kentucky,,"DeLand, FL",05/24
Atlantic Sun ,7,10:00,Florida Gulf Coast,,Lipscomb,,"DeLand, FL",05/25
Atlantic Sun ,8,2:30,Austin Peay,,Stetson,,"DeLand, FL",05/25
Atlantic Sun ,9,7:00,Jacksonville State,,Eastern Kentucky,,"DeLand, FL",05/25
Atlantic Sun ,10,10:00,Jacksonville,,Lipscomb,,"DeLand, FL",05/26
Atlantic Sun ,11,2:30,Liberty,,Florida Gulf Coast,,"DeLand, FL",05/26
Atlantic Sun ,12,7:00,Austin Peay,,Jacksonville State,,"DeLand, FL",05/26
Big 12 ,1,10:00,Kansas State,,TCU,,"Arlington, TX",05/24
Big 12 ,2,1:30,Kansas,,Texas,,"Arlington, TX",05/24
