teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_T,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Ada Forest Hills Eastern,2,8.0,8.0,16.0,2,4.0,4.0,8.0,1.0,0.0,1.0,0.5,8.0,4.0,7,4.142857142857143,4.0,29.0,7,5.0,3.0,35.0,5.0,29.0,2.0,0.2857142857142857,-6.0,-0.8571428571428568,4.0,2.75,3.0,11.0,4.0,3.75,3.0,15.0,3.0,14.0,1.0,0.25,-4.0,-1.0,3.0,6.0,7.0,18.0,3.0,6.666666666666667,3.0,20.0,2.0,15.0,1.0,0.3333333333333333,-2.0,-0.666666666666667
Addison,1,3.0,3.0,3.0,1,6.0,6.0,6.0,1.0,0.0,0.0,0.0,-3.0,-3.0,13,4.6923076923076925,3.0,61.0,13,9.076923076923077,10.0,118.0,10.0,3.0,3.0,0.23076923076923078,-57.0,-4.384615384615384,3.0,4.333333333333333,6.0,13.0,3.0,7.0,9.0,21.0,2.0,3.0,1.0,0.3333333333333333,-8.0,-2.666666666666667,10.0,4.8,3.0,48.0,10.0,9.7,10.0,97.0,8.0,0.0,2.0,0.2,-49.0,-4.8999999999999995
Adrian,2,3.5,3.5,7.0,2,7.0,7.0,14.0,1.0,0.0,1.0,0.5,-7.0,-3.5,2,4.0,4.0,8.0,2,3.5,3.5,7.0,1.0,41.0,1.0,0.5,1.0,0.5,0.0,,,0.0,0.0,,,0.0,0.0,21.0,0.0,,0.0,,2.0,4.0,4.0,8.0,2.0,3.5,3.5,7.0,1.0,20.0,1.0,0.5,1.0,0.5
Adrian Lenawee Christian,2,5.5,5.5,11.0,2,4.5,4.5,9.0,1.0,0.0,1.0,0.5,2.0,1.0,8,3.875,4.0,31.0,8,8.0,6.5,64.0,5.0,6.0,3.0,0.375,-33.0,-4.125,4.0,3.0,4.0,12.0,4.0,8.75,7.5,35.0,2.0,6.0,2.0,0.5,-23.0,-5.75,4.0,4.75,4.5,19.0,4.0,7.25,6.5,29.0,3.0,0.0,1.0,0.25,-10.0,-2.5
Adrian Madison,1,1.0,1.0,1.0,1,12.0,12.0,12.0,1.0,0.0,0.0,0.0,-11.0,-11.0,10,3.0,2.0,30.0,10,11.3,10.0,113.0,9.0,21.0,1.0,0.1,-83.0,-8.3,8.0,3.375,2.0,27.0,8.0,12.0,11.5,96.0,7.0,11.0,1.0,0.125,-69.0,-8.625,2.0,1.5,1.5,3.0,2.0,8.5,8.5,17.0,2.0,10.0,0.0,0.0,-14.0,-7.0
Alanson ,1,0.0,0.0,0.0,1,14.0,14.0,14.0,1.0,0.0,0.0,0.0,-14.0,-14.0,2,1.5,1.5,3.0,2,8.5,8.5,17.0,2.0,7.0,0.0,0.0,-14.0,-7.0,0.0,,,0.0,0.0,,,0.0,0.0,5.0,0.0,,0.0,,2.0,1.5,1.5,3.0,2.0,8.5,8.5,17.0,2.0,2.0,0.0,0.0,-14.0,-7.0
Alcona,4,6.5,4.5,26.0,4,4.0,3.5,16.0,1.0,0.0,3.0,0.75,10.0,2.5,3,4.0,4.0,12.0,3,7.333333333333333,5.0,22.0,2.0,17.0,1.0,0.3333333333333333,-10.0,-3.333333333333333,0.0,,,0.0,0.0,,,0.0,0.0,12.0,0.0,,0.0,,3.0,4.0,4.0,12.0,3.0,7.333333333333333,5.0,22.0,2.0,5.0,1.0,0.3333333333333333,-10.0,-3.333333333333333
Algonac,1,0.0,0.0,0.0,1,2.0,2.0,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,5,8.2,7.0,41.0,5,3.0,2.0,15.0,0.0,23.0,3.0,0.6,26.0,5.199999999999999,1.0,20.0,20.0,20.0,1.0,5.0,5.0,5.0,0.0,10.0,1.0,1.0,15.0,15.0,4.0,5.25,6.5,21.0,4.0,2.5,1.5,10.0,0.0,13.0,2.0,0.5,11.0,2.75
Allegan,2,8.0,8.0,16.0,2,5.5,5.5,11.0,1.0,0.0,1.0,0.5,5.0,2.5,15,3.7333333333333334,3.0,56.0,15,8.4,8.0,126.0,12.0,10.0,3.0,0.2,-70.0,-4.666666666666667,11.0,3.8181818181818183,3.0,42.0,11.0,8.636363636363637,8.0,95.0,9.0,2.0,2.0,0.18181818181818182,-53.0,-4.818181818181818,4.0,3.5,3.5,14.0,4.0,7.75,8.0,31.0,3.0,8.0,1.0,0.25,-17.0,-4.25
Allen Park,3,1.6666666666666667,1.0,5.0,3,4.0,1.0,12.0,1.0,0.0,2.0,0.6666666666666666,-7.0,-2.333333333333333,2,2.0,2.0,4.0,2,13.5,13.5,27.0,2.0,38.0,0.0,0.0,-23.0,-11.5,0.0,,,0.0,0.0,,,0.0,0.0,16.0,0.0,,0.0,,2.0,2.0,2.0,4.0,2.0,13.5,13.5,27.0,2.0,22.0,0.0,0.0,-23.0,-11.5
Allen Park Cabrini,2,6.0,6.0,12.0,2,1.5,1.5,3.0,1.0,0.0,1.0,0.5,9.0,4.5,34,6.323529411764706,5.0,215.0,34,4.411764705882353,3.0,150.0,13.0,2.0,21.0,0.6176470588235294,65.0,1.9117647058823524,14.0,3.142857142857143,2.0,44.0,14.0,4.571428571428571,3.0,64.0,9.0,0.0,5.0,0.35714285714285715,-20.0,-1.4285714285714284,20.0,8.55,9.0,171.0,20.0,4.3,3.5,86.0,4.0,2.0,16.0,0.8,85.0,4.250000000000001
Allen Park Inter-City Baptist,3,7.666666666666667,10.0,23.0,3,6.0,2.0,18.0,1.0,0.0,2.0,0.6666666666666666,5.0,1.666666666666667,9,4.777777777777778,5.0,43.0,9,7.0,4.0,63.0,6.0,16.0,3.0,0.3333333333333333,-20.0,-2.2222222222222223,7.0,5.285714285714286,5.0,37.0,7.0,7.428571428571429,4.0,52.0,4.0,13.0,3.0,0.42857142857142855,-15.0,-2.1428571428571432,2.0,3.0,3.0,6.0,2.0,5.5,5.5,11.0,2.0,3.0,0.0,0.0,-5.0,-2.5
