teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Ada Forest Hills Eastern,7,6.428571428571429,6.0,45.0,7,1.0,0.0,7.0,0.0,7.0,1.0,38.0,5.428571428571429,26,10.23076923076923,10.5,266.0,26,1.5,1.0,39.0,1.0,21.0,25.0,0.9615384615384616,227.0,8.73076923076923,13,10.0,8.0,130.0,13,1.2307692307692308,1.0,16.0,0.0,15.0,13.0,1.0,114.0,8.76923076923077,13,10.461538461538462,11.0,136.0,13,1.7692307692307692,1.0,23.0,1.0,6.0,12.0,0.9230769230769231,113.0,8.692307692307693
Addison,1,4.0,4.0,4.0,1,5.0,5.0,5.0,1.0,0.0,0.0,-1.0,-1.0,22,6.818181818181818,5.0,150.0,22,4.863636363636363,3.0,107.0,10.0,3.0,11.0,0.5,43.0,1.954545454545455,7,8.0,5.0,56.0,7,5.571428571428571,5.0,39.0,4.0,2.0,3.0,0.42857142857142855,17.0,2.428571428571429,15,6.266666666666667,5.0,94.0,15,4.533333333333333,3.0,68.0,6.0,1.0,8.0,0.5333333333333333,26.0,1.7333333333333334
Adrian,1,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,22,7.318181818181818,5.0,161.0,22,4.545454545454546,3.0,100.0,7.0,10.0,15.0,0.6818181818181818,61.0,2.7727272727272725,13,6.923076923076923,4.0,90.0,13,5.923076923076923,6.0,77.0,5.0,1.0,8.0,0.6153846153846154,13.0,1.0,9,7.888888888888889,6.0,71.0,9,2.5555555555555554,2.0,23.0,2.0,9.0,7.0,0.7777777777777778,48.0,5.333333333333334
Adrian Lenawee Christian,1,0.0,0.0,0.0,1,7.0,7.0,7.0,1.0,0.0,0.0,-7.0,-7.0,9,5.222222222222222,3.0,47.0,9,13.555555555555555,15.0,122.0,7.0,1.0,2.0,0.2222222222222222,-75.0,-8.333333333333332,4,2.75,1.5,11.0,4,14.0,14.0,56.0,3.0,1.0,1.0,0.25,-45.0,-11.25,5,7.2,6.0,36.0,5,13.2,15.0,66.0,4.0,0.0,1.0,0.2,-30.0,-5.999999999999999
Adrian Madison,2,2.5,2.5,5.0,2,2.5,2.5,5.0,1.0,1.0,0.5,0.0,0.0,11,6.181818181818182,5.0,68.0,11,4.545454545454546,3.0,50.0,5.0,21.0,6.0,0.5454545454545454,18.0,1.6363636363636358,3,6.0,7.0,18.0,3,1.6666666666666667,2.0,5.0,1.0,15.0,2.0,0.6666666666666666,13.0,4.333333333333333,8,6.25,5.0,50.0,8,5.625,4.5,45.0,4.0,6.0,4.0,0.5,5.0,0.625
Akron-Fairgrove,1,3.0,3.0,3.0,1,23.0,23.0,23.0,1.0,0.0,0.0,-20.0,-20.0,4,2.0,2.0,8.0,4,15.25,17.0,61.0,4.0,7.0,0.0,0.0,-53.0,-13.25,2,0.5,0.5,1.0,2,17.0,17.0,34.0,2.0,5.0,0.0,0.0,-33.0,-16.5,2,3.5,3.5,7.0,2,13.5,13.5,27.0,2.0,2.0,0.0,0.0,-20.0,-10.0
Alanson ,1,0.0,0.0,0.0,1,15.0,15.0,15.0,1.0,0.0,0.0,-15.0,-15.0,8,2.875,3.5,23.0,8,12.5,12.0,100.0,8.0,5.0,0.0,0.0,-77.0,-9.625,6,3.3333333333333335,4.0,20.0,6,12.166666666666666,12.0,73.0,6.0,1.0,0.0,0.0,-53.0,-8.833333333333332,2,1.5,1.5,3.0,2,13.5,13.5,27.0,2.0,4.0,0.0,0.0,-24.0,-12.0
Alcona,3,3.3333333333333335,4.0,10.0,3,5.0,4.0,15.0,1.0,2.0,0.6666666666666666,-5.0,-1.6666666666666665,11,6.181818181818182,8.0,68.0,11,9.363636363636363,10.0,103.0,7.0,13.0,4.0,0.36363636363636365,-35.0,-3.1818181818181817,10,6.3,8.0,63.0,10,9.2,9.0,92.0,6.0,4.0,4.0,0.4,-29.0,-2.8999999999999995,1,5.0,5.0,5.0,1,11.0,11.0,11.0,1.0,9.0,0.0,0.0,-6.0,-6.0
Algonac,6,6.0,4.5,36.0,6,2.1666666666666665,1.0,13.0,1.0,5.0,0.8333333333333334,23.0,3.8333333333333335,30,6.766666666666667,7.0,203.0,30,4.033333333333333,3.0,121.0,9.0,8.0,21.0,0.7,82.0,2.7333333333333334,20,7.2,7.0,144.0,20,3.2,3.0,64.0,6.0,2.0,14.0,0.7,80.0,4.0,10,5.9,5.0,59.0,10,5.7,4.0,57.0,3.0,6.0,7.0,0.7,2.0,0.20000000000000018
Allegan,1,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,8,2.75,1.0,22.0,8,7.0,6.5,56.0,8.0,29.0,0.0,0.0,-34.0,-4.25,2,1.0,1.0,2.0,2,9.5,9.5,19.0,2.0,15.0,0.0,0.0,-17.0,-8.5,6,3.3333333333333335,2.0,20.0,6,6.166666666666667,6.5,37.0,6.0,14.0,0.0,0.0,-17.0,-2.8333333333333335
