teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_T,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Ada Forest Hills Eastern,1,0.0,0.0,0.0,1,6.0,6.0,6.0,1.0,0.0,0.0,0.0,-6.0,-6.0,5,3.6,2.0,18.0,5,2.2,3.0,11.0,3.0,24.0,2.0,0.4,7.0,1.4,4.0,1.25,1.0,5.0,4.0,2.0,2.0,8.0,3.0,14.0,1.0,0.25,-3.0,-0.75,1.0,13.0,13.0,13.0,1.0,3.0,3.0,3.0,0.0,10.0,1.0,1.0,10.0,10.0
Addison,2,2.0,2.0,4.0,2,3.0,3.0,6.0,1.0,0.0,1.0,0.5,-2.0,-1.0,28,3.4285714285714284,3.0,96.0,28,8.178571428571429,7.0,229.0,22.0,0.0,6.0,0.21428571428571427,-133.0,-4.75,12.0,4.75,4.5,57.0,12.0,7.0,6.0,84.0,7.0,0.0,5.0,0.4166666666666667,-27.0,-2.25,16.0,2.4375,1.5,39.0,16.0,9.0625,7.5,145.0,15.0,0.0,1.0,0.0625,-106.0,-6.625
Adrian,1,0.0,0.0,0.0,1,6.0,6.0,6.0,1.0,0.0,0.0,0.0,-6.0,-6.0,1,14.0,14.0,14.0,1,7.0,7.0,7.0,0.0,45.0,1.0,1.0,7.0,7.0,0.0,,,0.0,0.0,,,0.0,0.0,22.0,0.0,,0.0,,1.0,14.0,14.0,14.0,1.0,7.0,7.0,7.0,0.0,23.0,1.0,1.0,7.0,7.0
Adrian Lenawee Christian,2,4.0,4.0,8.0,2,5.0,5.0,10.0,1.0,0.0,1.0,0.5,-2.0,-1.0,3,4.666666666666667,6.0,14.0,3,8.0,8.0,24.0,2.0,0.0,1.0,0.3333333333333333,-10.0,-3.333333333333333,1.0,0.0,0.0,0.0,1.0,8.0,8.0,8.0,1.0,0.0,0.0,0.0,-8.0,-8.0,2.0,7.0,7.0,14.0,2.0,8.0,8.0,16.0,1.0,0.0,1.0,0.5,-2.0,-1.0
Adrian Madison,1,2.0,2.0,2.0,1,9.0,9.0,9.0,1.0,0.0,0.0,0.0,-7.0,-7.0,3,1.0,1.0,3.0,3,4.666666666666667,4.0,14.0,3.0,24.0,0.0,0.0,-11.0,-3.666666666666667,2.0,1.0,1.0,2.0,2.0,5.5,5.5,11.0,2.0,12.0,0.0,0.0,-9.0,-4.5,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,12.0,0.0,0.0,-2.0,-2.0
Akron-Fairgrove,1,0.0,0.0,0.0,1,15.0,15.0,15.0,1.0,0.0,0.0,0.0,-15.0,-15.0,1,4.0,4.0,4.0,1,19.0,19.0,19.0,1.0,5.0,0.0,0.0,-15.0,-15.0,1.0,4.0,4.0,4.0,1.0,19.0,19.0,19.0,1.0,3.0,0.0,0.0,-15.0,-15.0,0.0,,,0.0,0.0,,,0.0,0.0,2.0,0.0,,0.0,
Alanson ,1,0.0,0.0,0.0,1,5.0,5.0,5.0,1.0,0.0,0.0,0.0,-5.0,-5.0,4,10.25,11.5,41.0,4,13.0,10.5,52.0,2.0,16.0,2.0,0.5,-11.0,-2.75,4.0,10.25,11.5,41.0,4.0,13.0,10.5,52.0,2.0,12.0,2.0,0.5,-11.0,-2.75,0.0,,,0.0,0.0,,,0.0,0.0,4.0,0.0,,0.0,
Algonac,3,3.3333333333333335,4.0,10.0,3,3.0,4.0,9.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333335,31,5.580645161290323,4.0,173.0,31,4.967741935483871,4.0,154.0,17.0,9.0,13.0,0.41935483870967744,19.0,0.612903225806452,13.0,4.538461538461538,3.0,59.0,13.0,3.3076923076923075,3.0,43.0,6.0,4.0,7.0,0.5384615384615384,16.0,1.2307692307692308,18.0,6.333333333333333,4.0,114.0,18.0,6.166666666666667,6.0,111.0,11.0,5.0,6.0,0.3333333333333333,3.0,0.16666666666666607
Allegan,1,3.0,3.0,3.0,1,6.0,6.0,6.0,1.0,0.0,0.0,0.0,-3.0,-3.0,28,2.607142857142857,1.5,73.0,28,9.785714285714286,11.0,274.0,25.0,12.0,3.0,0.10714285714285714,-201.0,-7.178571428571429,12.0,2.5,2.0,30.0,12.0,10.25,11.5,123.0,10.0,8.0,2.0,0.16666666666666666,-93.0,-7.75,16.0,2.6875,1.0,43.0,16.0,9.4375,10.0,151.0,15.0,4.0,1.0,0.0625,-108.0,-6.75
Allen Park,4,8.75,8.5,35.0,4,1.75,1.0,7.0,1.0,0.0,3.0,0.75,28.0,7.0,4,3.5,2.5,14.0,4,1.25,1.5,5.0,1.0,32.0,3.0,0.75,9.0,2.25,0.0,,,0.0,0.0,,,0.0,0.0,18.0,0.0,,0.0,,4.0,3.5,2.5,14.0,4.0,1.25,1.5,5.0,1.0,14.0,3.0,0.75,9.0,2.25
Allen Park Cabrini,3,11.333333333333334,10.0,34.0,3,0.6666666666666666,0.0,2.0,1.0,0.0,2.0,0.6666666666666666,32.0,10.666666666666668,6,2.8333333333333335,3.0,17.0,6,4.0,2.0,24.0,2.0,30.0,4.0,0.6666666666666666,-7.0,-1.1666666666666665,3.0,2.3333333333333335,2.0,7.0,3.0,5.0,3.0,15.0,1.0,14.0,2.0,0.6666666666666666,-8.0,-2.6666666666666665,3.0,3.3333333333333335,4.0,10.0,3.0,3.0,1.0,9.0,1.0,16.0,2.0,0.6666666666666666,1.0,0.3333333333333335
Allen Park Inter-City Baptist,2,8.0,8.0,16.0,2,5.5,5.5,11.0,1.0,0.0,1.0,0.5,5.0,2.5,1,1.0,1.0,1.0,1,4.0,4.0,4.0,1.0,29.0,0.0,0.0,-3.0,-3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,22.0,0.0,0.0,-3.0,-3.0,0.0,,,0.0,0.0,,,0.0,0.0,7.0,0.0,,0.0,
Allendale,5,6.4,5.0,32.0,5,4.4,3.0,22.0,1.0,0.0,4.0,0.8,10.0,2.0,1,8.0,8.0,8.0,1,2.0,2.0,2.0,0.0,43.0,1.0,1.0,6.0,6.0,1.0,8.0,8.0,8.0,1.0,2.0,2.0,2.0,0.0,26.0,1.0,1.0,6.0,6.0,0.0,,,0.0,0.0,,,0.0,0.0,17.0,0.0,,0.0,
Alma,4,5.0,4.0,20.0,4,3.75,3.5,15.0,1.0,0.0,3.0,0.75,5.0,1.25,31,6.0,5.0,186.0,31,4.225806451612903,4.0,131.0,10.0,1.0,21.0,0.6774193548387096,55.0,1.774193548387097,17.0,5.470588235294118,4.0,93.0,17.0,3.7058823529411766,3.0,63.0,4.0,1.0,13.0,0.7647058823529411,30.0,1.7647058823529411,14.0,6.642857142857143,5.5,93.0,14.0,4.857142857142857,4.5,68.0,6.0,0.0,8.0,0.5714285714285714,25.0,1.7857142857142865
