teamName,playoff_games_played,playoff_wins,playoff_losses,playoff_win_pct,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_wins,regular_season_losses,regular_season_ties,regular_season_win_pct,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_wins,home_losses,home_ties,home_win_pct,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_run_diff_total,home_run_diff_mean,away_games_played,away_wins,away_losses,away_ties,away_win_pct,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_run_diff_total,away_run_diff_mean
Ada Forest Hills Eastern,7,7.0,,1.0,6.428571428571429,6.0,45.0,1.0,0.0,7.0,38.0,5.428571428571429,47,25.0,1.0,21.0,0.5319148936170213,10.23076923076923,10.5,266.0,1.5,1.0,39.0,227.0,8.73076923076923,28,13.0,,15.0,0.4642857142857143,10.0,8.0,130.0,1.2307692307692308,1.0,16.0,114.0,8.76923076923077,19,12.0,1.0,6.0,0.631578947368421,10.461538461538462,11.0,136.0,1.7692307692307692,1.0,23.0,113.0,8.692307692307693
Addison,1,,1.0,,4.0,4.0,4.0,5.0,5.0,5.0,-1.0,-1.0,24,11.0,10.0,3.0,0.4583333333333333,6.818181818181818,5.0,150.0,4.863636363636363,3.0,107.0,43.0,1.954545454545455,9,3.0,4.0,2.0,0.3333333333333333,8.0,5.0,56.0,5.571428571428571,5.0,39.0,17.0,2.428571428571429,15,8.0,6.0,1.0,0.5333333333333333,6.266666666666667,5.0,94.0,4.533333333333333,3.0,68.0,26.0,1.7333333333333334
Adrian,1,,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,32,15.0,7.0,10.0,0.46875,7.318181818181818,5.0,161.0,4.545454545454546,3.0,100.0,61.0,2.7727272727272725,14,8.0,5.0,1.0,0.5714285714285714,6.923076923076923,4.0,90.0,5.923076923076923,6.0,77.0,13.0,1.0,18,7.0,2.0,9.0,0.3888888888888889,7.888888888888889,6.0,71.0,2.5555555555555554,2.0,23.0,48.0,5.333333333333334
Adrian Lenawee Christian,1,,1.0,,0.0,0.0,0.0,7.0,7.0,7.0,-7.0,-7.0,10,2.0,7.0,1.0,0.2,5.222222222222222,3.0,47.0,13.555555555555555,15.0,122.0,-75.0,-8.333333333333332,5,1.0,3.0,1.0,0.2,2.75,1.5,11.0,14.0,14.0,56.0,-45.0,-11.25,5,1.0,4.0,,0.2,7.2,6.0,36.0,13.2,15.0,66.0,-30.0,-5.999999999999999
Adrian Madison,2,1.0,1.0,0.5,2.5,2.5,5.0,2.5,2.5,5.0,0.0,0.0,32,6.0,5.0,21.0,0.1875,6.181818181818182,5.0,68.0,4.545454545454546,3.0,50.0,18.0,1.6363636363636358,18,2.0,1.0,15.0,0.1111111111111111,6.0,7.0,18.0,1.6666666666666667,2.0,5.0,13.0,4.333333333333333,14,4.0,4.0,6.0,0.2857142857142857,6.25,5.0,50.0,5.625,4.5,45.0,5.0,0.625
Akron-Fairgrove,1,,1.0,,3.0,3.0,3.0,23.0,23.0,23.0,-20.0,-20.0,11,,4.0,7.0,,2.0,2.0,8.0,15.25,17.0,61.0,-53.0,-13.25,7,,2.0,5.0,,0.5,0.5,1.0,17.0,17.0,34.0,-33.0,-16.5,4,,2.0,2.0,,3.5,3.5,7.0,13.5,13.5,27.0,-20.0,-10.0
Alanson ,1,,1.0,,0.0,0.0,0.0,15.0,15.0,15.0,-15.0,-15.0,13,,8.0,5.0,,2.875,3.5,23.0,12.5,12.0,100.0,-77.0,-9.625,7,,6.0,1.0,,3.3333333333333335,4.0,20.0,12.166666666666666,12.0,73.0,-53.0,-8.833333333333332,6,,2.0,4.0,,1.5,1.5,3.0,13.5,13.5,27.0,-24.0,-12.0
Alcona,3,2.0,1.0,0.6666666666666666,3.3333333333333335,4.0,10.0,5.0,4.0,15.0,-5.0,-1.6666666666666665,24,4.0,7.0,13.0,0.16666666666666666,6.181818181818182,8.0,68.0,9.363636363636363,10.0,103.0,-35.0,-3.1818181818181817,14,4.0,6.0,4.0,0.2857142857142857,6.3,8.0,63.0,9.2,9.0,92.0,-29.0,-2.8999999999999995,10,,1.0,9.0,,5.0,5.0,5.0,11.0,11.0,11.0,-6.0,-6.0
Algonac,6,5.0,1.0,0.8333333333333334,6.0,4.5,36.0,2.1666666666666665,1.0,13.0,23.0,3.8333333333333335,38,21.0,9.0,8.0,0.5526315789473685,6.766666666666667,7.0,203.0,4.033333333333333,3.0,121.0,82.0,2.7333333333333334,22,14.0,6.0,2.0,0.6363636363636364,7.2,7.0,144.0,3.2,3.0,64.0,80.0,4.0,16,7.0,3.0,6.0,0.4375,5.9,5.0,59.0,5.7,4.0,57.0,2.0,0.20000000000000018
Allegan,1,,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,37,,8.0,29.0,,2.75,1.0,22.0,7.0,6.5,56.0,-34.0,-4.25,17,,2.0,15.0,,1.0,1.0,2.0,9.5,9.5,19.0,-17.0,-8.5,20,,6.0,14.0,,3.3333333333333335,2.0,20.0,6.166666666666667,6.5,37.0,-17.0,-2.8333333333333335
Allen Park,3,2.0,1.0,0.6666666666666666,3.6666666666666665,3.0,11.0,1.6666666666666667,2.0,5.0,6.0,1.9999999999999998,41,13.0,8.0,20.0,0.3170731707317073,7.285714285714286,6.0,153.0,4.095238095238095,2.0,86.0,67.0,3.1904761904761907,16,4.0,2.0,10.0,0.25,5.333333333333333,5.0,32.0,3.1666666666666665,2.0,19.0,13.0,2.1666666666666665,25,9.0,6.0,10.0,0.36,8.066666666666666,8.0,121.0,4.466666666666667,2.0,67.0,54.0,3.5999999999999996
Allen Park Cabrini,1,,1.0,,0.0,0.0,0.0,11.0,11.0,11.0,-11.0,-11.0,30,9.0,15.0,6.0,0.3,5.208333333333333,4.5,125.0,5.833333333333333,5.0,140.0,-15.0,-0.625,20,7.0,8.0,5.0,0.35,6.066666666666666,5.0,91.0,5.533333333333333,4.0,83.0,8.0,0.5333333333333332,10,2.0,7.0,1.0,0.2,3.7777777777777777,2.0,34.0,6.333333333333333,6.0,57.0,-23.0,-2.5555555555555554
Allen Park Inter-City Baptist,3,2.0,1.0,0.6666666666666666,13.666666666666666,16.0,41.0,5.0,4.0,15.0,26.0,8.666666666666666,20,6.0,1.0,13.0,0.3,11.714285714285714,12.0,82.0,3.857142857142857,3.0,27.0,55.0,7.857142857142856,14,4.0,,10.0,0.2857142857142857,11.5,11.0,46.0,3.5,2.5,14.0,32.0,8.0,6,2.0,1.0,3.0,0.3333333333333333,12.0,14.0,36.0,4.333333333333333,4.0,13.0,23.0,7.666666666666667
Allendale,3,2.0,1.0,0.6666666666666666,7.333333333333333,5.0,22.0,4.333333333333333,4.0,13.0,9.0,3.0,35,5.0,3.0,27.0,0.14285714285714285,4.25,3.0,34.0,2.375,2.0,19.0,15.0,1.875,15,3.0,3.0,9.0,0.2,4.166666666666667,2.0,25.0,2.5,2.0,15.0,10.0,1.666666666666667,20,2.0,,18.0,0.1,4.5,4.5,9.0,2.0,2.0,4.0,5.0,2.5
Alma,3,2.0,1.0,0.6666666666666666,8.666666666666666,11.0,26.0,2.0,2.0,6.0,20.0,6.666666666666666,21,5.0,6.0,10.0,0.23809523809523808,3.4545454545454546,2.0,38.0,5.0,4.0,55.0,-17.0,-1.5454545454545454,9,2.0,1.0,6.0,0.2222222222222222,5.0,3.0,15.0,8.333333333333334,10.0,25.0,-10.0,-3.333333333333334,12,3.0,5.0,4.0,0.25,2.875,1.5,23.0,3.75,3.5,30.0,-7.0,-0.875
Almont,1,,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,30,4.0,13.0,13.0,0.13333333333333333,4.0,3.0,68.0,7.176470588235294,6.0,122.0,-54.0,-3.1764705882352944,17,,8.0,9.0,,3.125,2.5,25.0,7.875,7.5,63.0,-38.0,-4.75,13,4.0,5.0,4.0,0.3076923076923077,4.777777777777778,3.0,43.0,6.555555555555555,4.0,59.0,-16.0,-1.7777777777777777
Alpena,1,,1.0,,4.0,4.0,4.0,11.0,11.0,11.0,-7.0,-7.0,24,6.0,8.0,10.0,0.25,6.142857142857143,5.0,86.0,5.5,5.0,77.0,9.0,0.6428571428571432,3,3.0,,,1.0,11.0,11.0,33.0,2.3333333333333335,1.0,7.0,26.0,8.666666666666666,21,3.0,8.0,10.0,0.14285714285714285,4.818181818181818,4.0,53.0,6.363636363636363,5.0,70.0,-17.0,-1.545454545454545
Ann Arbor Father Gabriel Richard,1,,1.0,,1.0,1.0,1.0,5.0,5.0,5.0,-4.0,-4.0,49,16.0,11.0,22.0,0.32653061224489793,5.296296296296297,3.0,143.0,3.962962962962963,3.0,107.0,36.0,1.333333333333334,33,10.0,4.0,19.0,0.30303030303030304,4.571428571428571,3.0,64.0,4.0,4.0,56.0,8.0,0.5714285714285712,16,6.0,7.0,3.0,0.375,6.076923076923077,7.0,79.0,3.923076923076923,3.0,51.0,28.0,2.1538461538461537
Ann Arbor Greenhills,1,,1.0,,3.0,3.0,3.0,10.0,10.0,10.0,-7.0,-7.0,31,9.0,16.0,6.0,0.2903225806451613,3.92,2.0,98.0,7.8,10.0,195.0,-97.0,-3.88,13,7.0,3.0,3.0,0.5384615384615384,5.6,5.0,56.0,4.3,4.0,43.0,13.0,1.2999999999999998,18,2.0,13.0,3.0,0.1111111111111111,2.8,1.0,42.0,10.133333333333333,10.0,152.0,-110.0,-7.333333333333333
Ann Arbor Huron,1,,1.0,,5.0,5.0,5.0,6.0,6.0,6.0,-1.0,-1.0,58,2.0,15.0,41.0,0.034482758620689655,3.8823529411764706,4.0,66.0,8.647058823529411,8.0,147.0,-81.0,-4.76470588235294,38,1.0,7.0,30.0,0.02631578947368421,3.0,3.0,24.0,10.875,12.0,87.0,-63.0,-7.875,20,1.0,8.0,11.0,0.05,4.666666666666667,4.0,42.0,6.666666666666667,7.0,60.0,-18.0,-2.0
Ann Arbor Pioneer,1,,1.0,,1.0,1.0,1.0,5.0,5.0,5.0,-4.0,-4.0,58,12.0,22.0,24.0,0.20689655172413793,4.676470588235294,3.0,159.0,6.617647058823529,6.0,225.0,-66.0,-1.9411764705882346,24,5.0,10.0,9.0,0.20833333333333334,5.4,4.0,81.0,7.133333333333334,7.0,107.0,-26.0,-1.7333333333333334,34,7.0,12.0,15.0,0.20588235294117646,4.105263157894737,3.0,78.0,6.2105263157894735,6.0,118.0,-40.0,-2.1052631578947363
Ann Arbor Skyline,4,3.0,1.0,0.75,5.25,6.0,21.0,3.5,3.5,14.0,7.0,1.75,51,14.0,14.0,23.0,0.27450980392156865,6.75,5.5,189.0,5.107142857142857,4.0,143.0,46.0,1.6428571428571432,25,6.0,7.0,12.0,0.24,5.076923076923077,6.0,66.0,5.230769230769231,4.0,68.0,-2.0,-0.1538461538461542,26,8.0,7.0,11.0,0.3076923076923077,8.2,5.0,123.0,5.0,4.0,75.0,48.0,3.1999999999999993
Armada,1,,1.0,,2.0,2.0,2.0,4.0,4.0,4.0,-2.0,-2.0,33,12.0,11.0,10.0,0.36363636363636365,5.739130434782608,3.0,132.0,5.3478260869565215,4.0,123.0,9.0,0.3913043478260869,18,8.0,5.0,5.0,0.4444444444444444,6.615384615384615,3.0,86.0,5.6923076923076925,4.0,74.0,12.0,0.9230769230769225,15,4.0,6.0,5.0,0.26666666666666666,4.6,3.5,46.0,4.9,4.0,49.0,-3.0,-0.3000000000000007
Ashley,1,,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,-1.0,-1.0,15,,3.0,12.0,,2.6666666666666665,2.0,8.0,12.0,12.0,36.0,-28.0,-9.333333333333334,7,,3.0,4.0,,2.6666666666666665,2.0,8.0,12.0,12.0,36.0,-28.0,-9.333333333333334,8,,,8.0,,,,0.0,,,0.0,0.0,
Athens,1,,1.0,,2.0,2.0,2.0,12.0,12.0,12.0,-10.0,-10.0,25,,5.0,20.0,,2.0,0.0,10.0,15.6,15.0,78.0,-68.0,-13.6,13,,3.0,10.0,,0.0,0.0,0.0,17.333333333333332,16.0,52.0,-52.0,-17.333333333333332,12,,2.0,10.0,,5.0,5.0,10.0,13.0,13.0,26.0,-16.0,-8.0
Atlanta,1,,1.0,,0.0,0.0,0.0,16.0,16.0,16.0,-16.0,-16.0,29,3.0,2.0,24.0,0.10344827586206896,9.6,10.0,48.0,3.6,3.0,18.0,30.0,6.0,18,,,18.0,,,,0.0,,,0.0,0.0,,11,3.0,2.0,6.0,0.2727272727272727,9.6,10.0,48.0,3.6,3.0,18.0,30.0,6.0
Au Gres-Sims,3,2.0,1.0,0.6666666666666666,8.666666666666666,11.0,26.0,3.0,3.0,9.0,17.0,5.666666666666666,26,9.0,15.0,2.0,0.34615384615384615,5.625,4.0,135.0,9.833333333333334,10.0,236.0,-101.0,-4.208333333333334,15,8.0,7.0,,0.5333333333333333,5.933333333333334,4.0,89.0,8.666666666666666,8.0,130.0,-41.0,-2.7333333333333325,11,1.0,8.0,2.0,0.09090909090909091,5.111111111111111,2.0,46.0,11.777777777777779,11.0,106.0,-60.0,-6.666666666666668
Auburn Hills Avondale,2,1.0,1.0,0.5,2.5,2.5,5.0,9.0,9.0,18.0,-13.0,-6.5,34,4.0,2.0,28.0,0.11764705882352941,7.166666666666667,5.5,43.0,4.333333333333333,4.0,26.0,17.0,2.833333333333334,13,2.0,1.0,10.0,0.15384615384615385,3.6666666666666665,2.0,11.0,3.0,4.0,9.0,2.0,0.6666666666666665,21,2.0,1.0,18.0,0.09523809523809523,10.666666666666666,13.0,32.0,5.666666666666667,6.0,17.0,15.0,4.999999999999999
Auburn Hills Oakland Christian,3,2.0,1.0,0.6666666666666666,7.666666666666667,6.0,23.0,5.333333333333333,5.0,16.0,7.0,2.333333333333334,38,5.0,8.0,25.0,0.13157894736842105,6.461538461538462,6.0,84.0,5.230769230769231,5.0,68.0,16.0,1.2307692307692308,19,2.0,1.0,16.0,0.10526315789473684,9.333333333333334,9.0,28.0,8.333333333333334,5.0,25.0,3.0,1.0,19,3.0,7.0,9.0,0.15789473684210525,5.6,5.0,56.0,4.3,4.0,43.0,13.0,1.2999999999999998
Bad Axe,3,2.0,1.0,0.6666666666666666,5.666666666666667,7.0,17.0,5.333333333333333,5.0,16.0,1.0,0.3333333333333339,27,21.0,4.0,2.0,0.7777777777777778,6.48,7.0,162.0,3.52,2.0,88.0,74.0,2.9600000000000004,13,11.0,2.0,,0.8461538461538461,6.3076923076923075,7.0,82.0,4.3076923076923075,3.0,56.0,26.0,2.0,14,10.0,2.0,2.0,0.7142857142857143,6.666666666666667,5.5,80.0,2.6666666666666665,2.0,32.0,48.0,4.0
Bangor,1,,1.0,,0.0,0.0,0.0,15.0,15.0,15.0,-15.0,-15.0,32,,17.0,15.0,,0.9411764705882353,0.0,16.0,17.176470588235293,17.0,292.0,-276.0,-16.235294117647058,22,,9.0,13.0,,1.1111111111111112,0.0,10.0,18.11111111111111,18.0,163.0,-153.0,-17.0,10,,8.0,2.0,,0.75,0.0,6.0,16.125,16.0,129.0,-123.0,-15.375
Bark River-Harris,2,1.0,1.0,0.5,3.5,3.5,7.0,11.0,11.0,22.0,-15.0,-7.5,29,10.0,10.0,9.0,0.3448275862068966,6.4,4.5,128.0,5.1,4.5,102.0,26.0,1.3000000000000007,13,4.0,4.0,5.0,0.3076923076923077,7.5,7.5,60.0,4.25,4.0,34.0,26.0,3.25,16,6.0,6.0,4.0,0.375,5.666666666666667,4.0,68.0,5.666666666666667,6.5,68.0,0.0,0.0
Bath,1,,1.0,,1.0,1.0,1.0,11.0,11.0,11.0,-10.0,-10.0,24,1.0,16.0,7.0,0.041666666666666664,1.7647058823529411,1.0,30.0,10.882352941176471,12.0,185.0,-155.0,-9.117647058823529,8,1.0,5.0,2.0,0.125,2.6666666666666665,1.5,16.0,8.833333333333334,10.0,53.0,-37.0,-6.166666666666668,16,,11.0,5.0,,1.2727272727272727,1.0,14.0,12.0,14.0,132.0,-118.0,-10.727272727272727
Battle Creek Central,1,,1.0,,0.0,0.0,0.0,15.0,15.0,15.0,-15.0,-15.0,34,,3.0,31.0,,1.0,1.0,3.0,12.666666666666666,13.0,38.0,-35.0,-11.666666666666666,18,,2.0,16.0,,1.0,1.0,2.0,15.5,15.5,31.0,-29.0,-14.5,16,,1.0,15.0,,1.0,1.0,1.0,7.0,7.0,7.0,-6.0,-6.0
Battle Creek Harper Creek,1,,1.0,,1.0,1.0,1.0,7.0,7.0,7.0,-6.0,-6.0,30,10.0,11.0,9.0,0.3333333333333333,5.217391304347826,3.0,120.0,5.826086956521739,5.0,134.0,-14.0,-0.6086956521739131,13,6.0,4.0,3.0,0.46153846153846156,6.333333333333333,3.0,76.0,4.0,3.0,48.0,28.0,2.333333333333333,17,4.0,7.0,6.0,0.23529411764705882,4.0,3.0,44.0,7.818181818181818,7.0,86.0,-42.0,-3.8181818181818183
Battle Creek Lakeview,6,5.0,1.0,0.8333333333333334,6.666666666666667,7.0,40.0,2.6666666666666665,1.5,16.0,24.0,4.0,50,22.0,6.0,22.0,0.44,9.142857142857142,10.0,256.0,3.5357142857142856,3.0,99.0,157.0,5.607142857142857,37,16.0,6.0,15.0,0.43243243243243246,8.0,8.5,176.0,3.6818181818181817,3.0,81.0,95.0,4.318181818181818,13,6.0,,7.0,0.46153846153846156,13.333333333333334,13.0,80.0,3.0,2.0,18.0,62.0,10.333333333333334
Battle Creek Pennfield,1,,1.0,,1.0,1.0,1.0,11.0,11.0,11.0,-10.0,-10.0,30,1.0,7.0,22.0,0.03333333333333333,3.5,3.0,28.0,8.375,10.0,67.0,-39.0,-4.875,13,1.0,1.0,11.0,0.07692307692307693,6.5,6.5,13.0,4.5,4.5,9.0,4.0,2.0,17,,6.0,11.0,,2.5,2.5,15.0,9.666666666666666,11.5,58.0,-43.0,-7.166666666666666
Bay City All Saints,4,3.0,1.0,0.75,10.5,9.5,42.0,4.75,3.5,19.0,23.0,5.75,28,21.0,4.0,3.0,0.75,9.16,10.0,229.0,3.4,2.0,85.0,144.0,5.76,15,11.0,2.0,2.0,0.7333333333333333,10.846153846153847,11.0,141.0,2.923076923076923,2.0,38.0,103.0,7.923076923076923,13,10.0,2.0,1.0,0.7692307692307693,7.333333333333333,7.0,88.0,3.9166666666666665,2.5,47.0,41.0,3.4166666666666665
Bay City Central,1,,1.0,,4.0,4.0,4.0,8.0,8.0,8.0,-4.0,-4.0,25,4.0,9.0,12.0,0.16,3.230769230769231,3.0,42.0,6.615384615384615,4.0,86.0,-44.0,-3.384615384615384,14,3.0,4.0,7.0,0.21428571428571427,3.857142857142857,3.0,27.0,4.714285714285714,4.0,33.0,-6.0,-0.8571428571428572,11,1.0,5.0,5.0,0.09090909090909091,2.5,1.5,15.0,8.833333333333334,10.0,53.0,-38.0,-6.333333333333334
Bay City John Glenn,5,4.0,1.0,0.8,6.4,4.0,32.0,1.6,2.0,8.0,24.0,4.800000000000001,40,21.0,8.0,11.0,0.525,6.833333333333333,6.0,205.0,3.066666666666667,2.0,92.0,113.0,3.766666666666666,22,13.0,2.0,7.0,0.5909090909090909,7.533333333333333,7.0,113.0,1.7333333333333334,1.0,26.0,87.0,5.8,18,8.0,6.0,4.0,0.4444444444444444,6.133333333333334,4.0,92.0,4.4,3.0,66.0,26.0,1.7333333333333334
Bay City Western,2,1.0,1.0,0.5,5.0,5.0,10.0,3.0,3.0,6.0,4.0,2.0,24,3.0,5.0,16.0,0.125,4.75,4.5,38.0,6.125,5.0,49.0,-11.0,-1.375,13,2.0,3.0,8.0,0.15384615384615385,3.6,2.0,18.0,6.0,5.0,30.0,-12.0,-2.4,11,1.0,2.0,8.0,0.09090909090909091,6.666666666666667,9.0,20.0,6.333333333333333,5.0,19.0,1.0,0.3333333333333339
Beal City,7,6.0,1.0,0.8571428571428571,11.714285714285714,12.0,82.0,2.2857142857142856,1.0,16.0,66.0,9.428571428571427,42,25.0,2.0,15.0,0.5952380952380952,12.333333333333334,13.0,333.0,1.2222222222222223,1.0,33.0,300.0,11.11111111111111,19,14.0,1.0,4.0,0.7368421052631579,11.8,12.0,177.0,1.0,0.0,15.0,162.0,10.8,23,11.0,1.0,11.0,0.4782608695652174,13.0,13.5,156.0,1.5,1.0,18.0,138.0,11.5
Bear Lake,4,3.0,1.0,0.75,5.75,5.0,23.0,4.25,4.0,17.0,6.0,1.5,30,,2.0,28.0,,5.5,5.5,11.0,6.5,6.5,13.0,-2.0,-1.0,15,,2.0,13.0,,5.5,5.5,11.0,6.5,6.5,13.0,-2.0,-1.0,15,,,15.0,,,,0.0,,,0.0,0.0,
Beaverton,3,2.0,1.0,0.6666666666666666,7.0,7.0,21.0,7.333333333333333,3.0,22.0,-1.0,-0.33333333333333304,27,,2.0,25.0,,5.5,5.5,11.0,10.0,10.0,20.0,-9.0,-4.5,13,,2.0,11.0,,5.5,5.5,11.0,10.0,10.0,20.0,-9.0,-4.5,14,,,14.0,,,,0.0,,,0.0,0.0,
Belding,1,,1.0,,0.0,0.0,0.0,9.0,9.0,9.0,-9.0,-9.0,41,1.0,7.0,33.0,0.024390243902439025,4.125,4.0,33.0,7.75,8.5,62.0,-29.0,-3.625,24,,4.0,20.0,,3.25,2.0,13.0,8.75,8.5,35.0,-22.0,-5.5,17,1.0,3.0,13.0,0.058823529411764705,5.0,4.0,20.0,6.75,7.0,27.0,-7.0,-1.75
Bellaire,2,,2.0,,0.0,0.0,0.0,28.0,28.0,56.0,-56.0,-28.0,32,2.0,14.0,16.0,0.0625,2.125,1.0,34.0,11.125,10.0,178.0,-144.0,-9.0,4,,4.0,,,0.5,0.5,2.0,10.0,10.0,40.0,-38.0,-9.5,28,2.0,10.0,16.0,0.07142857142857142,2.6666666666666665,1.0,32.0,11.5,10.0,138.0,-106.0,-8.833333333333334
Belleville,1,,1.0,,2.0,2.0,2.0,13.0,13.0,13.0,-11.0,-11.0,32,3.0,18.0,11.0,0.09375,3.9523809523809526,2.0,83.0,7.571428571428571,7.0,159.0,-76.0,-3.6190476190476186,13,3.0,8.0,2.0,0.23076923076923078,5.2727272727272725,2.0,58.0,7.0,7.0,77.0,-19.0,-1.7272727272727275,19,,10.0,9.0,,2.5,1.5,25.0,8.2,7.0,82.0,-57.0,-5.699999999999999
Bellevue,1,,1.0,,6.0,6.0,6.0,19.0,19.0,19.0,-13.0,-13.0,20,,5.0,15.0,,2.6666666666666665,2.0,16.0,12.333333333333334,15.0,74.0,-58.0,-9.666666666666668,12,,3.0,9.0,,2.0,0.5,8.0,11.75,15.0,47.0,-39.0,-9.75,8,,2.0,6.0,,4.0,4.0,8.0,13.5,13.5,27.0,-19.0,-9.5
Benzie Central,2,1.0,1.0,0.5,6.0,6.0,12.0,7.5,7.5,15.0,-3.0,-1.5,41,13.0,11.0,17.0,0.3170731707317073,6.416666666666667,4.5,154.0,4.166666666666667,3.5,100.0,54.0,2.25,22,6.0,2.0,14.0,0.2727272727272727,8.125,7.0,65.0,2.25,2.5,18.0,47.0,5.875,19,7.0,9.0,3.0,0.3684210526315789,5.5625,3.0,89.0,5.125,4.0,82.0,7.0,0.4375
Berkley,1,,1.0,,5.0,5.0,5.0,6.0,6.0,6.0,-1.0,-1.0,40,8.0,19.0,13.0,0.2,3.888888888888889,3.0,105.0,7.444444444444445,7.0,201.0,-96.0,-3.555555555555556,18,4.0,6.0,8.0,0.2222222222222222,3.1,2.5,31.0,7.3,7.5,73.0,-42.0,-4.199999999999999,22,4.0,13.0,5.0,0.18181818181818182,4.352941176470588,4.0,74.0,7.529411764705882,7.0,128.0,-54.0,-3.1764705882352944
