teamName,teamId,leagueName,opponentName,opponentId,gameDate,gameTime,homeOrAway,location,teamScore,opponentScore,notes,contestType,seasonType,postSeasonInfo,tournamentInfo,tournamentName,tournamentType,contestName,seasonTypeCode
Brighton,407606,Kensington Lakes Activities Association,Northville,407992.0,2013-04-09T16:00:00,4:00 PM,A,,1.0,4.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Walled Lake Northern,407757.0,2013-04-15T16:00:00,4:00 PM,H,,5.0,2.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Ann Arbor Pioneer,407828.0,2013-04-20T10:00:00,10:00 AM,A,,5.0,1.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Ann Arbor Pioneer,407828.0,2013-04-20T12:00:00,12:00 PM,A,,8.0,4.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Walled Lake Central,407949.0,2013-04-22T16:00:00,4:00 PM,A,,3.0,5.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Pinckney,407889.0,2013-04-25T16:00:00,4:00 PM,A,,8.0,3.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Pinckney,407889.0,2013-04-25T17:00:00,5:00 PM,A,,10.0,1.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Walled Lake Western,407844.0,2013-04-29T16:00:00,4:00 PM,A,,11.0,9.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Hartland,408088.0,2013-05-01T16:00:00,4:00 PM,H,,1.0,0.0,,1,1,,,,0.0,,S 
Brighton,407606,Kensington Lakes Activities Association,Hartland,408088.0,2013-05-01T18:00:00,6:00 PM,H,,6.0,4.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Pinckney,407889.0,2013-05-04T13:30:00,1:30 PM,H,,,,,1,1,,,,0.0,,S 
Brighton,407606,Kensington Lakes Activities Association,Waterford Kettering,408065.0,2013-05-06T16:00:00,4:00 PM,H,,4.0,1.0,,1,1,,,,0.0,,S 
Brighton,407606,Kensington Lakes Activities Association,Howell,407948.0,2013-05-07T16:00:00,4:00 PM,H,,0.0,3.0,,1,1,,,,0.0,,S 
Brighton,407606,Kensington Lakes Activities Association,Howell,407948.0,2013-05-07T18:00:00,6:00 PM,H,,2.0,1.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Milford,408028.0,2013-05-08T16:00:00,4:00 PM,A,,6.0,2.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Milford,408028.0,2013-05-08T18:00:00,6:00 PM,A,,9.0,8.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,South Lyon,408047.0,2013-05-10T16:00:00,4:00 PM,H,,6.0,4.0,,1,1,,,,0.0,,S 
Brighton,407606,Kensington Lakes Activities Association,South Lyon,408047.0,2013-05-10T18:00:00,6:00 PM,H,,8.0,3.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Waterford Mott,407943.0,2013-05-13T16:00:00,4:00 PM,A,,7.0,1.0,,1,1,,,,,,S 
Brighton,407606,Kensington Lakes Activities Association,Grand Blanc,407712.0,2013-05-15T16:00:00,4:00 PM,H,,10.0,3.0,,1,1,,,,0.0,,S 
Brighton,407606,Kensington Lakes Activities Association,Grand Blanc,407712.0,2013-05-15T18:00:00,6:00 PM,H,,8.0,5.0,,1,1,,,,0.0,,S 
Brighton,407606,Kensington Lakes Activities Association,White Lake Lakeland,407631.0,2013-05-16T16:00:00,4:00 PM,H,,11.0,1.0,,1,1,,,,0.0,,S 
