ProperName,PopularName,ProperName_Score,PopularName_Score,MHSAA_SchoolId,SchoolInfo_Index,School_Name,City
brighton high school,Brighton,100,50,3834,143,brighton high school,BRIGHTON
roseville high school,Roseville,100,53,3837,1057,roseville high school,ROSEVILLE
shepherd high school,Shepherd,100,50,3838,1086,shepherd high school,SHEPHERD
corunna high school,Corunna,100,46,3844,300,corunna high school,CORUNNA
arts academy in the woods,Fraser Arts Academy,100,68,3845,51,arts academy in the woods,Fraser
hillsdale academy,Hillsdale Academy,100,88,3850,1378,hillsdale academy,HILLSDALE
madison high school,Madison Heights Madison,100,62,3855,766,madison high school,MADISON HEIGHTS
john glenn high school,Bay City John Glenn,100,50,3863,634,john glenn high school,BAY CITY
paw paw high school,Paw Paw,100,38,3864,969,paw paw high school,PAW PAW
bridgeport high school,Bridgeport,100,56,3866,141,bridgeport high school,Bridgeport
concord academy boyne,Boyne City Concord Academy,100,59,3867,285,concord academy boyne,BOYNE CITY
coldwater high school,Coldwater,100,53,3868,269,coldwater high school,COLDWATER
southeastern high school,Detroit Southeastern,100,52,3869,1098,southeastern high school,Detroit
kingsley area high school,Kingsley,100,44,3870,669,kingsley area high school,KINGSLEY
lakeland high school,White Lake Lakeland,100,52,3871,682,lakeland high school,WHITE LAKE
laingsburg high school,Laingsburg,100,56,3875,674,laingsburg high school,LAINGSBURG
berrien springs high school,Berrien Springs,100,62,3877,109,berrien springs high school,BERRIEN SPRINGS
dewitt high school,DeWitt,100,46,3878,343,dewitt high school,DeWitt
bad axe high school,Bad Axe,100,44,3879,63,bad axe high school,BAD AXE
everett high school,Lansing Everett,100,53,3882,400,everett high school,LANSING
wayne memorial high school,Wayne Memorial,100,60,3884,1260,wayne memorial high school,WAYNE
hamilton high school,Hamilton,100,67,3885,507,hamilton high school,HAMILTON
interlochen arts academy,Interlochen,100,57,3886,1383,interlochen arts academy,INTERLOCHEN
portage central high school,Portage Central,100,62,3887,1004,portage central high school,PORTAGE
columbia central high school,Brooklyn Columbia Central,100,53,3889,274,columbia central high school,BROOKLYN
mumford high school,Detroit Mumford,100,49,3893,857,mumford high school,DETROIT
bishop foley catholic high school,Madison Heights Bishop Foley,100,68,3895,1327,bishop foley catholic high school,MADISON HEIGHTS
grosse ile high school,Grosse Ile,100,50,3897,496,grosse ile high school,GROSSE ILE
rogers city high school,Rogers City,100,53,3902,1050,rogers city high school,ROGERS CITY
marine city high school,Marine City,100,53,3903,783,marine city high school,MARINE CITY
big rapids high school,Big Rapids,100,50,3905,114,big rapids high school,BIG RAPIDS
vicksburg high school,Vicksburg,100,53,3906,1217,vicksburg high school,VICKSBURG
university high school,Ferndale University,100,51,3908,1195,university high school,FERNDALE
trenton high school,Trenton,100,46,3909,1176,trenton high school,TRENTON
clinton high school,Clinton,100,48,3910,261,clinton high school,CLINTON
chelsea high school,Chelsea,100,46,3912,238,chelsea high school,CHELSEA
madison high school,Adrian Madison,100,56,3917,766,madison high school,MADISON HEIGHTS
tawas area high school,Tawas,100,44,3918,1147,tawas area high school,TAWAS CITY
troy high school,Troy,100,30,3923,1182,troy high school,Troy
elk rapids high school,Elk Rapids,100,50,3928,391,elk rapids high school,ELK RAPIDS
shelby high school,Shelby,100,42,3931,1084,shelby high school,SHELBY
huron high school,Ann Arbor Huron,100,51,3932,581,huron high school,ANN ARBOR
novi high school,Novi,100,36,3933,913,novi high school,NOVI
chippewa valley high school,Clinton Township Chippewa Valley,100,48,3938,245,chippewa valley high school,CLINTON TWP
eastpointe high school,Eastpointe,100,67,3940,376,eastpointe high school,EASTPOINTE
huron high school,New Boston Huron,100,46,3943,581,huron high school,ANN ARBOR
sand creek high school,Sand Creek,100,50,3944,1070,sand creek high school,SAND CREEK
athens high school,Troy Athens,100,47,3947,56,athens high school,Troy
eau claire high school,Eau Claire,100,67,3948,382,eau claire high school,Eau Claire
ferndale high school,Ferndale,100,50,3950,411,ferndale high school,FERNDALE
comstock park high school,Comstock Park,100,58,3952,284,comstock park high school,COMSTOCK PARK
universal academy,Detroit Universal Academy,100,71,3953,1193,universal academy,DETROIT
skyline high school,Ann Arbor Skyline,100,49,3957,1089,skyline high school,ANN ARBOR
redford union high school,Redford Union,100,58,3959,1022,redford union high school,Redford
river rouge high school,River Rouge,100,53,3960,1036,river rouge high school,River Rouge
dexter high school,Dexter,100,47,3962,345,dexter high school,DEXTER
gobles high school,Gobles,100,55,3966,464,gobles high school,Gobles
hh dow high school,Midland Dow,100,53,3967,544,hh dow high school,MIDLAND
mason high school,Mason,100,55,3969,798,mason high school,MASON
lakeview high school,St Clair Shores Lakeview,100,52,3970,688,lakeview high school,LAKEVIEW
clintondale high school,Clinton Township Clintondale,100,52,3972,263,clintondale high school,CLINTON TOWNSHIP
cabrini high school,Allen Park Cabrini,100,50,3976,1332,cabrini high school,ALLEN PARK
iron mountain high school,Iron Mountain,100,58,3977,609,iron mountain high school,IRON MOUNTAIN
harrison community high school,Harrison,100,61,3978,522,harrison community high school,Harrison
gladwin high school,Gladwin,100,46,3982,461,gladwin high school,GLADWIN
allegan high school,Allegan,100,46,3983,33,allegan high school,ALLEGAN
haslett high school,Haslett,100,55,3984,529,haslett high school,HASLETT
adrian high school,Adrian,100,50,3986,17,adrian high school,ADRIAN
brother rice high school,Bloomfield Hills Brother Rice,100,63,3990,1331,brother rice high school,BLOOMFIELD HILLS
flushing high school,Flushing,100,50,3991,422,flushing high school,FLUSHING
south lake high school,St Clair Shores South Lake,100,49,3992,1094,south lake high school,SAINT CLAIR SHORES
trillium academy,Taylor Trillium Academy,100,72,3999,1179,trillium academy,TAYLOR
hastings high school,Hastings,100,50,4000,530,hastings high school,HASTINGS
grosse pointe south high school,Grosse Pointe South,100,64,4004,498,grosse pointe south high school,GROSSE POINTE FARMS
milan high school,Milan,100,38,4005,833,milan high school,MILAN
hazel park high school,Hazel Park,100,50,4007,532,hazel park high school,HAZEL PARK
bendle high school,Burton Bendle,100,50,4008,98,bendle high school,BURTON
avondale high school,Auburn Hills Avondale,100,52,4010,62,avondale high school,AUBURN HILLS
fremont high school,Fremont,100,46,4012,438,fremont high school,FREMONT
vandercook lake high school,Vandercook Lake,100,62,4013,1208,vandercook lake high school,JACKSON
dryden high school,Dryden,100,42,4014,357,dryden high school,DRYDEN
byron center high school,Byron Center,100,67,4015,161,byron center high school,BYRON CENTER
lakeview high school,Battle Creek Lakeview,100,63,4019,688,lakeview high school,LAKEVIEW
norway high school,Norway,100,43,4025,911,norway high school,NORWAY
jackson high school,Jackson,100,52,4026,619,jackson high school,JACKSON
riverside academy,Detroit Riverside,100,53,4028,1039,riverside academy,DUNDEE
covenant christian high school,Grand Rapids Covenant Christian,100,60,4031,1346,covenant christian high school,GRAND RAPIDS
central high school,Battle Creek Central,100,65,4032,214,central high school,GRAND RAPIDS
st joseph high school,St Joseph,100,47,4035,1119,st joseph high school,SAINT JOSEPH
st clair high school,St Clair,100,45,4039,1116,st clair high school,SAINT CLAIR
walled lake northern high school,Walled Lake Northern,100,65,4040,1230,walled lake northern high school,Commerce Twp
swan valley high school,Saginaw Swan Valley,100,60,4041,1144,swan valley high school,SAGINAW
eastern high school,Lansing Eastern,100,60,4042,373,eastern high school,ADA
covert high school,Covert,100,62,4043,308,covert high school,COVERT
coopersville high school,Coopersville,100,61,4044,294,coopersville high school,COOPERSVILLE
ludington high school,Ludington,100,53,4045,756,ludington high school,LUDINGTON
stoney creek high school,Rochester Hills Stoney Creek,100,57,4047,1129,stoney creek high school,ROCHESTER HILLS
kelloggsville high school,Wyoming Kelloggsville,100,52,4049,654,kelloggsville high school,Wyoming
plymouth high school,Plymouth,100,50,4050,998,plymouth high school,CANTON
new haven high school,New Haven,100,50,4051,873,new haven high school,New Haven
clarkston high school,Clarkston,100,53,4052,255,clarkston high school,CLARKSTON
comstock high school,Comstock,100,50,4053,282,comstock high school,KALAMAZOO
saugatuck high school,Saugatuck,100,53,4055,1076,saugatuck high school,SAUGATUCK
cadillac heritage christian school,Cadillac Heritage Christian,100,79,4056,1333,cadillac heritage christian school,CADILLAC
marysville high school,Marysville,100,56,4060,795,marysville high school,MARYSVILLE
algoma christian school,Kent City Algoma Christian,100,57,4062,1316,algoma christian school,KENT CITY
wylie e groves high school,Birmingham Groves,100,47,4065,1305,wylie e groves high school,BEVERLY HILLS
ogemaw heights high school,Ogemaw Heights,100,60,4066,929,ogemaw heights high school,West Branch
merrill high school,Merrill,100,46,4067,814,merrill high school,MERRILL
lincoln park high school,Lincoln Park,100,56,4068,730,lincoln park high school,LINCOLN PARK
addison high school,Addison,100,77,4073,14,addison high school,ADDISON
kingston high school,Kingston,100,57,4074,671,kingston high school,KINGSTON
boyne city high school,Boyne City,100,50,4075,126,boyne city high school,BOYNE CITY
michigan lutheran seminary,Saginaw Michigan Lutheran Seminary,100,77,4076,1407,michigan lutheran seminary,SAGINAW
anchor bay high school,New Baltimore Anchor Bay,100,52,4077,43,anchor bay high school,IRA
davison high school,Davison,100,62,4079,321,davison high school,DAVISON
warren mott high school,Warren Mott,100,53,4080,1233,warren mott high school,WARREN
petoskey high school,Petoskey,100,50,4082,979,petoskey high school,PETOSKEY
westwood high school,Ishpeming Westwood,100,62,4084,1279,westwood high school,ISHPEMING
whitmore lake high school,Whitmore Lake,100,58,4086,1291,whitmore lake high school,WHITMORE LAKE
academy of the sacred heart,Bloomfield Hills Academy of the Sacred Heart,100,68,4087,1314,academy of the sacred heart,BLOOMFIELD HILLS
riverview east high school,St Clair Riverview East,100,53,4089,1042,riverview east high school,MARINE CITY
bridgman high school,Bridgman,100,50,4091,142,bridgman high school,BRIDGMAN
port huron northern high school,Port Huron Northern,100,64,4093,1002,port huron northern high school,PORT HURON
northern high school,Detroit Northern,100,53,4094,903,northern high school,GRAND RAPIDS
kent city high school,Kent City,100,47,4098,663,kent city high school,KENT CITY
tecumseh high school,Tecumseh,100,50,4101,1154,tecumseh high school,TECUMSEH
north farmington high school,North Farmington,100,64,4103,897,north farmington high school,FARMINGTON HILLS
deckerville community high school,Deckerville,100,57,4107,328,deckerville community high school,DECKERVILLE
kingsford high school,Kingsford,100,53,4108,668,kingsford high school,KINGSFORD
st mary catholic central high school,Monroe St Mary Catholic Central,100,61,4109,1444,st mary catholic central high school,MONROE
jonesville high school,Jonesville,100,62,4112,637,jonesville high school,JONESVILLE
western michigan christian high school,Muskegon Western Michigan Christian,100,64,4114,1465,western michigan christian high school,NORTON SHORES
franklin high school,Livonia Franklin,100,54,4115,432,franklin high school,LIVONIA
bay city western high school,Bay City Western,100,59,4117,81,bay city western high school,AUBURN
brethren high school,Brethren,100,50,4121,137,brethren high school,BRETHREN
oak park high school,Oak Park,100,43,4123,915,oak park high school,OAK PARK
caro high school,Caro,100,38,4125,193,caro high school,CARO
jenison high school,Jenison,100,77,4126,628,jenison high school,JENISON
st johns high school,St Johns,100,43,4128,1118,st johns high school,SAINT JOHNS
star international academy,Dearborn Heights Star International,100,60,4130,1123,star international academy,DEARBORN HEIGHTS
new lothrop high school,New Lothrop,100,53,4132,874,new lothrop high school,New Lothrop
pioneer high school,Ann Arbor Pioneer,100,50,4134,992,pioneer high school,ANN ARBOR
monroe high school,Monroe,100,42,4140,842,monroe high school,MONROE
salem high school,Salem,100,50,4142,1067,salem high school,CANTON
whiteford high school,Ottawa Lake Whiteford,100,62,4143,1289,whiteford high school,OTTAWA LAKE
washtenaw christian academy,Saline Washtenaw Christian,100,64,4146,1460,washtenaw christian academy,SALINE
clare high school,Clare,100,50,4147,251,clare high school,CLARE
napoleon high school,Napoleon,100,57,4148,868,napoleon high school,Napoleon
hart high school,Hart,100,44,4149,523,hart high school,HART
zeeland east high school,Zeeland East,100,56,4150,1312,zeeland east high school,ZEELAND
lincoln high school,Warren Lincoln,100,54,4151,729,lincoln high school,WARREN
schoolcraft high school,Schoolcraft,100,59,4152,1079,schoolcraft high school,SCHOOLCRAFT
walled lake western high school,Walled Lake Western,100,64,4155,1231,walled lake western high school,COMMERCE TOWNSHIP
linden high school,Linden,100,50,4158,734,linden high school,LINDEN
chippewa hills high school,Remus Chippewa Hills,100,52,4159,243,chippewa hills high school,REMUS
south christian high school,Grand Rapids South Christian,100,61,4160,1439,south christian high school,BYRON CENTER
unity christian high school,Hudsonville Unity Christian,100,57,4161,1456,unity christian high school,HUDSONVILLE
east lansing high school,East Lansing,100,56,4163,371,east lansing high school,EAST LANSING
kalamazoo central high school,Kalamazoo Central,100,65,4165,643,kalamazoo central high school,KALAMAZOO
eaton rapids high school,Eaton Rapids,100,56,4168,379,eaton rapids high school,EATON RAPIDS
evart high school,Evart,100,50,4170,399,evart high school,EVART
montague high school,Montague,100,50,4171,844,montague high school,MONTAGUE
mattawan high school,Mattawan,100,50,4172,801,mattawan high school,MATTAWAN
detour high school,DeTour,100,33,4174,334,detour high school,DeTour Village
ionia high school,Ionia,100,36,4176,606,ionia high school,IONIA
grand haven high school,Grand Haven,100,53,4180,474,grand haven high school,GRAND HAVEN
coloma high school,Coloma,100,42,4181,271,coloma high school,COLOMA
three rivers high school,Three Rivers,100,56,4182,1170,three rivers high school,THREE RIVERS
northview high school,Grand Rapids Northview,100,57,4183,905,northview high school,GRAND RAPIDS
cheboygan area high school,Cheboygan,100,50,4184,236,cheboygan area high school,CHEBOYGAN
edwardsburg high school,Edwardsburg,100,59,4187,388,edwardsburg high school,EDWARDSBURG
rockford high school,Rockford,100,50,4188,1048,rockford high school,ROCKFORD
lamphere high school,Madison Heights Lamphere,100,56,4189,695,lamphere high school,MADISON HEIGHTS
divine child high school,Dearborn Divine Child,100,59,4190,1352,divine child high school,DEARBORN
brandon high school,Ortonville Brandon,100,54,4191,132,brandon high school,ORTONVILLE
saginaw high school,Saginaw,100,46,4194,1064,saginaw high school,SAGINAW
quincy high school,Quincy,100,50,4195,1017,quincy high school,QUINCY
holly high school,Holly,100,36,4196,558,holly high school,HOLLY
imlay city high school,Imlay City,100,50,4198,590,imlay city high school,IMLAY CITY
caledonia high school,Caledonia,100,53,4203,166,caledonia high school,CALEDONIA
lakeview high school,Lakeview,100,50,4204,688,lakeview high school,LAKEVIEW
advanced technology academy,Dearborn Advanced Tech Academy,100,67,4206,18,advanced technology academy,DEARBORN
edsel ford high school,Dearborn Edsel Ford,100,51,4209,385,edsel ford high school,DEARBORN
churchill high school,Livonia Churchill,100,59,4210,248,churchill high school,LIVONIA
ithaca high school,Ithaca,100,45,4211,615,ithaca high school,ITHACA
holton high school,Holton,100,42,4212,560,holton high school,HOLTON
oakridge high school,Muskegon Oakridge,100,54,4213,925,oakridge high school,MUSKEGON
grass lake high school,Grass Lake,100,52,4215,487,grass lake high school,GRASS LAKE
voyageur college prep,Detroit Voyageur College Prep,100,72,4216,1224,voyageur college prep,DETROIT
millington high school,Millington,100,56,4219,835,millington high school,MILLINGTON
regina high school,Warren Regina,100,50,4226,1431,regina high school,WARREN
byron center charter school,Byron Center Charter,100,72,4228,160,byron center charter school,BYRON CENTER
heritage high school,Saginaw Heritage,100,55,4229,541,heritage high school,SAGINAW
calhoun christian school,Battle Creek Calhoun Christian,100,56,4233,1334,calhoun christian school,BATTLE CREEK
john glenn high school,Westland John Glenn,100,48,4235,634,john glenn high school,BAY CITY
shrine catholic high school,Royal Oak Shrine Catholic,100,61,4237,1437,shrine catholic high school,ROYAL OAK
woodhaven high school,Brownstown Woodhaven,100,51,4241,1300,woodhaven high school,FLAT ROCK
spring lake high school,Spring Lake,100,53,4244,1111,spring lake high school,SPRING LAKE
beecher high school,Flint Beecher,100,55,4245,90,beecher high school,FLINT
kearsley high school,Flint Kearsley,100,50,4247,650,kearsley high school,FLINT
hackett catholic prep,Kalamazoo Hackett Catholic Prep,100,69,4248,1374,hackett catholic prep,KALAMAZOO
arthur hill high school,Saginaw Arthur Hill,100,53,4251,50,arthur hill high school,SAGINAW
port huron high school,Port Huron,100,57,4253,1001,port huron high school,PORT HURON
almont high school,Almont,100,44,4254,38,almont high school,ALMONT
portage northern high school,Portage Northern,100,64,4255,1006,portage northern high school,PORTAGE
swartz creek high school,Swartz Creek,100,56,4256,1145,swartz creek high school,SWARTZ CREEK
reese high school,Reese,100,40,4258,1025,reese high school,Reese
ida high school,Ida,100,33,4259,588,ida high school,IDA
hopkins high school,Hopkins,100,46,4260,567,hopkins high school,HOPKINS
marion high school,Marion,100,50,4262,785,marion high school,Marion
cass technical high school,Detroit Cass Tech,100,54,4264,204,cass technical high school,DETROIT
berkley high school,Berkley,100,46,4267,106,berkley high school,BERKLEY
birch run high school,Birch Run,100,47,4270,116,birch run high school,BIRCH RUN
otsego high school,Otsego,100,42,4271,945,otsego high school,OTSEGO
henry ford high school,Detroit Henry Ford,100,55,4272,539,henry ford high school,Detroit
waterford mott high school,Waterford Mott,100,60,4275,1245,waterford mott high school,WATERFORD
reed city high school,Reed City,100,47,4276,1024,reed city high school,REED CITY
hillsdale high school,Hillsdale,100,62,4277,553,hillsdale high school,HILLSDALE
leslie high school,Leslie,100,42,4278,712,leslie high school,LESLIE
martin high school,Martin,100,47,4279,793,martin high school,MARTIN
howell high school,Howell,100,42,4280,574,howell high school,HOWELL
walled lake central high school,Walled Lake Central,100,64,4281,1229,walled lake central high school,COMMERCE TOWNSHIP
bangor high school,Bangor,100,42,4282,66,bangor high school,BANGOR
potterville high school,Potterville,100,59,4283,1009,potterville high school,POTTERVILLE
canton high school,Canton,100,42,4284,172,canton high school,CANTON
beal city high school,Beal City,100,47,4285,85,beal city high school,MOUNT PLEASANT
dansville high school,Dansville,100,56,4286,316,dansville high school,DANSVILLE
west bloomfield high school,West Bloomfield,100,63,4287,1266,west bloomfield high school,WEST BLOOMFIELD
allen park high school,Allen Park,100,50,4288,35,allen park high school,ALLEN PARK
durand area high school,Durand,100,38,4289,360,durand area high school,DURAND
orchard view high school,Muskegon Orchard View,100,53,4291,941,orchard view high school,MUSKEGON
western high school,Parma Western,100,52,4292,1276,western high school,PARMA
allendale high school,Allendale,100,53,4298,36,allendale high school,ALLENDALE
central high school,Bay City Central,100,59,4299,214,central high school,GRAND RAPIDS
kenowa hills high school,Grand Rapids Kenowa Hills,100,59,4302,658,kenowa hills high school,GRAND RAPIDS
gull lake high school,Richland Gull Lake,100,52,4304,500,gull lake high school,RICHLAND
grayling high school,Grayling,100,50,4306,488,grayling high school,GRAYLING
union city high school,Union City,100,50,4308,1187,union city high school,UNION CITY
northern high school,Pontiac Northern,100,50,4313,903,northern high school,GRAND RAPIDS
thornapple kellogg high school,Middleville Thornapple Kellogg,100,53,4315,1169,thornapple kellogg high school,MIDDLEVILLE
clarenceville high school,Livonia Clarenceville,100,54,4316,254,clarenceville high school,LIVONIA
burr oak high school,Burr Oak,100,48,4318,156,burr oak high school,Burr Oak
marcellus high school,Marcellus,100,53,4322,782,marcellus high school,Marcellus
auburn hills christian school,Auburn Hills Christian,100,75,4323,1319,auburn hills christian school,AUBURN HILLS
lee high school,Wyoming Lee,100,47,4325,707,lee high school,Wyoming
forest area high school,Fife Lake Forest Area,100,46,4328,424,forest area high school,FIFE LAKE
harbor springs high school,Harbor Springs,100,60,4329,515,harbor springs high school,HARBOR SPGS
hartford high school,Hartford,100,50,4334,526,hartford high school,HARTFORD
armada high school,Armada,100,42,4335,49,armada high school,ARMADA
northville high school,Northville,100,56,4337,908,northville high school,NORTHVILLE
genesee high school,Genesee,100,55,4341,456,genesee high school,Genesee
pershing high school,Detroit Pershing,100,52,4342,978,pershing high school,Detroit
negaunee high school,Negaunee,100,50,4343,869,negaunee high school,NEGAUNEE
renaissance high school,Detroit Renaissance,100,52,4344,1029,renaissance high school,PLAINWELL
bath high school,Bath,100,44,4346,73,bath high school,Bath
farmington high school,Farmington,100,56,4350,406,farmington high school,FARMINGTON
east kentwood high school,East Kentwood,100,58,4351,370,east kentwood high school,GRAND RAPIDS
lakewood high school,Lake Odessa Lakewood,100,44,4352,693,lakewood high school,LAKE ODESSA
west catholic high school,Grand Rapids West Catholic,100,57,4353,1462,west catholic high school,GRAND RAPIDS
crestwood high school,Dearborn Heights Crestwood,100,65,4355,310,crestwood high school,DEARBORN HEIGHTS
roosevelt high school,Wyandotte Roosevelt,100,47,4356,1055,roosevelt high school,WYANDOTTE
newaygo high school,Newaygo,100,50,4357,879,newaygo high school,Newaygo
lakeshore high school,Stevensville Lakeshore,100,52,4358,684,lakeshore high school,STEVENSVILLE
hamtramck high school,Hamtramck,100,53,4363,509,hamtramck high school,HAMTRAMCK
meridian early college high school,Sanford Meridian,100,55,4367,813,meridian early college high school,SANFORD
athens high school,Athens,100,55,4369,56,athens high school,Troy
