ProperName,PopularName,ProperName_Score,PopularName_Score,MHSAA_SchoolId,SchoolInfo_Index,School_Name,City
brighton high school,Brighton,100,50,3834,143,brighton high school,BRIGHTON
ewen-trout creek high school,Ewen-Trout Creek,81,47,3835,1145,swartz creek high school,SWARTZ CREEK
cherryhill school of performing arts,Inkster Cherryhill School of Performing Arts,62,51,3836,341,detroit school of arts,DETROIT
roseville high school,Roseville,100,53,3837,1057,roseville high school,ROSEVILLE
shepherd high school,Shepherd,100,50,3838,1086,shepherd high school,SHEPHERD
cass city high school,Cass City,86,52,3839,85,beal city high school,MOUNT PLEASANT
andover high school,Bloomfield Hills Andover,92,62,3840,1296,windover high school,MIDLAND
roeper high school,Bloomfield Hills Roeper,87,63,3841,1047,rochester high school,ROCHESTER HILLS
st francis high school,Traverse City St Francis,83,59,3842,1133,sturgis high school,STURGIS
east jordan high school,East Jordan,88,46,3843,369,east jordan middlehigh school,East Jordan
corunna high school,Corunna,100,46,3844,300,corunna high school,CORUNNA
arts academy in the woods,Fraser Arts Academy,100,68,3845,51,arts academy in the woods,Fraser
coleman high school,Coleman,92,42,3846,271,coloma high school,COLOMA
westside christian academy,Detroit Westside Christian,84,54,3847,1463,west highland christian academy,MILFORD
richmond high school,Richmond,85,43,3848,143,brighton high school,BRIGHTON
maple valley high school,Vermontville Maple Valley,91,53,3849,780,maple valley jrsr high school,VERMONTVILLE
hillsdale academy,Hillsdale Academy,100,88,3850,1378,hillsdale academy,HILLSDALE
cousino high school,Warren Cousino,84,55,3851,261,clinton high school,CLINTON
summit academy north,Romulus Summit Academy North,77,60,3852,1138,summit academy north high school,ROMULUS
charlotte forten academy,Detroit Charlotte Forten Academy,72,59,3853,233,charlton heston academy,SAINT HELEN
walkerville high school,Walkerville,91,56,3854,427,fowlerville high school,FOWLERVILLE
madison high school,Madison Heights Madison,100,62,3855,766,madison high school,MADISON HEIGHTS
west village academy north,Detroit West Village Academy,64,60,3856,1281,westwood virtual academy,DEARBORN HTS
forest park high school,Crystal Falls Forest Park,91,48,3857,424,forest area high school,FIFE LAKE
chandler park academy,Harper Woods Chandler Park,78,56,3858,224,chandler park academy high school,HARPER WOODS
academy of inkster,Inkster Academy,63,69,3859,1253,way academy vernor site,Detroit
university liggett high school,Grosse Pointe Woods University Liggett,85,52,3860,1195,university high school,FERNDALE
saginaw arts & sciences academy,Saginaw Arts & Sciences Academy,94,81,3861,1060,saginaw arts and sciences academy,SAGINAW
central academy high school,Ann Arbor Central Academy,83,65,3862,214,central high school,GRAND RAPIDS
john glenn high school,Bay City John Glenn,100,50,3863,634,john glenn high school,BAY CITY
paw paw high school,Paw Paw,100,38,3864,969,paw paw high school,PAW PAW
black river high school,Holland Black River,85,49,3865,683,laker high school,PIGEON
bridgeport high school,Bridgeport,100,56,3866,141,bridgeport high school,Bridgeport
concord academy boyne,Boyne City Concord Academy,100,59,3867,285,concord academy boyne,BOYNE CITY
coldwater high school,Coldwater,100,53,3868,269,coldwater high school,COLDWATER
southeastern high school,Detroit Southeastern,100,52,3869,1098,southeastern high school,Detroit
kingsley area high school,Kingsley,100,44,3870,669,kingsley area high school,KINGSLEY
lakeland high school,White Lake Lakeland,100,52,3871,682,lakeland high school,WHITE LAKE
merritt academy middle school,New Haven Merritt Middle School,73,61,3872,302,countryside academy middlehigh school,BENTON HARBOR
homer high school,Homer,88,36,3873,1051,romeo high school,WASHINGTON
crossroads charter academy,Big Rapids Crossroads Academy,93,63,3874,312,crossroads charter academy 712,BIG RAPIDS
laingsburg high school,Laingsburg,100,56,3875,674,laingsburg high school,LAINGSBURG
bradford academy high school,Southfield Bradford Academy,84,67,3876,765,madison academy high school,Burton
berrien springs high school,Berrien Springs,100,62,3877,109,berrien springs high school,BERRIEN SPRINGS
dewitt high school,DeWitt,100,46,3878,343,dewitt high school,DeWitt
bad axe high school,Bad Axe,100,44,3879,63,bad axe high school,BAD AXE
fitzgerald high school,Warren Fitzgerald,86,50,3880,412,fitzgerald senior high school,WARREN
academy of health & science,Academy of Health & Science,67,60,3881,1314,academy of the sacred heart,BLOOMFIELD HILLS
everett high school,Lansing Everett,100,53,3882,400,everett high school,LANSING
ubly high school,Ubly,86,27,3883,106,berkley high school,BERKLEY
wayne memorial high school,Wayne Memorial,100,60,3884,1260,wayne memorial high school,WAYNE
hamilton high school,Hamilton,100,67,3885,507,hamilton high school,HAMILTON
interlochen arts academy,Interlochen,100,57,3886,1383,interlochen arts academy,INTERLOCHEN
portage central high school,Portage Central,100,62,3887,1004,portage central high school,PORTAGE
muskegon catholic central high school,Muskegon Catholic Central,86,88,3888,1340,catholic central high school,NOVI
columbia central high school,Brooklyn Columbia Central,100,53,3889,274,columbia central high school,BROOKLYN
mt carmel high school,Wyandotte Mt Carmel,84,49,3890,251,clare high school,CLARE
whittemore-prescott high school,Whittemore-Prescott,91,59,3891,1292,whittemoreprescott jrsr high school,Whittemore
niles high school,Niles,88,57,3892,707,lee high school,Wyoming
mumford high school,Detroit Mumford,100,49,3893,857,mumford high school,DETROIT
mason county central high school,Mason County Central,84,79,3894,796,mason county central hs,SCOTTVILLE
bishop foley catholic high school,Madison Heights Bishop Foley,100,68,3895,1327,bishop foley catholic high school,MADISON HEIGHTS
lakeshore public academy,Hart Lakeshore Academy,67,62,3896,1391,lake michigan academy,GRAND RAPIDS
grosse ile high school,Grosse Ile,100,50,3897,496,grosse ile high school,GROSSE ILE
