MHSAA_PopularName,SchoolId,Classification,MHSAA_Proper,NickName,NCES_Name,NCES_School_ID
brighton,3834,A,Brighton HS,Bulldogs,"brighton high school, jo brighton skills center",
ewen-trout creek,3835,D,Ewen-Trout Creek HS,Panthers,"battle creek area learning center, battle creek central high school",
inkster cherryhill school of performing arts,3836,,Cherryhill School of Performing Arts,Tigers,"actech high school, ad johnston jrsr high school",
roseville,3837,A,Roseville HS,Panthers,roseville high school,
shepherd,3838,B,Shepherd HS,BlueJays,"flextech high school shepherd, shepherd high school",
cass city,3839,C,Cass City HS,Red Hawks,"cass city jr and sr high school, bay city academy farragut campus",
bloomfield hills andover,3840,,Andover HS,Barons,,
bloomfield hills roeper,3841,D,Roeper HS,Roughriders,,
traverse city st francis,3842,C,St Francis HS,Gladiators,"city middlehigh, dollar baytamarack city area k12 school",
east jordan,3843,C,East Jordan HS,Red Devils,"east jordan alternative high school, east jordan middlehigh school",
corunna,3844,B,Corunna HS,Cavaliers,corunna high school,
fraser arts academy,3845,,Arts Academy in the Woods,,"academic and career education academy, academy 21",
coleman,3846,C,Coleman HS,Comets,coleman juniorsenior high school,
detroit westside christian,3847,,Westside Christian Academy,Warriors,"covenant house academy detroit central site, covenant house academy detroit east site",
richmond,3848,B,Richmond HS,Blue Devils,richmond community high school,
vermontville maple valley,3849,C,Maple Valley HS,Lions,"chippewa valley adult and mohegan alt educ, swan valley adult and alternative education",
hillsdale academy,3850,D,Hillsdale Academy,Colts,"hillsdale academy, academic and career education academy",
warren cousino,3851,A,Cousino HS,Patriots,"cousino senior high school, warren consolidated community high school",
romulus summit academy north,3852,B,Summit Academy North,Dragons,"academy 21, academy for business and technology high school",
detroit charlotte forten academy,3853,,Charlotte Forten Academy,,"54th street academy, academy 21",
walkerville,3854,D,Walkerville HS,Wildcats,walkerville public school,
madison heights madison,3855,C,Madison HS,Eagles,"link learning grand rapids alger heights, madison school",
detroit west village academy,3856,,West Village Academy North,,"academy 21, academy for business and technology high school",
crystal falls forest park,3857,D,Forest Park HS,Trojans,progress park,
