PopularName,SchoolId,Classification,ProperName,NickName,matches
brighton,3834,A,brighton hs,Bulldogs,"brighton high school, jo brighton skills center"
ewen-trout creek,3835,D,ewen-trout creek hs,Panthers,"battle creek area learning center, battle creek central high school"
inkster cherryhill school of performing arts,3836,,cherryhill school of performing arts,Tigers,"actech high school, ad johnston jrsr high school"
roseville,3837,A,roseville hs,Panthers,roseville high school
shepherd,3838,B,shepherd hs,BlueJays,"flextech high school shepherd, shepherd high school"
cass city,3839,C,cass city hs,Red Hawks,"cass city jr and sr high school, bay city academy farragut campus"
bloomfield hills andover,3840,,andover hs,Barons,
bloomfield hills roeper,3841,D,roeper hs,Roughriders,
traverse city st francis,3842,C,st francis hs,Gladiators,"city middlehigh, dollar baytamarack city area k12 school"
east jordan,3843,C,east jordan hs,Red Devils,"east jordan alternative high school, east jordan middlehigh school"
corunna,3844,B,corunna hs,Cavaliers,corunna high school
fraser arts academy,3845,,arts academy in the woods,,"academic and career education academy, academy 21"
coleman,3846,C,coleman hs,Comets,coleman juniorsenior high school
detroit westside christian,3847,,westside christian academy,Warriors,"covenant house academy detroit central site, covenant house academy detroit east site"
richmond,3848,B,richmond hs,Blue Devils,richmond community high school
vermontville maple valley,3849,C,maple valley hs,Lions,"chippewa valley adult and mohegan alt educ, swan valley adult and alternative education"
hillsdale academy,3850,D,hillsdale academy,Colts,"hillsdale academy, academic and career education academy"
warren cousino,3851,A,cousino hs,Patriots,"cousino senior high school, warren consolidated community high school"
romulus summit academy north,3852,B,summit academy north,Dragons,"academy 21, academy for business and technology high school"
detroit charlotte forten academy,3853,,charlotte forten academy,,"54th street academy, academy 21"
walkerville,3854,D,walkerville hs,Wildcats,walkerville public school
madison heights madison,3855,C,madison hs,Eagles,"link learning grand rapids alger heights, madison school"
detroit west village academy,3856,,west village academy north,,"academy 21, academy for business and technology high school"
crystal falls forest park,3857,D,forest park hs,Trojans,progress park
harper woods chandler park,3858,B,chandler park academy,Eagles,"harper academy, progress park"
inkster academy,3859,,academy of inkster,,"academic and career education academy, academy 21"
