PopularName_Score,ProperName_Score,MHSAA_SchoolId,SchoolInfo_Index,Matched_School_Name
57,71,3834,143,brighton high school
59,63,3835,401,ewentrout creek consolidated school
57,62,3836,884,nextech high school of lansing
60,73,3837,1057,roseville high school
57,71,3838,1086,shepherd high school
61,56,3839,280,compass pointe
69,60,3840,122,bloomfield hills high school
71,53,3841,122,bloomfield hills high school
70,71,3842,1454,traverse city christian school
59,65,3843,1254,way east jackson
54,69,3844,300,corunna high school
74,100,3845,404,fapsgear up academy
53,57,3846,866,myschoolkent
58,84,3847,1377,heritage christian academy
43,54,3848,384,edison
53,68,3849,585,huron valley virtual academy
100,100,3850,1378,hillsdale academy
55,56,3851,924,oakridge fusion
67,77,3852,1138,summit academy north high school
66,72,3853,340,detroit public safety academy
61,67,3854,1228,walkerville public school
71,75,3855,766,madison high school
67,64,3856,340,detroit public safety academy
53,81,3857,1013,progress park
64,78,3858,518,harper woods high school
76,63,3859,1130,strive academy
58,70,3860,497,grosse pointe north high school
94,94,3861,1060,saginaw arts and sciences academy
75,91,3862,213,central academy
55,74,3863,79,bay city central high school
54,69,3864,969,paw paw high school
52,56,3865,124,blossomland learning center
62,74,3866,141,bridgeport high school
64,100,3867,285,concord academy boyne
60,73,3868,269,coldwater high school
57,77,3869,341,detroit school of arts
48,78,3870,669,kingsley area high school
59,71,3871,1286,white lake area community education
73,73,3872,524,hart middle school
42,53,3873,991,pineview homes
70,93,3874,477,grand rapids montessori academy
62,74,3875,674,laingsburg high school
74,91,3876,130,bradford academy
71,80,3877,109,berrien springs high school
50,67,3878,343,dewitt high school
54,69,3879,63,bad axe high school
50,62,3880,521,harrison center
67,67,3881,1314,academy of the sacred heart
67,69,3882,705,learning center
32,46,3883,950,outlook academy
70,79,3884,1260,wayne memorial high school
76,75,3885,506,hamilton flex
63,100,3886,1383,interlochen arts academy
71,80,3887,1004,portage central high school
100,94,3888,1411,muskegon catholic central
60,81,3889,274,columbia central high school
49,51,3890,1207,vanderbilt area school
67,74,3891,1292,whittemoreprescott jrsr high school
71,59,3892,1257,way niles
54,69,3893,341,detroit school of arts
93,100,3894,796,mason county central hs
77,84,3895,766,madison high school
72,67,3896,516,harper academy
62,74,3897,496,grosse ile high school
67,76,3898,330,deltonkellogg high school
51,63,3899,995,pittsford area high school
47,73,3900,866,myschoolkent
44,56,3901,292,cooke school
65,76,3902,1050,rogers city high school
65,76,3903,783,marine city high school
69,76,3904,1126,sterling heights senior hs
62,74,3905,114,big rapids high school
60,73,3906,1217,vicksburg high school
71,86,3907,639,joy preparatory academy
56,74,3908,411,ferndale high school
54,69,3909,1176,trenton high school
54,69,3910,261,clinton high school
58,54,3911,341,detroit school of arts
55,69,3912,200,casa
61,76,3913,902,north star montessori academy
55,53,3914,770,malc
58,65,3915,221,centreville adult education
72,60,3916,322,dearborn heights virtual academy
62,75,3917,17,adrian high school
50,74,3918,1213,veritas
62,82,3919,1414,north pointe christian schools
62,67,3920,191,carneynadeau public school
71,70,3921,213,central academy
61,67,3922,127,boyne falls public school
40,61,3923,1182,troy high school
69,83,3924,1288,whitefish township school
100,91,3925,790,marshall academy
54,62,3926,1162,the learning coop
75,57,3927,122,bloomfield hills high school
62,74,3928,391,elk rapids high school
75,78,3929,1237,warren woods tower high school
71,83,3930,1464,west michigan lutheran school
50,67,3931,1084,shelby high school
60,64,3932,44,ann arbor learning community
40,61,3933,913,novi high school
72,80,3934,313,croswelllexington high school
77,71,3935,1125,stephenson area public school
68,72,3936,1389,laingsburg christian school
55,50,3937,1349,detroit country day school
55,80,3938,261,clinton high school
53,64,3939,332,detention center
67,74,3940,280,compass pointe
61,70,3941,3,academy for business and technology high school
56,80,3942,1007,portland high school
56,64,3943,875,new options high school
62,74,3944,1070,sand creek high school
46,50,3945,1213,veritas
60,72,3946,1140,superior central school
52,67,3947,1182,troy high school
83,74,3948,1255,way eau claire
52,65,3949,984,pickford public schools
57,71,3950,411,ferndale high school
65,64,3951,76,battle creek mathsci center
68,78,3952,284,comstock park high school
81,100,3953,1193,universal academy
56,61,3954,783,marine city high school
54,61,3955,1288,whitefish township school
59,67,3956,235,chassell k12 school
58,69,3957,44,ann arbor learning community
