school_name,school_id,school_district,school_district_id,total_students,teachers,student_teacher_ratio,lunch_free_count,lunch_reduced_count,lunch_total_count,9,10,11,12,American Indian/Alaska Native,Asian,Black,Hispanic,Native Hawaiian/Pacific Islander,White,Two or MoreRaces,Male,Female,Male_Pct,Female_Pct,KG,1,2,3,4,5,6,7,8,PK,Ungraded
54th Street Academy,2.62016E+11,Kelloggsville Public Schools,2620160,66,2.4,27.5,54,2,56,0,17,10,39,0.015151515,0.03030303,0.272727273,0.378787879,0,0.166666667,0.136363636,34,32,0.515151515,0.484848485,,,,,,,,,,,
Academic and Career Education Academy,2.60033E+11,Academic And Career Education Academy,2600330,100,5.52,18.12,92,4,96,23,42,18,17,0,0,0.09,0.01,0.01,0.89,0,51,49,0.51,0.49,,,,,,,,,,,
Academy 21,2.60858E+11,Center Line Public Schools,2608580,287,13.73,20.9,212,15,227,,,,,0.003484321,0.069686411,0.25087108,0.055749129,0,0.50174216,0.118466899,155,132,0.540069686,0.459930314,7,20,12,13,17,18,,,,,
Academy for Business and Technology High School,2.60017E+11,Academy For Business And Technology,2600166,281,16.8,16.73,267,2,269,40,44,42,,0,0,0.928825623,0.039145907,0,0.021352313,0.010676157,153,128,0.544483986,0.455516014,,,,,,,42,30,50,,
Academy of Science Math and Technology Early College High Sc,2.62313E+11,Mason County Central Schools,2623130,52,1,52,19,6,25,,,0,52,0.019230769,0,0.038461538,0.192307692,0,0.75,0,19,33,0.365384615,0.634615385,,,,,,,,,,,
Academy of The Americas High School,2.6011E+11,Detroit Public Schools Community District,2601103,653,37,17.65,440,11,451,,,,,0.001531394,0,0.019908116,0.966309342,0,0.012251149,0,323,330,0.494640123,0.505359877,0,,,,87,101,81,80,,–,
Academy West Alternative Education,2.63597E+11,Westwood Heights Schools,2635970,572,10,57.2,498,9,507,,,,,0.005244755,0.001748252,0.653846154,0.055944056,0.001748252,0.215034965,0.066433566,259,313,0.452797203,0.547202797,10,11,9,10,6,15,,,,,
ACCE,2.63663E+11,Ypsilanti Community Schools,2636630,187,7.5,24.93,158,4,162,18,32,41,,0.005347594,0.005347594,0.652406417,0.026737968,0,0.203208556,0.106951872,104,83,0.556149733,0.443850267,,,,,,,0,0,0,,
Accelerated Learning Academy,2.61452E+11,Flint School District Of The City Of,2614520,158,10.2,15.49,151,1,152,69,46,23,14,0,0,0.841772152,0,0,0.120253165,0.037974684,101,57,0.639240506,0.360759494,,,,,,,,0,6,,
ACE,2.63582E+11,West Bloomfield School District,2635820,32,0,†,18,0,18,0,0,7,25,0,0,0.59375,0.03125,0,0.375,0,18,14,0.5625,0.4375,,,,,,,,,,,
ACES Academy,2.60273E+11,Alpena Public Schools,2602730,61,1.17,52.14,41,1,42,3,19,19,19,0,0,0,0,0,0.93442623,0.06557377,23,38,0.37704918,0.62295082,,,,,,,,0,1,,
Ackerson Lake Community Education,2.62496E+11,Napoleon Community Schools,2624960,76,2.5,30.4,52,3,55,5,13,20,38,0,0,0.013157895,0.026315789,0,0.934210526,0.026315789,42,34,0.552631579,0.447368421,,,,,,,,,,,
ACTech High School,2.63663E+11,Ypsilanti Community Schools,2636630,426,32,13.31,318,8,326,111,119,101,95,0.002347418,0.009389671,0.572769953,0.178403756,0,0.15258216,0.084507042,239,187,0.561032864,0.438967136,,,,,,,,,,,
AD Johnston JrSr High School,2.60001E+11,Bessemer Area School District,2600006,177,12.48,14.18,89,8,97,21,30,30,35,0.005649718,0.011299435,0.011299435,0.039548023,0,0.88700565,0.04519774,89,88,0.502824859,0.497175141,,,,,,,,21,40,,
Addison High School,2.60192E+11,Addison Community Schools,2601920,247,13.73,17.99,87,8,95,63,62,59,63,0,0.004048583,0.012145749,0.085020243,0,0.858299595,0.04048583,125,122,0.506072874,0.493927126,,,,,,,,,,,
Adlai Stevenson High School,2.63447E+11,Utica Community Schools,2634470,1956,98.6,19.84,945,64,"1,009",65,681,599,570,0.002556237,0.070552147,0.079754601,0.029141104,0.003578732,0.784253579,0.030163599,1003,953,0.512781186,0.487218814,,,,,,,,,,,41
Adrian Community High School,2.60195E+11,Adrian Public Schools,2601950,29,0,†,23,0,23,6,6,9,8,0,0,0.034482759,0.620689655,0,0.24137931,0.103448276,14,15,0.482758621,0.517241379,,,,,,,,,,,
Adrian High School,2.60195E+11,Adrian Public Schools,2601950,799,40.23,19.86,404,61,465,270,191,161,177,0.003754693,0.01126408,0.055068836,0.276595745,0,0.573216521,0.080100125,404,395,0.50563204,0.49436796,,,,,,,,,0,,
