teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_T,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Addison,1,0.0,0.0,0.0,1,15.0,15.0,15.0,1.0,0.0,0.0,0.0,-15.0,-15.0,5.0,1.4,2.0,7.0,5.0,12.0,12.0,60.0,5.0,18.0,0.0,0.0,-53.0,-10.6,2.0,1.0,1.0,2.0,2.0,11.0,11.0,22.0,2.0,8.0,0.0,0.0,-20.0,-10.0,3.0,1.6666666666666667,2.0,5.0,3.0,12.666666666666666,13.0,38.0,3.0,10.0,0.0,0.0,-33.0,-11.0
Adrian,6,5.833333333333333,6.5,35.0,6,4.5,4.0,27.0,1.0,0.0,5.0,0.8333333333333334,8.0,1.333333333333333,12.0,5.083333333333333,4.5,61.0,12.0,4.0,3.5,48.0,5.0,23.0,7.0,0.5833333333333334,13.0,1.083333333333333,6.0,5.666666666666667,5.5,34.0,6.0,5.333333333333333,4.0,32.0,2.0,17.0,4.0,0.6666666666666666,2.0,0.3333333333333339,6.0,4.5,3.0,27.0,6.0,2.6666666666666665,2.5,16.0,3.0,6.0,3.0,0.5,11.0,1.8333333333333335
Adrian Lenawee Christian,2,3.0,3.0,6.0,2,3.0,3.0,6.0,1.0,0.0,1.0,0.5,0.0,0.0,3.0,0.6666666666666666,1.0,2.0,3.0,7.666666666666667,6.0,23.0,3.0,2.0,0.0,0.0,-21.0,-7.0,,,,,,,,,,,,,,,3.0,0.6666666666666666,1.0,2.0,3.0,7.666666666666667,6.0,23.0,3.0,2.0,0.0,0.0,-21.0,-7.0
Adrian Madison,3,5.0,5.0,15.0,3,4.666666666666667,4.0,14.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.33333333333333304,5.0,7.8,7.0,39.0,5.0,4.8,3.0,24.0,1.0,21.0,4.0,0.8,15.0,3.0,4.0,7.0,6.5,28.0,4.0,5.25,3.5,21.0,1.0,16.0,3.0,0.75,7.0,1.75,1.0,11.0,11.0,11.0,1.0,3.0,3.0,3.0,0.0,5.0,1.0,1.0,8.0,8.0
Akron-Fairgrove,1,0.0,0.0,0.0,1,15.0,15.0,15.0,1.0,0.0,0.0,0.0,-15.0,-15.0,0.0,,,0.0,0.0,,,0.0,0.0,7.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,5.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,2.0,0.0,,0.0,
Alanson ,4,5.75,4.5,23.0,4,1.25,1.0,5.0,1.0,0.0,3.0,0.75,18.0,4.5,2.0,0.5,0.5,1.0,2.0,13.5,13.5,27.0,2.0,12.0,0.0,0.0,-26.0,-13.0,0.0,,,0.0,0.0,,,0.0,0.0,7.0,0.0,,0.0,,2.0,0.5,0.5,1.0,2.0,13.5,13.5,27.0,2.0,5.0,0.0,0.0,-26.0,-13.0
Algonac,1,0.0,0.0,0.0,1,5.0,5.0,5.0,1.0,0.0,0.0,0.0,-5.0,-5.0,35.0,4.685714285714286,3.0,164.0,35.0,7.085714285714285,6.0,248.0,20.0,10.0,15.0,0.42857142857142855,-84.0,-2.3999999999999995,20.0,5.4,4.0,108.0,20.0,6.4,5.5,128.0,10.0,1.0,10.0,0.5,-20.0,-1.0,15.0,3.7333333333333334,2.0,56.0,15.0,8.0,7.0,120.0,10.0,9.0,5.0,0.3333333333333333,-64.0,-4.266666666666667
Allegan,1,0.0,0.0,0.0,1,7.0,7.0,7.0,1.0,0.0,0.0,0.0,-7.0,-7.0,17.0,3.9411764705882355,3.0,67.0,17.0,9.470588235294118,10.0,161.0,13.0,12.0,4.0,0.23529411764705882,-94.0,-5.529411764705882,7.0,3.4285714285714284,4.0,24.0,7.0,8.428571428571429,9.0,59.0,5.0,8.0,2.0,0.2857142857142857,-35.0,-5.0,10.0,4.3,2.5,43.0,10.0,10.2,11.0,102.0,8.0,4.0,2.0,0.2,-59.0,-5.8999999999999995
Allen Park,4,13.25,10.5,53.0,4,2.25,2.0,9.0,1.0,0.0,3.0,0.75,44.0,11.0,19.0,6.052631578947368,4.0,115.0,19.0,3.1578947368421053,2.0,60.0,2.0,19.0,17.0,0.8947368421052632,55.0,2.894736842105263,12.0,5.333333333333333,4.0,64.0,12.0,2.5833333333333335,2.0,31.0,1.0,8.0,11.0,0.9166666666666666,33.0,2.7499999999999996,7.0,7.285714285714286,6.0,51.0,7.0,4.142857142857143,2.0,29.0,1.0,11.0,6.0,0.8571428571428571,22.0,3.1428571428571423
Allen Park Cabrini,3,8.666666666666666,10.0,26.0,3,0.6666666666666666,0.0,2.0,1.0,0.0,2.0,0.6666666666666666,24.0,7.999999999999999,30.0,5.5,4.5,165.0,30.0,5.966666666666667,5.5,179.0,17.0,8.0,11.0,0.36666666666666664,-14.0,-0.4666666666666668,17.0,5.352941176470588,4.0,91.0,17.0,7.647058823529412,7.0,130.0,11.0,2.0,5.0,0.29411764705882354,-39.0,-2.2941176470588243,13.0,5.6923076923076925,5.0,74.0,13.0,3.769230769230769,3.0,49.0,6.0,6.0,6.0,0.46153846153846156,25.0,1.9230769230769234
Allen Park Inter-City Baptist,2,3.5,3.5,7.0,2,9.0,9.0,18.0,1.0,0.0,1.0,0.5,-11.0,-5.5,6.0,6.666666666666667,6.0,40.0,6.0,6.666666666666667,7.0,40.0,3.0,14.0,3.0,0.5,0.0,0.0,4.0,7.5,7.5,30.0,4.0,8.25,8.0,33.0,2.0,11.0,2.0,0.5,-3.0,-0.75,2.0,5.0,5.0,10.0,2.0,3.5,3.5,7.0,1.0,3.0,1.0,0.5,3.0,1.5
Allendale,2,6.0,6.0,12.0,2,3.0,3.0,6.0,1.0,0.0,1.0,0.5,6.0,3.0,4.0,4.0,4.0,16.0,4.0,9.25,9.5,37.0,4.0,26.0,0.0,0.0,-21.0,-5.25,0.0,,,0.0,0.0,,,0.0,0.0,21.0,0.0,,0.0,,4.0,4.0,4.0,16.0,4.0,9.25,9.5,37.0,4.0,5.0,0.0,0.0,-21.0,-5.25
Alma,1,0.0,0.0,0.0,1,2.0,2.0,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,4.0,7.25,7.5,29.0,4.0,5.25,2.0,21.0,1.0,18.0,3.0,0.75,8.0,2.0,0.0,,,0.0,0.0,,,0.0,0.0,12.0,0.0,,0.0,,4.0,7.25,7.5,29.0,4.0,5.25,2.0,21.0,1.0,6.0,3.0,0.75,8.0,2.0
