teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Ada Forest Hills Eastern,3,5.333333333333333,6.0,16.0,3,3.3333333333333335,3.0,10.0,1.0,2.0,0.6666666666666666,6.0,1.9999999999999996,5,4.6,3.0,23.0,5,3.4,1.0,17.0,1.0,32.0,4.0,0.8,6.0,1.1999999999999997,5.0,4.6,3.0,23.0,5.0,3.4,1.0,17.0,1.0,18.0,4.0,0.8,6.0,1.1999999999999997,0.0,,,0.0,0.0,,,0.0,0.0,14.0,0.0,,0.0,
Addison,1,0.0,0.0,0.0,1,10.0,10.0,10.0,1.0,0.0,0.0,-10.0,-10.0,27,5.814814814814815,3.0,157.0,27,6.444444444444445,6.0,174.0,16.0,0.0,11.0,0.4074074074074074,-17.0,-0.6296296296296298,7.0,9.571428571428571,10.0,67.0,7.0,4.142857142857143,2.0,29.0,1.0,0.0,6.0,0.8571428571428571,38.0,5.428571428571428,20.0,4.5,2.5,90.0,20.0,7.25,6.0,145.0,15.0,0.0,5.0,0.25,-55.0,-2.75
Adrian,1,0.0,0.0,0.0,1,3.0,3.0,3.0,1.0,0.0,0.0,-3.0,-3.0,8,2.375,1.0,19.0,8,14.375,16.0,115.0,7.0,23.0,1.0,0.125,-96.0,-12.0,5.0,2.0,1.0,10.0,5.0,13.8,17.0,69.0,4.0,14.0,1.0,0.2,-59.0,-11.8,3.0,3.0,4.0,9.0,3.0,15.333333333333334,15.0,46.0,3.0,9.0,0.0,0.0,-37.0,-12.333333333333334
Adrian Lenawee Christian,5,11.8,13.0,59.0,5,2.6,0.0,13.0,1.0,4.0,0.8,46.0,9.200000000000001,6,4.833333333333333,2.5,29.0,6,9.0,9.5,54.0,5.0,9.0,1.0,0.16666666666666666,-25.0,-4.166666666666667,1.0,16.0,16.0,16.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,15.0,15.0,5.0,2.6,1.0,13.0,5.0,10.6,10.0,53.0,5.0,2.0,0.0,0.0,-40.0,-8.0
Adrian Madison,1,9.0,9.0,9.0,1,12.0,12.0,12.0,1.0,0.0,0.0,-3.0,-3.0,8,6.75,5.0,54.0,8,4.875,4.0,39.0,3.0,28.0,5.0,0.625,15.0,1.875,4.0,8.75,9.0,35.0,4.0,3.0,2.5,12.0,1.0,17.0,3.0,0.75,23.0,5.75,4.0,4.75,5.0,19.0,4.0,6.75,6.0,27.0,2.0,11.0,2.0,0.5,-8.0,-2.0
Alcona,1,7.0,7.0,7.0,1,8.0,8.0,8.0,1.0,0.0,0.0,-1.0,-1.0,6,8.0,7.5,48.0,6,7.333333333333333,8.5,44.0,3.0,13.0,3.0,0.5,4.0,0.666666666666667,5.0,9.4,10.0,47.0,5.0,7.2,9.0,36.0,2.0,4.0,3.0,0.6,11.0,2.2,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,1.0,9.0,0.0,0.0,-7.0,-7.0
Algonac,2,4.5,4.5,9.0,2,4.0,4.0,8.0,1.0,1.0,0.5,1.0,0.5,9,4.333333333333333,4.0,39.0,9,5.222222222222222,5.0,47.0,5.0,22.0,4.0,0.4444444444444444,-8.0,-0.8888888888888893,3.0,2.0,2.0,6.0,3.0,3.6666666666666665,5.0,11.0,2.0,13.0,1.0,0.3333333333333333,-5.0,-1.6666666666666665,6.0,5.5,5.5,33.0,6.0,6.0,6.0,36.0,3.0,9.0,3.0,0.5,-3.0,-0.5
Allegan,2,1.0,1.0,2.0,2,7.0,7.0,14.0,1.0,1.0,0.5,-12.0,-6.0,2,1.5,1.5,3.0,2,11.5,11.5,23.0,2.0,24.0,0.0,0.0,-20.0,-10.0,0.0,,,0.0,0.0,,,0.0,0.0,12.0,0.0,,0.0,,2.0,1.5,1.5,3.0,2.0,11.5,11.5,23.0,2.0,12.0,0.0,0.0,-20.0,-10.0
Allen Park,1,10.0,10.0,10.0,1,11.0,11.0,11.0,1.0,0.0,0.0,-1.0,-1.0,13,5.769230769230769,7.0,75.0,13,4.0,2.0,52.0,4.0,34.0,9.0,0.6923076923076923,23.0,1.7692307692307692,9.0,5.111111111111111,5.0,46.0,9.0,5.111111111111111,3.0,46.0,4.0,19.0,5.0,0.5555555555555556,0.0,0.0,4.0,7.25,7.5,29.0,4.0,1.5,1.0,6.0,0.0,15.0,4.0,1.0,23.0,5.75
Allen Park Cabrini,1,1.0,1.0,1.0,1,9.0,9.0,9.0,1.0,0.0,0.0,-8.0,-8.0,21,4.714285714285714,3.0,99.0,21,5.190476190476191,4.0,109.0,11.0,1.0,9.0,0.42857142857142855,-10.0,-0.4761904761904763,10.0,5.0,3.0,50.0,10.0,3.8,1.5,38.0,4.0,1.0,5.0,0.5,12.0,1.2000000000000002,11.0,4.454545454545454,4.0,49.0,11.0,6.454545454545454,7.0,71.0,7.0,0.0,4.0,0.36363636363636365,-22.0,-2.0
Allen Park Inter-City Baptist,1,3.0,3.0,3.0,1,13.0,13.0,13.0,1.0,0.0,0.0,-10.0,-10.0,4,2.75,3.0,11.0,4,8.25,8.5,33.0,4.0,10.0,0.0,0.0,-22.0,-5.5,2.0,2.0,2.0,4.0,2.0,9.0,9.0,18.0,2.0,7.0,0.0,0.0,-14.0,-7.0,2.0,3.5,3.5,7.0,2.0,7.5,7.5,15.0,2.0,3.0,0.0,0.0,-8.0,-4.0
Allendale,2,4.5,4.5,9.0,2,6.5,6.5,13.0,1.0,1.0,0.5,-4.0,-2.0,3,5.333333333333333,5.0,16.0,3,2.6666666666666665,2.0,8.0,2.0,21.0,1.0,0.3333333333333333,8.0,2.6666666666666665,1.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,10.0,10.0,2.0,3.0,3.0,6.0,2.0,4.0,4.0,8.0,2.0,12.0,0.0,0.0,-2.0,-1.0
Alma,3,5.333333333333333,4.0,16.0,3,3.0,3.0,9.0,1.0,2.0,0.6666666666666666,7.0,2.333333333333333,15,4.666666666666667,2.0,70.0,15,5.333333333333333,5.0,80.0,8.0,10.0,7.0,0.4666666666666667,-10.0,-0.6666666666666661,9.0,2.2222222222222223,2.0,20.0,9.0,4.444444444444445,3.0,40.0,5.0,5.0,4.0,0.4444444444444444,-20.0,-2.2222222222222223,6.0,8.333333333333334,7.0,50.0,6.0,6.666666666666667,9.0,40.0,3.0,5.0,3.0,0.5,10.0,1.666666666666667
Almont,4,8.25,8.0,33.0,4,2.5,3.0,10.0,1.0,3.0,0.75,23.0,5.75,16,7.0625,5.0,113.0,16,3.5,3.0,56.0,5.0,17.0,11.0,0.6875,57.0,3.5625,8.0,8.875,8.0,71.0,8.0,2.875,3.0,23.0,2.0,14.0,6.0,0.75,48.0,6.0,8.0,5.25,4.5,42.0,8.0,4.125,3.0,33.0,3.0,3.0,5.0,0.625,9.0,1.125
Alpena,1,1.0,1.0,1.0,1,14.0,14.0,14.0,1.0,0.0,0.0,-13.0,-13.0,5,5.6,4.0,28.0,5,10.2,10.0,51.0,5.0,16.0,0.0,0.0,-23.0,-4.6,2.0,10.5,10.5,21.0,2.0,13.0,13.0,26.0,2.0,10.0,0.0,0.0,-5.0,-2.5,3.0,2.3333333333333335,3.0,7.0,3.0,8.333333333333334,10.0,25.0,3.0,6.0,0.0,0.0,-18.0,-6.0
Ann Arbor Father Gabriel Richard,2,7.0,7.0,14.0,2,3.5,3.5,7.0,1.0,1.0,0.5,7.0,3.5,15,5.466666666666667,5.0,82.0,15,2.8,2.0,42.0,5.0,28.0,10.0,0.6666666666666666,40.0,2.666666666666667,8.0,6.375,5.5,51.0,8.0,2.75,1.0,22.0,3.0,21.0,5.0,0.625,29.0,3.625,7.0,4.428571428571429,5.0,31.0,7.0,2.857142857142857,3.0,20.0,2.0,7.0,5.0,0.7142857142857143,11.0,1.5714285714285716
Ann Arbor Greenhills,1,2.0,2.0,2.0,1,6.0,6.0,6.0,1.0,0.0,0.0,-4.0,-4.0,17,3.4705882352941178,1.0,59.0,17,12.941176470588236,13.0,220.0,15.0,7.0,2.0,0.11764705882352941,-161.0,-9.470588235294118,7.0,4.0,4.0,28.0,7.0,13.285714285714286,13.0,93.0,6.0,5.0,1.0,0.14285714285714285,-65.0,-9.285714285714286,10.0,3.1,0.5,31.0,10.0,12.7,12.0,127.0,9.0,2.0,1.0,0.1,-96.0,-9.6
Ann Arbor Huron,2,8.5,8.5,17.0,2,5.0,5.0,10.0,1.0,1.0,0.5,7.0,3.5,28,4.928571428571429,3.0,138.0,28,6.964285714285714,7.0,195.0,20.0,22.0,8.0,0.2857142857142857,-57.0,-2.0357142857142856,13.0,4.3076923076923075,3.0,56.0,13.0,7.846153846153846,9.0,102.0,10.0,9.0,3.0,0.23076923076923078,-46.0,-3.5384615384615383,15.0,5.466666666666667,3.0,82.0,15.0,6.2,7.0,93.0,10.0,13.0,5.0,0.3333333333333333,-11.0,-0.7333333333333334
Ann Arbor Pioneer,4,5.25,4.5,21.0,4,1.0,0.5,4.0,1.0,3.0,0.75,17.0,4.25,21,4.619047619047619,3.0,97.0,21,4.857142857142857,4.0,102.0,11.0,37.0,10.0,0.47619047619047616,-5.0,-0.23809523809523814,11.0,5.181818181818182,3.0,57.0,11.0,4.090909090909091,4.0,45.0,5.0,20.0,6.0,0.5454545454545454,12.0,1.0909090909090908,10.0,4.0,3.0,40.0,10.0,5.7,3.5,57.0,6.0,17.0,4.0,0.4,-17.0,-1.7000000000000002
Ann Arbor Skyline,2,2.0,2.0,4.0,2,3.5,3.5,7.0,1.0,1.0,0.5,-3.0,-1.5,30,6.2,4.0,186.0,30,4.866666666666666,3.0,146.0,17.0,12.0,13.0,0.43333333333333335,40.0,1.333333333333334,14.0,5.0,4.0,70.0,14.0,5.785714285714286,5.0,81.0,7.0,10.0,7.0,0.5,-11.0,-0.7857142857142856,16.0,7.25,5.0,116.0,16.0,4.0625,2.5,65.0,10.0,2.0,6.0,0.375,51.0,3.1875
