,Unnamed: 0.1,Unnamed: 0,field,level_x,foul_ft,fop_ft,foul_pct,h_lat,h_long,match,school_id,school_name,students,enrollment,division
0,0,1,Airport High School - Carleton,high_school,21262,88074,19.45,-83.3765218,42.0373919,Carleton - Airport HS,4654.0,Carleton - Airport HS,779.0,779.0,B
1,1,2,Aldai Stevenson High School,high_school,20786,88749,18.98,-83.0144563,42.5871203,Livonia - Stevenson HS,6188.0,Livonia - Stevenson HS,1673.0,1673.0,A
2,2,3,Algonac High School,high_school,30427,83362,26.74,-82.5823976,42.6286202,Algonac HS,1668.0,Algonac HS,433.0,433.0,B
3,3,4,Allen Park High School,high_school,21933,94655,18.81,-83.2273711,42.2455509,Allen Park HS,5157.0,Allen Park HS,1140.0,1140.0,A
4,4,5,Antrim County -Touth - Lakeside Field,youth,106926,21536,83.24,-85.2806507,44.8649571,,,,,,
5,5,6,Bad Axe HS,high_school,38845,86274,31.05,-83.0174535,43.8055552,Bad Axe HS,1362.0,Bad Axe HS,310.0,310.0,C
6,6,7,Bangor High School,high_school,39832,103637,27.76,-86.1259456,42.3056833,Bangor HS,5090.0,Bangor HS,324.0,324.0,C
7,7,8,Bath High School,high_school,17233,102353,14.41,-84.4399041,42.8139458,Bath HS,5743.0,Bath HS,310.0,310.0,C
8,8,9,Battle Creek lakeview HS,high_school,39069,95422,29.05,-85.2302768,42.2937644,Battle Creek - Lakeview HS,2583.0,Battle Creek - Lakeview HS,1338.0,1338.0,A
9,9,10,Bay City All Saints HS,high_school,25766,87055,22.84,-83.8962351,43.5560867,Bay City - All Saints Central HS,3301.0,Bay City - All Saints Central HS,57.0,57.0,D
10,10,12,Bay City john Glen HS,high_school,25783,102941,20.03,-83.9280232,43.6193164,Bay City - John Glenn HS,1247.0,Bay City - John Glenn HS,752.0,752.0,B
11,11,13,Beal City HS,high_school,25698,89488,22.31,-84.9127615,43.6741539,Mt Pleasant - Beal City HS,5124.0,Mt Pleasant - Beal City HS,227.0,227.0,C
12,12,14,Blissfield HS,high_school,20396,92349,18.09,-83.8684514,41.8222438,Blissfield HS,7252.0,Blissfield HS,380.0,380.0,C
13,13,18,Breckenridge HS,high_school,22445,82497,21.39,-84.4724901,43.413141,Breckenridge HS,7995.0,Breckenridge HS,194.0,194.0,C
14,14,19,Bridgman HS,high_school,29299,94095,23.74,-86.5447454,41.9367931,Bridgman HS,3243.0,Bridgman HS,250.0,250.0,C
15,15,20,Bronson high School,high_school,25822,90957,22.11,-85.1894145,41.865696,Bronson HS,7368.0,Bronson HS,325.0,325.0,C
16,16,21,Brownstone Woodhaven HS,high_school,35410,85450,29.3,-83.2698289,42.121292,Brownstown Township - Woodhaven HS,4662.0,Brownstown Township - Woodhaven HS,1626.0,1626.0,A
17,17,22,Buchanan HS,high_school,22660,88476,20.39,-86.3709785,41.8239409,Buchanan HS,6650.0,Buchanan HS,376.0,376.0,C
18,18,23,Bullock Creek HS - Midland,high_school,29073,99260,22.65,-84.2944185,43.5717901,Midland - Bullock Creek HS100)],,,,,
19,19,24,Camden-Frontier High School,high_school,30123,76954,28.13,-84.7066398,41.7801468,Camden-Frontier HS,5768.0,Camden-Frontier HS,177.0,177.0,D
20,20,25,Canton High School,high_school,96250,34332,73.71,-83.4915152,42.3441818,Canton HS,5116.0,Canton HS,2127.0,2127.0,A
21,21,26,Centreville High School,high_school,30617,92985,24.77,-85.5231062,41.9149684,Centreville HS,1676.0,Centreville HS,260.0,260.0,C
