Location,map_link
MacDonald Middle School - East Lansing - MAP,1
Northville High School - Baseball - MAP,26
Lincoln Baseball - Ypsilanti - MAP,9
Coldwater High School (Coldwater @ Borden Field) - MAP,5
Borden Field  Coldwater - MAP,19
James Gulliver Field - Baseball - Allen Park - MAP,1
Stevenson High School - Sterling Heights - MAP,-1
Grosse Pointe North - MAP,-1
Troy Athens High School - Baseball - MAP,27
Wayne State University (Baseball Diamond) - Detroit - MAP,1
Saginaw Heritage - MAP,1
Portage Northern HS - Baseball - MAP,4
Jenison High School - Baseball - MAP,23
Cornerstone U. (Baseball Field) - Grand Rapids - MAP,17
Mt. Pleasant High School - Baseball - MAP,7
Novi High School - Baseball - MAP,20
Joe Pitock Field - MAP,-1
Rochester High School - Rochester Hills - MAP,-1
West Bloomfield  - MAP,-1
Novi - MAP,-1
