Division,Tournament Name,Host,Location,Teams
1,Baseball District 1,Marquette,North Marquette Fields,"['North Marquette Fields', 'Alpena', 'Mount Pleasant', 'Traverse City Central', 'Traverse City West']"
1,Baseball District 2,Midland Dow,H H Dow High School - Baseball - Midland ,"['H H Dow High School - Baseball - Midland ', 'Bay City Central', 'Bay City Western', 'Midland', 'Saginaw Heritage']"
1,Baseball District 3,Muskegon Mona Shores,Mona Shores Baseball Field (Baseball Field) - Muskegon,"['Mona Shores Baseball Field (Baseball Field) - Muskegon', 'Grand Haven', 'Grand Rapids Kenowa Hills', 'Muskegon', 'Muskegon Reeths-Puffer']"
1,Baseball District 4,Grand Rapids Forest Hills Northern,FHN Stadium - Baseball - Grand Rapids,"['FHN Stadium - Baseball - Grand Rapids', 'Cedar Springs', 'Grand Rapids Northview', 'Greenville', 'Rockford']"
1,Baseball District 5,Grandville,Grandville High School - Baseball,"['Grandville High School - Baseball', 'Byron Center', 'Grand Rapids Union', 'Jenison', 'Wyoming']"
1,Baseball District 6,Lowell,Lowell High School (Baseball Diamond),"['Lowell High School (Baseball Diamond)', 'Caledonia', 'East Kentwood', 'Grand Rapids Forest Hills Central']"
1,Baseball District 7,Zeeland West,Zeeland Baseball Fields (Zeeland West Baseball Diamond - South),"['Zeeland Baseball Fields (Zeeland West Baseball Diamond - South)', 'Holland West Ottawa', 'Hudsonville', 'St Joseph', 'Zeeland East']"
1,Baseball District 8,Portage Northern,Portage Northern HS - Baseball,"['Portage Northern HS - Baseball', 'Kalamazoo Central', 'Kalamazoo Loy Norrix', 'Mattawan', 'Portage Central']"
1,Baseball District 9,DeWitt,DeWitt High School (Baseball Diamond),"['DeWitt High School (Baseball Diamond)', 'East Lansing', 'Grand Ledge', 'Lansing Everett', 'Lansing Waverly', 'Okemos']"
1,Baseball District 10,Jackson,Glick Community Field - Jackson,"['Glick Community Field - Jackson', 'Battle Creek Central', 'Battle Creek Lakeview', 'Holt', 'Jackson Northwest']"
1,Baseball District 11,Brighton,BHS Baseball - Brighton,"['BHS Baseball - Brighton', 'Hartland', 'Howell', 'South Lyon', 'South Lyon East']"
1,Baseball District 12,Saline,Saline High School - Baseball,"['Saline High School - Baseball', 'Ann Arbor Huron', 'Ann Arbor Pioneer', 'Ann Arbor Skyline', 'Dexter']"
1,Baseball District 13,Monroe,Monroe High School - Baseball,"['Monroe High School - Baseball', 'Belleville', 'Temperance Bedford', 'Ypsilanti Community', 'Ypsilanti Lincoln']"
1,Baseball District 14,Livonia Franklin,Livonia Franklin,"['Dearborn Heights Crestwood', 'Livonia Franklin', 'Redford Thurston', 'Wayne Memorial', 'Westland John Glenn']"
1,Baseball District 15,Northville,Northville High School - Baseball,"['Northville High School - Baseball', 'Canton', 'Livonia Churchill', 'Plymouth', 'Salem']"
1,Baseball District 16,Livonia Stevenson,Adlai E Stevenson HS - Livonia,"['Adlai E Stevenson HS - Livonia', 'Detroit Catholic Central', 'Farmington', 'North Farmington', 'Novi']"
1,Baseball District 17,Brownstown Woodhaven,Woodhaven High School - Baseball - Brownstown,"['Woodhaven High School - Baseball - Brownstown', 'Gibraltar Carlson', 'Southgate Anderson', 'Taylor', 'Wyandotte Roosevelt']"
1,Baseball District 18,Allen Park,James Gulliver Field - Baseball - Allen Park,"['James Gulliver Field - Baseball - Allen Park', 'Dearborn', 'Dearborn Edsel Ford', 'Lincoln Park', 'River Rouge']"
1,Baseball District 19,Detroit Western,Historic Hamtramck Stadium,"['Historic Hamtramck Stadium', 'Dearborn Fordson', 'Detroit Cass Tech', 'Detroit Martin Luther King', 'Hamtramck']"
1,Baseball District 20,Grosse Pointe North,Grosse Pointe North (Norsemen),"['Grosse Pointe North (Norsemen)', 'Grosse Pointe South', 'Harper Woods', 'St Clair Shores Lakeview']"
1,Baseball District 21,St Clair Shores Lake Shore,St Clair Shores Lake Shore,"['Fraser', 'Roseville', 'St Clair Shores Lake Shore', 'Warren De La Salle Collegiate', 'Warren Woods Tower']"
1,Baseball District 22,Royal Oak,Royal Oak,"['Berkley', 'Royal Oak', 'Sterling Heights', 'Warren Cousino', 'Warren Mott']"
1,Baseball District 23,Detroit U of D Jesuit,Detroit U-D Jesuit,"['Detroit U-D Jesuit', 'Detroit Mumford', 'Detroit Renaissance', 'Oak Park']"
1,Baseball District 24,Bloomfield Hills Brother Rice,Warriors Park - Troy,"['Warriors Park - Troy', 'Birmingham Groves', 'Birmingham Seaholm', 'Southfield Arts & Technology']"
1,Baseball District 25,Sterling Heights Stevenson,Stevenson High School - Sterling Heights,"['Stevenson High School - Sterling Heights', 'Clinton Township Chippewa Valley', ""Harrison Township L'Anse Creuse"", 'Utica Ford']"
1,Baseball District 26,Port Huron Northern,Port Huron Northern - Baseball,"['Port Huron Northern - Baseball', 'Macomb Dakota', ""Macomb L'Anse Creuse North"", 'New Baltimore Anchor Bay', 'Port Huron']"
1,Baseball District 27,Romeo,Romeo HS - Baseball,"['Romeo HS - Baseball', 'Rochester', 'Rochester Adams', 'Rochester Hills Stoney Creek', 'Utica Eisenhower']"
1,Baseball District 28,Auburn Hills Avondale,Auburn Hills Avondale,"['Auburn Hills Avondale', 'Bloomfield Hills', 'Troy', 'Troy Athens', 'Utica']"
1,Baseball District 29,West Bloomfield,West Bloomfield ,"['West Bloomfield ', 'Lake Orion', ""Orchard Lake St Mary's"", 'Waterford Kettering', 'Waterford Mott']"
1,Baseball District 30,White Lake Lakeland,Lakeland HS - Baseball - White Lake,"['Lakeland HS - Baseball - White Lake', 'Milford', 'Walled Lake Central', 'Walled Lake Northern', 'Walled Lake Western']"
1,Baseball District 31,Oxford,Oxford High School - Baseball,"['Oxford High School - Baseball', 'Clarkston', 'Fenton', 'Grand Blanc', 'Holly']"
1,Baseball District 32,Flushing,Flushing High School - Baseball,"['Flushing High School - Baseball', 'Davison', 'Flint Carman-Ainsworth', 'Lapeer', 'Swartz Creek']"
2,Baseball District 33,Escanaba,Al Ness Field (Al Ness) - Escanaba ,"['Al Ness Field (Al Ness) - Escanaba ', 'Houghton', 'Kingsford', 'Sault Ste Marie']"
2,Baseball District 34,Gaylord,Gaylord Varsity Baseball Field,"['Gaylord Varsity Baseball Field', 'Cheboygan', 'Ogemaw Heights', 'Petoskey']"
2,Baseball District 35,Kingsley,Kingsley Athletic Complex,"['Kingsley Athletic Complex', 'Big Rapids', 'Cadillac', 'Gladwin', 'Ludington']"
2,Baseball District 36,Bay City John Glenn,Bay City John Glenn High School,"['Bay City John Glenn High School', 'Essexville Garber', 'Freeland', 'Midland Bullock Creek', 'Shepherd']"
2,Baseball District 37,Newaygo,Newaygo Baseball Field ,"['Newaygo Baseball Field ', 'Alma', 'Fremont', 'Grant', 'Howard City Tri County']"
2,Baseball District 38,Muskegon Oakridge,Oakridge HS Baseball Field (Eagle Field) - Muskegon,"['Oakridge HS Baseball Field (Eagle Field) - Muskegon', 'Fruitport', 'Muskegon Orchard View', 'Spring Lake', 'Whitehall']"
2,Baseball District 39,Coopersville,Coopersville High School (Varsity Baseball Field),"['Coopersville High School (Varsity Baseball Field)', 'Allendale', 'Comstock Park', 'Sparta']"
2,Baseball District 40,Belding,Belding High School,"['Belding High School', 'Ada Forest Hills Eastern', 'Ionia', 'Portland', 'St Johns']"
2,Baseball District 41,Middleville Thornapple Kellogg,Thornapple Kellogg High School - Baseball - Middleville,"['Thornapple Kellogg High School - Baseball - Middleville', 'East Grand Rapids', 'Grand Rapids Christian', 'Grand Rapids South Christian', 'Grand Rapids West Michigan Aviation Academy']"
