Round,Date,Time,Location,Team1,Record1,Team2,Record2,MoreInfo,District,Division
 Round 1, 5/30/2023, 4:30 PM, St Clair Shores Lake Shore, Roseville ,7-6 , Warren Woods Tower ,2-8 ,/gameeventdetails/contestid/3959020/schoolid/3837/view/contest,21 ,1
 SemiFin, 6/3/2023, 2:00 PM, St Clair Shores Lake Shore,  , , Warren De La Salle Collegiate ,5-21 ,/gameeventdetails/contestid/3959022/schoolid/0/view/contest,21 ,1
 SemiFin, 6/3/2023, 2:00 PM, St Clair Shores Lake Shore, St Clair Shores Lake Shore ,10-6 , Fraser ,8-6 ,/gameeventdetails/contestid/3959021/schoolid/4471/view/contest,21 ,1
 Round 1, 5/25/2023, 2:15 PM, Royal Oak, Royal Oak ,14-6 , Sterling Heights ,1-11 ,/gameeventdetails/contestid/3960810/schoolid/4456/view/contest,22 ,1
 SemiFin, 6/2/2023, 10:00 AM, Royal Oak,  , , Berkley ,7-13 ,/gameeventdetails/contestid/3960812/schoolid/0/view/contest,22 ,1
 SemiFin, 6/2/2023, 12:30 PM, Royal Oak, Warren Mott ,2-11 , Warren Cousino ,10-6 ,/gameeventdetails/contestid/3960811/schoolid/4080/view/contest,22 ,1
 Round 1, TBA, , Woodhaven High School - Baseball - Brownstown, Wyandotte Roosevelt ,11-10 , Taylor ,5-10 ,/gameeventdetails/contestid/3960795/schoolid/4356/view/contest,17 ,1
 SemiFin, 6/3/2023, 2:00 PM, Woodhaven High School - Baseball - Brownstown,  , , Southgate Anderson ,11-8 ,/gameeventdetails/contestid/3960797/schoolid/0/view/contest,17 ,1
 SemiFin, 6/3/2023, 4:30 PM, Woodhaven High School - Baseball - Brownstown, Gibraltar Carlson ,10-12 , Brownstown Woodhaven ,17-9 ,/gameeventdetails/contestid/3960796/schoolid/4528/view/contest,17 ,1
 Round 1, 5/25/2023, 4:00 PM, Edsel Ford High School - Baseball - Dearborn, Dearborn Edsel Ford ,9-13 , River Rouge ,1-5 ,/gameeventdetails/contestid/3960799/schoolid/4209/view/contest,18 ,1
 SemiFin, 6/3/2023, 10:00 AM, James Gulliver Field - Baseball - Allen Park,  , , Lincoln Park ,1-22 ,/gameeventdetails/contestid/3960801/schoolid/0/view/contest,18 ,1
 SemiFin, 6/3/2023, 12:00 PM, James Gulliver Field - Baseball - Allen Park, Allen Park ,19-4-1 , Dearborn ,4-13-1 ,/gameeventdetails/contestid/3960800/schoolid/4288/view/contest,18 ,1
 SemiFin, 6/3/2023, 10:00 AM, Berrien Springs High School - Baseball - berrien springs, Edwardsburg ,10-8 , Stevensville Lakeshore ,7-3 ,/gameeventdetails/contestid/3960890/schoolid/4187/view/contest,45 ,2
 SemiFin, 6/3/2023, 12:30 PM, Berrien Springs High School - Baseball - berrien springs, Niles ,9-7 , Berrien Springs ,15-8 ,/gameeventdetails/contestid/3960889/schoolid/3892/view/contest,45 ,2
 Round 1, 5/30/2023, 4:00 PM, Vicksburg High School (Baseball Game Field), Vicksburg ,12-10 , Sturgis ,2-11 ,/gameeventdetails/contestid/3960892/schoolid/3906/view/contest,46 ,2
 SemiFin, TBA, , Vicksburg High School (Baseball Game Field),  , , Dowagiac ,3-10 ,/gameeventdetails/contestid/3960894/schoolid/0/view/contest,46 ,2
 SemiFin, 6/3/2023, 10:00 AM, Vicksburg High School (Baseball Game Field), Paw Paw ,10-10-1 , Three Rivers ,12-13 ,/gameeventdetails/contestid/3960893/schoolid/3864/view/contest,46 ,2
 Round 1, 5/30/2023, 4:15 PM, Thornapple Kellogg High School - Baseball - Middleville, East Grand Rapids ,9-13 , Grand Rapids Christian ,18-3 ,/gameeventdetails/contestid/3960876/schoolid/4557/view/contest,41 ,2
 SemiFin, TBA, , Thornapple Kellogg High School - Baseball - Middleville,  , , Grand Rapids West Michigan Aviation Academy ,15-5 ,/gameeventdetails/contestid/3960878/schoolid/0/view/contest,41 ,2
 SemiFin, 6/3/2023, 12:00 PM, Thornapple Kellogg High School - Baseball - Middleville, Grand Rapids South Christian ,18-8 , Middleville Thornapple Kellogg ,3-10 ,/gameeventdetails/contestid/3960877/schoolid/4160/view/contest,41 ,2
 SemiFin, 6/3/2023, 10:00 AM, Grand Rapids Catholic Central, Wyoming Lee ,2-15 , Grand Rapids Catholic Central ,3-7 ,/gameeventdetails/contestid/3962211/schoolid/4325/view/contest,42 ,2
 SemiFin, 6/3/2023, 12:00 PM, Grand Rapids Catholic Central, Hudsonville Unity Christian ,6-15 , Wyoming Godwin Heights ,2-12 ,/gameeventdetails/contestid/3962210/schoolid/4161/view/contest,42 ,2
 SemiFin, 6/3/2023, 10:00 AM, Algonac High School (Baseball Diamond), New Haven ,14-4 , Almont ,11-8 ,/gameeventdetails/contestid/3961062/schoolid/4051/view/contest,93 ,3
 SemiFin, 6/3/2023, 12:30 PM, Algonac High School (Baseball Diamond), Memphis ,2-11 , Algonac ,22-2 ,/gameeventdetails/contestid/3961061/schoolid/4225/view/contest,93 ,3
 Round 1, 5/30/2023, 3:00 PM," Bentley High School (The ""Vuk"" (Named after Coach Jim Vukovich) - Burton", Burton Atherton ,4-8 , New Lothrop ,9-13 ,/gameeventdetails/contestid/3961064/schoolid/4274/view/contest,94 ,3
 Round 1, TBA, ," Bentley High School (The ""Vuk"" (Named after Coach Jim Vukovich) - Burton", Montrose ,7-5 , Mt Morris ,9-4 ,/gameeventdetails/contestid/3961065/schoolid/3995/view/contest,94 ,3
 SemiFin, 6/3/2023, 10:00 AM," Bentley High School (The ""Vuk"" (Named after Coach Jim Vukovich) - Burton",  , , Burton Bentley ,9-6 ,/gameeventdetails/contestid/3961067/schoolid/0/view/contest,94 ,3
 SemiFin, 6/3/2023, 12:00 PM," Bentley High School (The ""Vuk"" (Named after Coach Jim Vukovich) - Burton", Burton Bendle ,0-11 ,  , ,/gameeventdetails/contestid/3961066/schoolid/4008/view/contest,94 ,3
 SemiFin, 6/2/2023, 2:00 PM, Communication & Media Arts High School - Detroit (Stoepel Park), Detroit Communication Media Arts ,8-3 , Detroit Jalen Rose Leadership Academy ,0-4 ,/gameeventdetails/contestid/3961050/schoolid/4613/view/contest,89 ,3
 Final D, 6/2/2023, 4:30 PM, Communication & Media Arts High School - Detroit (Stoepel Park),  , , Detroit Loyola ,0-5 ,/gameeventdetails/contestid/3961051/schoolid/0/view/contest,89 ,3
 SemiFin, 6/3/2023, 10:00 AM, Ecorse High School (Baseball Diamond), Detroit Cristo Rey ,2-6 , Hope of Detroit Academy ,2-2 ,/gameeventdetails/contestid/3961052/schoolid/7349/view/contest,90 ,3
 Final D, 6/3/2023, 12:00 PM, Ecorse High School (Baseball Diamond),  , , Ecorse ,17-1 ,/gameeventdetails/contestid/3961053/schoolid/0/view/contest,90 ,3
 Round 1, 5/30/2023, 4:30 PM, Slater Field - New Buffalo, St Joseph Our Lady of the Lake Catholic ,11-7 , New Buffalo ,4-7-1 ,/gameeventdetails/contestid/3961135/schoolid/4474/view/contest,13 ,4
 SemiFin, 6/3/2023, 9:30 AM, Slater Field - New Buffalo,  , , Three Oaks River Valley ,8-16-1 ,/gameeventdetails/contestid/3961137/schoolid/0/view/contest,13 ,4
 SemiFin, 6/3/2023, 11:30 AM, Slater Field - New Buffalo, St Joseph Michigan Lutheran ,9-8 , Eau Claire ,0-13 ,/gameeventdetails/contestid/3961136/schoolid/3930/view/contest,13 ,4
 SemiFin, 6/3/2023, 10:00 AM, Lawrence Fields, Gobles ,10-5 , Lawrence ,12-6-1 ,/gameeventdetails/contestid/3961140/schoolid/3966/view/contest,14 ,4
 SemiFin, 6/3/2023, 12:00 PM, Lawrence Fields, Marcellus ,8-13 , Decatur ,16-2 ,/gameeventdetails/contestid/3961139/schoolid/4322/view/contest,14 ,4
 Round 1, 5/30/2023, 4:00 PM, Trott Field - North Adams, Camden-Frontier ,10-5 , Pittsford ,7-4 ,/gameeventdetails/contestid/3961156/schoolid/4348/view/contest,19 ,4
 SemiFin, 6/2/2023, 10:00 AM, Trott Field - North Adams,  , , Waldron ,0-10 ,/gameeventdetails/contestid/3961158/schoolid/0/view/contest,19 ,4
 SemiFin, 6/2/2023, 12:00 PM, Trott Field - North Adams, North Adams-Jerome ,7-6 , Reading ,2-9 ,/gameeventdetails/contestid/3961157/schoolid/4296/view/contest,19 ,4
 Round 1, 5/30/2023, 5:00 PM, Morenci, Adrian Lenawee Christian ,1-8 , Sand Creek ,8-13 ,/gameeventdetails/contestid/3961160/schoolid/4601/view/contest,20 ,4
 SemiFin, 6/3/2023, 10:00 AM, Morenci,  , , Britton Deerfield ,7-10 ,/gameeventdetails/contestid/3961162/schoolid/0/view/contest,20 ,4
 SemiFin, 6/3/2023, 12:00 PM, Morenci, Petersburg Summerfield ,10-5 , Morenci ,2-10 ,/gameeventdetails/contestid/3961161/schoolid/3968/view/contest,20 ,4
 SemiFin, 6/3/2023, 10:00 AM, Detroit U-D Jesuit, Detroit U of D Jesuit ,9-20 , Detroit Renaissance ,0-3 ,/gameeventdetails/contestid/3960815/schoolid/4131/view/contest,23 ,1
 Final D, 6/3/2023, 12:00 PM, Detroit U-D Jesuit,  , , Detroit Mumford ,0-2 ,/gameeventdetails/contestid/3960816/schoolid/0/view/contest,23 ,1
 SemiFin, 6/3/2023, 10:00 AM, Warriors Park - Troy, Birmingham Seaholm ,21-2 , Southfield Arts & Technology ,0-13 ,/gameeventdetails/contestid/3960818/schoolid/4430/view/contest,24 ,1
 SemiFin, 6/3/2023, 12:00 PM, Warriors Park - Troy, Birmingham Groves ,15-10 , Bloomfield Hills Brother Rice ,21-6 ,/gameeventdetails/contestid/3960817/schoolid/4065/view/contest,24 ,1
 Round 1, 5/30/2023, 4:30 PM, Historic Hamtramck Stadium, Dearborn Fordson ,0-2 , Hamtramck ,1-0 ,/gameeventdetails/contestid/3960803/schoolid/4465/view/contest,19 ,1
 SemiFin, 6/2/2023, 2:30 PM, Historic Hamtramck Stadium,  , , Detroit Martin Luther King ,0-4 ,/gameeventdetails/contestid/3960805/schoolid/0/view/contest,19 ,1
 SemiFin, 6/2/2023, 12:00 PM, Historic Hamtramck Stadium, Detroit Western ,6-6 , Detroit Cass Tech ,11-7 ,/gameeventdetails/contestid/3960804/schoolid/4468/view/contest,19 ,1
