school_id,school_name,students,enrollment,division,level
9448,Macomb - Dakota HS,2876,2876,A,high_school
2237,Grand Blanc HS,2812,2812,A,high_school
5792,East Kentwood HS,2678,2678,A,high_school
6980,Dearborn - Fordson HS,2613,2613,A,high_school
3020,Shelby Township - Utica Eisenhower HS,2555,2555,A,high_school
5628,Northville HS,2509,2509,A,high_school
4183,Rockford HS,2480,2480,A,high_school
4893,Detroit - Cass Technical HS,2452,2452,A,high_school
2666,Sterling Heights - Utica Stevenson HS,2433,2433,A,high_school
1874,Clinton Township - Chippewa Valley HS,2386,2386,A,high_school
5074,Howell HS,2375,2375,A,high_school
3953,Lake Orion HS,2309,2309,A,high_school
7038,Oxford HS,2299,2299,A,high_school
1742,Troy HS,2285,2285,A,high_school
2856,Clarkston HS,2250,2250,A,high_school
3680,Ann Arbor - Pioneer HS,2185,2185,A,high_school
3747,Canton - Salem HS,2183,2183,A,high_school
2839,Canton - Plymouth HS,2140,2140,A,high_school
5116,Canton HS,2127,2127,A,high_school
6485,Holland - West Ottawa HS,2124,2124,A,high_school
7376,Dearborn HS,2075,2075,A,high_school
5140,West Bloomfield HS,2052,2052,A,high_school
1016,Brighton HS,2045,2045,A,high_school
1833,Novi HS,2033,2033,A,high_school
8077,Hudsonville HS,2026,2026,A,high_school
4101,Grand Haven HS,1944,1944,A,high_school
6832,Hartland HS,1938,1938,A,high_school
7541,Grand Rapids - Union HS,1908,1908,A,high_school
1147,Southfield HS for the Arts & Technology,1893,1893,A,high_school
3086,Fair Haven - Anchor Bay HS,1882,1882,A,high_school
4638,Novi - Detroit Catholic Central HS,933,1866,A,high_school
1825,Ann Arbor - Huron HS,1860,1860,A,high_school
1069,Bloomfield Hills HS,1851,1851,A,high_school
3730,Monroe HS,1838,1838,A,high_school
4555,Macomb - L'Anse Creuse North HS,1834,1834,A,high_school
7450,Utica HS,1828,1828,A,high_school
7013,Detroit - Western International HS,1807,1807,A,high_school
3103,Davison HS,1787,1787,A,high_school
1957,Troy - Athens HS,1775,1775,A,high_school
6510,Sterling Heights - Utica Ford II HS,1760,1760,A,high_school
6576,Grandville HS,1751,1751,A,high_school
7632,Holt HS,1745,1745,A,high_school
6584,Saline HS,1743,1743,A,high_school
1086,Lapeer HS,1732,1732,A,high_school
7748,Belleville HS,1730,1730,A,high_school
6551,Kalamazoo - Loy Norrix HS,1722,1722,A,high_school
6824,Rochester Hills - Rochester HS,1721,1721,A,high_school
1170,Taylor HS,1720,1720,A,high_school
3945,Kalamazoo Central HS,1687,1687,A,high_school
6188,Livonia - Stevenson HS,1673,1673,A,high_school
6023,Washington - Romeo HS,1658,1658,A,high_school
6213,Grand Ledge HS,1653,1653,A,high_school
9731,Traverse City West HS,1629,1629,A,high_school
4662,Brownstown Township - Woodhaven HS,1626,1626,A,high_school
