Location,Map Link
MacDonald Middle School - East Lansing - MAP,http://maps.google.com/maps?q=MacDonald+Middle+School+1601+Burcham+Drive++East+Lansing%2c+MI+48823
Northville High School - Baseball - MAP,http://maps.google.com/maps?q=Northville+High+School+-+Baseball+45700+W.+Six+Mile+Rd.++Northville%2c+MI+
Lincoln Baseball - Ypsilanti - MAP,http://maps.google.com/maps?q=Lincoln+Baseball+7425+Willis+Road++Ypsilanti%2c+MI+
Coldwater High School (Coldwater @ Borden Field) - MAP,http://maps.google.com/maps?q=Coldwater+High+School+275+N+Fremont+St++Coldwater%2c+Mi+0
Borden Field  Coldwater - MAP,http://maps.google.com/maps?q=Borden+Field++Coldwater+275+North+Freemont+St++Coldwater%2c+MI+49036
James Gulliver Field - Baseball - Allen Park - MAP,http://maps.google.com/maps?q=James+Gulliver+Field+-+Baseball+18401Champaign++Allen+Park%2c+MI+
Stevenson High School - Sterling Heights - MAP,http://maps.google.com/maps?q=Stevenson+High+School+39701+Dodge+Park+Rd.++Sterling+Heights%2c+MI+
Grosse Pointe North - MAP,http://maps.google.com/maps?q=Grosse+Pointe+North+707+Vernier++Grosse+Pointe%2c+MI+48236
Troy Athens High School - Baseball - MAP,http://maps.google.com/maps?q=Troy+Athens+High+School+-+Baseball+4333+John+R++Troy%2c+MI+48085
Wayne State University (Baseball Diamond) - Detroit - MAP,http://maps.google.com/maps?q=Wayne+State+University+42+W+Warren+Ave.++Detroit%2c+MI+48202
Saginaw Heritage - MAP,http://maps.google.com/maps?q=Saginaw+Heritage+3465+North+Center+Rd++Saginaw%2c+MI+48603
Portage Northern HS - Baseball - MAP,http://maps.google.com/maps?q=Portage+Northern+HS+-+Baseball+1000+Idaho+Street++Portage%2c+MI+
Jenison High School - Baseball - MAP,http://maps.google.com/maps?q=Jenison+High+School+-+Baseball+2140+Bauer+Road++Jenison%2c+MI+
Cornerstone U. (Baseball Field) - Grand Rapids - MAP,http://maps.google.com/maps?q=Cornerstone+U.+1001+East+Beltline+NE++Grand+Rapids%2c+Mi+49525
