NCES School ID,State School ID,NCES District ID,State District ID,Low Grade,High Grade,School Name,District,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code,Locale,Charter,Magnet,Title I School,Title 1 School Wide,Students,Teachers,Student Teacher Ratio,Free Lunch,Reduced Lunch,Directly Certified
262016008622,MI-41140-02449,2620160,MI-41140,09,12,54th Street Academy,Kelloggsville Public Schools,Kent County,173 54TH ST SW,GRAND RAPIDS,MI,49548,5611,(616)531-7433,21,Suburb: Large,No,No,Yes,Yes,66.00000,2.40000,27.5000000,54.00000,2.00000,–
260033004509,MI-56903-09696,2600330,MI-56903,09,12,Academic and Career Education Academy,Academic and Career Education Academy,Midland County,884 EAST ISABELLA RD,MIDLAND,MI,48640,8326,(989)631-5202,41,Rural: Fringe,Yes,No,Yes,Yes,100.00000,5.52000,18.1200000,92.00000,4.00000,–
260858008255,MI-50010-00896,2608580,MI-50010,KG,12,Academy 21,Center Line Public Schools,Macomb County,11300 ENGLEMAN RD,WARREN,MI,48089,3535,(586)510-2062,12,City: Midsize,No,Yes,Yes,Yes,287.00000,13.73000,20.9000000,212.00000,15.00000,–
260016601035,MI-82921-08435,2600166,MI-82921,06,12,Academy for Business and Technology High School,Academy for Business and Technology,Wayne County,19625 WOOD ST,MELVINDALE,MI,48122,2201,(313)382-3422,21,Suburb: Large,Yes,No,Yes,Yes,281.00000,16.80000,16.7300000,267.00000,2.00000,–
262313008413,MI-53010-01355,2623130,MI-53010,11,12,Academy of Science Math and Technology Early College High Sc,Mason County Central Schools,Mason County,2130 W US 10,Ludington,MI,49431,,(231)843-5935,41,Rural: Fringe,No,No,Yes,No,52.00000,1.00000,52.0000000,19.00000,6.00000,–
260110308803,MI-82015-03276,2601103,MI-82015,04,12,Academy of The Americas High School,Detroit Public Schools Community District,Wayne County,5680 KONKEL ST,DETROIT,MI,48210,3267,(313)335-1310,11,City: Large,No,No,Yes,Yes,653.00000,37.00000,17.6500000,440.00000,11.00000,–
263597008491,MI-25210-01915,2635970,MI-25210,KG,12,Academy West Alternative Education,Westwood Heights Schools,Genesee County,3400 N JENNINGS RD,FLINT,MI,48504,1757,(810)591-0123,21,Suburb: Large,No,No,Yes,Yes,572.00000,10.00000,57.2000000,498.00000,9.00000,–
263663008789,MI-81020-03000,2636630,MI-81020,06,12,ACCE,Ypsilanti Community Schools,Washtenaw County,1076 Ecorse Road,Ypsilanti,MI,48198,,(734)221-1691,21,Suburb: Large,No,Yes,Yes,Yes,187.00000,7.50000,24.9300000,158.00000,4.00000,–
261452002043,MI-25010-05950,2614520,MI-25010,07,12,Accelerated Learning Academy,Flint School District of the City of,Genesee County,1602 S AVERILL AVE,FLINT,MI,48503,4438,(810)760-1805,13,City: Small,No,No,Yes,Yes,158.00000,10.20000,15.4900000,151.00000,1.00000,–
263582008977,MI-63160-03871,2635820,MI-63160,09,12,ACE,West Bloomfield School District,Oakland County,7071 ORCHARD LAKE RD,W BLOOMFIELD,MI,48322,3682,(248)865-6441,21,Suburb: Large,No,No,No,†,32.00000,0.00000,†,18.00000,0.00000,–
260273001594,MI-04010-07361,2602730,MI-04010,07,12,ACES Academy,Alpena Public Schools,Alpena County,3303 S THIRD AVE,ALPENA,MI,49707,3307,(989)358-5170,33,Town: Remote,No,No,Yes,Yes,61.00000,1.17000,52.1400000,41.00000,1.00000,–
262496001591,MI-38130-07973,2624960,MI-38130,09,12,Ackerson Lake Community Education,Napoleon Community Schools,Jackson County,PO Box 308,Napoleon,MI,49261,0308,(517)905-5712,41,Rural: Fringe,No,No,Yes,Yes,76.00000,2.50000,30.4000000,52.00000,3.00000,–
263663008476,MI-81020-01925,2636630,MI-81020,09,12,ACTech High School,Ypsilanti Community Schools,Washtenaw County,2095 Packard Road,YPSILANTI,MI,48197,1846,(734)221-1001,21,Suburb: Large,No,No,Yes,Yes,426.00000,32.00000,13.3100000,318.00000,8.00000,–
260000603854,MI-27010-00003,2600006,MI-27010,07,12,AD Johnston JrSr High School,Bessemer Area School District,Gogebic County,100 WEST LEAD ST,BESSEMER,MI,49911,1007,(906)667-0413,42,Rural: Distant,No,No,Yes,Yes,177.00000,12.48000,14.1800000,89.00000,8.00000,–
