,field,level,foul_ft,fop_ft,foul_pct,h_lat,h_long,match
0,Okemos HS,high_school,28633.0,88727.0,24.4,-84.4558367,42.6867582,"[('Okemos HS', 100)]"
1,Lansing Catholic HS,high_school,18993.0,88398.0,17.69,-84.5277248,42.7383015,"[('Lansing Catholic HS', 100)]"
4,East Lansing HS,high_school,27525.0,90686.0,23.28,-84.4566176,42.7411198,"[('East Lansing HS', 100)]"
5,Bath HS,high_school,17556.0,102733.0,14.59,-84.4399108,42.8148489,"[('Bath HS', 100)]"
6,Lansing Lugnuts ,high_school,22817.0,104906.0,17.86,-84.5456412,42.734657,"[('East Lansing HS', 67)]"
7,Haslett HS,high_school,31262.0,86208.0,26.61,-84.405957,42.7419779,"[('Haslett HS', 100)]"
8,Mason HS,high_school,25325.0,97372.0,20.64,-84.4333884,42.5705632,"[('Mason HS', 100)]"
9,Lansing - Waverly HS,high_school,31145.0,88957.0,25.93,-84.6247929,42.7313098,"[('Lansing - Waverly HS', 100)]"
10,Northwood University ,high_school,32911.0,107994.0,23.36,-84.2801914,43.6331659,"[('Detroit - University Prep Academy', 67)]"
15,Calvin University ,high_school,39207.0,107778.0,26.67,-85.5926546,42.9346782,"[('Detroit - University Prep Academy', 74)]"
17,Mackinaw City HS,high_school,18976.0,70110.0,21.3,-84.7433419,45.7797649,"[('Mackinaw City HS', 100)]"
19,Adrian Lenawee Christian HS,high_school,23325.0,89207.0,20.73,-84.0837469,41.9087669,"[('Adrian HS', 100)]"
20,Airport High School - Carleton,high_school,21262.0,88074.0,19.45,-83.3765218,42.0373919,"[('Carleton - Airport HS', 91)]"
21,Aldai Stevenson High School,high_school,20786.0,88749.0,18.98,-83.0144563,42.5871203,"[('Livonia - Stevenson HS', 62)]"
22,Algonac High School,high_school,30427.0,83362.0,26.74,-82.5823976,42.6286202,"[('Algonac HS', 82)]"
23,Allen Park High School,high_school,21933.0,94655.0,18.81,-83.2273711,42.2455509,"[('Allen Park HS', 87)]"
24,Antrim County -Touth - Lakeside Field,high_school,106926.0,21536.0,83.24,-85.2806507,44.8649571,"[('Iron River - West Iron County HS', 51)]"
25,Bad Axe HS,high_school,38845.0,86274.0,31.05,-83.0174535,43.8055552,"[('Bad Axe HS', 100)]"
26,Bangor High School,high_school,39832.0,103637.0,27.76,-86.1259456,42.3056833,"[('Bangor HS', 80)]"
27,Battle Creek lakeview HS,high_school,39069.0,95422.0,29.05,-85.2302768,42.2937644,"[('Battle Creek - Lakeview HS', 100)]"
28,Bay City All Saints HS,high_school,25766.0,87055.0,22.84,-83.8962351,43.5560867,"[('Bay City - All Saints Central HS', 100)]"
30,Bay City john Glen HS,high_school,25783.0,102941.0,20.03,-83.9280232,43.6193164,"[('Bay City - John Glenn HS', 98)]"
31,Beal City HS,high_school,25698.0,89488.0,22.31,-84.9127615,43.6741539,"[('Mt Pleasant - Beal City HS', 100)]"
32,Blissfield HS,high_school,20396.0,92349.0,18.09,-83.8684514,41.8222438,"[('Blissfield HS', 100)]"
36,Breckenridge HS,high_school,22445.0,82497.0,21.39,-84.4724901,43.413141,"[('Breckenridge HS', 100)]"
37,Bridgman HS,high_school,29299.0,94095.0,23.74,-86.5447454,41.9367931,"[('Bridgman HS', 100)]"
38,Bronson high School,high_school,25822.0,90957.0,22.11,-85.1894145,41.865696,"[('Bronson HS', 82)]"
39,Brownstone Woodhaven HS,high_school,35410.0,85450.0,29.3,-83.2698289,42.121292,"[('Brownstown Township - Woodhaven HS', 80)]"
40,Buchanan HS,high_school,22660.0,88476.0,20.39,-86.3709785,41.8239409,"[('Buchanan HS', 100)]"
41,Bullock Creek HS - Midland,high_school,29073.0,99260.0,22.65,-84.2944185,43.5717901,"[('Midland HS', 100)]"
42,Camden-Frontier High School,high_school,30123.0,76954.0,28.13,-84.7066398,41.7801468,"[('Camden-Frontier HS', 91)]"
43,Canton High School,high_school,96250.0,34332.0,73.71,-83.4915152,42.3441818,"[('Canton HS', 80)]"
44,Centreville High School,high_school,30617.0,92985.0,24.77,-85.5231062,41.9149684,"[('Centreville HS', 88)]"
45,Charlotte High School,high_school,35679.0,83501.0,29.94,-84.8551165,42.5604691,"[('Charlotte HS', 86)]"
46,Cheboygan HS,high_school,28930.0,94239.0,23.49,-84.4971284,45.6300425,"[('Cheboygan Area HS', 100)]"
47,Chesaning Union HS,high_school,42709.0,93437.0,31.37,-84.1253816,43.1946837,"[('Chesaning HS', 100)]"
48,Chesaning Union HS - Field 2,high_school,34692.0,83266.0,29.41,-84.1254496,43.1935652,"[('Chesaning HS', 100)]"
49,Clare High School,high_school,19721.0,93774.0,17.38,-84.7809457,43.8248348,"[('Clare HS', 77)]"
50,Clarenceville HS - Livonia,high_school,19166.0,82438.0,18.86,-83.3393709,42.4363394,"[('Livonia - Clarenceville HS', 100)]"
51,Clinton High School,high_school,23742.0,91577.0,20.59,-83.9647212,42.0745982,"[('Clinton HS', 82)]"
52,CMU ,high_school,22847.0,108213.0,17.43,-84.7794958,43.5764696,"[('Coloma HS', 33)]"
54,Commerica Park - Tigers ,high_school,28155.0,113641.0,19.86,-83.0489808,42.3394579,"[('Comstock Park HS', 59)]"
55,Concord High School,high_school,18588.0,82374.0,18.41,-84.6411052,42.1722524,"[('Concord HS', 82)]"
56,Coors Field - Colorado ,high_school,24746.0,116886.0,17.47,-104.9942091,39.7557176,"[('White Cloud HS', 53)]"
57,Cornerstone Baseball Field ,high_school,21212.0,103016.0,17.08,-85.5975511,42.9811225,"[('Detroit - Cornerstone Health & Technology HS', 59)]"
58,Cranbrook High School,high_school,33362.0,84811.0,28.23,-83.2546733,42.5730964,"[('Bloomfield Hills - Cranbrook Kingswood HS', 60)]"
59,Dansville HS,high_school,38155.0,101273.0,27.37,-84.3074712,42.5514233,"[('Dansville HS', 100)]"
60,Davenport University ,high_school,30259.0,111118.0,21.4,-85.5160374,42.8425628,"[('Detroit - University Prep Academy', 67)]"
61,Decatur High School,high_school,18841.0,93431.0,16.78,-85.9816872,42.1120337,"[('Decatur HS', 82)]"
63,Deckerville HS,high_school,33690.0,80382.0,29.53,-82.7305137,43.530507,"[('Deckerville Community HS', 100)]"
64,Detroit Catholic Central HS,high_school,18311.0,96537.0,15.94,-83.5434495,42.488053,"[('Novi - Detroit Catholic Central HS', 100)]"
65,Detroit Catholic Central HS - Field 2,high_school,33484.0,90188.0,27.07,-83.5440067,42.4880269,"[('Detroit Central HS', 100)]"
66,Detroit Country Day HS,high_school,17029.0,91589.0,15.68,-83.2646187,42.513942,"[('Beverly Hills - Detroit Country Day HS', 100)]"
67,Dewitt High School,high_school,20441.0,84827.0,19.42,-84.5810277,42.8262729,"[('DeWitt HS', 80)]"
68,Dow Diamond (Midland) ,high_school,29101.0,106468.0,21.47,-84.2371778,43.609054,"[('Midland HS', 82)]"
69,Eastern High School,high_school,38329.0,86898.0,30.61,-84.5355748,42.7372929,"[('Flint - Michigan School For The Deaf', 60)]"
71,Eaton Rapid HS Field 2,high_school,34107.0,85396.0,28.54,-84.6350135,42.5110331,"[('Eaton Rapids HS', 76)]"
72,Eaton Rapids High School,high_school,37223.0,101498.0,26.83,-84.635145,42.5118192,"[('Eaton Rapids HS', 89)]"
73,Ecorse High School,high_school,29411.0,78788.0,27.18,-83.149694,42.2528271,"[('Ecorse HS', 80)]"
74,Edwardsburg HS,high_school,30166.0,85216.0,26.14,-86.091742,41.7896252,"[('Edwardsburg HS', 100)]"
75,EMU ,high_school,17041.0,109553.0,13.46,-83.6487234,42.2573876,"[('Frankenmuth HS', 35)]"
76,Essexville Garber HS,high_school,25204.0,91284.0,21.64,-83.8341762,43.6056341,"[('Essexville - Garber HS', 100)]"
77,Everett High School,high_school,36876.0,93448.0,28.3,-84.5561434,42.6905115,"[('Lansing - Everett HS', 59)]"
78,Fankfort H S,high_school,25913.0,89205.0,22.51,-86.225851,44.634408,"[('Frankfort HS', 92)]"
79,Fenway Park - Boston ,high_school,17744.0,102745.0,14.73,-71.0977733,42.3462476,"[('Comstock Park HS', 59)]"
80,Fife Lake Forest Area HS,high_school,27263.0,79750.0,25.48,-85.3083856,44.6036765,"[('Fife Lake - Forest Area HS', 100)]"
81,Forrest Hills Eastern High School,high_school,34528.0,98244.0,26.01,-85.5286469,43.0058274,"[('Ada - Forest Hills Eastern HS', 77)]"
82,Fowlerville HS,high_school,19823.0,94791.0,17.3,-84.0655802,42.6688057,"[('Fowlerville HS', 100)]"
83,Gabriel Richard HS,high_school,22712.0,92645.0,19.69,-83.2089242,42.1817944,"[('Ann Arbor - Father Gabriel Richard HS', 100)]"
84,Gainey Athletic Complex - Field 1 ,high_school,36044.0,104042.0,25.73,-85.571371,42.930952,"[('Chesterfield - Austin Catholic HS', 52)]"
85,Gainey Athletic Complex - Field 2 ,high_school,36768.0,104571.0,26.01,-85.570642,42.9301094,"[('Chesterfield - Austin Catholic HS', 52)]"
86,Garber High School Essexville,high_school,25668.0,91404.0,21.92,-83.8341769,43.6056339,"[('Essexville - Garber HS', 92)]"
87,Genesee HS,high_school,27356.0,82620.0,24.87,-83.6204879,43.1165028,"[('Genesee HS', 100)]"
88,Gladstone High School,high_school,22978.0,84312.0,21.42,-87.0388936,45.85971000000001,"[('Gladstone HS', 86)]"
90,Gladwin High School,high_school,26731.0,93477.0,22.24,-84.4919148,43.9902464,"[('Gladwin HS', 82)]"
92,Goodrich HS,high_school,33688.0,91640.0,26.88,-83.5294795,42.9168576,"[('Goodrich HS', 100)]"
93,GR West Catholic HS,high_school,23866.0,94829.0,20.11,-85.712159,42.9943182,"[('Grand Rapids - West Catholic HS', 91)]"
95,Grand Blanc HS,high_school,26522.0,93196.0,22.15,-83.6283145,42.9187188,"[('Grand Blanc HS', 100)]"
96,Grand Ledge Bridge St (10u),high_school,11531.0,37086.0,23.72,-84.7448975,42.7543876,"[('Grand Ledge HS', 88)]"
97,Grand Ledge Hayes (12u),high_school,8452.0,43893.0,16.15,-84.7006386,42.7518189,"[('Grand Ledge HS', 88)]"
98,Grand Ledge High School,high_school,28836.0,79361.0,26.65,-84.7539894,42.7472938,"[('Grand Ledge HS', 88)]"
99,Grand Ledge JV,high_school,23247.0,70057.0,24.92,-84.7588678,42.7462458,"[('Grand Ledge HS', 88)]"
100,Gross Pointe North High School,high_school,19075.0,80421.0,19.17,-82.8911176,42.4379668,"[('Grosse Pointe North HS', 81)]"
101,Gross Pointe South High School,high_school,21527.0,83785.0,20.44,-82.9025228,42.3918844,"[('Grosse Pointe North HS', 73)]"
102,Grosse Ile High School,high_school,36064.0,93917.0,27.75,-83.1458188,42.1340427,"[('Grosse Ile HS', 87)]"
103,GVSU ,high_school,35024.0,102527.0,25.46,-85.8933881,42.9654715,"[('Vicksburg HS', 38)]"
104,Hamtramck High School,high_school,14857.0,81704.0,15.39,-83.0476997,42.3930022,"[('Hamtramck HS', 86)]"
107,Hancock HS,high_school,34261.0,89051.0,27.78,-88.608008,47.13566610000001,"[('Hancock HS', 100)]"
108,Harbor Springs High School,high_school,21382.0,79731.0,21.15,-84.9734496,45.434179,"[('Harbor Springs HS', 90)]"
111,Hemlock HS,high_school,24830.0,87160.0,22.17,-84.2333581,43.4238904,"[('Hemlock HS', 100)]"
112,Hillman HS,high_school,28247.0,89762.0,23.94,-83.9033908,45.0441796,"[('Hillman HS', 100)]"
115,Holland Christian High School,high_school,32779.0,95289.0,25.59,-86.1328152,42.7619603,"[('Holland Christian HS', 92)]"
116,Holt High School,high_school,38310.0,95406.0,28.65,-84.5799503,42.6367415,"[('Holt HS', 73)]"
117,Holt HS - Practice field,high_school,39740.0,98054.0,28.84,-84.5796448,42.6372277,"[('Holt HS', 100)]"
118,Holton High School,high_school,28877.0,95912.0,23.14,-86.0881718,43.4149801,"[('Holton HS', 80)]"
119,Homer HS,high_school,20835.0,71860.0,22.48,-84.8138072,42.1386292,"[('Homer HS', 100)]"
120,Homer Stryker Field - Kalamazoo (Growlers) ,high_school,28704.0,99712.0,22.35,-85.5621405,42.2904771,"[('Homer HS', 77)]"
122,Houghton High School,high_school,32578.0,92794.0,25.99,-88.5639378,47.10877110000001,"[('Houghton HS', 84)]"
123,Howell High School,high_school,21114.0,92971.0,18.51,-83.9426426,42.6179456,"[('Howell HS', 80)]"
124,Hudson high School,high_school,31947.0,88333.0,26.56,-84.3444884,41.8638399,"[('Jackson Christian School', 62)]"
125,Hudsonville Christian HS,high_school,33791.0,97983.0,25.64,-85.8456256,42.8840691,"[('Hudsonville HS', 100)]"
126,Hudsonville High School,high_school,30487.0,96953.0,23.92,-85.8754492,42.9134789,"[('Hudsonville HS', 88)]"
127,Hudsonville HS - Field 2,high_school,31075.0,93415.0,24.96,-85.8768694,42.9142415,"[('Hudsonville HS', 100)]"
128,Huron High School,high_school,27079.0,82445.0,24.72,-83.3501649,42.1258421,"[('Port Huron HS', 60)]"
129,Indian River Inland Lakes HS,high_school,14836.0,85638.0,14.77,-84.6358958,45.3838713,"[('Indian River - Inland Lakes HS', 100)]"
130,Ionia High School,high_school,30676.0,88463.0,25.75,-85.0645777,42.9523427,"[('Ionia HS', 77)]"
131,Ionia Practice Field,high_school,29381.0,81817.0,26.42,-85.0646534,42.9533573,"[('Ionia HS', 77)]"
132,Jackson Lumen Christi HS,high_school,20498.0,92032.0,18.22,-84.4602665,42.2219816,"[('Jackson HS', 100)]"
133,Jenison High School,high_school,31316.0,98281.0,24.16,-85.837665,42.917629,"[('Jenison HS', 82)]"
134,Jimmy Johns Stadium (Utica) ,high_school,35340.0,95356.0,27.04,-83.0400041,42.6261647,"[('Utica HS', 77)]"
135,Kalamazoo Christian high school,high_school,23934.0,92206.0,20.61,-85.6134503,42.273406,"[('Kalamazoo Christian HS', 93)]"
137,Kalamazoo Hackett Prep High School,high_school,21937.0,87095.0,20.12,-85.5965558,42.2474483,"[('Kalamazoo - Hackett Catholic Prep', 83)]"
138,Kenowa Hills High School,high_school,37758.0,93310.0,28.81,-85.7475037,43.0343372,"[('Grand Rapids - Kenowa Hills HS', 67)]"
139,Kingston high School,high_school,20688.0,74026.0,21.84,-83.1919884,43.4105296,"[('Kingston HS', 84)]"
