mhsaa_name,private_name,score
Novi - Detroit Catholic Central HS,Novi - Catholic Central HS,86
Bloomfield Hills HS,Bloomfield Hills - Marian HS,84
Farmington Hills - Mercy HS,Farmington Hills - Mercy HS,100
Warren - De La Salle Collegiate,Warren - DeLaSalle Collegiate HS,92
Grand Rapids - Ottawa Hills HS,Grand Rapids - Potters House HS,77
Allen Park HS,Allen Park - Cabrini HS,76
Orchard Lake - St Mary Preparatory HS,Orchard Lake Village - St Mary's Preparatory School,76
Bloomfield Hills - Brother Rice HS,Bloomfield Hills - Brother Rice HS,100
Dearborn - Divine Child HS,Dearborn - Divine Child HS,100
Grand Rapids Christian HS,Grand Rapids - Covenant Christian HS,85
Bloomfield Hills - Marian HS,Bloomfield Hills - Marian HS,100
Beverly Hills - Detroit Country Day HS,Beverly Hills - Detroit Country Day School,92
Pontiac - Notre Dame Preparatory School,Pontiac - Notre Dame Preparatory School,100
Byron Center - South Christian HS,Byron Center - South Christian HS,100
Hudsonville - Unity Christian HS,Hudsonville - Unity Christian HS,100
Detroit - Frontier International Academy,Detroit - International Islamic Academy,77
Warren - Regina HS,Warren - Regina HS,100
Dearborn Heights - Star International Academy,Detroit - International Islamic Academy,78
Grand Rapids - Covenant Christian HS,Grand Rapids - Covenant Christian HS,100
Monroe - St Mary Catholic Central HS,Monroe - St. Mary Catholic Central HS,100
Ann Arbor - Greenhills HS,Ann Arbor - Greenhills School,88
Detroit Cristo Rey HS,Detroit - Detroit Cristo Rey HS,84
Madison Heights - Bishop Foley Catholic HS,Madison Heights - Bishop Foley Catholic HS,100
Grand Rapids - NorthPointe Christian HS,Grand Rapids - NorthPointe Christian Middle/ HS,91
Grandville - Calvin Christian HS,Grandville - Calvin Christian HS,100
Hope of Detroit Academy HS,Detroit - Rosa Parks Academy,77
Muskegon - Western Michigan Christian HS,Norton Shores - Western Michigan Christian HS,79
Riverview - Gabriel Richard HS,Riverview - Gabriel Richard Catholic HS,86
Royal Oak - Shrine Catholic HS,Royal Oak - Shrine Catholic HS,100
Kalamazoo Christian HS,Kalamazoo - Kalamazoo Christian HS,81
Kalamazoo - Hackett Catholic Prep,Kalamazoo - Hackett Catholic Central HS,76
Wyoming - The Potter's House Christian HS,Wyoming - Potters House HS,76
Detroit - Universal Academy,Detroit - Al-Ihsan Academy,78
Allen Park - Cabrini HS,Allen Park - Cabrini HS,100
Saginaw - Nouvel Catholic Central HS,Novi - Catholic Central HS,83
Adrian - Lenawee Christian HS,Adrian - Lenawee Christian School,83
Lutheran HS Westland,Westland - Lutheran HS-Westland,82
Saginaw - Michigan Lutheran Seminary,Saginaw - Michigan Lutheran Seminary,100
Canton - Plymouth Christian Academy,Canton - Plymouth Christian Academy,100
Detroit International Academy,Detroit - International Islamic Academy,88
Bloomfield Hills - Academy Of The Sacred Heart,Bloomfield Hills - Academy Of The Sacred Heart,100
West Bloomfield - Frankel Jewish Academy,West Bloomfield - Frankel Jewish Academy,100
Muskegon Catholic Central HS,Novi - Catholic Central HS,81
Grand Rapids - Hope Academy of West Michigan HS,Grand Rapids - Lake Michigan Academy,78
Wyoming - Tri-unity Christian HS,Wyoming - Tri-Unity Christian School,91
Byron Center - Zion Christian HS,Byron Center - South Christian HS,89
Hillsdale Academy,Hillsdale - Hillsdale Academy,77
Traverse City Christian School,Traverse City - Traverse City Christian School,81
St Joseph - Lake Michigan Catholic HS,St. Joseph - Lake Michigan Catholic School,86
Gaylord - St Mary Cathedral HS,Gaylord - St. Mary Cathedral School,83
Novi Christian Academy,Novi - Novi Christian Academy,90
Westland - Huron Valley Lutheran HS,Westland - Huron Valley Lutheran HS,100
Kalamazoo - Heritage Christian Academy,Kalamazoo - Heritage Christian Academy,100
McBain - Northern Michigan Christian HS,McBain - Northern Michigan Christian School,87
Jackson Christian School,Novi - Novi Christian School,76
Brighton - Livingston Christian Schools,Brighton - Livingston Christian Schools,100
Hudsonville - Libertas Christian School,Hudsonville - Libertas Christian School,100
Manistee Catholic Central HS,Novi - Catholic Central HS,85
Marcellus - Howardsville Christian School,Marcellus - Howardsville Christian School,100
Harbor Springs - Harbor Light Christian HS,Harbor Springs - Harbor Light Christian School,88
Glen Arbor - The Leelanau School,Glen Arbor - The Leelanau School,100
Burton - Faithway Christian Academy,Burton - Faithway Christian School,77
Burt Lake - Northern Michigan Christian Academy,Burt Lake - Northern Michigan Christian Academy,100
Lansing - New Covenant Christian HS,Lansing - New Covenant Christian School,86
