School,conference
Alpena High School[2],Big North Conference
Cadillac High School[3],Big North Conference
Gaylord High School[4],Big North Conference
Petoskey High School[5],Big North Conference
Traverse City Central High School[6],Big North Conference
Traverse City West Senior High School[7],Big North Conference
DeWitt,Capital Area Activities Conference
East Lansing ,Capital Area Activities Conference
Grand Ledge ,Capital Area Activities Conference
Holt ,Capital Area Activities Conference
Lansing Everett ,Capital Area Activities Conference
Lansing Waverly ,Capital Area Activities Conference
Okemos ,Capital Area Activities Conference
Fowlerville,Capital Area Activities Conference
Haslett ,Capital Area Activities Conference
Lansing Eastern ,Capital Area Activities Conference
Mason ,Capital Area Activities Conference
St. Johns ,Capital Area Activities Conference
Williamston ,Capital Area Activities Conference
Charlotte ,Capital Area Activities Conference
Eaton Rapids ,Capital Area Activities Conference
Ionia ,Capital Area Activities Conference
Lansing Catholic ,Capital Area Activities Conference
Lansing Sexton ,Capital Area Activities Conference
Portland ,Capital Area Activities Conference
Allen Park Cabrini,Catholic High School League
Ann Arbor Father Gabriel Richard,Catholic High School League
Ann Arbor Greenhills,Catholic High School League
Bloomfield Hills Brother Rice,Catholic High School League
Bloomfield Hills Academy of the Sacred Heart,Catholic High School League
Bloomfield Hills Cranbrook-Kingswood,Catholic High School League
Bloomfield Hills Marian,Catholic High School League
Clarkston Everest Collegiate,Catholic High School League
Dearborn Divine Child,Catholic High School League
Detroit Catholic Central,Catholic High School League
Detroit Cristo Rey,Catholic High School League
Detroit Loyola,Catholic High School League
University of Detroit Jesuit,Catholic High School League
Farmington Hills Mercy,Catholic High School League
Grosse Pointe Woods University Liggett,Catholic High School League
Macomb Austin Catholic,Catholic High School League
Macomb Lutheran North,Catholic High School League
Madison Heights Bishop Foley Catholic,Catholic High School League
Marine City Cardinal Mooney Catholic,Catholic High School League
Orchard Lake St. Mary's Preparatory,Catholic High School League
Riverview Gabriel Richard,Catholic High School League
Royal Oak Shrine Catholic,Catholic High School League
Toledo Central Catholic,Catholic High School League
Toledo Notre Dame Academy,Catholic High School League
Toledo St. Francis de Sales,Catholic High School League
Toledo St. John’s Jesuit,Catholic High School League
Toledo St. Ursula Academy,Catholic High School League
Warren De La Salle,Catholic High School League
Warren Regina,Catholic High School League
Waterford Our Lady of the Lakes,Catholic High School League
West Bloomfield Frankel Jewish Academy,Catholic High School League
Wixom St. Catherine of Siena Academy,Catholic High School League
Detroit Ben Carson,Detroit Public School League
Detroit Cass Tech,Detroit Public School League
Detroit Central Collegiate,Detroit Public School League
Detroit Cody,Detroit Public School League
Detroit Collegiate Prep,Detroit Public School League
Detroit Communication & Media Arts,Detroit Public School League
Detroit Davis Aerospace Tech,Detroit Public School League
Detroit Delta Prep,Detroit Public School League
Detroit Denby,Detroit Public School League
Detroit Douglass,Detroit Public School League
Detroit East English,Detroit Public School League
Detroit Edison Public School Academy,Detroit Public School League
Detroit Henry Ford,Detroit Public School League
Detroit International Academy,Detroit Public School League
Detroit Martin Luther King,Detroit Public School League
Detroit Mumford,Detroit Public School League
Detroit Osborn,Detroit Public School League
Detroit Pershing,Detroit Public School League
Detroit Renaissance,Detroit Public School League
Detroit School of Arts,Detroit Public School League
Detroit Southeastern,Detroit Public School League
Detroit West Side Academy,Detroit Public School League
Detroit Western International,Detroit Public School League
Allen Park ,Downriver League
Dearborn Edsel Ford ,Downriver League
Gibraltar Carlson ,Downriver League
Lincoln Park ,Downriver League
Southgate Anderson ,Downriver League
Taylor ,Downriver League
Trenton ,Downriver League
Woodhaven ,Downriver League
Wyandotte Roosevelt ,Downriver League
Fenton,Flint Metro League
Flint Kearsley,Flint Metro League
Flushing,Flint Metro League
Holly,Flint Metro League
Linden,Flint Metro League
Swartz Creek,Flint Metro League
Swartz Creek,Flint Metro League
Ortonville Brandon,Flint Metro League
Clio,Flint Metro League
Owosso,Flint Metro League
Goodrich,Flint Metro League
Corunna,Flint Metro League
Lake Fenton,Flint Metro League
Brighton ,Kensington Lakes Activities Association
Canton ,Kensington Lakes Activities Association
Hartland ,Kensington Lakes Activities Association
Howell ,Kensington Lakes Activities Association
Northville ,Kensington Lakes Activities Association
Novi ,Kensington Lakes Activities Association
Plymouth ,Kensington Lakes Activities Association
Salem ,Kensington Lakes Activities Association
Belleville ,Kensington Lakes Activities Association
Dearborn ,Kensington Lakes Activities Association
Dearborn Fordson ,Kensington Lakes Activities Association
Livonia Churchill ,Kensington Lakes Activities Association
Livonia Franklin ,Kensington Lakes Activities Association
Livonia Stevenson s,Kensington Lakes Activities Association
Wayne Memorial ,Kensington Lakes Activities Association
Westland Glenn ,Kensington Lakes Activities Association
Clarkston,Oakland Activities Association
Lake Orion,Oakland Activities Association
Pontiac Northern,Oakland Activities Association
Waterford Kettering,Oakland Activities Association
Waterford Mott,Oakland Activities Association
Birmingham Groves,Oakland Activities Association
Bloomfield Hills Lahser,Oakland Activities Association
Rochester,Oakland Activities Association
Rochester Adams,Oakland Activities Association
Royal Oak Dondero,Oakland Activities Association
Southfield-Lathrup,Oakland Activities Association
Troy Athens,Oakland Activities Association
West Bloomfield,Oakland Activities Association
Berkley,Southeastern Michigan Association
Birmingham Seaholm,Southeastern Michigan Association
Bloomfield Hills Andover,Southeastern Michigan Association
Ferndale,Southeastern Michigan Association
Hazel Park,Southeastern Michigan Association
Royal Oak Kimball,Southeastern Michigan Association
Southfield,Southeastern Michigan Association
Troy,Southeastern Michigan Association
Ortonville Brandon,Oakland Activities Association
Allendale,Ottawa-Kent Conference
Belding,Ottawa-Kent Conference
Byron Center,Ottawa-Kent Conference
Caledonia,Ottawa-Kent Conference
Cedar Springs,Ottawa-Kent Conference
Comstock Park,Ottawa-Kent Conference
Coopersville,Ottawa-Kent Conference
East Grand Rapids,Ottawa-Kent Conference
East Kentwood,Ottawa-Kent Conference
Forest Hills Central,Ottawa-Kent Conference
Forest Hills Eastern,Ottawa-Kent Conference
Forest Hills Northern,Ottawa-Kent Conference
Fruitport,Ottawa-Kent Conference
Godfrey-Lee,Ottawa-Kent Conference
Godwin Heights,Ottawa-Kent Conference
Grand Rapids Catholic Central,Ottawa-Kent Conference
Grand Rapids Christian,Ottawa-Kent Conference
Grand Rapids Ottawa Hills,Ottawa-Kent Conference
Grand Rapids Union,Ottawa-Kent Conference
Grand Rapids West Catholic,Ottawa-Kent Conference
Grand Haven,Ottawa-Kent Conference
Grandville,Ottawa-Kent Conference
Grandville Calvin Christian,Ottawa-Kent Conference
Greenville,Ottawa-Kent Conference
Hamilton,Ottawa-Kent Conference
Holland,Ottawa-Kent Conference
Holland Christian,Ottawa-Kent Conference
Holland West Ottawa,Ottawa-Kent Conference
Hopkins,Ottawa-Kent Conference
Hudsonville,Ottawa-Kent Conference
Hudsonville Unity Christian,Ottawa-Kent Conference
Jenison,Ottawa-Kent Conference
Kelloggsville,Ottawa-Kent Conference
Kenowa Hills,Ottawa-Kent Conference
Lowell,Ottawa-Kent Conference
Middleville Thornapple Kellogg,Ottawa-Kent Conference
Muskegon,Ottawa-Kent Conference
Muskegon Mona Shores,Ottawa-Kent Conference
Muskegon Reeths-Puffer,Ottawa-Kent Conference
Northview,Ottawa-Kent Conference
Rockford,Ottawa-Kent Conference
South Christian,Ottawa-Kent Conference
Sparta,Ottawa-Kent Conference
Spring Lake,Ottawa-Kent Conference
Wayland,Ottawa-Kent Conference
Wyoming,Ottawa-Kent Conference
Zeeland East,Ottawa-Kent Conference
Zeeland West,Ottawa-Kent Conference
Bay City Central,Saginaw Valley League
Bay City Western,Saginaw Valley League
Midland,Saginaw Valley League
Midland Dow,Saginaw Valley League
Mount Pleasant,Saginaw Valley League
Davison,Saginaw Valley League
Flint Carman-Ainsworth,Saginaw Valley League
Grand Blanc,Saginaw Valley League
Lapeer,Saginaw Valley League
Saginaw-Arthur Hill Co-Op,Saginaw Valley League
Saginaw Heritage,Saginaw Valley League
Ann Arbor Huron,Southeastern Conference
Ann Arbor Pioneer,Southeastern Conference
