name,foul,fop,field,home_plate,fop_list,distance,min_distance,max_distance,avg_distance
,"-84.0697145,41.901861,0 -84.0703958,41.9026485,0 -84.07040120000001,41.9026405,0 -84.0701651,41.902367,0 -84.07000549999999,41.9020037,0 -84.0698017,41.9017731,0 -84.069677,41.9017472,0 -84.06939,41.9018859,0 -84.0690172,41.9021944,0 -84.0687221,41.9023371,0 -84.0687248,41.9023461,0 -84.0697145,41.901861,0 ","-84.0697145,41.901861 -84.0687248,41.9023461 -84.0688009,41.9025374 -84.0688384,41.9025973 -84.0688706,41.9026322 -84.0689175,41.9026841 -84.0689766,41.902728 -84.0690208,41.902759 -84.069061,41.9027889 -84.06910929999999,41.9028169 -84.0691683,41.9028448 -84.06923399999999,41.9028718 -84.06929839999999,41.9028907 -84.0693708,41.9029067 -84.06946069999999,41.9029217 -84.0695492,41.9029277 -84.06962830000001,41.9029247 -84.0697222,41.9029237 -84.0698,41.9029097 -84.06992339999999,41.9028837 -84.07000119999999,41.9028588 -84.07009239999999,41.9028189 -84.07015,41.9027829 -84.0702117,41.902743 -84.0702479,41.902712 -84.070319,41.9026472 -84.0703566,41.9026023 -84.0697145,41.901861 ",Adrian College,"41.901861,-84.0697145","[(41.901861, -84.0697145), (41.9023461, -84.0687248), (41.9025374, -84.0688009), (41.9025973, -84.0688384), (41.9026322, -84.0688706), (41.9026841, -84.0689175), (41.902728, -84.0689766), (41.902759, -84.0690208), (41.9027889, -84.069061), (41.9028169, -84.0691093), (41.9028448, -84.0691683), (41.9028718, -84.069234), (41.9028907, -84.0692984), (41.9029067, -84.0693708), (41.9029217, -84.0694607), (41.9029277, -84.0695492), (41.9029247, -84.0696283), (41.9029237, -84.0697222), (41.9029097, -84.0698), (41.9028837, -84.0699234), (41.9028588, -84.0700012), (41.9028189, -84.0700924), (41.9027829, -84.07015), (41.902743, -84.0702117), (41.902712, -84.0702479), (41.9026472, -84.070319), (41.9026023, -84.0703566), (41.901861, -84.0697145)]","[322.24651340920695, 350.1627644801209, 358.99438774197205, 362.98590303718623, 370.19320397545187, 374.39642358610354, 377.8211842877722, 382.07964251699667, 385.33559726396487, 388.1176610279831, 390.8805368418046, 391.95599252901974, 392.38017800753676, 392.65376806868454, 391.3095498138339, 388.3298874944668, 387.2614629446921, 382.8622749481352, 376.99362243371417, 371.8883095939157, 363.91045473688814, 356.2536363861001, 348.7460333364873, 342.4247863652291, 330.3978268550248, 321.7592068190135]",321.7592068190135,392.65376806868454,369.3208003269732
,"-83.37652180000001,42.0373919,0 -83.3765245,42.0382475,0 -83.3765808,42.0382455,0 -83.3766157,42.0382106,0 -83.3766827,42.0382136,0 -83.37667070000001,42.037612,0 -83.3766519,42.037612,0 -83.37664650000001,42.0375034,0 -83.376672,42.0375054,0 -83.3766586,42.0374397,0 -83.37662640000001,42.037364,0 -83.37662640000001,42.0373341,0 -83.3765875,42.0373062,0 -83.37640380000001,42.0373042,0 -83.3762066,42.0372942,0 -83.3753591,42.0373839,0 -83.3753591,42.0374078,0 -83.37652180000001,42.0373919,0 ","-83.37652180000001,42.0373919 -83.3753591,42.0374078 -83.3753483,42.0374699 -83.3753457,42.0375346 -83.3753349,42.0376064 -83.3753349,42.0376791 -83.37535099999999,42.0377418 -83.37537519999999,42.0378026 -83.3754019,42.0378434 -83.3754301,42.0378952 -83.3754758,42.037939 -83.3755079,42.0379709 -83.3755388,42.0380038 -83.3755871,42.0380456 -83.3756353,42.0380845 -83.37568229999999,42.0381253 -83.3757507,42.0381632 -83.375815,42.038202 -83.3759264,42.0382448 -83.3765245,42.0382475 -83.37652180000001,42.0373919 ",Airport High School - Carleton,"42.0373919,-83.37652180000001","[(42.0373919, -83.3765218), (42.0374078, -83.3753591), (42.0374699, -83.3753483), (42.0375346, -83.3753457), (42.0376064, -83.3753349), (42.0376791, -83.3753349), (42.0377418, -83.375351), (42.0378026, -83.3753752), (42.0378434, -83.3754019), (42.0378952, -83.3754301), (42.037939, -83.3754758), (42.0379709, -83.3755079), (42.0380038, -83.3755388), (42.0380456, -83.3755871), (42.0380845, -83.3756353), (42.0381253, -83.3756823), (42.0381632, -83.3757507), (42.038202, -83.375815), (42.0382448, -83.3759264), (42.0382475, -83.3765245), (42.0373919, -83.3765218)]","[315.91322134659237, 320.05855137841684, 323.7043210999865, 331.7734991616125, 338.9943874857664, 342.66684042340864, 345.57626352736975, 345.8734903587247, 348.703058155375, 347.1222838100626, 346.964742148226, 347.89932020687456, 348.17182896775057, 348.85557891588746, 351.340047187619, 350.54677134402743, 352.1623572329877, 350.3781585675567, 311.7952519392294]",311.7952519392294,352.1623572329877,340.4473670135513
,"-83.01445630000001,42.5871203,0 -83.01566459999999,42.5872902,0 -83.01560689999999,42.5871578,0 -83.01556669999999,42.5871578,0 -83.0155372,42.5871539,0 -83.0148023,42.5871095,0 -83.0144227,42.5870295,0 -83.01436510000001,42.5870611,0 -83.01434089999999,42.5871519,0 -83.0143222,42.5872309,0 -83.0143396,42.5872437,0 -83.0142618,42.5872526,0 -83.0142699,42.5872734,0 -83.0142524,42.5873168,0 -83.01428730000001,42.5873326,0 -83.0142578,42.5874353,0 -83.0141156,42.5879724,0 -83.0141666,42.5879803,0 -83.0141921,42.5879942,0 -83.014231,42.5879833,0 -83.01445630000001,42.5871203,0 ","-83.01445630000001,42.5871203 -83.014231,42.5879833 -83.0154809,42.5878857 -83.01566459999999,42.5872902 -83.01445630000001,42.5871203 ",Aldai Stevenson High School,"42.5871203,-83.01445630000001","[(42.5871203, -83.0144563), (42.5879833, -83.014231), (42.5878857, -83.0154809), (42.5872902, -83.0156646), (42.5871203, -83.0144563)]","[320.32024122751784, 392.3661186094849, 331.24227521541474]",320.32024122751784,392.3661186094849,347.9762116841392
,"-82.58239759999999,42.6286202,0 -82.58131539999999,42.6284475,0 -82.5812751,42.6285797,0 -82.5821401,42.6287139,0 -82.5821535,42.6287021,0 -82.5824835,42.6287514,0 -82.5825425,42.6287179,0 -82.5825881,42.6285797,0 -82.5825854,42.628558,0 -82.58261760000001,42.6284594,0 -82.5826417,42.6284534,0 -82.58281340000001,42.6278772,0 -82.5826256,42.6278476,0 -82.58239759999999,42.6286202,0 ","-82.58239759999999,42.6286202 -82.5826256,42.6278476 -82.5824472,42.6278249 -82.5823346,42.6278111 -82.5822649,42.6277933 -82.5821978,42.6277834 -82.5821522,42.6277716 -82.5820932,42.6277598 -82.5820154,42.6277321 -82.58180350000001,42.6277282 -82.5817526,42.627738 -82.5815192,42.6278269 -82.58145210000001,42.6279985 -82.58131539999999,42.6284475 -82.58239759999999,42.6286202 ",Algonac High School,"42.6286202,-82.58239759999999","[(42.6286202, -82.5823976), (42.6278476, -82.5826256), (42.6278249, -82.5824472), (42.6278111, -82.5823346), (42.6277933, -82.5822649), (42.6277834, -82.5821978), (42.6277716, -82.5821522), (42.6277598, -82.5820932), (42.6277321, -82.5820154), (42.6277282, -82.5818035), (42.627738, -82.5817526), (42.6278269, -82.5815192), (42.6279985, -82.5814521), (42.6284475, -82.5813154), (42.6286202, -82.5823976)]","[288.1854131712847, 290.1572743818243, 295.3665609901971, 303.47553485868303, 309.67907281607773, 316.2486002066035, 324.1007839593092, 339.62281332597854, 362.2846867895066, 365.38877767572166, 373.46731143431805, 340.7196683055817, 297.97453756670336]",288.1854131712847,373.46731143431805,323.59007965244535
,"-83.2273711,42.2455509,0 -83.2285244,42.2455251,0 -83.2284976,42.2454715,0 -83.22848550000001,42.2454338,0 -83.2275226,42.2454517,0 -83.2272906,42.2454566,0 -83.2272383,42.2454973,0 -83.2272598,42.2456741,0 -83.227245,42.2456741,0 -83.2272826,42.2463829,0 -83.2273174,42.2463958,0 -83.2273603,42.2464087,0 -83.22739919999999,42.2464186,0 -83.2273711,42.2455509,0 ","-83.2273711,42.2455509 -83.22739919999999,42.2464186 -83.2274395,42.2464249 -83.2274864,42.2464338 -83.22753470000001,42.2464398 -83.2275897,42.2464477 -83.227638,42.2464497 -83.22769959999999,42.2464507 -83.2277734,42.2464467 -83.22784179999999,42.2464398 -83.2279089,42.2464279 -83.2279759,42.246413 -83.2280349,42.2463981 -83.2280939,42.2463782 -83.2281449,42.2463564 -83.2282026,42.2463266 -83.2282508,42.2463008 -83.22830310000001,42.246267 -83.22835139999999,42.2462293 -83.2283917,42.2461936 -83.2284265,42.2461539 -83.2284641,42.2461191 -83.2284896,42.2460834 -83.2285083,42.2460476 -83.22853379999999,42.2460119 -83.2285526,42.2459662 -83.22857,42.2459146 -83.2285794,42.2458789 -83.2285875,42.2458312 -83.2285875,42.2457816 -83.22859010000001,42.2457389 -83.2285808,42.2456803 -83.2285754,42.2456386 -83.2285526,42.245587 -83.2285378,42.2455473 -83.2285244,42.2455251 -83.2273711,42.2455509 ",Allen Park High School,"42.2455509,-83.2273711","[(42.2455509, -83.2273711), (42.2464186, -83.2273992), (42.2464249, -83.2274395), (42.2464338, -83.2274864), (42.2464398, -83.2275347), (42.2464477, -83.2275897), (42.2464497, -83.227638), (42.2464507, -83.2276996), (42.2464467, -83.2277734), (42.2464398, -83.2278418), (42.2464279, -83.2279089), (42.246413, -83.2279759), (42.2463981, -83.2280349), (42.2463782, -83.2280939), (42.2463564, -83.2281449), (42.2463266, -83.2282026), (42.2463008, -83.2282508), (42.246267, -83.2283031), (42.2462293, -83.2283514), (42.2461936, -83.2283917), (42.2461539, -83.2284265), (42.2461191, -83.2284641), (42.2460834, -83.2284896), (42.2460476, -83.2285083), (42.2460119, -83.2285338), (42.2459662, -83.2285526), (42.2459146, -83.22857), (42.2458789, -83.2285794), (42.2458312, -83.2285875), (42.2457816, -83.2285875), (42.2457389, -83.2285901), (42.2456803, -83.2285808), (42.2456386, -83.2285754), (42.245587, -83.2285526), (42.2455473, -83.2285378), (42.2455251, -83.2285244), (42.2455509, -83.2273711)]","[316.30686222777217, 319.04925678532607, 323.2657467742764, 326.95603165446687, 332.1369817572856, 335.42684622846826, 339.76322705238204, 344.15019989053906, 348.1118713363795, 351.2155719463279, 354.29320010344765, 357.25173279918334, 359.4458089159824, 360.6521807234266, 361.39055754120585, 362.5229739077623, 363.0276547716306, 362.7380123243046, 362.2529816630646, 360.4942249491811, 361.20034534314425, 359.69655780783097, 357.1847083740394, 356.847478046215, 353.9106924364237, 350.64391798181714, 348.32553959725846, 344.84366870343473, 339.9281156807044, 337.1068482856381, 330.93037753876933, 327.6536568252747, 320.1880752594, 315.91307660310144, 312.4235659138012]",312.4235659138012,363.0276547716306,344.49281564997904
,"-85.2806507,44.8649571,0 -85.28182820000001,44.865036,0 -85.2818496,44.8649761,0 -85.2818738,44.8648773,0 -85.2819408,44.8647632,0 -85.2818604,44.8647442,0 -85.2818067,44.864748,0 -85.2817584,44.8647442,0 -85.2817021,44.8647214,0 -85.28167259999999,44.8646929,0 -85.28165920000001,44.8646577,0 -85.28165920000001,44.8646197,0 -85.2816967,44.8645655,0 -85.2817316,44.8645018,0 -85.28175040000001,44.8644372,0 -85.28175040000001,44.8643925,0 -85.2817343,44.8643535,0 -85.2817021,44.8642813,0 -85.2816833,44.8642224,0 -85.2816806,44.8641729,0 -85.281678,44.8640874,0 -85.2816699,44.8640323,0 -85.28168599999999,44.8639258,0 -85.2816109,44.8639334,0 -85.28150359999999,44.8639467,0 -85.2813534,44.8639581,0 -85.2812113,44.8639467,0 -85.2810745,44.8639277,0 -85.28099400000001,44.8639125,0 -85.28087600000001,44.8638878,0 -85.2806587,44.8641891,0 -85.2806507,44.8649571,0 ","-85.2806507,44.8649571 -85.2806587,44.8641891 -85.28046929999999,44.8644361 -85.28044509999999,44.864554 -85.2805068,44.864746 -85.2804907,44.8648106 -85.2805041,44.8648943 -85.28048800000001,44.8649361 -85.28054969999999,44.8650426 -85.2806034,44.8650578 -85.280716,44.8650635 -85.2807241,44.8650445 -85.2807911,44.8650483 -85.28078309999999,44.8650768 -85.2811787,44.8651129 -85.2811787,44.8650768 -85.28125110000001,44.8650502 -85.28132890000001,44.8650369 -85.2814389,44.8650559 -85.2815274,44.8650806 -85.2815784,44.8651034 -85.28162399999999,44.8651148 -85.281691,44.8651452 -85.28175,44.8651566 -85.28182820000001,44.865036 -85.2806507,44.8649571 ",Antrim County -Touth - Lakeside Field,"44.8649571,-85.2806507","[(44.8649571, -85.2806507), (44.8641891, -85.2806587), (44.8644361, -85.2804693), (44.864554, -85.2804451), (44.864746, -85.2805068), (44.8648106, -85.2804907), (44.8648943, -85.2805041), (44.8649361, -85.280488), (44.8650426, -85.2805497), (44.8650578, -85.2806034), (44.8650635, -85.280716), (44.8650445, -85.2807241), (44.8650483, -85.2807911), (44.8650768, -85.2807831), (44.8651129, -85.2811787), (44.8650768, -85.2811787), (44.8650502, -85.2812511), (44.8650369, -85.2813289), (44.8650559, -85.2814389), (44.8650806, -85.2815274), (44.8651034, -85.2815784), (44.8651148, -85.281624), (44.8651452, -85.281691), (44.8651566, -85.28175), (44.865036, -85.2818282), (44.8649571, -85.2806507)]","[280.0180919949842, 195.6916934919053, 156.33900738143035, 85.53370010536567, 67.63233189018757, 44.37537633584153, 42.875787417010855, 40.71348415767575, 38.70918652249498, 42.32714292740427, 37.1165948450929, 49.30441060796574, 55.526563579577, 148.2220977959156, 143.6931833969995, 159.33565240934777, 178.2415266035002, 207.52311639477483, 231.73663508341536, 246.3869027570368, 258.8342802019773, 278.32147581583257, 294.1721647856187, 306.6668798384322]",37.1165948450929,306.6668798384322,149.55405359749113
,"-83.0174535,43.8055552,0 -83.01749239999999,43.8064079,0 -83.01768420000001,43.8064031,0 -83.0176775,43.8060914,0 -83.01768819999999,43.8058843,0 -83.0176922,43.8057101,0 -83.01768149999999,43.8055813,0 -83.0176775,43.8055271,0 -83.017664,43.8054904,0 -83.0176506,43.8054613,0 -83.0176211,43.8054323,0 -83.01757689999999,43.8054071,0 -83.0175259,43.8053975,0 -83.01747229999999,43.8053887,0 -83.01739449999999,43.8053907,0 -83.0172014,43.8053839,0 -83.0166904,43.8053926,0 -83.01662330000001,43.8054362,0 -83.01628669999999,43.805441,0 -83.0162921,43.8055852,0 -83.0174535,43.8055552,0 ","-83.0174535,43.8055552 -83.0162921,43.8055852 -83.01630419999999,43.805711 -83.0163068,43.8057788 -83.0163136,43.8058533 -83.0163283,43.8059066 -83.0163551,43.8060091 -83.01639400000001,43.8061166 -83.01640879999999,43.8061524 -83.0164597,43.8062279 -83.0164892,43.806255 -83.0165415,43.8062908 -83.01661129999999,43.8063247 -83.01666489999999,43.806346 -83.0167186,43.8063643 -83.0167829,43.8063808 -83.0168487,43.8063943 -83.0169171,43.8064031 -83.01698810000001,43.806405 -83.0170887,43.8064069 -83.0172148,43.8064108 -83.0173475,43.8064089 -83.01749239999999,43.8064079 -83.0174535,43.8055552 ",Bad Axe HS,"43.8055552,-83.0174535","[(43.8055552, -83.0174535), (43.8055852, -83.0162921), (43.805711, -83.0163042), (43.8057788, -83.0163068), (43.8058533, -83.0163136), (43.8059066, -83.0163283), (43.8060091, -83.0163551), (43.8061166, -83.016394), (43.8061524, -83.0164088), (43.8062279, -83.0164597), (43.806255, -83.0164892), (43.8062908, -83.0165415), (43.8063247, -83.0166113), (43.806346, -83.0166649), (43.8063643, -83.0167186), (43.8063808, -83.0167829), (43.8063943, -83.0168487), (43.8064031, -83.0169171), (43.806405, -83.0169881), (43.8064069, -83.0170887), (43.8064108, -83.0172148), (43.8064089, -83.0173475), (43.8064079, -83.0174924), (43.8055552, -83.0174535)]","[306.8062798880565, 308.68614711646364, 313.5109629699221, 319.9530645647623, 323.49550124869575, 333.862663811508, 346.57896738233876, 351.3660286754582, 359.119321368037, 360.3931618977562, 360.37801602574325, 357.93642965099514, 355.5875756293317, 353.0312741876114, 349.1655087733287, 345.0418567355795, 339.97979523002607, 333.25302096976696, 325.06352755560914, 318.1935532835837, 312.454120914169, 311.0035223883166]",306.8062798880565,360.3931618977562,335.6754681939573
,"-86.12594559999999,42.3056833,0 -86.1259537,42.3048224,0 -86.1257552,42.3048184,0 -86.12574309999999,42.3054825,0 -86.12575510000001,42.3054815,0 -86.12574979999999,42.3056005,0 -86.125731,42.3056045,0 -86.125727,42.3057196,0 -86.12574979999999,42.3057523,0 -86.1257726,42.3057751,0 -86.1257967,42.3057999,0 -86.1258316,42.3058237,0 -86.1258758,42.3058376,0 -86.1259214,42.3058525,0 -86.12604880000001,42.3058525,0 -86.1260475,42.3058326,0 -86.12621919999999,42.3058386,0 -86.1262218,42.3058564,0 -86.12713650000001,42.3058683,0 -86.12713239999999,42.3056928,0 -86.12594559999999,42.3056833,0 ","-86.12594559999999,42.3056833 -86.12714320000001,42.3056958 -86.1271727,42.3056472 -86.12718479999999,42.3056095 -86.12720349999999,42.3055718 -86.1272196,42.3055271 -86.1272263,42.3054825 -86.1272317,42.3054399 -86.12723440000001,42.3053813 -86.1272317,42.3053437 -86.1272263,42.305308 -86.12721430000001,42.3052623 -86.1271995,42.3052207 -86.1271807,42.305183 -86.1271552,42.3051473 -86.12712569999999,42.3051036 -86.12709359999999,42.305065 -86.1270641,42.3050322 -86.1270131,42.3049896 -86.1269836,42.3049648 -86.126942,42.304939 -86.1268857,42.3049003 -86.12683869999999,42.3048735 -86.1267744,42.3048458 -86.12670869999999,42.30482 -86.1266416,42.3047972 -86.1265772,42.3047833 -86.1265155,42.3047724 -86.1264485,42.3047634 -86.1263707,42.3047585 -86.1263036,42.3047595 -86.12625800000001,42.3047575 -86.1262017,42.3047674 -86.12615750000001,42.3047763 -86.1261119,42.3047813 -86.12606220000001,42.3047962 -86.1260207,42.3048041 -86.1259871,42.304816 -86.1259537,42.3048224 -86.12594559999999,42.3056833 ",Bangor High School,"42.3056833,-86.12594559999999","[(42.3056833, -86.1259456), (42.3056958, -86.1271432), (42.3056472, -86.1271727), (42.3056095, -86.1271848), (42.3055718, -86.1272035), (42.3055271, -86.1272196), (42.3054825, -86.1272263), (42.3054399, -86.1272317), (42.3053813, -86.1272344), (42.3053437, -86.1272317), (42.305308, -86.1272263), (42.3052623, -86.1272143), (42.3052207, -86.1271995), (42.305183, -86.1271807), (42.3051473, -86.1271552), (42.3051036, -86.1271257), (42.305065, -86.1270936), (42.3050322, -86.1270641), (42.3049896, -86.1270131), (42.3049648, -86.1269836), (42.304939, -86.126942), (42.3049003, -86.1268857), (42.3048735, -86.1268387), (42.3048458, -86.1267744), (42.30482, -86.1267087), (42.3047972, -86.1266416), (42.3047833, -86.1265772), (42.3047724, -86.1265155), (42.3047634, -86.1264485), (42.3047585, -86.1263707), (42.3047595, -86.1263036), (42.3047575, -86.126258), (42.3047674, -86.1262017), (42.3047763, -86.1261575), (42.3047813, -86.1261119), (42.3047962, -86.1260622), (42.3048041, -86.1260207), (42.304816, -86.1259871), (42.3048224, -86.1259537), (42.3056833, -86.1259456)]","[324.0010798605368, 332.20998336109534, 336.2998958414493, 342.6990165309862, 349.30641538354746, 354.0935898053713, 359.0401698875961, 365.6000907558502, 369.2678000463956, 372.47022647642433, 375.9368796051576, 378.7853833976743, 380.6249934639552, 381.08654520290725, 382.8100674597325, 383.687835080667, 384.5169607160809, 383.8013215511415, 383.93951607840614, 382.39858181654546, 382.23076965136215, 381.398148299419, 378.71161993377194, 376.2933410107957, 373.8039167073167, 369.8242750151425, 366.0144154392182, 361.7940640918292, 356.10670386363745, 350.3158204203696, 347.81511348486225, 340.89822117113494, 335.4744775421447, 331.782754476849, 324.8237179095799, 321.05302248406065, 316.27215458038955, 313.748123259673]",313.748123259673,384.5169607160809,359.23518451744945
,"-84.43990410000001,42.8139458,0 -84.439831,42.8139772,0 -84.4397961,42.8148921,0 -84.4398498,42.8149373,0 -84.4410501,42.8149098,0 -84.4410635,42.8148803,0 -84.44107889999999,42.814846,0 -84.4399028,42.814846,0 -84.43990410000001,42.8139458,0 ","-84.4410876,42.8148442 -84.44110910000001,42.814792 -84.44114399999999,42.8147409 -84.4411466,42.8146917 -84.44116270000001,42.8146307 -84.44117079999999,42.8145382 -84.4411688,42.8144987 -84.44117079999999,42.8144713 -84.4411587,42.8144241 -84.44110240000001,42.8143129 -84.4410541,42.814248 -84.4410031,42.814187 -84.440971,42.8141575 -84.4409072,42.8141082 -84.4408596,42.8140749 -84.44080599999999,42.8140414 -84.4407336,42.814004 -84.44066119999999,42.8139765 -84.4406182,42.8139607 -84.44052170000001,42.8139391 -84.4404633,42.8139242 -84.44039290000001,42.8139135 -84.4403178,42.8139057 -84.4402347,42.8139057 -84.4401462,42.8139076 -84.4400711,42.8139155 -84.43990410000001,42.8139458 -84.4399028,42.814846 -84.4410876,42.8148442 ",Bath High School,"42.8139458,-84.43990410000001","[(42.8148442, -84.4410876), (42.814792, -84.4411091), (42.8147409, -84.441144), (42.8146917, -84.4411466), (42.8146307, -84.4411627), (42.8145382, -84.4411708), (42.8144987, -84.4411688), (42.8144713, -84.4411708), (42.8144241, -84.4411587), (42.8143129, -84.4411024), (42.814248, -84.4410541), (42.814187, -84.4410031), (42.8141575, -84.440971), (42.8141082, -84.4409072), (42.8140749, -84.4408596), (42.8140414, -84.440806), (42.814004, -84.4407336), (42.8139765, -84.4406612), (42.8139607, -84.4406182), (42.8139391, -84.4405217), (42.8139242, -84.4404633), (42.8139135, -84.4403929), (42.8139057, -84.4403178), (42.8139057, -84.4402347), (42.8139076, -84.4401462), (42.8139155, -84.4400711), (42.8139458, -84.4399041), (42.814846, -84.4399028), (42.8148442, -84.4410876)]","[456.13766337702987, 446.83549703576904, 441.2081025305434, 430.1838982408476, 419.95696507924185, 402.66891813563524, 394.6750993080018, 390.1383976191173, 379.10138998063815, 348.2633807464755, 327.6446498028568, 307.7168258955239, 296.49469972073615, 275.59121120343576, 260.66953605155857, 244.50079872975212, 223.58695708808523, 203.45944945711432, 191.69038355656684, 165.73775544576256, 150.2557663192302, 131.68631551313283, 111.96555055093478, 89.90534177913983, 66.43755783884878, 46.151604073170816, 328.092136582004, 456.13766337702987]",46.151604073170816,456.13766337702987,285.24619696564946
,"-85.2302768,42.2937644,0 -85.2290551,42.2937674,0 -85.22906039999999,42.2937991,0 -85.22907650000001,42.2938309,0 -85.22909799999999,42.2938606,0 -85.2291194,42.2938864,0 -85.22915159999999,42.2939122,0 -85.22917579999999,42.293938,0 -85.2292106,42.2939578,0 -85.2295204,42.2939519,0 -85.2295204,42.2939221,0 -85.23005689999999,42.2939201,0 -85.2300891,42.2939082,0 -85.2302151,42.2939023,0 -85.23025,42.2939241,0 -85.2303197,42.2939201,0 -85.2303627,42.2939102,0 -85.23040020000001,42.2938983,0 -85.2304378,42.2938805,0 -85.23046189999999,42.2938646,0 -85.23047529999999,42.2938388,0 -85.2304834,42.293811,0 -85.230486,42.2937753,0 -85.2304807,42.2937416,0 -85.2304592,42.2937317,0 -85.23046189999999,42.2936543,0 -85.2304726,42.2936444,0 -85.2304726,42.2934777,0 -85.23046189999999,42.29344,0 -85.2304726,42.2933963,0 -85.2304646,42.293196,0 -85.23051820000001,42.293194,0 -85.23052629999999,42.2929876,0 -85.2305102,42.2929797,0 -85.2304673,42.2929658,0 -85.230419,42.292946,0 -85.230368,42.2929281,0 -85.2303063,42.2929222,0 -85.23026609999999,42.2929122,0 -85.2302768,42.2937644,0 ","-85.2302768,42.2937644 -85.23026609999999,42.2929122 -85.2301923,42.2929063 -85.2301145,42.2929023 -85.2300716,42.2929023 -85.23002339999999,42.2928983 -85.2299804,42.2928983 -85.22992139999999,42.2928944 -85.22986779999999,42.2928904 -85.2298195,42.2928944 -85.2297605,42.2928964 -85.2296881,42.2929043 -85.22962099999999,42.2929122 -85.22955930000001,42.2929341 -85.229495,42.2929539 -85.22943859999999,42.2929817 -85.22937690000001,42.2930174 -85.2293152,42.2930591 -85.22925360000001,42.2931106 -85.2292173,42.2931424 -85.22918249999999,42.2931741 -85.2291476,42.2932118 -85.2291101,42.2932535 -85.22908459999999,42.2933091 -85.2290551,42.2933467 -85.229039,42.2933944 -85.22903359999999,42.29344 -85.2290309,42.2934916 -85.2290162,42.2935382 -85.2290189,42.2935868 -85.2290189,42.2936285 -85.2290189,42.2936622 -85.22902689999999,42.2937049 -85.2290457,42.2937465 -85.2290551,42.2937674 -85.2302768,42.2937644 ",Battle Creek lakeview HS,"42.2937644,-85.2302768","[(42.2937644, -85.2302768), (42.2929122, -85.2302661), (42.2929063, -85.2301923), (42.2929023, -85.2301145), (42.2929023, -85.2300716), (42.2928983, -85.2300234), (42.2928983, -85.2299804), (42.2928944, -85.2299214), (42.2928904, -85.2298678), (42.2928944, -85.2298195), (42.2928964, -85.2297605), (42.2929043, -85.2296881), (42.2929122, -85.229621), (42.2929341, -85.2295593), (42.2929539, -85.229495), (42.2929817, -85.2294386), (42.2930174, -85.2293769), (42.2930591, -85.2293152), (42.2931106, -85.2292536), (42.2931424, -85.2292173), (42.2931741, -85.2291825), (42.2932118, -85.2291476), (42.2932535, -85.2291101), (42.2933091, -85.2290846), (42.2933467, -85.2290551), (42.2933944, -85.229039), (42.29344, -85.2290336), (42.2934916, -85.2290309), (42.2935382, -85.2290162), (42.2935868, -85.2290189), (42.2936285, -85.2290189), (42.2936622, -85.2290189), (42.2937049, -85.2290269), (42.2937465, -85.2290457), (42.2937674, -85.2290551), (42.2937644, -85.2302768)]","[310.582749356207, 313.5540533653589, 317.23121322719066, 319.045149990482, 322.9955287712506, 325.66367685538677, 331.317572126598, 337.19023422288143, 340.34382315422454, 345.7997390019356, 351.5978370358922, 357.6838108586998, 359.50948974716675, 363.3040689418068, 364.41224228610037, 365.2316835476914, 365.7309690997645, 365.2584099582618, 365.4586888209329, 365.98239462795635, 365.9254668409252, 366.48917538946995, 362.74378116545313, 363.9183174681071, 361.0334390936049, 356.5395194590558, 351.45367681602954, 350.8968883139511, 346.44532747281363, 343.93030907209123, 342.3774592320818, 338.87541858454244, 333.1580777167543, 330.5526369791408]",310.582749356207,366.48917538946995,347.12449495881793
