,title,link
26,Catholic High School League,/wiki/Catholic_High_School_League
27,Detroit Public School League,/wiki/Detroit_Public_School_League
28,Downriver League,/wiki/Downriver_League
29,Flint Metro League,/wiki/Flint_Metro_League
30,Kensington Lakes Activities Association,/wiki/Kensington_Lakes_Activities_Association
31,Lakes Valley Conference,/w/index.php?title=Lakes_Valley_Conference&action=edit&redlink=1
32,Macomb Area Conference,/wiki/Macomb_Area_Conference
33,Oakland Activities Association,/wiki/Oakland_Activities_Association
34,Ottawa-Kent Conference,/wiki/Ottawa-Kent_Conference
35,Saginaw Valley League,/wiki/Saginaw_Valley_League
36,Southeastern Conference,/wiki/Southeastern_Conference_(MHSAA)
37,Southwestern Michigan Athletic Conference,/wiki/Southwestern_Michigan_Athletic_Conference
38,Tri-Valley Conference,/wiki/Tri-Valley_Conference_(Michigan)
39,Western Wayne Athletic Conference,/wiki/Western_Wayne_Athletic_Conference
40,edit,/w/index.php?title=List_of_Michigan_High_School_Association_member_conferences&action=edit&section=2
41,BCS League,/wiki/BCS_League
42,Blue Water Area Conference,/w/index.php?title=Blue_Water_Area_Conference&action=edit&redlink=1
43,Capital Area Activities Conference,/wiki/Capital_Area_Activities_Conference
44,Catholic High School League,/wiki/Catholic_High_School_League
45,Central State Activities Association,/w/index.php?title=Central_State_Activities_Association&action=edit&redlink=1
46,Charter School Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6906
47,Detroit Public School League,/wiki/Detroit_Public_School_League
48,Genesee Area Conference,/wiki/Genesee_Area_Conference
49,Great Northern UP Conference,/wiki/Great_Northern_UP_Conference
50,Greater Lansing Activities Conference,/wiki/Greater_Lansing_Activities_Conference
51,Huron League,/wiki/Huron_League_(MHSAA)
52,Interstate 8 Athletic Conference,/wiki/Interstate_8_Athletic_Conference
53,Lakes 8 Activities Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6937
54,Lenawee County Athletic Association,/w/index.php?title=Lenawee_County_Athletic_Association&action=edit&redlink=1
55,Macomb Area Conference,/wiki/Macomb_Area_Conference
56,Michigan Metro Athletic Conference,/w/index.php?title=Michigan_Metro_Athletic_Conference&action=edit&redlink=1
57,Northern Michigan Football Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=9367
58,Ottawa-Kent Conference,/wiki/Ottawa-Kent_Conference
59,Southern Michigan Football Conference,http://highschoolsports.mlive.com/football/standings/?grouping=7010
60,Southwestern Michigan Athletic Conference,/wiki/Southwestern_Michigan_Athletic_Conference
61,Straits Area Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6988
62,Tri-Valley Conference,/wiki/Tri-Valley_Conference_(Michigan)
63,West Michigan Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6992
64,West-Pac Conference,/w/index.php?title=West-Pac_Conference&action=edit&redlink=1
65,[2],#cite_note-2
66,Wolverine Conference,/wiki/Wolverine_Conference
67,edit,/w/index.php?title=List_of_Michigan_High_School_Association_member_conferences&action=edit&section=3
68,BCS League,/wiki/BCS_League
69,Big 8 Conference,/wiki/Big_8_Conference_(MHSAA)
70,Cascades Conference,/w/index.php?title=Cascades_Conference&action=edit&redlink=1
71,Catholic High School League,/wiki/Catholic_High_School_League
72,Central Michigan 8-Man,/w/index.php?title=Central_Michigan_8-Man&action=edit&redlink=1
73,Central Michigan Athletic Conference,/w/index.php?title=Central_Michigan_Athletic_Conference&action=edit&redlink=1
74,Central State Activities Association,/w/index.php?title=Central_State_Activities_Association&action=edit&redlink=1
75,Charter School Conference,/w/index.php?title=Charter_School_Conference&action=edit&redlink=1
76,Detroit Public School League,/wiki/Detroit_Public_School_League
77,Genesee Area Conference,/wiki/Genesee_Area_Conference
78,Greater Thumb Conference,/w/index.php?title=Greater_Thumb_Conference&action=edit&redlink=1
79,Highland Conference,/w/index.php?title=Highland_Conference&action=edit&redlink=1
80,Jack Pine Conference,/wiki/Jack_Pine_Conference
81,Kalamazoo Valley Association,/w/index.php?title=Kalamazoo_Valley_Association&action=edit&redlink=1
82,Lake Michigan Conference,/wiki/Lake_Michigan_Conference
83,Lakeland Athletic Conference,/wiki/Lakeland_Athletic_Conference
84,Lenawee County Athletic Association,/w/index.php?title=Lenawee_County_Athletic_Association&action=edit&redlink=1
85,Macomb Area Conference,/wiki/Macomb_Area_Conference
86,Michigan Independent Athletic Conference,/w/index.php?title=Michigan_Independent_Athletic_Conference&action=edit&redlink=1
87,Mid-Eastern Football Conference,/w/index.php?title=Mid-Eastern_Football_Conference&action=edit&redlink=1
88,Mid-Peninsula Athletic Conference,/wiki/Mid-Peninsula_Athletic_Conference
89,Mid-State Activities Conference South,/w/index.php?title=Mid-State_Activities_Conference_South&action=edit&redlink=1
90,North Central Thumb 8-Man League,/w/index.php?title=North_Central_Thumb_8-Man_League&action=edit&redlink=1
91,North Star League,/w/index.php?title=North_Star_League&action=edit&redlink=1
92,Northern Michigan Football Conference,/w/index.php?title=Northern_Michigan_Football_Conference&action=edit&redlink=1
93,Northwest Conference,/w/index.php?title=Northwest_Conference_(MHSAA)&action=edit&redlink=1
94,Ottawa-Kent Conference,/wiki/Ottawa-Kent_Conference
95,Red Arrow Conference,/w/index.php?title=Red_Arrow_Conference&action=edit&redlink=1
96,Southern Central Athletic Association,/w/index.php?title=Southern_Central_Athletic_Association&action=edit&redlink=1
97,Southern Michigan Football Conference,/w/index.php?title=Southern_Michigan_Football_Conference&action=edit&redlink=1
98,Southwestern Athletic Conference,/w/index.php?title=Southwestern_Athletic_Conference_(MHSAA)&action=edit&redlink=1
99,Straits Area Conference,/w/index.php?title=Straits_Area_Conference&action=edit&redlink=1
100,Tri-County Conference,/wiki/Tri-County_Conference_(Michigan)
101,West Michigan Conference,/w/index.php?title=West_Michigan_Conference&action=edit&redlink=1
102,West-Pac,/w/index.php?title=West-Pac&action=edit&redlink=1
103,Western Michigan 'D' League,/w/index.php?title=Western_Michigan_%27D%27_League&action=edit&redlink=1
104,edit,/w/index.php?title=List_of_Michigan_High_School_Association_member_conferences&action=edit&section=4
105,BCS League,/wiki/BCS_League
106,Big 8 Conference,/wiki/Big_8_Conference_(MHSAA)
107,Bridge Alliance 8 Man,/w/index.php?title=Bridge_Alliance_8_Man&action=edit&redlink=1
108,Catholic High School League,/wiki/Catholic_High_School_League
109,Central Michigan Athletic Conference,http://www.mhsaa.com/aboutthemhsaa/leaguesconferences/leaguemembership/leagueid/6903.aspx
110,Christian Football League,http://highschoolsports.mlive.com/football/standings/?class_grouping=&grouping=christian-football-league
111,Great Western Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6920
112,Independent,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6925
113,Lakes 8 Activities Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6937
114,Lenawee County Athletic Association,/w/index.php?title=Lenawee_County_Athletic_Association&action=edit&redlink=1
115,Michigan Independent Athletic Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6943
116,Mid-Eastern Football Conference,http://www.mhsaa.com/aboutthemhsaa/leaguesconferences.aspx
117,Mid-Michigan 8-Man Football League,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=8892
118,Northwest Conference,/w/index.php?title=Northwest_Conference_(MHSAA)&action=edit&redlink=1
119,Red Arrow Conference,http://www.mhsaa.com/aboutthemhsaa/leaguesconferences/leaguemembership/leagueid/6972.aspx
120,Skii Valley Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=9109
