teamName,games_played,runs_scored_mean,runs_scored_median,runs_scored_total,runs_allowed_count,runs_allowed_mean,runs_allowed_median,runs_allowed_total,A_runs_scored,H_runs_scored,A_runs_allowed,H_runs_allowed,games,run_differential_home,run_differential_away,run_differential,runs_scored_avg,runs_allowed_avg,runs_scored_avg_home,runs_scored_avg_away,runs_allowed_avg_home,runs_allowed_avg_away,run_differential_avg,home_runs_scored_avg,home_runs_allowed_avg,home_run_differential_avg,away_runs_scored_avg,away_runs_allowed_avg,loss_playoff,win_playoff,wins_playoff,losses_playoff,games_playoff,runs_scored_playoff,runs_allowed_playoff,run_differential_playoff
Ada Forest Hills Eastern,40,7.0,7.0,280.0,40,2.925,2.0,117.0,158.0,122.0,60.0,57.0,40,65.0,98.0,163.0,7.0,2.925,3.05,3.95,1.425,1.5,4.075,3.05,1.425,1.625,3.95,1.5,1.0,5.0,5.0,1.0,6.0,38.0,6.0,5.333333333333333
Addison,31,5.838709677419355,4.0,181.0,31,5.419354838709677,5.0,168.0,88.0,93.0,103.0,65.0,31,28.0,-15.0,13.0,5.838709677419355,5.419354838709677,3.0,2.838709677419355,2.096774193548387,3.3225806451612905,0.41935483870967744,3.0,2.096774193548387,0.9032258064516129,2.838709677419355,3.3225806451612905,1.0,1.0,1.0,1.0,2.0,5.0,8.0,-1.5
Adrian,40,8.25,7.0,330.0,40,3.075,2.0,123.0,207.0,123.0,56.0,67.0,40,56.0,151.0,207.0,8.25,3.075,3.075,5.175,1.675,1.4,5.175,3.075,1.675,1.4,5.175,1.4,1.0,4.0,4.0,1.0,5.0,29.0,20.0,1.8
Adrian Lenawee Christian,12,5.0,5.0,60.0,12,13.333333333333334,13.0,160.0,33.0,27.0,85.0,75.0,12,-48.0,-52.0,-100.0,5.0,13.333333333333334,2.25,2.75,6.25,7.083333333333333,-8.333333333333334,2.25,6.25,-4.0,2.75,7.083333333333333,1.0,0.0,0.0,1.0,1.0,7.0,17.0,-10.0
Adrian Madison,34,8.823529411764707,9.0,300.0,34,4.823529411764706,4.0,164.0,193.0,107.0,76.0,88.0,34,19.0,117.0,136.0,8.823529411764707,4.823529411764706,3.1470588235294117,5.676470588235294,2.588235294117647,2.235294117647059,4.0,3.1470588235294117,2.588235294117647,0.5588235294117647,5.676470588235294,2.235294117647059,1.0,0.0,0.0,1.0,1.0,4.0,9.0,-5.0
Akron-Fairgrove,21,5.095238095238095,2.0,107.0,21,9.238095238095237,10.0,194.0,33.0,74.0,142.0,52.0,21,22.0,-109.0,-87.0,5.095238095238095,9.238095238095237,3.5238095238095237,1.5714285714285714,2.4761904761904763,6.761904761904762,-4.142857142857143,3.5238095238095237,2.4761904761904763,1.0476190476190477,1.5714285714285714,6.761904761904762,1.0,0.0,0.0,1.0,1.0,2.0,14.0,-12.0
Alanson ,18,4.333333333333333,1.0,78.0,18,12.166666666666666,12.0,219.0,1.0,77.0,24.0,195.0,18,-118.0,-23.0,-141.0,4.333333333333333,12.166666666666666,4.277777777777778,0.05555555555555555,10.833333333333334,1.3333333333333333,-7.833333333333333,4.277777777777778,10.833333333333334,-6.555555555555555,0.05555555555555555,1.3333333333333333,1.0,0.0,0.0,1.0,1.0,0.0,12.0,-12.0
Alba,0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Alcona,22,8.227272727272727,5.0,181.0,22,5.5,4.5,121.0,120.0,61.0,79.0,42.0,22,19.0,41.0,60.0,8.227272727272727,5.5,2.772727272727273,5.454545454545454,1.9090909090909092,3.590909090909091,2.727272727272727,2.772727272727273,1.9090909090909092,0.8636363636363636,5.454545454545454,3.590909090909091,1.0,2.0,2.0,1.0,3.0,34.0,18.0,5.333333333333333
Algonac,41,7.682926829268292,9.0,315.0,41,1.9024390243902438,1.0,78.0,97.0,218.0,23.0,55.0,41,163.0,74.0,237.0,7.682926829268292,1.9024390243902438,5.317073170731708,2.3658536585365852,1.3414634146341464,0.5609756097560976,5.780487804878049,5.317073170731708,1.3414634146341464,3.975609756097561,2.3658536585365852,0.5609756097560976,1.0,6.0,6.0,1.0,7.0,49.0,13.0,5.142857142857143
