,0
0,Orchard Lake St Mary's HS
1,Grosse Pointe North HS
2,Battle Creek Lakeview HS
3,Grand Rapids Forest Hills Northern HS
4,Mattawan HS
5,Midland HS
6,Grandville HS
7,Northville HS
8,Brighton HS
9,Monroe HS
10,Clinton Township Chippewa Valley HS
11,Detroit Western HS
12,Birmingham Groves HS
13,Hartland HS
14,Detroit Catholic Central HS
15,Lake Orion HS
16,Grand Rapids Forest Hills Central HS
17,Ann Arbor Skyline HS
18,Traverse City Central HS
19,Muskegon Reeths-Puffer HS
20,Hudsonville HS
21,Holt HS
22,Brownstown Woodhaven HS
23,Livonia Franklin HS
24,Allen Park HS
25,Detroit U-D Jesuit HS
26,Warren De La Salle Collegiate HS
27,New Baltimore Anchor Bay HS
28,Bloomfield Hills Brother Rice HS
29,White Lake Lakeland HS
30,Rochester Adams HS
31,Flushing HS
32,Mount Pleasant HS
33,Alpena HS
34,Traverse City West HS
35,Bay City Western HS
36,Midland Dow HS
37,Saginaw Heritage HS
38,Grand Rapids Kenowa Hills HS
39,Grand Haven HS
40,Muskegon Mona Shores HS
41,Greenville HS
42,Cedar Springs HS
43,Grand Rapids Northview HS
44,Byron Center HS
45,Jenison HS
46,Wyoming HS
47,Caledonia HS
48,Grand Rapids Ottawa Hills HS
49,Lowell HS
50,Portage Northern HS
51,Kalamazoo Central HS
52,Portage Central HS
53,Grand Ledge HS
54,Lansing Waverly HS
55,DeWitt HS
56,East Lansing HS
57,Howell HS
58,Okemos HS
59,Jackson HS
60,Sturgis HS
61,Coldwater HS
62,Dexter HS
63,Ann Arbor Pioneer HS
64,Ann Arbor Huron HS
65,Ypsilanti Lincoln HS
66,Temperance Bedford HS
67,Ypsilanti Community HS
68,Southgate Anderson HS
69,Taylor HS
70,Gibraltar Carlson HS
71,Livonia Churchill HS
72,Plymouth HS
73,Salem HS
74,Dearborn Heights Crestwood HS
75,Redford Thurston HS
76,Wayne Memorial HS
77,Dearborn Edsel Ford HS
78,Melvindale HS
79,Lincoln Park HS
80,Dearborn Fordson HS
81,Detroit Cass Tech HS
82,River Rouge HS
83,Warren Mott HS
84,Royal Oak HS
85,Troy Athens HS
86,Roseville HS
87,St Clair Shores Lakeview HS
88,St Clair Shores Lake Shore HS
89,Macomb Dakota HS
90,Utica Ford HS
91,Sterling Heights Stevenson HS
92,Novi HS
93,South Lyon East HS
94,South Lyon HS
95,Farmington HS
96,Birmingham Seaholm HS
97,North Farmington HS
98,Walled Lake Western HS
99,Walled Lake Central HS
100,Milford HS
101,Auburn Hills Avondale HS
102,West Bloomfield HS
103,Troy HS
104,Utica Eisenhower HS
105,Romeo HS
106,Rochester Hills Stoney Creek HS
107,Oxford HS
108,Clarkston HS
109,Waterford Mott HS
110,Fenton HS
111,Grand Blanc HS
112,Swartz Creek HS
113,Flint Kearsley HS
114,Lapeer HS
115,Davison HS
116,Holland West Ottawa HS
117,St Joseph HS
118,Zeeland West HS
119,Ferndale HS
120,Fraser HS
121,Sterling Heights HS
122,Warren Woods Tower HS
123,Harrison Township L'Anse Creuse HS
124,Macomb L'Anse Creuse North HS
125,Port Huron Northern HS
126,Bay City Central HS
127,Muskegon HS
128,Rockford HS
129,Grand Rapids Union HS
130,East Kentwood HS
131,Holland HS
132,Kalamazoo Loy Norrix HS
133,Lansing Everett HS
134,Mason HS
135,Battle Creek Central HS
136,Saline HS
137,Belleville HS
138,Wyandotte Roosevelt HS
139,Canton HS
140,Westland John Glenn HS
141,Dearborn HS
142,Hamtramck HS
143,Detroit Renaissance HS
144,Southfield Arts & Technology HS
145,Berkley HS
146,Warren Cousino HS
147,Port Huron HS
148,Livonia Stevenson HS
149,Walled Lake Northern HS
150,Bloomfield Hills HS
151,Rochester HS
152,Waterford Kettering HS
153,Holly HS
154,Flint Carman-Ainsworth HS
155,Grosse Pointe South HS
156,Utica HS
