Division,Host / Field Name,Plot Note,Map Link MHSAA,District_#,District Host?,Regional Host?,Column8
Division,Host,,Location,District,District Host ,,
1,Marquette,y,"http://maps.google.com/maps?q=North Marquette Fields,   Marquette, MI ",1,y,,
1,Midland Dow,y,"http://maps.google.com/maps?q=H H Dow High School - Baseball, 3901 N. Saginaw Rd.  Midland , MI ",2,y,,
1,Muskegon Mona Shores,y,"http://maps.google.com/maps?q=Mona Shores Baseball Field, 1121 W. Seminole Rd.  Muskegon, MI ",3,y,,
1,Grand Rapids Forest Hills Northern,y,"http://maps.google.com/maps?q=FHN Stadium - Baseball, 3801 Leonard NE  Grand Rapids, MI ",4,y,,
1,Grandville,y,"http://maps.google.com/maps?q=Grandville High School - Baseball, 4700 Canal SW  Grandville, MI ",5,y,,
1,Lowell,y,"http://maps.google.com/maps?q=Lowell High School, 11700 Vergennes St  Lowell, MI 49331",6,y,,
1,Zeeland West,y,"http://maps.google.com/maps?q=Zeeland Baseball Fields, 3091 96th Ave.  Zeeland, MI 49464",7,y,,
1,Portage Northern,y,"http://maps.google.com/maps?q=Portage Northern HS - Baseball, 1000 Idaho Street  Portage, MI ",8,y,,
1,DeWitt,y,"http://maps.google.com/maps?q=DeWitt High School, 2957 West Herbison Road  DeWitt, MI 48820",9,y,,
1,Jackson,y,"http://maps.google.com/maps?q=Glick Community Field, 544 Wildwood Ave  Jackson, MI ",10,y,,
1,Brighton,y,"http://maps.google.com/maps?q=BHS Baseball, 7878 Brighton Rd  Brighton, MI ",11,y,,
1,Saline,y,"http://maps.google.com/maps?q=Saline High School - Baseball, 1300 Campus Parkway  Saline, MI ",12,y,,
1,Monroe,y,"http://maps.google.com/maps?q=Monroe High School - Baseball, 901 Herr Rd  Monroe, MI ",13,y,,
1,Livonia Franklin,y,"http://maps.google.com/maps?q=Livonia Franklin, 31000 Joy Rd  Livonia, MI 48150",14,y,,
1,Northville,y,"http://maps.google.com/maps?q=Northville High School - Baseball, 45700 W. Six Mile Rd.  Northville, MI ",15,y,,
1,Livonia Stevenson,y,"http://maps.google.com/maps?q=Adlai E Stevenson HS, 33500 Six Mile Road  Livonia, MI ",16,y,,
1,Brownstown Woodhaven,y,"http://maps.google.com/maps?q=Woodhaven High School - Baseball, 24787 Van Horn Rd  Brownstown, MI ",17,y,,
1,Allen Park,y,"http://maps.google.com/maps?q=James Gulliver Field - Baseball, 18401Champaign  Allen Park, MI ",18,y,,
1,Detroit Western,y - Hamtramock Stadium -  replott with visible fence,"http://maps.google.com/maps?q=Historic Hamtramck Stadium, 3201 Dan St  Hamtramck, MI 48212",19,y,,
1,Grosse Pointe North,y,"http://maps.google.com/maps?q=Grosse Pointe North, 707 Vernier  Grosse Pointe, MI 48236",20,y,,
1,St Clair Shores Lake Shore,"unsure - nothing by that name, public park Kyte Monroe Park has 2 plotted fields slightly north, saved as marine city cardinal mooney","http://maps.google.com/maps?q=St Clair Shores Lake Shore, 22980 Thirteen Mile Rd  St Clair Shores, MI 48082",21,y,,
1,Royal Oak,y,"http://maps.google.com/maps?q=Royal Oak, 1500 Lexington Blvd  Royal Oak, MI 48073",22,y,,
1,Detroit U of D Jesuit,"not plotted, not sure where they play","http://maps.google.com/maps?q=Detroit U-D Jesuit, 8400 S Cambridge  Detroit, MI 48221",23,y,,
1,Bloomfield Hills Brother Rice,not done - no field on campus,"http://maps.google.com/maps?q=Warriors Park, 1525 Equity Dr.  Troy, MI ",24,y,,
1,Sterling Heights Stevenson,y,"http://maps.google.com/maps?q=Stevenson High School, 39701 Dodge Park Rd.  Sterling Heights, MI ",25,y,,
1,Port Huron Northern,y,,26,y,,
1,Romeo,y,"http://maps.google.com/maps?q=Romeo HS - Baseball, 11091 W 32 Mile Rd  Romeo, MI ",27,y,,
1,Auburn Hills Avondale,y,"http://maps.google.com/maps?q=Auburn Hills Avondale, 2800 Waukegan  Auburn Hills, MI 48326",28,y,,
1,West Bloomfield,y,"http://maps.google.com/maps?q=West Bloomfield , 4925 Orchard Lake Rd  West Bloomfield, MI 48323",29,y,,
1,White Lake Lakeland,y,"http://maps.google.com/maps?q=Lakeland HS - Baseball, 1630 Bogie Lake Road  White Lake, MI ",30,y,,
1,Oxford,y,"http://maps.google.com/maps?q=Oxford High School - Baseball, 745 N. Oxford Rd  Oxford, MI ",31,y,,
1,Flushing,y,"http://maps.google.com/maps?q=Flushing High School - Baseball, 5039 Deland Rd  Flushing, MI ",32,y,,
2,Escanaba,y,"http://maps.google.com/maps?q=Al Ness Field, 18th ave.   Escanaba , MI ",33,y,,
2,Gaylord,y,"http://maps.google.com/maps?q=Gaylord Varsity Baseball Field, 90 Livingston Blvd  Gaylord, MI 49735",34,y,,
2,Kingsley,y,"http://maps.google.com/maps?q=Kingsley Athletic Complex, S. Clark St  Kingsley, MI ",35,y,,
2,Bay City John Glenn,y,"http://maps.google.com/maps?q=Bay City John Glenn High School, 3201 Kiesel Road  Bay City, MI 48706",36,y,,
2,Newaygo,y,"http://maps.google.com/maps?q=Newaygo Baseball Field , 850 E 76th St  Newaygo , MI ",37,y,,
2,Muskegon Oakridge,y,"http://maps.google.com/maps?q=Oakridge HS Baseball Field, 5493 Hall Rd  Muskegon, MI ",38,y,,
2,Coopersville,y,"http://maps.google.com/maps?q=Coopersville High School, 198 East St  Coopersville, MI 49404-1290",39,y,,
2,Belding,y,"http://maps.google.com/maps?q=Belding High School, 850 Hall St  Belding, MI 48809",40,y,,
2,Middleville Thornapple Kellogg,y,"http://maps.google.com/maps?q=Thornapple Kellogg High School - Baseball, 3885 Bender  Middleville, MI ",41,y,,
2,Grand Rapids Catholic Central,y,"http://maps.google.com/maps?q=Grand Rapids Catholic Central, 319 Sheldon Blvd., SE  Grand Rapids, MI 49503",42,y,,
2,Hamilton,y,"http://maps.google.com/maps?q=Hamilton HS, 4911 136th Ave  Hamilton, MI 49419",43,y,,
2,Wayland,y,"http://maps.google.com/maps?q=Phil Regan Field, 870 E. Superior  Wayland, MI ",44,y,,
2,Berrien Springs,y,"http://maps.google.com/maps?q=Berrien Springs High School - Baseball, one sylvester ave  berrien springs, MI ",45,y,,
2,Vicksburg,y,"http://maps.google.com/maps?q=Vicksburg High School, 501 East Highway Street  Vicksburg, MI 49097",46,y,,
2,Coldwater,y,"http://maps.google.com/maps?q=CHS Baseball Complex (Lowe Field), 275 N Fremont St  Coldwater, MI 49036-1297",47,y,,
2,Lake Odessa Lakewood,y,"http://maps.google.com/maps?q=lakewood high school lake odessa - Baseball, 7223 velte rd  lake odessa, MI ",48,y,,
2,Mason,y,"http://maps.google.com/maps?q=Mason High School - Baseball, 1001 S. Barnes  Mason, MI ",49,y,,
2,Adrian,y,"http://maps.google.com/maps?q=Cliff Nelson Field, 785 Riverside  Adrian, MI ",50,y,,
2,Carleton Airport,y,"http://maps.google.com/maps?q=Airport High School - Carleton, 11330 Grafton Rd  Carleton, MI 48117-9392",51,y,,
2,Trenton,y,"http://maps.google.com/maps?q=Trenton Baseball Stadium, 2601 Charlton  Trenton, MI ",52,y,,
2,Dearborn Divine Child,not done - none on campus. NW is field on central park drive,"http://maps.google.com/maps?q=Divine Child High School - Dearborn, 1001 N Silvery Lane  Dearborn, MI 48128",53,y,,
2,Livonia Clarenceville,y,"http://maps.google.com/maps?q=Baseball Field, 20155 Middlebelt Rd  Livonia, MI ",54,y,,
2,Detroit University Prep Art & Design,no field near school - The Corner?,"http://maps.google.com/maps?q=Detroit University Prep Art & Design, 485 W Milwaukee St  Detroit, MI 48202",55,y,,
2,Grosse Pointe Woods University Liggett,y,"http://maps.google.com/maps?q=University Liggett School - Baseball, 1045 Cook Rd  Grosse Pointe Woods, MI 48236, MI ",56,y,,
2,Hazel Park,y,"http://maps.google.com/maps?q=Hazel Park High School, 23400 Hughes Ave.  Hazel Park, MI 48030-1595",57,y,,
2,Richmond,y,"http://maps.google.com/maps?q=Richmond Baseball Facility, 35320 Division  Richmond , MI ",58,y,,
2,North Branch,y,"http://maps.google.com/maps?q=North Branch High School - Baseball, 6598 Brush Street  North Branch, MI ",59,y,,
2,Goodrich,y,"http://maps.google.com/maps?q=Goodrich High School - Baseball, 8029 S. Gale  Goodrich, MI ",60,y,,
2,Fowlerville,y,"http://maps.google.com/maps?q=Gehringer Field - Baseball, 7677 Sharp Road  Fowlerville, MI ",61,y,,
2,Owosso,y,"http://maps.google.com/maps?q=Owosso High School, 765 E North St  Owosso, MI 48867",62,y,,
2,Clio,y,"http://maps.google.com/maps?q=Conlee Field, 1 Mustang Drive  Clio, MI ",63,y,,
2,Saginaw Swan Valley,y,"http://maps.google.com/maps?q=Swan Valley High School, 8400 O'hern Rd  Saginaw, MI 48609",64,y,,
