team,division,district,host,nickname,color1,color2,color3,color4,score
Marquette,1,1,Marquette,Redmen/Redettes,Red , White,,,100
Midland Dow,1,2,Midland Dow,Chargers,Green , Gold,,,100
Muskegon Mona Shores,1,3,Muskegon Mona Shores,Sailors,Navy Blue,Columbia,White,,100
Grand Rapids Forest Hills Northern,1,4,Grand Rapids Forest Hills Northern,Huskies,Columbia Blue,Black,White,,100
Grandville,1,5,Grandville,Bulldogs,Maroon , White,,,100
Lowell,1,6,Lowell,Red Arrows,Red , White,,,100
Zeeland West,1,7,Zeeland West,Dux,Forest Green , Vegas Gold,,,100
Portage Northern,1,8,Portage Northern,Huskies,Brown , White,,,100
DeWitt,1,9,DeWitt,Panthers,Blue , Gold,,,100
Jackson,1,10,Jackson,Vikings,Orange,Black,White,,100
Brighton,1,11,Brighton,Bulldogs,Orange , Black,,,100
Saline,1,12,Saline,Hornets,Blue , Gold,,,100
Monroe,1,13,Monroe,Trojans,Red , White,,,100
Livonia Franklin,1,14,Livonia Franklin,Patriots,Red , Blue,,,100
Northville,1,15,Northville,Mustangs,Orange , Black,,,100
Livonia Stevenson,1,16,Livonia Stevenson,Spartans,Blue , White,,,100
Brownstown Woodhaven,1,17,Brownstown Woodhaven,Warriors,Purple , White,,,100
Allen Park,1,18,Allen Park,Jaguars,Forest Green,White,,,100
Detroit Western,1,19,Detroit Western,Cowboys/Cowgirls,Red , White,,,100
Grosse Pointe North,1,20,Grosse Pointe North,Norsemen,Green , Gold,,,100
St Clair Shores Lake Shore,1,21,St Clair Shores Lake Shore,Shorians,Red , White,,,100
Royal Oak,1,22,Royal Oak,Ravens,Black,Royal,Silver,,100
Detroit U of D Jesuit,1,23,Detroit U of D Jesuit,Cubs,Maroon , White,,,92
Bloomfield Hills Brother Rice,1,24,Bloomfield Hills Brother Rice,Warriors,Orange , Black,,,100
Sterling Heights Stevenson,1,25,Sterling Heights Stevenson,Titans,Navy Blue , White,,,100
Port Huron Northern,1,26,Port Huron Northern,Huskies,Blue , Gold,,,100
Romeo,1,27,Romeo,Bulldogs,Red , White,,,100
Auburn Hills Avondale,1,28,Auburn Hills Avondale,Yellow Jackets,Purple , Gold,,,100
West Bloomfield,1,29,West Bloomfield,Black Hawks,Black,Purple,Silver,,65
White Lake Lakeland,1,30,White Lake Lakeland,Trojans,Red , White,,,62
Oxford,1,31,Oxford,Wildcats,Navy Blue , Gold,,,100
Flushing,1,32,Flushing,Raiders,Orange , Black,,,100
Escanaba,2,33,Escanaba,Eskymos,Orange , Black,,,100
Gaylord,2,34,Gaylord,Blue Devils,Blue , Gold,,,100
Kingsley,2,35,Kingsley,Stags,Orange , Black,,,100
Bay City John Glenn,2,36,Bay City John Glenn,Bobcats,Blue , White,,,100
Newaygo,2,37,Newaygo,Lions,Black , White,,,100
Muskegon Oakridge,2,38,Muskegon Oakridge,Eagles,Blue , White,,,100
Coopersville,2,39,Coopersville,Broncos,Green , White,,,100
Belding,2,40,Belding,Black Knights,Orange , Black,,,100
Middleville Thornapple Kellogg,2,41,Middleville Thornapple Kellogg,Trojans,Orange , Black,,,100
Grand Rapids Catholic Central,2,42,Grand Rapids Catholic Central,Cougars,Royal Blue , White,,,100
Hamilton,2,43,Hamilton,Hawkeyes,Black , Gold,,,100
Wayland,2,44,Wayland,Eagles,Blue , Gold,,,67
Berrien Springs,2,45,Berrien Springs,Shamrocks,Green , White,,,100
Vicksburg,2,46,Vicksburg,Wolfpack,Red , White,,,63
Coldwater,2,47,Coldwater,Cardinals,Red , White,,,100
Lake Odessa Lakewood,2,48,Lake Odessa Lakewood,Vikings,Navy Blue , White,,,100
Mason,2,49,Mason,Bulldogs,Blue , Red,,,100
Adrian,2,50,Adrian,Maples,Royal Blue , White,,,100
Carleton Airport,2,51,Carleton Airport,Jets,Navy Blue , Gold,,,100
Trenton,2,52,Trenton,Trojans,Blue , Gold,,,100
Dearborn Divine Child,2,53,Dearborn Divine Child,Falcons,Red , Gray,,,100
Livonia Clarenceville,2,54,Livonia Clarenceville,Trojans,Red , Gray,,,100
Grosse Pointe Woods University Liggett,2,56,Grosse Pointe Woods University Liggett,Knights,Red , Navy,,,100
Hazel Park,2,57,Hazel Park,Vikings,Maroon , Grey,,,100
Richmond,2,58,Richmond,Blue Devils,Navy,White,Columbia Blue,,100
North Branch,2,59,North Branch,Broncos,Blue , White,,,100
Goodrich,2,60,Goodrich,Martians,Blue , Gold,,,100
Fowlerville,2,61,Fowlerville,Gladiators,Purple , Gold,,,100
Owosso,2,62,Owosso,Trojans,Blue , Gold,,,100
Clio,2,63,Clio,Mustangs,Orange , Black,,,100
Saginaw Swan Valley,2,64,Saginaw Swan Valley,Vikings,Purple , White,,,100
Negaunee,3,65,Negaunee,Miners,Maize , Blue,,,100
Gladstone,3,66,Gladstone,Braves,Purple , White,,,100
Charlevoix,3,67,Charlevoix,Rayders,Maroon , White,,,100
Houghton Lake,3,68,Houghton Lake,Bobcats,Green , White,,,100
Hart,3,69,Hart,Pirates,Red , White,,,100
Traverse City Christian,3,70,Traverse City Christian,Sabres,Maroon,White,Black,,100
Sanford Meridian,3,71,Sanford Meridian,Mustangs,Carolina Blue , White,,,100
Clare,3,72,Clare,Pioneers,Green , White,,,100
Watervliet,3,73,Watervliet,Panthers,Orange , Black,,,57
Galesburg-Augusta,3,74,Galesburg-Augusta,Rams,Cardinal , Gold,,,100
Grandville Calvin Christian,3,75,Grandville Calvin Christian,Squires,Green , Gold,,,100
Ravenna,3,76,Ravenna,Bulldogs,Royal Blue , White,,,100
Hemlock,3,77,Hemlock,Huskies,Navy , White,,,100
Durand,3,78,Durand,Railroaders,Blue , White,,,100
Vermontville Maple Valley,3,79,Vermontville Maple Valley,Tigers,Blue , Gold,,,53
Grand Rapids West Catholic,3,80,Grand Rapids West Catholic,Falcons,Green , White,,,100
Bridgman,3,81,Bridgman,Bees,Orange , Navy,,,100
Schoolcraft,3,82,Schoolcraft,Eagles,Purple , Gold,,,100
Hanover-Horton,3,83,Hanover-Horton,Comets,Red , White,,,100
Napoleon,3,84,Napoleon,Pirates,Green , White,,,100
Grass Lake,3,85,Grass Lake,Warriors,Navy , White,,,100
Clinton,3,86,Clinton,Redskins,Red , Black,,,100
Ottawa Lake Whiteford,3,87,Ottawa Lake Whiteford,Bobcats,Blue , Gold,,,100
Ann Arbor Greenhills,3,88,Ann Arbor Greenhills,Gryphons,Navy , Forest,,,100
Detroit Communication Media Arts,3,89,Detroit Communication Media Arts,Pharaohs,Purple,Black,White,,100
Ecorse,3,90,Ecorse,Red Raiders,Red , White,,,100
Detroit Osborn,3,91,Detroit Osborn,Knights,Red,White,,,100
Madison Heights Bishop Foley,3,92,Madison Heights Bishop Foley,Ventures,Black,Gold,White,,100
Algonac,3,93,Algonac,Muskrats,Blue , Gold,,,100
Burton Bentley,3,94,Burton Bentley,Bulldogs,Red , White,,,100
Vassar,3,95,Vassar,Wildcats,Royal Blue , Gold,,,55
Caro,3,96,Caro,Tigers,Purple , White,,,100
Painesdale Jeffers,4,97,Painesdale Jeffers,Jets,Green , White,,,100
Norway,4,98,Norway,Knights,Navy , White,,,100
Rudyard,4,99,Rudyard,Bulldogs,Orange , Black,,,100
Harbor Springs,4,100,Harbor Springs,Rams,Orange , Black,,,100
Central Lake,4,101,Central Lake,Trojans,Royal Blue , Orange,,,100
Gaylord St Mary,4,102,Gaylord St Mary,Snowbirds,Blue , White,,,100
Hillman,4,103,Hillman,Tigers,Orange , Black,,,100
Alcona,4,104,Alcona,Tigers,Blue , Gold,,,100
Frankfort,4,105,Frankfort,Panthers,Purple , Gold,,,100
Marion,4,106,Marion,Eagles,Maroon , White,,,100
Brethren,4,107,Brethren,Bobcats,Columbia Blue,Navy,White,,100
Muskegon Western Michigan Christian,4,108,Muskegon Western Michigan Christian,Warriors,Forest Green , White,,,100
Beal City,4,109,Beal City,Aggies,Blue , White,,,100
Breckenridge,4,110,Breckenridge,Huskies,Blue , Gold,,,100
Fowler,4,111,Fowler,Eagles,Blue , White,,,100
Lansing Christian,4,112,Lansing Christian,Pilgrims,Black , Gold,,,100
New Buffalo,4,113,New Buffalo,Bison,Royal Blue , Gold,,,100
Lawrence,4,114,Lawrence,Tigers,Purple , White,,,100
Martin,4,115,Martin,Clippers,Maroon , White,,,100
Mendon,4,116,Mendon,Hornets,Green , White,,,100
Colon,4,117,Colon,Magi,Red , White,,,100
East Jackson,4,118,East Jackson,Trojans,Navy Blue , White,,,100
North Adams-Jerome,4,119,North Adams-Jerome,Rams,Green , White,,,100
Morenci,4,120,Morenci,Bulldogs,Maroon , White,,,100
Harbor Beach,4,121,Harbor Beach,Pirates,Orange , Black,,,100
Kingston,4,122,Kingston,Cardinals,Red , Black,,,100
Peck,4,123,Peck,Pirates,Red , White,,,100
Genesee,4,124,Genesee,Wolves,Green , White,,,100
Sterling Heights Parkway Christian,4,125,Sterling Heights Parkway Christian,Eagles,Royal Blue,Red,White,,100
Waterford Our Lady of the Lakes,4,126,Waterford Our Lady of the Lakes,Tigers,Columbia Blue,White,Navy,,58
Riverview Gabriel Richard,4,127,Riverview Gabriel Richard,Pioneers,Burgundy , White,,,100
Plymouth Christian Academy,4,128,Plymouth Christian Academy,Eagles,Purple,Gold,,,100
