Division,Location,Link
Division 1,Royal Oak -,http://maps.google.com/maps?q=Royal+Oak+1500+Lexington+Blvd++Royal+Oak%2c+MI+48073
Division 1,Woodhaven High School - Baseball - Brownstown -,http://maps.google.com/maps?q=Woodhaven+High+School+-+Baseball+24787+Van+Horn+Rd++Brownstown%2c+MI+
Division 1,Warriors Park - Troy -,http://maps.google.com/maps?q=Warriors+Park+1525+Equity+Dr.++Troy%2c+MI+
Division 1,Hamtramck KEYWORTH STADIUM / PLAYFAIR PARK (Baseball Diamond) -,http://maps.google.com/maps?q=Hamtramck+KEYWORTH+STADIUM+%2f+PLAYFAIR+PARK+3201+Roosevelt+(%40+Gallagher)++Hamtramck%2c+MI+48212
Division 1,Wayne State University - Detroit -,http://maps.google.com/maps?q=Wayne+State+University+5101+John+C+Lodge++Detroit%2c+MI+48208
Division 1,Lakeland HS - Baseball - White Lake -,http://maps.google.com/maps?q=Lakeland+HS+-+Baseball+1630+Bogie+Lake+Road++White+Lake%2c+MI+
Division 1,Stevenson High School - Sterling Heights -,http://maps.google.com/maps?q=Stevenson+High+School+39701+Dodge+Park+Rd.++Sterling+Heights%2c+MI+
Division 1,Oxford High School - Baseball -,http://maps.google.com/maps?q=Oxford+High+School+-+Baseball+745+N.+Oxford+Rd++Oxford%2c+MI+
Division 1,Auburn Hills Avondale -,http://maps.google.com/maps?q=Auburn+Hills+Avondale+2800+Waukegan++Auburn+Hills%2c+MI+48326
Division 1,St Clair County Community College (Sanborn Park - Skippers Baseball Field) - Port Huron -,http://maps.google.com/maps?q=St+Clair+County+Community+College+1919+Sanborn+St++Port+Huron%2c+MI+48060
Division 1,Livonia Franklin -,http://maps.google.com/maps?q=Livonia+Franklin+31000+Joy+Rd++Livonia%2c+MI+48150
Division 1,DeWitt High School (Baseball Diamond) -,http://maps.google.com/maps?q=DeWitt+High+School+2957+West+Herbison+Road++DeWitt%2c+MI+48820
Division 1,Northville High School - Baseball -,http://maps.google.com/maps?q=Northville+High+School+-+Baseball+45700+W.+Six+Mile+Rd.++Northville%2c+MI+
Division 1,Saline High School - Baseball -,http://maps.google.com/maps?q=Saline+High+School+-+Baseball+1300+Campus+Parkway++Saline%2c+MI+
Division 1,Novi High School (Baseball Diamond) -,http://maps.google.com/maps?q=Novi+High+School+24062+Taft+Rd++Novi%2c+MI+48375
Division 1,Novi High School - Baseball -,http://maps.google.com/maps?q=Novi+High+School+-+Baseball+24062+Taft+Road++Novi%2c+MI+
Division 1,Grandville High School - Baseball -,http://maps.google.com/maps?q=Grandville+High+School+-+Baseball+4700+Canal+SW++Grandville%2c+MI+
Division 1,H H Dow High School - Baseball - Midland  -,http://maps.google.com/maps?q=H+H+Dow+High+School+-+Baseball+3901+N.+Saginaw+Rd.++Midland+%2c+MI+
Division 1,Portage Northern HS - Baseball -,http://maps.google.com/maps?q=Portage+Northern+HS+-+Baseball+1000+Idaho+Street++Portage%2c+MI+
Division 1,Mona Shores Baseball Field (Baseball Field) - Muskegon -,http://maps.google.com/maps?q=Mona+Shores+Baseball+Field+1121+W.+Seminole+Rd.++Muskegon%2c+MI+
Division 1,CMU - Mt Pleasant -,http://maps.google.com/maps?q=CMU+West+Campus+Drive++Mt+Pleasant%2c+MI+48859
Division 2,Berrien Springs High School - Baseball - berrien springs -,http://maps.google.com/maps?q=Berrien+Springs+High+School+-+Baseball+one+sylvester+ave++berrien+springs%2c+MI+
Division 2,Thornapple Kellogg High School - Baseball - Middleville -,http://maps.google.com/maps?q=Thornapple+Kellogg+High+School+-+Baseball+3885+Bender++Middleville%2c+MI+
Division 2,lakewood high school lake odessa - Baseball -,http://maps.google.com/maps?q=lakewood+high+school+lake+odessa+-+Baseball+7223+velte+rd++lake+odessa%2c+MI+
Division 2,Hamilton HS -,http://maps.google.com/maps?q=Hamilton+HS+4911+136th+Ave++Hamilton%2c+MI+49419
Division 2,Kalamazoo College -,http://maps.google.com/maps?q=Kalamazoo+College+1015+Academy+St++Kalamazoo%2c+MI+49006
Division 2,Gehringer Field - Baseball - Fowlerville -,http://maps.google.com/maps?q=Gehringer+Field+-+Baseball+7677+Sharp+Road++Fowlerville%2c+MI+
Division 2,Richmond Baseball Facility -,http://maps.google.com/maps?q=Richmond+Baseball+Facility+35320+Division++Richmond+%2c+MI+
Division 2,Conlee Field - Clio -,http://maps.google.com/maps?q=Conlee+Field+1+Mustang+Drive++Clio%2c+MI+
Division 2,Goodrich High School - Baseball -,http://maps.google.com/maps?q=Goodrich+High+School+-+Baseball+8029+S.+Gale++Goodrich%2c+MI+
Division 2,SVSU (Baseball Diamond) - Saginaw -,http://maps.google.com/maps?q=SVSU+7300+Davis+Rd++Saginaw%2c+MI+48604
Division 2,Clarenceville High School - Livonia (Baseball Field Behind HS) -,http://maps.google.com/maps?q=Clarenceville+High+School+-+Livonia+20155+Middlebelt+Rd.++Livonia%2c+MI+48152-2092
Division 2,Mason -,http://maps.google.com/maps?q=Mason+1001+S+Barnes+St++Mason%2c+MI+48854
Division 2,"University Liggett School - Baseball - Grosse Pointe Woods, MI 48236 -",http://maps.google.com/maps?q=University+Liggett+School+-+Baseball+1045+Cook+Rd++Grosse+Pointe+Woods%2c+MI+48236%2c+MI+
Division 2,Trenton Baseball Stadium -,http://maps.google.com/maps?q=Trenton+Baseball+Stadium+2601+Charlton++Trenton%2c+MI+
Division 2,U of M - Ann Arbor -,http://maps.google.com/maps?q=U+of+M+1114+S.+State+St++Ann+Arbor%2c+MI+48104
Division 2,University of Michigan (Ray Fisher Stadium) - Ann Arbor -,http://maps.google.com/maps?q=University+of+Michigan+1201+South+Main+Street++Ann+Arbor%2c+MI+48104
Division 2,Newaygo Baseball Field  -,http://maps.google.com/maps?q=Newaygo+Baseball+Field++850+E+76th+St++Newaygo+%2c+MI+
Division 2,Gaylord Varsity Baseball Field -,http://maps.google.com/maps?q=Gaylord+Varsity+Baseball+Field+90+Livingston+Blvd++Gaylord%2c+MI+49735
Division 2,Belding High School (Baseball Field) -,http://maps.google.com/maps?q=Belding+High+School+850+Hall+St++Belding%2c+MI+0
Division 2,Kingsley Athletic Complex -,http://maps.google.com/maps?q=Kingsley+Athletic+Complex+S.+Clark+St++Kingsley%2c+MI+
Division 2,Petoskey High School (Baseball Diamond 1) -,http://maps.google.com/maps?q=Petoskey+High+School+1500+Hill+St++Petoskey%2c+MI+49770
Division 2,Turcott Field - Petoskey -,http://maps.google.com/maps?q=Turcott+Field+1004+Charlevoix+Ave.++Petoskey%2c+MI+49770
Division 3,Algonac High School (Baseball Diamond) -,http://maps.google.com/maps?q=Algonac+High+School+5200+Taft+Rd++Algonac%2c+MI+48001-4701
Division 3,Ecorse High School (Baseball Diamond) -,http://maps.google.com/maps?q=Ecorse+High+School+27225+W+Outer+Drive++Ecorse%2c+MI+48229
Division 3,Vassar High School - Baseball -,http://maps.google.com/maps?q=Vassar+High+School+-+Baseball+220+Athletic+Street++Vassar%2c+MI+
Division 3,Bishop Foley - Baseball - Madison Heights -,http://maps.google.com/maps?q=Bishop+Foley+-+Baseball+32000+Campbell++Madison+Heights%2c+MI+
Division 4,Colon MS/HS Athletic COmplex (Colon Athletic Complex) -,http://maps.google.com/maps?q=Colon+MS%2fHS+Athletic+COmplex+400+Dallas+St.++Colon%2c+MI+
Division 4,Lawrence Fields -,http://maps.google.com/maps?q=Lawrence+Fields+650+W.+St.+Joseph+St.++Lawrence%2c+MI+
Division 4,Morenci -,http://maps.google.com/maps?q=Morenci+788+Coomer++Morenci%2c+MI+49256
Division 4,Mendon High School (John Schwartz Field) -,http://maps.google.com/maps?q=Mendon+High+School+148+Kirby+Road++Mendon%2c+MI+
Division 4,Jackson Lumen Christi -,http://maps.google.com/maps?q=Jackson+Lumen+Christi+3483+Spring+Arbor+Rd++Jackson%2c+MI+49203
Division 4,Lumen Christi Catholic High School - Baseball - Jackson -,http://maps.google.com/maps?q=Lumen+Christi+Catholic+High+School+-+Baseball+3433+Spring+Arbor+Road++Jackson%2c+MI+
Division 4,Beal City High School - Baseball - Mt. Pleasant-Beal City -,http://maps.google.com/maps?q=Beal+City+High+School+-+Baseball+++Mt.+Pleasant-Beal+City%2c+MI+
Division 4,Lockhart Field - Frankfort -,http://maps.google.com/maps?q=Lockhart+Field+534+11th+Street++Frankfort%2c+MI+
Division 4,Fowler High School -,http://maps.google.com/maps?q=Fowler+High+School+700+S+Main++Fowler%2c+MI+48835
Division 4,Warrior Field - Norton Shores -,http://maps.google.com/maps?q=Warrior+Field+455+E+Ellis+Rd++Norton+Shores%2c+MI+49442
Division 4,Holton High School (Baseball Diamond) -,http://maps.google.com/maps?q=Holton+High+School+6477+Syers+Rd++Holton%2c+MI+49425
Division 4,Holton High sChool - Baseball -,http://maps.google.com/maps?q=Holton+High+sChool+-+Baseball+6477+syers+rd++Holton%2c+MI+
Division 4,Gaylord St Mary -,http://maps.google.com/maps?q=Gaylord+St+Mary+321+N+Otsego+Ave++Gaylord%2c+MI+49735
Division 4,Norway -,http://maps.google.com/maps?q=Norway+300+Section+St++Norway%2c+MI+49870
Division 4,Hillman H.S. - Baseball -,http://maps.google.com/maps?q=Hillman+H.S.+-+Baseball+++Hillman%2c+MI+
Division 4,Kosequat Field -,http://maps.google.com/maps?q=Kosequat+Field+++%2c+MI+
Division 4,Inland Lakes High School (Baseball Field) - Indian River -,http://maps.google.com/maps?q=Inland+Lakes+High+School+4363+S+Straits+Hwy++Indian+River%2c+MI+49749
Division 4,Genesee - Baseball -,http://maps.google.com/maps?q=Genesee+-+Baseball+7347+N.+Genesee+Rd.++Genesee%2c+MI+
Division 4,Kingston High School - Baseball -,http://maps.google.com/maps?q=Kingston+High+School+-+Baseball+5970+State+St++Kingston%2c+MI+48741
Division 4,Stafford Field - Canton -,http://maps.google.com/maps?q=Stafford+Field+43065+Joy+Road+++Canton%2c+MI+
Division 4,Peck High School - Baseball -,http://maps.google.com/maps?q=Peck+High+School+-+Baseball+++Peck%2c+MI+
Division 4,Plymouth Christian (Baseball  Field) -,http://maps.google.com/maps?q=Plymouth+Christian+43065+Joy+Road++Plymouth%2c+MI+48170
