team,division,district,nickname,color1,color2,color3,color4,score
Alpena,1,1,Wildcats,Green , White,,,100
Marquette,1,1,Redmen/Redettes,Red , White,,,100
Mount Pleasant,1,1,Oilers,Blue , Gold,,,100
Traverse City Central,1,1,Trojans,Black , Gold,,,100
Warren Fitzgerald,2,57,Trojans,Black , Gold,,,53
Traverse City West,1,1,Titans,Forest Green , Vegas Gold,,,100
Bay City Central,1,2,Wolves,Purple , Gold,,,100
Bay City Western,1,2,Warriors,Brown , Gold,,,100
Midland,1,2,Chemics,Blue , Gold,,,100
Midland Dow,1,2,Chargers,Green , Gold,,,100
Saginaw Heritage,1,2,Hawks,Navy Blue , Kelly Green,,,100
Grand Haven,1,3,Buccaneers,Blue , Gold,,,100
Grand Rapids Kenowa Hills,1,3,Knights,Black , Gold,,,100
Muskegon,1,3,Big Reds,Cardinal , White,,,100
Muskegon Mona Shores,1,3,Sailors,Navy Blue,Columbia,White,,100
Muskegon Reeths-Puffer,1,3,Rockets,Green , White,,,100
Cedar Springs,1,4,Red Hawks,Red , White,,,100
Grand Rapids Forest Hills Northern,1,4,Huskies,Columbia Blue,Black,White,,100
Grand Rapids Northview,1,4,Wildcats,Red , White,,,100
Greenville,1,4,Yellow Jackets,Purple , Gold,,,100
Rockford,1,4,Rams,Black , Orange,,,100
Byron Center,1,5,Bulldogs,Orange , Black,,,100
Grand Rapids Union,1,5,Red Hawks,Red , White,,,100
Grandville,1,5,Bulldogs,Maroon , White,,,100
Jenison,1,5,Wildcats,"Green, White, ", Grey,,,100
Wyoming,1,5,Wolves,Black , Purple,,,100
Caledonia,1,6,Fighting Scots,Purple , Gold,,,100
East Kentwood,1,6,Falcons,Red , Black,,,100
Grand Rapids Forest Hills Central,1,6,Rangers,Forest Green , White,,,100
Lowell,1,6,Red Arrows,Red , White,,,100
Holland West Ottawa,1,7,Panthers,Black , White,,,100
Hudsonville,1,7,Eagles,Maize , Blue,,,100
St Joseph,1,7,Bears,Maize , Blue,,,100
Zeeland East,1,7,Chix,Brown , Gold,,,100
Zeeland West,1,7,Dux,Forest Green , Vegas Gold,,,100
Kalamazoo Central,1,8,Maroon Giants,Maroon , White,,,100
Kalamazoo Loy Norrix,1,8,Knights,Navy , White,,,100
Mattawan,1,8,Wildcats,Blue , Gold,,,100
Portage Central,1,8,Mustangs,Blue , Gold,,,100
Portage Northern,1,8,Huskies,Brown , White,,,100
Walled Lake Northern,1,30,Huskies,Brown , White,,,61
DeWitt,1,9,Panthers,Blue , Gold,,,100
East Lansing,1,9,Trojans,Blue , White,,,100
Grand Ledge,1,9,Comets,Blue , Gold,,,100
Lansing Everett,1,9,Vikings,Red , Blue,,,100
Lansing Waverly,1,9,Warriors,Black , Gold,,,100
Okemos,1,9,Chiefs,Maroon , White,,,100
Battle Creek Central,1,10,Bearcats,Navy Blue , Gold,,,100
Walled Lake Central,1,30,Bearcats,Navy Blue , Gold,,,67
