Division,District,Host,Location,Teams
1,1,Marquette,North Marquette Fields,"['Alpena', 'Mount Pleasant', 'Traverse City Central', 'Traverse City West']"
1,2,Midland Dow,H H Dow High School - Baseball - Midland ,"['Bay City Central', 'Bay City Western', 'Midland', 'Saginaw Heritage']"
1,3,Muskegon Mona Shores,Mona Shores Baseball Field (Baseball Field) - Muskegon,"['Grand Haven', 'Grand Rapids Kenowa Hills', 'Muskegon', 'Muskegon Reeths-Puffer']"
1,4,Grand Rapids Forest Hills Northern,FHN Stadium - Baseball - Grand Rapids,"['Cedar Springs', 'Grand Rapids Northview', 'Greenville', 'Rockford']"
1,5,Grandville,Grandville High School - Baseball,"['Byron Center', 'Grand Rapids Union', 'Jenison', 'Wyoming']"
1,6,Lowell,Lowell High School (Baseball Diamond),"['Caledonia', 'East Kentwood', 'Grand Rapids Forest Hills Central']"
1,7,Zeeland West,Zeeland Baseball Fields (Zeeland West Baseball Diamond - South),"['Holland West Ottawa', 'Hudsonville', 'St Joseph', 'Zeeland East']"
1,8,Portage Northern,Portage Northern HS - Baseball,"['Kalamazoo Central', 'Kalamazoo Loy Norrix', 'Mattawan', 'Portage Central']"
1,9,DeWitt,DeWitt High School (Baseball Diamond),"['East Lansing', 'Grand Ledge', 'Lansing Everett', 'Lansing Waverly', 'Okemos']"
1,10,Jackson,Glick Community Field - Jackson,"['Battle Creek Central', 'Battle Creek Lakeview', 'Holt', 'Jackson Northwest']"
1,11,Brighton,BHS Baseball - Brighton,"['Hartland', 'Howell', 'South Lyon', 'South Lyon East']"
1,12,Saline,Saline High School - Baseball,"['Ann Arbor Huron', 'Ann Arbor Pioneer', 'Ann Arbor Skyline', 'Dexter']"
1,13,Monroe,Monroe High School - Baseball,"['Belleville', 'Temperance Bedford', 'Ypsilanti Community', 'Ypsilanti Lincoln']"
1,14,Livonia Franklin,Livonia Franklin,"['Dearborn Heights Crestwood', 'Redford Thurston', 'Wayne Memorial', 'Westland John Glenn']"
1,15,Northville,Northville High School - Baseball,"['Canton', 'Livonia Churchill', 'Plymouth', 'Salem']"
1,16,Livonia Stevenson,Adlai E Stevenson HS - Livonia,"['Detroit Catholic Central', 'Farmington', 'North Farmington', 'Novi']"
1,17,Brownstown Woodhaven,Woodhaven High School - Baseball - Brownstown,"['Gibraltar Carlson', 'Southgate Anderson', 'Taylor', 'Wyandotte Roosevelt']"
1,18,Allen Park,James Gulliver Field - Baseball - Allen Park,"['Dearborn', 'Dearborn Edsel Ford', 'Lincoln Park', 'River Rouge']"
1,19,Detroit Western,Historic Hamtramck Stadium,"['Dearborn Fordson', 'Detroit Cass Tech', 'Detroit Martin Luther King', 'Hamtramck']"
1,20,Grosse Pointe North,Grosse Pointe North (Norsemen),"['Grosse Pointe South', 'Harper Woods', 'St Clair Shores Lakeview']"
