SchoolId,SportId,PopularName,ProperName,NickName,Colors,LeaugeName,LeaugeId,HeadCoach,PrimaryColorCode,ImagePath,Classification,Record,Enrollment,City,State,Address1,Address2,Zip,Phone,Fax,VanityUrl,MapURL,WebSite,IsMiddleSchool,ClassificationCalculationSteps,ClassificationCalculationStepsHtml,SportSeasonId,EnrollmentData,TicketUrl,OldSchoolId,SchoolNameWithId,Lat,Lng,Closest_Field_1,Closest_Field_2,Closest_Field_3,Distance_1,Distance_2,Distance_3,Enrollment_Class,Enrollment_Class_Calculated
3834,0,Brighton,Brighton HS,Bulldogs,Orange & Black,Kensington Lakes Activities Association,6931,,#003366,3834.jpg,A,,2060,Brighton,MI,7878 Brighton Rd,,48116,(810) 299-4185,(810) 299-4188,brighton,"https://maps.google.com/maps?q=Brighton+7878 Brighton Rd++Brighton, MI, 48116",http://www.brightonk12.com,False,[],"<table class=""TabularData"" ><tbody><tr><th width=""55"">Grade</th><th width=""35"">Boys</th><th width=""35"">Girls</th><th width=""40"">Total</th><th></th></tr><tr><td colspan=""4""></td><td rowspan=""10"" class=""calculationColumn"">Classification size is 2060.</td></tr><tr><td>9</td><td>245</td><td>245</td><td>490</td></tr><tr><td>10</td><td>229</td><td>250</td><td>479</td></tr><tr><td>11</td><td>247</td><td>252</td><td>499</td></tr><tr><td>12</td><td>249</td><td>268</td><td>517</td></tr><tr><td>Other programs draw</td><td>48</td><td>27</td><td>75</td></tr></tbody></table>",0,"[{'GradeDisplay': '9', 'GradeTypeCode': 9, 'BoysCount': 245, 'GirlsCount': 245, 'CombinedCount': 490}, {'GradeDisplay': '10', 'GradeTypeCode': 10, 'BoysCount': 229, 'GirlsCount': 250, 'CombinedCount': 479}, {'GradeDisplay': '11', 'GradeTypeCode': 11, 'BoysCount': 247, 'GirlsCount': 252, 'CombinedCount': 499}, {'GradeDisplay': '12', 'GradeTypeCode': 12, 'BoysCount': 249, 'GirlsCount': 268, 'CombinedCount': 517}, {'GradeDisplay': 'Other programs draw', 'GradeTypeCode': 20, 'BoysCount': 48, 'GirlsCount': 27, 'CombinedCount': 75}]",https://gofan.co/app/school/MI9899,1016.0,Brighton (1016),42.5257393,-83.7935917,South Lyon HS,Pinckney HS - Field 2,Pinckney HS - Field 1,8.29616292646278,8.667931869412227,8.715205669821202,Div_1,D
3835,0,Ewen-Trout Creek,Ewen-Trout Creek HS,Panthers,Black/White/Gold,Copper Mountain Conference,9453,,#003366,1024.png,D,,67,Ewen,MI,14312 Airport Rd,,49925,(906) 813-0620,(906) 813-0621,ewentrout-creek,"https://maps.google.com/maps?q=Ewen-Trout Creek+14312 Airport Rd++Ewen, MI, 49925",www.etc.k12.mi.us,False,[],"<table class=""TabularData"" ><tbody><tr><th width=""55"">Grade</th><th width=""35"">Boys</th><th width=""35"">Girls</th><th width=""40"">Total</th><th></th></tr><tr><td colspan=""4""></td><td rowspan=""10"" class=""calculationColumn"">Classification size is 67.</td></tr><tr><td>9</td><td>18</td><td>2</td><td>20</td></tr><tr><td>10</td><td>11</td><td>5</td><td>16</td></tr><tr><td>11</td><td>5</td><td>10</td><td>15</td></tr><tr><td>12</td><td>8</td><td>8</td><td>16</td></tr><tr><td>Other programs draw</td><td>0</td><td>0</td><td>0</td></tr></tbody></table>",0,"[{'GradeDisplay': '9', 'GradeTypeCode': 9, 'BoysCount': 18, 'GirlsCount': 2, 'CombinedCount': 20}, {'GradeDisplay': '10', 'GradeTypeCode': 10, 'BoysCount': 11, 'GirlsCount': 5, 'CombinedCount': 16}, {'GradeDisplay': '11', 'GradeTypeCode': 11, 'BoysCount': 5, 'GirlsCount': 10, 'CombinedCount': 15}, {'GradeDisplay': '12', 'GradeTypeCode': 12, 'BoysCount': 8, 'GirlsCount': 8, 'CombinedCount': 16}, {'GradeDisplay': 'Other programs draw', 'GradeTypeCode': 20, 'BoysCount': 0, 'GirlsCount': 0, 'CombinedCount': 0}]",https://gofan.co/app/school/MI19253,1024.0,Ewen-Trout Creek (1024),46.547144,-89.292515,Ironwood HS,L'Anse HS,Houghton High School,41.32063297707416,42.7999372096602,51.8846485431349,Div_4,A
3837,0,Roseville,Roseville HS,Panthers,Red/White/Black,Macomb Area Conference,6940,,#003366,3837.jpg,A,,1180,Roseville,MI,17855 Common Rd,,48066,(586) 445-5546,(586) 445-5577,roseville,"https://maps.google.com/maps?q=Roseville+17855 Common Rd++Roseville, MI, 48066",http://rcs.misd.net/roseville-high-school.html,False,"['Students who are 19 years of age prior to Sept. 1 and in grades 9, 10 or 11 of the current school year, are subtracted from the count for classification purposes on the Enrollment Declaration Form.']","<table class=""TabularData"" ><tbody><tr><th width=""55"">Grade</th><th width=""35"">Boys</th><th width=""35"">Girls</th><th width=""40"">Total</th><th></th></tr><tr><td colspan=""4""></td><td rowspan=""10"" class=""calculationColumn"">Classification size is 1174.<br />* Students who are 19 years of age prior to Sept. 1 and in grades 9, 10 or 11 of the current school year, are subtracted from the count for classification purposes on the Enrollment Declaration Form.</td></tr><tr><td>9</td><td>182</td><td>144</td><td>326</td></tr><tr><td>10</td><td>159</td><td>129</td><td>288</td></tr><tr><td>11</td><td>167</td><td>135</td><td>302</td></tr><tr><td>12</td><td>144</td><td>120</td><td>264</td></tr><tr><td>Other programs draw</td><td>0</td><td>0</td><td>0</td></tr></tbody></table>",0,"[{'GradeDisplay': '9', 'GradeTypeCode': 9, 'BoysCount': 182, 'GirlsCount': 144, 'CombinedCount': 326}, {'GradeDisplay': '10', 'GradeTypeCode': 10, 'BoysCount': 159, 'GirlsCount': 129, 'CombinedCount': 288}, {'GradeDisplay': '11', 'GradeTypeCode': 11, 'BoysCount': 167, 'GirlsCount': 135, 'CombinedCount': 302}, {'GradeDisplay': '12', 'GradeTypeCode': 12, 'BoysCount': 144, 'GirlsCount': 120, 'CombinedCount': 264}, {'GradeDisplay': 'Other programs draw', 'GradeTypeCode': 20, 'BoysCount': 0, 'GirlsCount': 0, 'CombinedCount': 0}]",https://gofan.co/app/school/MI10075,1040.0,Roseville (1040),42.518727,-82.93755139999999,Warren Woods Tower HS,Fraser HS,St Clair Shores Lakeshore - Kyte Monroe Park,2.345048635400247,2.346485586886361,2.78297793390092,Div_1,D
3838,0,Shepherd,Shepherd HS,BlueJays,Blue & Gold,Jack Pine Conference,6929,,#003366,3838.png,B,,486,Shepherd,MI,321 South Fourth Street,,48883,(989) 828-6601,(989) 828-5452,shepherd,"https://maps.google.com/maps?q=Shepherd+321 S. Fourth St++Shepherd, MI, 48883",http://www.shepherdschools.net/,False,[],"<table class=""TabularData"" ><tbody><tr><th width=""55"">Grade</th><th width=""35"">Boys</th><th width=""35"">Girls</th><th width=""40"">Total</th><th></th></tr><tr><td colspan=""4""></td><td rowspan=""10"" class=""calculationColumn"">Classification size is 486.</td></tr><tr><td>9</td><td>59</td><td>71</td><td>130</td></tr><tr><td>10</td><td>69</td><td>68</td><td>137</td></tr><tr><td>11</td><td>50</td><td>57</td><td>107</td></tr><tr><td>12</td><td>62</td><td>50</td><td>112</td></tr><tr><td>Other programs draw</td><td>0</td><td>0</td><td>0</td></tr></tbody></table>",0,"[{'GradeDisplay': '9', 'GradeTypeCode': 9, 'BoysCount': 59, 'GirlsCount': 71, 'CombinedCount': 130}, {'GradeDisplay': '10', 'GradeTypeCode': 10, 'BoysCount': 69, 'GirlsCount': 68, 'CombinedCount': 137}, {'GradeDisplay': '11', 'GradeTypeCode': 11, 'BoysCount': 50, 'GirlsCount': 57, 'CombinedCount': 107}, {'GradeDisplay': '12', 'GradeTypeCode': 12, 'BoysCount': 62, 'GirlsCount': 50, 'CombinedCount': 112}, {'GradeDisplay': 'Other programs draw', 'GradeTypeCode': 20, 'BoysCount': 0, 'GirlsCount': 0, 'CombinedCount': 0}]",https://gofan.co/app/school/MI3606,1057.0,Shepherd (1057),43.5219721,-84.6910674,Shepherd HS - high school,Mt Pleasant HS,Mount Pleasant HS,0.2860932787502649,5.878994510211896,5.906396859427634,Div_2,C
3839,0,Cass City,Cass City HS,Red Hawks,Maroon & White,Greater Thumb Conference,6922,,#003366,1073.JPG,C,,292,Cass City,MI,4868 N Seeger St,,48726,(989) 872-2148,(989) 872-2068,casscity,"https://maps.google.com/maps?q=Cass City+4868 N Seeger St++Cass City, MI, 48726",http://www.casscityschools.org,False,[],"<table class=""TabularData"" ><tbody><tr><th width=""55"">Grade</th><th width=""35"">Boys</th><th width=""35"">Girls</th><th width=""40"">Total</th><th></th></tr><tr><td colspan=""4""></td><td rowspan=""10"" class=""calculationColumn"">Classification size is 292.</td></tr><tr><td>9</td><td>47</td><td>41</td><td>88</td></tr><tr><td>10</td><td>44</td><td>35</td><td>79</td></tr><tr><td>11</td><td>34</td><td>28</td><td>62</td></tr><tr><td>12</td><td>31</td><td>32</td><td>63</td></tr><tr><td>Other programs draw</td><td>0</td><td>0</td><td>0</td></tr></tbody></table>",0,"[{'GradeDisplay': '9', 'GradeTypeCode': 9, 'BoysCount': 47, 'GirlsCount': 41, 'CombinedCount': 88}, {'GradeDisplay': '10', 'GradeTypeCode': 10, 'BoysCount': 44, 'GirlsCount': 35, 'CombinedCount': 79}, {'GradeDisplay': '11', 'GradeTypeCode': 11, 'BoysCount': 34, 'GirlsCount': 28, 'CombinedCount': 62}, {'GradeDisplay': '12', 'GradeTypeCode': 12, 'BoysCount': 31, 'GirlsCount': 32, 'CombinedCount': 63}, {'GradeDisplay': 'Other programs draw', 'GradeTypeCode': 20, 'BoysCount': 0, 'GirlsCount': 0, 'CombinedCount': 0}]",https://gofan.co/app/school/MI4122,1073.0,Cass City (1073),43.6112658,-83.17444259999999,Cass City HS,Ubly high School,Kingston HS,0.2029960320847288,13.716727770957858,13.897341916369614,Div_3,B
3840,0,Bloomfield Hills Andover,Andover HS,Barons,Navy & White,,0,,#003366,mhsaasize/1081.png,,,0,Bloomfield Hills,MI,4200 Andover Rd,,48302,(248) 341-5560,(248) 341-5697,andover,"https://maps.google.com/maps?q=Bloomfield Hills Andover+4200 Andover Rd++Bloomfield Hills, MI, 48302",http://andover.bloomfield.org/,False,,,0,,,1081.0,Bloomfield Hills Andover (1081),42.588463,-83.271059,Bloomfield Hills Cranbrook Kingswood HS,Cranbrook High School,Auburn Hills Avondale HS,1.3498150367462491,1.3498900899358874,3.2603628856794926,Div_4,A
3841,0,Bloomfield Hills Roeper,Roeper HS,Roughriders,Red/White/Black,Michigan Independent Ath Conf,6943,,#003366,1098.JPG,D,,166,Birmingham,MI,1051 Oakland,,48009,(248) 203-7406,(248) 642-8619,roeper,"https://maps.google.com/maps?q=Bloomfield Hills Roeper+1051 Oakland++Birmingham, MI, 48009",http://www.roeper.org/,False,[],"<table class=""TabularData"" ><tbody><tr><th width=""55"">Grade</th><th width=""35"">Boys</th><th width=""35"">Girls</th><th width=""40"">Total</th><th></th></tr><tr><td colspan=""4""></td><td rowspan=""10"" class=""calculationColumn"">Classification size is 166.</td></tr><tr><td>9</td><td>21</td><td>21</td><td>42</td></tr><tr><td>10</td><td>24</td><td>20</td><td>44</td></tr><tr><td>11</td><td>18</td><td>23</td><td>41</td></tr><tr><td>12</td><td>22</td><td>17</td><td>39</td></tr><tr><td>Other programs draw</td><td>0</td><td>0</td><td>0</td></tr></tbody></table>",0,"[{'GradeDisplay': '9', 'GradeTypeCode': 9, 'BoysCount': 21, 'GirlsCount': 21, 'CombinedCount': 42}, {'GradeDisplay': '10', 'GradeTypeCode': 10, 'BoysCount': 24, 'GirlsCount': 20, 'CombinedCount': 44}, {'GradeDisplay': '11', 'GradeTypeCode': 11, 'BoysCount': 18, 'GirlsCount': 23, 'CombinedCount': 41}, {'GradeDisplay': '12', 'GradeTypeCode': 12, 'BoysCount': 22, 'GirlsCount': 17, 'CombinedCount': 39}, {'GradeDisplay': 'Other programs draw', 'GradeTypeCode': 20, 'BoysCount': 0, 'GirlsCount': 0, 'CombinedCount': 0}]",https://gofan.co/app/school/MI10071,1098.0,Bloomfield Hills Roeper (1098),42.5501587,-83.2065604,Brother Rice High School,Birmingham Seaholm HS,Clawson HS,1.481275640583441,1.966196669591892,2.6854124035217968,Div_3,B
3842,0,Traverse City St Francis,St Francis HS,Gladiators,Navy & Vegas Gold,Lake Michigan Conference,6933,,#003366,1107.JPG,C,,356,Traverse City,MI,123 E Eleventh St,,49684,(231) 946-8038,(231) 946-1878,stfrancis,"https://maps.google.com/maps?q=Traverse City St Francis+123 E Eleventh St++Traverse City, MI, 49684",http://www.gtacs.org/sf_home.php,False,[],"<table class=""TabularData"" ><tbody><tr><th width=""55"">Grade</th><th width=""35"">Boys</th><th width=""35"">Girls</th><th width=""40"">Total</th><th></th></tr><tr><td colspan=""4""></td><td rowspan=""10"" class=""calculationColumn"">Classification size is 356.</td></tr><tr><td>9</td><td>56</td><td>53</td><td>109</td></tr><tr><td>10</td><td>32</td><td>40</td><td>72</td></tr><tr><td>11</td><td>54</td><td>35</td><td>89</td></tr><tr><td>12</td><td>44</td><td>42</td><td>86</td></tr><tr><td>Other programs draw</td><td>0</td><td>0</td><td>0</td></tr></tbody></table>",0,"[{'GradeDisplay': '9', 'GradeTypeCode': 9, 'BoysCount': 56, 'GirlsCount': 53, 'CombinedCount': 109}, {'GradeDisplay': '10', 'GradeTypeCode': 10, 'BoysCount': 32, 'GirlsCount': 40, 'CombinedCount': 72}, {'GradeDisplay': '11', 'GradeTypeCode': 11, 'BoysCount': 54, 'GirlsCount': 35, 'CombinedCount': 89}, {'GradeDisplay': '12', 'GradeTypeCode': 12, 'BoysCount': 44, 'GirlsCount': 42, 'CombinedCount': 86}, {'GradeDisplay': 'Other programs draw', 'GradeTypeCode': 20, 'BoysCount': 0, 'GirlsCount': 0, 'CombinedCount': 0}]",https://gofan.co/app/school/MI10297,1107.0,Traverse City St Francis (1107),44.7561805,-85.62212360000001,Traverse City Central HS - Old Field,Traverse City Central HS - field 1,Traverse City Central HS - field 2 (west) - high school,1.931747389731976,2.115596277052356,2.1713141479651585,Div_2,C
3843,0,East Jordan,East Jordan HS,Red Devils,Red & Black,Lake Michigan Conference,6933,,#003366,1115.JPG,C,,239,East Jordan,MI,101 Maple,PO Box 399,49727,(231) 536-2441,(231) 536-3536,eastjordan,"https://maps.google.com/maps?q=East Jordan+101 Maple+PO Box 399+East Jordan, MI, 49727",http://www.ejps.org/ejhs-main.htm,False,[],"<table class=""TabularData"" ><tbody><tr><th width=""55"">Grade</th><th width=""35"">Boys</th><th width=""35"">Girls</th><th width=""40"">Total</th><th></th></tr><tr><td colspan=""4""></td><td rowspan=""10"" class=""calculationColumn"">Classification size is 239.</td></tr><tr><td>9</td><td>29</td><td>26</td><td>55</td></tr><tr><td>10</td><td>37</td><td>29</td><td>66</td></tr><tr><td>11</td><td>22</td><td>27</td><td>49</td></tr><tr><td>12</td><td>34</td><td>35</td><td>69</td></tr><tr><td>Other programs draw</td><td>0</td><td>0</td><td>0</td></tr></tbody></table>",0,"[{'GradeDisplay': '9', 'GradeTypeCode': 9, 'BoysCount': 29, 'GirlsCount': 26, 'CombinedCount': 55}, {'GradeDisplay': '10', 'GradeTypeCode': 10, 'BoysCount': 37, 'GirlsCount': 29, 'CombinedCount': 66}, {'GradeDisplay': '11', 'GradeTypeCode': 11, 'BoysCount': 22, 'GirlsCount': 27, 'CombinedCount': 49}, {'GradeDisplay': '12', 'GradeTypeCode': 12, 'BoysCount': 34, 'GirlsCount': 35, 'CombinedCount': 69}, {'GradeDisplay': 'Other programs draw', 'GradeTypeCode': 20, 'BoysCount': 0, 'GirlsCount': 0, 'CombinedCount': 0}]",https://gofan.co/app/school/MI10288,1115.0,East Jordan (1115),45.1580628,-85.1242254,East Jordan HS,Ellsworth HS,Boyne City HS,0.4200591462072445,5.70585579099593,6.9993393438371365,Div_3,B
3844,0,Corunna,Corunna HS,Cavaliers,Black & Gold,Flint Metro League,6914,,#003366,mhsaasize/1123.png,B,,521,Corunna,MI,417 E King St,,48817,(989) 743-3441,(989) 743-5901,corunna,"https://maps.google.com/maps?q=Corunna+417 E King St++Corunna, MI, 48817",https://www.corunna.k12.mi.us/domain/528,False,[],"<table class=""TabularData"" ><tbody><tr><th width=""55"">Grade</th><th width=""35"">Boys</th><th width=""35"">Girls</th><th width=""40"">Total</th><th></th></tr><tr><td colspan=""4""></td><td rowspan=""10"" class=""calculationColumn"">Classification size is 521.</td></tr><tr><td>9</td><td>63</td><td>60</td><td>123</td></tr><tr><td>10</td><td>75</td><td>60</td><td>135</td></tr><tr><td>11</td><td>63</td><td>60</td><td>123</td></tr><tr><td>12</td><td>69</td><td>71</td><td>140</td></tr><tr><td>Other programs draw</td><td>0</td><td>0</td><td>0</td></tr></tbody></table>",0,"[{'GradeDisplay': '9', 'GradeTypeCode': 9, 'BoysCount': 63, 'GirlsCount': 60, 'CombinedCount': 123}, {'GradeDisplay': '10', 'GradeTypeCode': 10, 'BoysCount': 75, 'GirlsCount': 60, 'CombinedCount': 135}, {'GradeDisplay': '11', 'GradeTypeCode': 11, 'BoysCount': 63, 'GirlsCount': 60, 'CombinedCount': 123}, {'GradeDisplay': '12', 'GradeTypeCode': 12, 'BoysCount': 69, 'GirlsCount': 71, 'CombinedCount': 140}, {'GradeDisplay': 'Other programs draw', 'GradeTypeCode': 20, 'BoysCount': 0, 'GirlsCount': 0, 'CombinedCount': 0}]",https://gofan.co/app/school/MI4182,1123.0,Corunna (1123),42.9852703,-84.11300059999999,Corunna HS,Owosso HS,Durand HS - high school,0.1637056654925339,3.3102980835687217,8.103945461382088,Div_2,C
