Teams,Team1,Score1,Team2,Score2
"('Painesdale Jeffers', 'Ironwood')",Painesdale Jeffers,9,Ironwood,4
"('Wakefield-Marenisco', 'Ontonagon')",Wakefield-Marenisco,16,Ontonagon,1
"('Painesdale Jeffers', 'Wakefield-Marenisco')",Painesdale Jeffers,4,Wakefield-Marenisco,1
"('Norway', 'Bark River-Harris')",Norway,15,Bark River-Harris,1
"('Powers North Central', 'Crystal Falls Forest Park')",Powers North Central,17,Crystal Falls Forest Park,2
"('Norway', 'Powers North Central')",Norway,6,Powers North Central,5
"('Rudyard', 'Mackinaw City')",Rudyard,15,Mackinaw City,5
"('Mackinaw City', 'Pickford')",Mackinaw City,2,Pickford,1
"('Rudyard', 'Pellston')",Rudyard,10,Pellston,0
"('Alcona', 'St Helen Charlton Heston Academy')",Alcona,16,St Helen Charlton Heston Academy,1
"('Au Gres-Sims', 'Whittemore-Prescott')",Au Gres-Sims,11,Whittemore-Prescott,10
"('Alcona', 'Au Gres-Sims')",Alcona,18,Au Gres-Sims,8
"('Frankfort', 'Suttons Bay')",Frankfort,7,Suttons Bay,4
"('Maple City Glen Lake', 'Lake Leelanau St Mary')",Maple City Glen Lake,12,Lake Leelanau St Mary,2
"('Maple City Glen Lake', 'Frankfort')",Maple City Glen Lake,13,Frankfort,1
"('Marion', 'Fife Lake Forest Area')",Marion,15,Fife Lake Forest Area,0
"('Marion', 'Mesick')",Marion,19,Mesick,3
"('Mesick', 'Buckley')",Mesick,14,Buckley,4
"('Bear Lake', 'Manistee Catholic Central')",Bear Lake,7,Manistee Catholic Central,1
"('Bear Lake', 'Brethren')",Bear Lake,16,Brethren,0
"('Brethren', 'Mason County Eastern')",Brethren,10,Mason County Eastern,6
"('Kalamazoo Hackett Catholic Prep', 'Kalamazoo Heritage Christian')",Kalamazoo Hackett Catholic Prep,8,Kalamazoo Heritage Christian,1
"('Mendon', 'White Pigeon')",Mendon,10,White Pigeon,0
"('Kalamazoo Hackett Catholic Prep', 'Mendon')",Kalamazoo Hackett Catholic Prep,12,Mendon,2
"('Bellevue', 'Colon')",Bellevue,7,Colon,1
"('Tekonsha', 'Athens')",Tekonsha,16,Athens,1
"('Tekonsha', 'Bellevue')",Tekonsha,13,Bellevue,3
"('Concord', 'Litchfield')",Concord,5,Litchfield,0
"('Addison', 'East Jackson')",Addison,5,East Jackson,3
"('Camden-Frontier', 'Waldron')",Camden-Frontier,15,Waldron,0
"('Camden-Frontier', 'Reading')",Camden-Frontier,10,Reading,6
"('Reading', 'North Adams-Jerome')",Reading,6,North Adams-Jerome,4
"('Bay City All Saints', 'Akron-Fairgrove')",Bay City All Saints,14,Akron-Fairgrove,2
"('Unionville-Sebewaing', 'Bay City All Saints')",Unionville-Sebewaing,2,Bay City All Saints,1
"('Unionville-Sebewaing', 'Mayville')",Unionville-Sebewaing,15,Mayville,0
"('Marlette', 'Capac')",Marlette,9,Capac,8
"('Camden-Frontier', 'Pittsford')",Camden-Frontier,9,Pittsford,1
"('Wakefield-Marenisco', 'Lake Linden-Hubbell')",Wakefield-Marenisco,19,Lake Linden-Hubbell,7
"('Ironwood', ""L'Anse"")",Ironwood,7,L'Anse,0
"('Norway', 'Felch North Dickinson')",Norway,15,Felch North Dickinson,0
"('Powers North Central', 'Stephenson')",Powers North Central,15,Stephenson,0
"('Pickford', 'Brimley')",Pickford,11,Brimley,0
"('Harbor Springs Harbor Light Christian', 'Burt Lake Northern Michigan Christian')",Harbor Springs Harbor Light Christian,12,Burt Lake Northern Michigan Christian,2
"('Johannesburg-Lewiston', 'Mio')",Johannesburg-Lewiston,7,Mio,4
"('Hillman', 'Atlanta')",Hillman,10,Atlanta,0
"('Au Gres-Sims', 'Hale')",Au Gres-Sims,21,Hale,0
"('Holton', 'Baldwin')",Holton,18,Baldwin,0
"('Coleman', 'Farwell')",Coleman,13,Farwell,3
"('Merrill', 'Breckenridge')",Merrill,10,Breckenridge,1
"('Fowler', 'Portland St Patrick')",Fowler,7,Portland St Patrick,4
"('St Joseph Our Lady of the Lake Catholic', 'New Buffalo')",St Joseph Our Lady of the Lake Catholic,11,New Buffalo,1
"('Byron Center Zion Christian', 'Grand Rapids Sacred Heart')",Byron Center Zion Christian,4,Grand Rapids Sacred Heart,0
"('East Jackson', 'Vandercook Lake')",East Jackson,16,Vandercook Lake,0
"('Sand Creek', 'Adrian Lenawee Christian')",Sand Creek,17,Adrian Lenawee Christian,7
"('Bay City All Saints', 'Caseville')",Bay City All Saints,15,Caseville,0
"('Unionville-Sebewaing', 'Kingston')",Unionville-Sebewaing,8,Kingston,2
"('Rochester Hills Lutheran Northwest', 'New Haven Merritt Academy')",Rochester Hills Lutheran Northwest,7,New Haven Merritt Academy,1
"('Royal Oak Shrine Catholic', 'Clarkston Everest Collegiate')",Royal Oak Shrine Catholic,5,Clarkston Everest Collegiate,0
"('Allen Park Inter-City Baptist', 'Allen Park Cabrini')",Allen Park Inter-City Baptist,8,Allen Park Cabrini,7
"('Lutheran Westland', 'Westland Huron Valley Lutheran')",Lutheran Westland,20,Westland Huron Valley Lutheran,3
