primary_team,games,home_games,away_games,wins,home_wins,away_wins,losses,home_losses,away_losses,ties,home_ties,away_ties,overall_win_pct,home_win_pct,away_win_pct,home_avg_runs_scored,away_avg_runs_scored,runs_scored_change,home_avg_runs_allowed,away_avg_runs_allowed,runs_allowed_change,home_run_diff,away_run_diff,run_diff_change
Ada Forest Hills Eastern,39.0,19.0,20.0,32.0,14.0,18.0,7.0,5.0,2.0,0.0,0.0,0.0,0.8205128205128205,0.7368421052631579,0.9,6.421052631578948,7.9,-1.4789473684210526,3.0,2.9,0.10000000000000009,3.421052631578948,5.0,-1.5789473684210522
Addison,31.0,15.0,16.0,16.0,7.0,9.0,15.0,8.0,7.0,0.0,0.0,0.0,0.5161290322580645,0.4666666666666667,0.5625,6.2,5.5,0.7000000000000002,4.333333333333333,6.4375,-2.104166666666667,1.8666666666666671,-0.9375,2.804166666666667
Adrian,40.0,19.0,21.0,31.0,12.0,19.0,9.0,7.0,2.0,0.0,0.0,0.0,0.775,0.631578947368421,0.9047619047619048,6.473684210526316,9.857142857142858,-3.3834586466165417,3.526315789473684,2.6666666666666665,0.8596491228070176,2.947368421052632,7.190476190476192,-4.24310776942356
Adrian Lenawee Christian,12.0,4.0,8.0,1.0,0.0,1.0,11.0,4.0,7.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.125,6.75,4.125,2.625,18.75,10.625,8.125,-12.0,-6.5,-5.5
Adrian Madison,34.0,15.0,19.0,21.0,8.0,13.0,13.0,7.0,6.0,0.0,0.0,0.0,0.6176470588235294,0.5333333333333333,0.6842105263157895,7.133333333333334,10.157894736842104,-3.0245614035087707,5.866666666666666,4.0,1.8666666666666663,1.2666666666666675,6.157894736842104,-4.891228070175437
Akron-Fairgrove,22.0,9.0,13.0,8.0,6.0,2.0,13.0,3.0,10.0,1.0,0.0,1.0,0.36363636363636365,0.6666666666666666,0.15384615384615385,8.222222222222221,2.5384615384615383,5.683760683760683,5.777777777777778,10.923076923076923,-5.145299145299146,2.4444444444444438,-8.384615384615385,10.82905982905983
Alanson ,18.0,16.0,2.0,2.0,2.0,0.0,16.0,14.0,2.0,0.0,0.0,0.0,0.1111111111111111,0.125,0.0,4.8125,0.5,4.3125,12.1875,12.0,0.1875,-7.375,-11.5,4.125
Algonac,40.0,28.0,12.0,37.0,26.0,11.0,3.0,2.0,1.0,0.0,0.0,0.0,0.925,0.9285714285714286,0.9166666666666666,7.75,8.083333333333334,-0.3333333333333339,1.7142857142857142,1.9166666666666667,-0.20238095238095255,6.035714285714286,6.166666666666667,-0.13095238095238138
Allegan,24.0,14.0,10.0,10.0,4.0,6.0,13.0,10.0,3.0,1.0,0.0,1.0,0.4166666666666667,0.2857142857142857,0.6,3.857142857142857,5.7,-1.842857142857143,6.714285714285714,4.0,2.7142857142857144,-2.857142857142857,1.7000000000000002,-4.557142857142857
Allen Park,34.0,17.0,17.0,28.0,15.0,13.0,5.0,1.0,4.0,1.0,1.0,0.0,0.8235294117647058,0.8823529411764706,0.7647058823529411,6.764705882352941,7.764705882352941,-1.0,1.5294117647058822,2.4705882352941178,-0.9411764705882355,5.235294117647059,5.294117647058823,-0.0588235294117645
Allen Park Cabrini,22.0,12.0,10.0,4.0,4.0,0.0,17.0,7.0,10.0,1.0,1.0,0.0,0.18181818181818182,0.3333333333333333,0.0,5.333333333333333,1.6,3.733333333333333,5.583333333333333,11.3,-5.716666666666668,-0.25,-9.700000000000001,9.450000000000001
Allen Park Inter-City Baptist,21.0,14.0,7.0,14.0,9.0,5.0,7.0,5.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.6428571428571429,0.7142857142857143,10.285714285714286,7.714285714285714,2.571428571428572,5.571428571428571,5.428571428571429,0.14285714285714235,4.714285714285715,2.2857142857142856,2.4285714285714297
Allendale,29.0,14.0,15.0,20.0,8.0,12.0,9.0,6.0,3.0,0.0,0.0,0.0,0.6896551724137931,0.5714285714285714,0.8,3.642857142857143,5.133333333333334,-1.490476190476191,2.7142857142857144,3.7333333333333334,-1.019047619047619,0.9285714285714284,1.4000000000000004,-0.471428571428572
Alma,30.0,15.0,15.0,14.0,7.0,7.0,16.0,8.0,8.0,0.0,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,4.133333333333334,6.0,-1.8666666666666663,5.333333333333333,5.0,0.33333333333333304,-1.1999999999999993,1.0,-2.1999999999999993
Almont,29.0,12.0,17.0,15.0,6.0,9.0,14.0,6.0,8.0,0.0,0.0,0.0,0.5172413793103449,0.5,0.5294117647058824,5.75,4.882352941176471,0.867647058823529,4.833333333333333,5.0,-0.16666666666666696,0.916666666666667,-0.117647058823529,1.034313725490196
Alpena,21.0,10.0,11.0,13.0,8.0,5.0,7.0,1.0,6.0,1.0,1.0,0.0,0.6190476190476191,0.8,0.45454545454545453,10.1,4.454545454545454,5.6454545454545455,3.9,5.363636363636363,-1.4636363636363634,6.199999999999999,-0.9090909090909092,7.1090909090909085
Ann Arbor Father Gabriel Richard,28.0,17.0,11.0,12.0,7.0,5.0,16.0,10.0,6.0,0.0,0.0,0.0,0.42857142857142855,0.4117647058823529,0.45454545454545453,4.352941176470588,2.5454545454545454,1.8074866310160425,5.0,4.2727272727272725,0.7272727272727275,-0.6470588235294121,-1.727272727272727,1.080213903743315
Ann Arbor Greenhills,34.0,14.0,20.0,20.0,10.0,10.0,14.0,4.0,10.0,0.0,0.0,0.0,0.5882352941176471,0.7142857142857143,0.5,5.214285714285714,7.95,-2.7357142857142858,2.4285714285714284,4.5,-2.0714285714285716,2.785714285714286,3.45,-0.6642857142857141
Ann Arbor Huron,28.0,15.0,13.0,3.0,2.0,1.0,25.0,13.0,12.0,0.0,0.0,0.0,0.10714285714285714,0.13333333333333333,0.07692307692307693,2.8666666666666667,2.5384615384615383,0.32820512820512837,8.8,7.230769230769231,1.5692307692307699,-5.933333333333334,-4.6923076923076925,-1.241025641025641
Ann Arbor Pioneer,37.0,15.0,22.0,14.0,7.0,7.0,23.0,8.0,15.0,0.0,0.0,0.0,0.3783783783783784,0.4666666666666667,0.3181818181818182,3.2666666666666666,4.681818181818182,-1.415151515151515,4.533333333333333,5.681818181818182,-1.1484848484848484,-1.2666666666666666,-1.0,-0.2666666666666666
Ann Arbor Skyline,35.0,22.0,13.0,12.0,9.0,3.0,23.0,13.0,10.0,0.0,0.0,0.0,0.34285714285714286,0.4090909090909091,0.23076923076923078,5.2727272727272725,3.230769230769231,2.0419580419580416,4.454545454545454,5.384615384615385,-0.9300699300699309,0.8181818181818183,-2.153846153846154,2.9720279720279725
Armada,23.0,12.0,11.0,8.0,4.0,4.0,15.0,8.0,7.0,0.0,0.0,0.0,0.34782608695652173,0.3333333333333333,0.36363636363636365,2.1666666666666665,3.0,-0.8333333333333335,4.75,3.4545454545454546,1.2954545454545454,-2.5833333333333335,-0.4545454545454546,-2.128787878787879
Ashley,23.0,11.0,12.0,8.0,5.0,3.0,15.0,6.0,9.0,0.0,0.0,0.0,0.34782608695652173,0.45454545454545453,0.25,4.181818181818182,3.9166666666666665,0.26515151515151514,7.909090909090909,10.833333333333334,-2.9242424242424248,-3.7272727272727275,-6.916666666666668,3.1893939393939403
Athens,17.0,10.0,7.0,0.0,0.0,0.0,17.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.2857142857142858,0.41428571428571415,16.2,13.714285714285714,2.4857142857142858,-14.5,-12.428571428571427,-2.071428571428573
Atlanta,21.0,6.0,15.0,11.0,3.0,8.0,10.0,3.0,7.0,0.0,0.0,0.0,0.5238095238095238,0.5,0.5333333333333333,10.833333333333334,5.533333333333333,5.300000000000001,6.0,5.066666666666666,0.9333333333333336,4.833333333333334,0.4666666666666668,4.366666666666667
Au Gres-Sims,24.0,12.0,12.0,12.0,8.0,4.0,11.0,4.0,7.0,1.0,0.0,1.0,0.5,0.6666666666666666,0.3333333333333333,7.75,9.166666666666666,-1.416666666666666,6.916666666666667,7.833333333333333,-0.9166666666666661,0.833333333333333,1.333333333333333,-0.5
Auburn Hills Avondale,35.0,23.0,12.0,22.0,16.0,6.0,13.0,7.0,6.0,0.0,0.0,0.0,0.6285714285714286,0.6956521739130435,0.5,7.695652173913044,5.0,2.695652173913044,4.260869565217392,3.6666666666666665,0.5942028985507251,3.4347826086956523,1.3333333333333335,2.101449275362319
Auburn Hills Oakland Christian,26.0,11.0,15.0,12.0,5.0,7.0,14.0,6.0,8.0,0.0,0.0,0.0,0.46153846153846156,0.45454545454545453,0.4666666666666667,5.818181818181818,4.933333333333334,0.8848484848484848,5.0,6.333333333333333,-1.333333333333333,0.8181818181818183,-1.3999999999999995,2.218181818181818
Bad Axe,35.0,17.0,18.0,20.0,11.0,9.0,15.0,6.0,9.0,0.0,0.0,0.0,0.5714285714285714,0.6470588235294118,0.5,6.9411764705882355,5.388888888888889,1.5522875816993462,4.588235294117647,5.666666666666667,-1.0784313725490202,2.3529411764705888,-0.2777777777777777,2.6307189542483664
Baldwin,9.0,7.0,2.0,0.0,0.0,0.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8571428571428572,0.0,1.8571428571428572,13.285714285714286,11.0,2.2857142857142865,-11.428571428571429,-11.0,-0.4285714285714288
Bangor,23.0,9.0,14.0,3.0,1.0,2.0,20.0,8.0,12.0,0.0,0.0,0.0,0.13043478260869565,0.1111111111111111,0.14285714285714285,4.222222222222222,2.9285714285714284,1.293650793650794,16.22222222222222,13.0,3.2222222222222214,-12.0,-10.071428571428571,-1.9285714285714288
Bark River-Harris,15.0,8.0,7.0,4.0,2.0,2.0,11.0,6.0,5.0,0.0,0.0,0.0,0.26666666666666666,0.25,0.2857142857142857,5.625,3.7142857142857144,1.9107142857142856,9.5,7.285714285714286,2.2142857142857144,-3.875,-3.571428571428571,-0.3035714285714288
