,Team,Class,Enrollment,Joined,City,County,conf,conf_div
0,DeWitt Panthers,A,1013,2003,DeWitt,Clinton,CAAC,Blue Division
1,East Lansing Trojans,A,1119,2003,East Lansing,Ingham,CAAC,Blue Division
2,Grand Ledge Comets,A,1687,2003,Grand Ledge,Eaton,CAAC,Blue Division
3,Holt Rams,A,1713,2003,Delhi Township,Ingham,CAAC,Blue Division
4,Lansing Everett Vikings,A,1388,2003,Lansing,Ingham,CAAC,Blue Division
5,Lansing Waverly Warriors,A,1056,2003,Delta Township,Eaton,CAAC,Blue Division
6,Okemos Chiefs,A,1437,2003,Meridian Township,Ingham,CAAC,Blue Division
8,Fowlerville Gladiators,B,834,2003,Fowlerville,Livingston,CAAC,Red Division
9,Haslett Vikings,A,881,2003,Meridian Township,Ingham,CAAC,Red Division
10,Lansing Eastern Quakers,B,843,2003,Lansing,Ingham,CAAC,Red Division
11,Mason Bulldogs,A,964,2003,Mason,Ingham,CAAC,Red Division
12,St. Johns Redwings,A,938,2005,St. Johns,Clinton,CAAC,Red Division
13,Williamston Hornets,B,621,2003,Williamston,Ingham,CAAC,Red Division
15,Charlotte Orioles,B,780,"2003, 2017",Charlotte,Eaton,CAAC,White Division
16,Eaton Rapids Greyhounds,B,763,2003,Eaton Rapids,Eaton,CAAC,White Division
17,Ionia Bulldogs,B,844,2003,Ionia,Ionia,CAAC,White Division
18,Lansing Catholic Cougars,B,520,2003,Lansing,Ingham,CAAC,White Division
19,Lansing Sexton Big Reds,B,478,2003,Lansing,Ingham,CAAC,White Division
20,Portland Raiders,B,580,2007,Portland,Ionia,CAAC,White Division
