school_id,school_name,students,enrollment,division
9448,Macomb - Dakota HS,2876,2876,A
2237,Grand Blanc HS,2812,2812,A
5792,East Kentwood HS,2678,2678,A
6980,Dearborn - Fordson HS,2613,2613,A
3020,Shelby Township - Utica Eisenhower HS,2555,2555,A
5628,Northville HS,2509,2509,A
4183,Rockford HS,2480,2480,A
4893,Detroit - Cass Technical HS,2452,2452,A
2666,Sterling Heights - Utica Stevenson HS,2433,2433,A
1874,Clinton Township - Chippewa Valley HS,2386,2386,A
5074,Howell HS,2375,2375,A
3953,Lake Orion HS,2309,2309,A
7038,Oxford HS,2299,2299,A
1742,Troy HS,2285,2285,A
2856,Clarkston HS,2250,2250,A
3680,Ann Arbor - Pioneer HS,2185,2185,A
3747,Canton - Salem HS,2183,2183,A
2839,Canton - Plymouth HS,2140,2140,A
5116,Canton HS,2127,2127,A
6485,Holland - West Ottawa HS,2124,2124,A
7376,Dearborn HS,2075,2075,A
5140,West Bloomfield HS,2052,2052,A
1016,Brighton HS,2045,2045,A
1833,Novi HS,2033,2033,A
8077,Hudsonville HS,2026,2026,A
4101,Grand Haven HS,1944,1944,A
6832,Hartland HS,1938,1938,A
7541,Grand Rapids - Union HS,1908,1908,A
1147,Southfield HS for the Arts & Technology,1893,1893,A
3086,Fair Haven - Anchor Bay HS,1882,1882,A
4638,Novi - Detroit Catholic Central HS,933,1866,A
1825,Ann Arbor - Huron HS,1860,1860,A
1069,Bloomfield Hills HS,1851,1851,A
3730,Monroe HS,1838,1838,A
4555,Macomb - L'Anse Creuse North HS,1834,1834,A
7450,Utica HS,1828,1828,A
7013,Detroit - Western International HS,1807,1807,A
3103,Davison HS,1787,1787,A
1957,Troy - Athens HS,1775,1775,A
6510,Sterling Heights - Utica Ford II HS,1760,1760,A
6576,Grandville HS,1751,1751,A
7632,Holt HS,1745,1745,A
6584,Saline HS,1743,1743,A
1086,Lapeer HS,1732,1732,A
7748,Belleville HS,1730,1730,A
6551,Kalamazoo - Loy Norrix HS,1722,1722,A
6824,Rochester Hills - Rochester HS,1721,1721,A
1170,Taylor HS,1720,1720,A
3945,Kalamazoo Central HS,1687,1687,A
6188,Livonia - Stevenson HS,1673,1673,A
6023,Washington - Romeo HS,1658,1658,A
6213,Grand Ledge HS,1653,1653,A
9731,Traverse City West HS,1629,1629,A
4662,Brownstown Township - Woodhaven HS,1626,1626,A
2748,Commerce Township - Walled Lake Northern HS,1621,1621,A
2815,Rochester Hills - Stoney Creek HS,1619,1619,A
2032,Ann Arbor - Skyline HS,1588,1588,A
4373,Dearborn - Edsel Ford HS,1563,1563,A
4596,Westland - John Glenn HS,1555,1555,A
6733,Rochester - Adams HS,1528,1528,A
3607,Jenison HS,1508,1508,A
6898,Royal Oak HS,1505,1505,A
6948,Fraser HS,1503,1503,A
1404,Wayne Memorial HS,1488,1488,A
1313,White Lake - Lakeland HS,1486,1486,A
5784,Farmington HS,1479,1479,A
4324,Caledonia HS,1476,1476,A
5082,Walled Lake Central HS,1473,1473,A
3111,Warren Mott HS,1460,1460,A
3714,Sterling Heights HS,1459,1459,A
2146,St Clair Shores - Lakeview HS,1442,1442,A
6007,Okemos HS,1427,1427,A
6080,Highland - Milford HS,1425,1425,A
4233,Traverse City Central HS,1417,1417,A
2022,Harrison Township - L'Anse Creuse HS,1401,1401,A
4547,Saginaw - Heritage HS,1398,1398,A
1437,Portage Central HS,1393,1393,A
5842,Dearborn Heights - Crestwood HS,1388,1388,A
3648,Detroit - U of D Jesuit HS,692,1384,B
3508,Livonia - Franklin HS,1379,1379,A
2443,Grosse Pointe Farms - Grosse Pointe South HS,1373,1373,A
6122,Temperance - Bedford HS,1371,1371,A
4935,Berkley HS,1370,1370,A
6626,Birmingham - Seaholm HS,1345,1345,A
5025,Waterford Mott HS,1343,1343,A
3375,Farmington Hills - North Farmington HS,1339,1339,A
2583,Battle Creek - Lakeview HS,1338,1338,A
5850,Wyandotte - Roosevelt HS,1322,1322,A
2336,Flushing HS,1320,1320,A
2996,Lincoln Park HS,1308,1308,A
7797,Farmington Hills - Mercy HS,650,1300,B
6295,South Lyon HS,1297,1297,A
4381,Livonia - Churchill HS,1294,1294,A
1172,Warren - Cousino HS,1288,1288,A
