School,Nickname,Color1,Color2,Color3,Color4
Ada Forest Hills Eastern,Hawks,Crimson , Black,,
Addison,Panthers,Black , Red,,
Adrian,Maples,Royal Blue , White,,
Adrian Lenawee Christian,Cougars,Royal Blue,White,Scarlet,
Adrian Madison,Trojans,Blue , Gold,,
Akron-Fairgrove,Vikings,Kelly Green , White,,
Alanson,Vikings,Blue , Gold,,
Alba,Wildcats,Red , White,,
Alcona,Tigers,Blue , Gold,,
Algonac,Muskrats,Blue , Gold,,
Allegan,Tigers,Orange , Black,,
Allen Park,Jaguars,Forest Green,White,,
Allen Park Cabrini,Monarchs,Navy , Gold,,
Allen Park Inter-City Baptist,Chargers,Purple , Gold,,
Allendale,Falcons,Scarlet Red , White,,
Alma,Panthers,Orange , Black,,
Almont,Raiders,Orange , Black,,
Alpena,Wildcats,Green , White,,
Ann Arbor Central Academy,Falcons,Royal Blue , White,,
Ann Arbor Father Gabriel Richard,Irish,Green , White,,
Ann Arbor Greenhills,Gryphons,Navy , Forest,,
Ann Arbor Huron,River Rats,Green , Gold,,
Ann Arbor Pioneer,Pioneers,Purple , White,,
Ann Arbor Rudolf Steiner,Storm,Navy Blue , White,,
Ann Arbor Skyline,Eagles,Columbia Blue , White,,
Armada,Tigers,Orange , Black,,
Ashley,Bears,Royal Blue , Gold,,
Athens,Indians,Purple , White,,
Atlanta,Huskies,Green , White,,
Au Gres-Sims,Wolverines,Maroon , Gold,,
Auburn Hills Avondale,Yellow Jackets,Purple , Gold,,
Auburn Hills Christian,Cougars,Burgundy , Gray,,
Auburn Hills Oakland Christian,Lancers,Forest Green , Vegas Gold,,
Bad Axe,Hatchets,Blue , Gold,,
Baldwin,Panthers,Blue , Gold,,
Bangor,Vikings,Scarlet , White,,
Baraga,Vikings,Purple , Gold,,
Bark River-Harris,Broncos,Navy , Gold,,
Bath,Fighting Bees,Royal Blue,White,Gray,
Battle Creek Calhoun Christian,Cougars,Navy Blue , Orange,,
Battle Creek Central,Bearcats,Navy Blue , Gold,,
Battle Creek Harper Creek,Beavers,Royal Blue , White,,
Battle Creek Lakeview,Spartans,Purple , White,,
Battle Creek Pennfield,Panthers,Green , White,,
Battle Creek St Philip,Fighting Tigers,Red , White,,
Bay City Academy,Lumberjacks,Red,White,Blue,
Bay City All Saints,Cougars,Columbia Blue , White,,
Bay City Central,Wolves,Purple , Gold,,
Bay City John Glenn,Bobcats,Blue , White,,
Bay City Western,Warriors,Brown , Gold,,
Beal City,Aggies,Blue , White,,
Bear Lake,Lakers,Red , White,,
Beaver Island,Islanders,Green , White,,
Beaverton,Beavers,Red , White,,
Belding,Black Knights,Orange , Black,,
Bellaire,Eagles,Red , Black,,
Belleville,Tigers,Orange , Black,,
Bellevue,Broncos,Red , White,,
Benton Harbor,Tigers,Orange , Black,,
Benton Harbor Countryside Academy,Cougars,Blue , White,,
Benton Harbor Dream Academy,Toros,Red,White,Black,
Benzie Central,Huskies,Red , White,,
Berkley,Bears,Maroon , Blue,,
Berrien Springs,Shamrocks,Green , White,,
Bessemer,Speedboys/Speedgirls,Navy Blue , Gold,,
Big Rapids,Cardinals,Red , Blue,,
Big Rapids Crossroads Academy,Cougars,Red,White,Blue,
Birch Run,Panthers,Blue , Gold,,
Birmingham Groves,Falcons,Green , White,,
Birmingham Seaholm,Maples,Maroon , White,,
Blanchard Montabella,Mustangs,Navy Blue , White,,
Blissfield,Royals,Purple , Gold,,
Bloomfield Hills,Black Hawks,Black,Purple,Silver,
Bloomfield Hills Academy of the Sacred Heart,Gazelles,"Navy, Gold, ", White,,
Bloomfield Hills Brother Rice,Warriors,Orange , Black,,
Bloomfield Hills Cranbrook Kingswood,Cranes,Blue , Green,,
Bloomfield Hills Marian,Mustangs,Royal , Gold,,
Bloomfield Hills Roeper,Roughriders,Red,White,Black,
Bloomingdale,Cardinals,Red , White,,
Boyne City,Ramblers,Scarlet , Navy,,
Boyne City Concord Academy,Kestrels,Dark Green , Gold,,
Boyne Falls,Loggers,Green , White,,
Breckenridge,Huskies,Blue , Gold,,
Brethren,Bobcats,Columbia Blue,Navy,White,
Bridgeport,Bearcats,Red,Gold,White,
Bridgman,Bees,Orange , Navy,,
Brighton,Bulldogs,Orange , Black,,
Brighton Charyl Stockwell Prep,Sentinels,Burgundy , White,,
Brimley,Bays,Royal Blue , White,,
Brimley Ojibwe Charter,Eagles,Black,Red,White,
Britton Deerfield,Patriots,Red,White,Navy Blue,
Bronson,Vikings,Purple , Gold,,
Brooklyn Columbia Central,Golden Eagles,Blue , Gold,,
Brown City,Green Devils,Green , White,,
Brownstown Woodhaven,Warriors,Purple , White,,
Buchanan,Bucks,Maroon , White,,
Buckley,Bears,Royal Blue , Gold,,
Burr Oak,Bobcats,Royal Blue , White,,
Burt Lake Northern Michigan Christian,Eagles,Blue , White,,
