PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3
A0701317,ACADEMY OF THE SACRED HEART,2,17,1250 KENSINGTON RD,BLOOMFIELD HILLS,26125,125,MI,26,48304,2486468900,169,7.25,Yes,,103,41,15,15,27,9,22,38,14,23,19,20,30,30,406,303,0,10,10,24,244,0,15,42.5,21,1,1,3,1,2,0,3.3,3.3,7.92,80.52,0,4.95,7.12,1,OAKLAND,State or regional independent school association,Other school association(s),
A1702031,AL-IKHLAS TRAINING ACADEMY,2,17,12555 MCDOUGALL ST,DETROIT,26163,163,MI,26,48212,3133690880,180,7.75,No,,20,17,15,18,10,23,15,16,23,22,28,24,22,23,276,256,,,,,,,,17.8,11,1,1,3,2,1,,,,,,,,14.38,17,WAYNE,Islamic School League of America (ISLA),Other school association(s),
02037436,ALGOMA CHRISTIAN SCHOOL,2,17,14471 SPARTA AVE,KENT CITY,26081,081,MI,26,49330,6166787480,179,7,Yes,,10,20,15,19,14,12,17,8,18,9,15,15,16,10,198,188,0,8,3,9,168,0,0,16,42,1,1,3,2,4,0,4.25,1.59,4.78,89.36,0,0,11.75,8,KENT,Association of Christian Schools International (ACSI),,
00641077,ALL SAINTS CENTRAL MIDDLE & HIGH SCHOOL,11,17,217 S MONROE ST,BAY CITY,26017,017,MI,26,48708,9898922533,180,7.36,Yes,,,,,,,,,21,12,15,13,17,13,19,110,110,2,3,25,1,78,0,1,14.6,13,1,1,3,1,1,1.81,2.72,22.72,0.9,70.9,0,0.9,7.53,1,BAY,National Catholic Educational Association (NCEA),,
00646315,ANDREWS ACADEMY,14,17,8833 GARLAND AVE,BERRIEN SPRINGS,26021,021,MI,26,49104,2694713138,180,7.25,Yes,,,,,,,,,,,,64,76,58,65,263,263,2,36,44,46,134,1,0,14.1,31,1,1,2,2,3,0.76,13.68,16.73,17.49,50.95,0.38,0,18.65,28,BERRIEN,General Conference of the Seventh-Day Adventist Church (GCSDAC),,
01614075,AUBURN HILLS CHRISTIAN SCHOOL,2,17,PO BOX 4386,AUBURN HILLS,26125,125,MI,26,48321,2483733399,174,7,No,,12,8,8,9,12,11,6,12,10,12,11,16,14,14,155,143,1,1,5,15,115,2,4,12.5,21,1,-1,3,2,2,0.69,0.69,3.49,10.48,80.41,1.39,2.79,11.44,8,OAKLAND,School does not belong to ANY associations or organizations,,
A1301673,AUSTIN CATHOLIC HIGH SCHOOL,14,17,25925 23 MILE RD,CHESTERFIELD,26099,099,MI,26,48051,5862000143,179,6.41,Yes,,,,,,,,,,,,25,22,25,9,81,81,2,3,0,1,67,1,7,11.3,21,1,1,2,1,2,2.46,3.7,0,1.23,82.71,1.23,8.64,7.16,1,MACOMB,National Catholic Educational Association (NCEA),Other special emphasis association(s),
00643212,BARRY COUNTY CHRISTIAN SCHOOL,3,17,2999 MCKEOWN RD,HASTINGS,26015,015,MI,26,49058,2699482151,172,7,Yes,,,10,10,10,3,7,9,6,10,12,10,4,12,5,108,108,0,2,6,1,98,0,1,10,41,1,1,3,2,4,0,1.85,5.55,0.92,90.74,0,0.92,10.8,8,BARRY,Association of Christian Schools International (ACSI),,
00645876,BATTLE CREEK ACADEMY,3,17,480 PKWY DR,BATTLE CREEK,26025,025,MI,26,49037,2699651278,180,7.41,Yes,,,9,7,6,2,6,3,7,14,14,8,6,8,8,98,98,0,34,15,17,28,0,4,9,13,1,1,3,2,1,0,34.69,15.3,17.34,28.57,0,4.08,10.88,28,CALHOUN,School does not belong to ANY associations or organizations,,
A9103417,BEDFORD BIBLE CHURCH SCHOOL,2,17,21964 BEDFORD RD N,BATTLE CREEK,26025,025,MI,26,49017,2699643238,144,7,Yes,,1,,2,,3,1,1,2,1,1,3,,1,1,17,16,0,0,0,2,14,0,0,3.4,41,1,1,3,2,4,0,0,0,12.5,87.5,0,0,4.7,8,CALHOUN,Other school association(s),,
