School Name,NCES School ID,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code,Locale,Charter,Magnet,Title I School,Title 1 School Wide,Students,Teachers,Student Teacher Ratio,Free Lunch,Reduced Lunch,Directly Certified
54th Street Academy,262016008622,Kent County,173 54TH ST SW,GRAND RAPIDS,MI,49548,5611,(616)531-7433,21,Suburb: Large,No,No,Yes,Yes,66,2.4,27.5,54,2,–
Academic and Career Education Academy,260033004509,Midland County,884 EAST ISABELLA RD,MIDLAND,MI,48640,8326,(989)631-5202,41,Rural: Fringe,Yes,No,Yes,Yes,100,5.52,18.12,92,4,–
Academy 21,260858008255,Macomb County,11300 ENGLEMAN RD,WARREN,MI,48089,3535,(586)510-2062,12,City: Midsize,No,Yes,Yes,Yes,287,13.73,20.9,212,15,–
Academy for Business and Technology High School,260016601035,Wayne County,19625 WOOD ST,MELVINDALE,MI,48122,2201,(313)382-3422,21,Suburb: Large,Yes,No,Yes,Yes,281,16.8,16.73,267,2,–
Academy of Science Math and Technology Early College High Sc,262313008413,Mason County,2130 W US 10,Ludington,MI,49431,,(231)843-5935,41,Rural: Fringe,No,No,Yes,No,52,1,52,19,6,–
Academy of The Americas High School,260110308803,Wayne County,5680 KONKEL ST,DETROIT,MI,48210,3267,(313)335-1310,11,City: Large,No,No,Yes,Yes,653,37,17.65,440,11,–
Academy West Alternative Education,263597008491,Genesee County,3400 N JENNINGS RD,FLINT,MI,48504,1757,(810)591-0123,21,Suburb: Large,No,No,Yes,Yes,572,10,57.2,498,9,–
ACCE,263663008789,Washtenaw County,1076 Ecorse Road,Ypsilanti,MI,48198,,(734)221-1691,21,Suburb: Large,No,Yes,Yes,Yes,187,7.5,24.93,158,4,–
Accelerated Learning Academy,261452002043,Genesee County,1602 S AVERILL AVE,FLINT,MI,48503,4438,(810)760-1805,13,City: Small,No,No,Yes,Yes,158,10.2,15.49,151,1,–
ACE,263582008977,Oakland County,7071 ORCHARD LAKE RD,W BLOOMFIELD,MI,48322,3682,(248)865-6441,21,Suburb: Large,No,No,No,†,32,0,†,18,0,–
ACES Academy,260273001594,Alpena County,3303 S THIRD AVE,ALPENA,MI,49707,3307,(989)358-5170,33,Town: Remote,No,No,Yes,Yes,61,1.17,52.14,41,1,–
Ackerson Lake Community Education,262496001591,Jackson County,PO Box 308,Napoleon,MI,49261,308,(517)905-5712,41,Rural: Fringe,No,No,Yes,Yes,76,2.5,30.4,52,3,–
ACTech High School,263663008476,Washtenaw County,2095 Packard Road,YPSILANTI,MI,48197,1846,(734)221-1001,21,Suburb: Large,No,No,Yes,Yes,426,32,13.31,318,8,–
AD Johnston JrSr High School,260000603854,Gogebic County,100 WEST LEAD ST,BESSEMER,MI,49911,1007,(906)667-0413,42,Rural: Distant,No,No,Yes,Yes,177,12.48,14.18,89,8,–
Addison High School,260192003923,Lenawee County,219 NORTH COMSTOCK ST,ADDISON,MI,49220,9753,(517)547-6900,42,Rural: Distant,No,No,Yes,Yes,247,13.73,17.99,87,8,–
Adlai Stevenson High School,263447007009,Macomb County,39701 DODGE PARK RD,STERLING HEIGHTS,MI,48313,5131,(586)797-1900,21,Suburb: Large,No,No,Yes,Yes,1956,98.6,19.84,945,64,–
Adrian Community High School,260195002061,Lenawee County,801 EAST MAUMEE ST,ADRIAN,MI,49221,3081,(517)263-1332,32,Town: Distant,No,No,Yes,Yes,29,0,†,23,0,–
Adrian High School,260195003927,Lenawee County,785 RIVERSIDE AVE,ADRIAN,MI,49221,1467,(517)263-2181,32,Town: Distant,No,No,Yes,Yes,799,40.23,19.86,404,61,–
Advanced Technology Academy,260025507882,Wayne County,4801 OAKMAN BLVD,DEARBORN,MI,48126,3755,(313)625-4700,12,City: Midsize,Yes,Yes,Yes,Yes,1256,64.43,19.49,1123,52,–
Advantage Alternative Program,261803000962,Oakland County,1620 EAST ELZA AVE,HAZEL PARK,MI,48030,2358,(248)658-5280,21,Suburb: Large,No,No,Yes,Yes,164,5.1,32.16,132,2,–
AGBU AlexMarie Manoogian School,260010600688,Oakland County,22001 NORTHWESTERN HWY,SOUTHFIELD,MI,48075,4081,(248)569-2988,13,City: Small,Yes,No,Yes,Yes,348,24.9,13.98,197,10,–
Airport Center for Education,260198008428,Monroe County,11330 GRAFTON RD,CARLETON,MI,48117,9392,(734)654-4071,41,Rural: Fringe,No,No,Yes,Yes,100,2.08,48.08,66,2,–
Airport Middle College,260198008678,Monroe County,11330 GRAFTON RD,CARLETON,MI,48117,9392,(734)654-4071,41,Rural: Fringe,No,No,No,†,16,0,†,3,0,–
