date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id
2016-02-19,Oklahoma State,UT Arlington,Texas Arlington Tournament ,2.0,7.0,1.0,3.0,7.0,1.0,
2016-02-19,Seton Hall,Missouri, AT FORT MYERS FL,0.0,4.0,1.0,7.0,12.0,0.0,
2016-02-19,SIU Edwardsville,Louisville,,4.0,8.0,2.0,21.0,17.0,1.0,
2016-02-19,Central Michigan,Arkansas,,1.0,2.0,3.0,6.0,8.0,0.0,
2016-02-19,Missouri State,Central Arkansas,,12.0,11.0,0.0,1.0,5.0,3.0,
2016-02-19,California,Duke,,5.0,10.0,2.0,2.0,6.0,0.0,
2016-02-19,San Diego,Vanderbilt,,4.0,8.0,1.0,8.0,10.0,1.0,
2016-02-19,Georgia Southern,Georgia,,1.0,4.0,0.0,4.0,7.0,1.0,
2016-02-19,Memphis,Tennessee,,4.0,9.0,3.0,8.0,8.0,1.0,
2016-02-19,UNLV,Texas,,4.0,8.0,2.0,3.0,8.0,2.0,
2016-02-19,Rutgers,Miami,,1.0,5.0,2.0,4.0,9.0,1.0,
2016-02-19,Arizona,Rice,,8.0,6.0,0.0,1.0,4.0,3.0,
2016-02-19,Hofstra,Texas A&M,,2.0,10.0,2.0,5.0,7.0,1.0,
2016-02-19,Villanova,Houston,,1.0,3.0,2.0,13.0,12.0,1.0,
2016-02-19,North Dakota,USC,,1.0,5.0,1.0,0.0,3.0,1.0,
2016-02-19,Oregon,San Diego State,,8.0,7.0,2.0,2.0,7.0,2.0,
2016-02-19,Old Dominion,NC State,Caravelle Resort Tournament ,5.0,7.0,2.0,0.0,3.0,4.0,
2016-02-19,Ball State,Oregon State,Surprise College Baseball Classic AT SURPRISE AZ,6.0,7.0,1.0,7.0,13.0,0.0,
2016-02-19,Albany,South Carolina,,1.0,4.0,0.0,10.0,10.0,0.0,
2016-02-19,Sacramento State,Auburn,,5.0,7.0,1.0,10.0,14.0,7.0,
2016-02-19,Kent State,Virginia,Caravelle Resort Tournament ,6.0,9.0,2.0,8.0,11.0,0.0,
2016-02-19,Rhode Island,Florida State,,1.0,5.0,6.0,19.0,17.0,0.0,
2016-02-19,Florida International,Ole Miss,,2.0,3.0,2.0,9.0,10.0,0.0,
2016-02-19,Kentucky,Wofford,,4.0,8.0,1.0,5.0,12.0,1.0,
2016-02-19,Florida Atlantic,Mississippi State,,10.0,12.0,0.0,6.0,17.0,2.0,
2016-02-19,Florida Gulf Coast,Florida,,2.0,7.0,1.0,4.0,6.0,0.0,
2016-02-19,Sam Houston,Louisiana,,1.0,4.0,1.0,2.0,4.0,1.0,
2016-02-19,Maryland,Alabama,,1.0,5.0,0.0,3.0,5.0,2.0,
2016-02-19,Loyola Marymount,TCU,,5.0,7.0,1.0,3.0,12.0,2.0,
2016-02-19,Cincinnati,LSU,,5.0,6.0,4.0,6.0,8.0,1.0,
2016-02-19,North Carolina,UCLA,,4.0,9.0,0.0,0.0,5.0,0.0,
2016-02-19,Cal State Fullerton,Stanford,,,,,,,,
2016-02-20,Kentucky,George Mason, AT SPARTANBURG SC,8.0,13.0,2.0,6.0,6.0,1.0,
2016-02-20,South Dakota State,Mississippi State,,4.0,13.0,1.0,17.0,17.0,1.0,
2016-02-20,Memphis,Tennessee,,13.0,15.0,0.0,8.0,13.0,3.0,
2016-02-20,Georgia Southern,Georgia,,5.0,8.0,0.0,3.0,4.0,0.0,
2016-02-20,Sacramento State,Auburn,,6.0,9.0,2.0,5.0,8.0,0.0,
2016-02-20,NC State,Coastal Carolina,Caravelle Resort Tournament ,13.0,14.0,1.0,10.0,14.0,1.0,
2016-02-20,Rhode Island,Florida State,,1.0,6.0,0.0,8.0,9.0,2.0,
2016-02-20,UNLV,Texas,,2.0,8.0,5.0,11.0,13.0,1.0,
2016-02-20,Cincinnati,LSU,,0.0,4.0,0.0,4.0,6.0,1.0,
2016-02-20,Sam Houston,Louisiana,,2.0,6.0,2.0,6.0,12.0,0.0,
2016-02-20,Central Michigan,Arkansas,,3.0,7.0,1.0,4.0,9.0,0.0,
2016-02-20,Florida Gulf Coast,Florida,,4.0,4.0,0.0,8.0,15.0,2.0,
2016-02-20,Cal State Fullerton,Stanford,,0.0,4.0,0.0,2.0,5.0,0.0,
2016-02-20,Utah Valley,Oregon State,Surprise College Baseball Classic AT SURPRISE AZ,12.0,13.0,1.0,9.0,15.0,2.0,
