date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id,image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation
2016-02-19,SIU Edwardsville,Louisville,,4.0,8.0,2.0,21.0,17.0,1.0,,,Jim Patterson Stadium,Louisville,KY,Louisville,Atlantic Coast,4000,2005,,38.2055156,-85.7628651,140.28662109375
2016-02-19,Central Michigan,Arkansas,,1.0,2.0,3.0,6.0,8.0,0.0,,,Baum–Walker Stadium,Fayetteville,AR,Arkansas,Southeastern,13472,1996,,36.0498883,-94.1822406,374.5051879882812
2016-02-19,Missouri State,Central Arkansas,,12.0,11.0,0.0,1.0,5.0,3.0,,,Bear Stadium,Conway,AR,Central Arkansas,ASUN,1000,2009,,35.0832533,-92.459899,96.23611450195312
2016-02-19,California,Duke,,5.0,10.0,2.0,2.0,6.0,0.0,,,Jack Coombs Field,Durham,NC,Duke,Atlantic Coast,2000,1931,,35.9980856,-78.94423610000001,125.2663421630859
2016-02-19,San Diego,Vanderbilt,,4.0,8.0,1.0,8.0,10.0,1.0,,,Hawkins Field,Nashville,TN,Vanderbilt,Southeastern,3626,2002,,36.1433984,-86.8073934,161.9081268310547
2016-02-19,Georgia Southern,Georgia,,1.0,4.0,0.0,4.0,7.0,1.0,,,Foley Field,Athens,GA,Georgia,Southeastern,3291,1966renovated 2015,,33.9408739,-83.37970969999999,209.9534606933594
2016-02-19,Memphis,Tennessee,,4.0,9.0,3.0,8.0,8.0,1.0,,,Lindsey Nelson Stadium,Knoxville,TN,Tennessee,Southeastern,4387,1959rebuilt 1993,,35.949736,-83.92927000000002,275.599609375
2016-02-19,UNLV,Texas,,4.0,8.0,2.0,3.0,8.0,2.0,,,UFCU Disch–Falk Field,Austin,TX,Texas,Big 12,7373,1975,[14],30.2799584,-97.7261606,176.8224334716797
2016-02-19,Rutgers,Miami,,1.0,5.0,2.0,4.0,9.0,1.0,,,,,,,,,,,,,
2016-02-19,Arizona,Rice,,8.0,6.0,0.0,1.0,4.0,3.0,,,Reckling Park,Houston,TX,Rice,The American,6193,2000,,29.7132708,-95.404089,14.29854393005371
2016-02-19,Hofstra,Texas A&M,,2.0,10.0,2.0,5.0,7.0,1.0,,,Olsen Field at Blue Bell Park,College Station,TX,Texas A&M,Southeastern,6100,1978renovated 2014,,30.6060601,-96.3413557,103.0995330810547
2016-02-19,Villanova,Houston,,1.0,3.0,2.0,13.0,12.0,1.0,,,Schroeder Park,Houston,TX,Houston,Big 12,5000,1995,,29.7267987,-95.3453574,11.68445110321045
2016-02-19,North Dakota,USC,,1.0,5.0,1.0,0.0,3.0,1.0,,,Dedeaux Field,Los Angeles,CA,USC,Pac-12,2500,1974,,34.0238376,-118.2898635,53.52592468261719
2016-02-19,Oregon,San Diego State,,8.0,7.0,2.0,2.0,7.0,2.0,,,Tony Gwynn Stadium,San Diego,CA,San Diego State,Mountain West,3000,1997,,32.774026,-117.0788554,133.0369110107422
2016-02-19,Albany,South Carolina,,1.0,4.0,0.0,10.0,10.0,0.0,,,Founders Park,Columbia,SC,South Carolina,Southeastern,8242,2009,,33.9865404,-81.042621,52.44177627563477
2016-02-19,Sacramento State,Auburn,,5.0,7.0,1.0,10.0,14.0,7.0,,,Samford Stadium – Hitchcock Field at Plainsman Park,Auburn,AL,Auburn,Southeastern,4096,1950rebuilt 1996,,32.5996377,-85.48956489999999,193.3800048828125
2016-02-19,Rhode Island,Florida State,,1.0,5.0,6.0,19.0,17.0,0.0,,,Mike Martin Field at Dick Howser Stadium,Tallahassee,FL,Florida State,Atlantic Coast,6700,1983,,30.4405434,-84.3040448,21.59014511108398
2016-02-19,Florida International,Ole Miss,,2.0,3.0,2.0,9.0,10.0,0.0,,,,,,,,,,,,,
2016-02-19,Kentucky,Wofford,,4.0,8.0,1.0,5.0,12.0,1.0,,,Russell C. King Field,Spartanburg,SC,Wofford,Southern,2500,2004,,34.9588822,-81.9307341,234.9904327392578
