date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id,image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation,weather_data
2016-02-19,SIU Edwardsville,Louisville,,4.0,8.0,2.0,21.0,17.0,1.0,,,Jim Patterson Stadium,Louisville,KY,Louisville,Atlantic Coast,4000,2005,,38.2055156,-85.7628651,140.28662109375,"{'lat': 38.2055156, 'lon': -85.7628651, 'tz': '-05:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 31.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 43.48, 'max': 65.48, 'afternoon': 62.91, 'night': 43.86, 'evening': 63.43, 'morning': 49.48}, 'pressure': {'afternoon': 1017.0}, 'wind': {'max': {'speed': 28.86, 'direction': 230.0}}}"
2016-02-19,Central Michigan,Arkansas,,1.0,2.0,3.0,6.0,8.0,0.0,,,Baum–Walker Stadium,Fayetteville,AR,Arkansas,Southeastern,13472,1996,,36.0498883,-94.1822406,374.5051879882812,"{'lat': 36.0498883, 'lon': -94.1822406, 'tz': '-06:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 69.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 57.47, 'max': 69.91, 'afternoon': 67.84, 'night': 63.61, 'evening': 65.08, 'morning': 59.02}, 'pressure': {'afternoon': 1018.0}, 'wind': {'max': {'speed': 26.4, 'direction': 190.0}}}"
2016-02-19,Missouri State,Central Arkansas,,12.0,11.0,0.0,1.0,5.0,3.0,,,Bear Stadium,Conway,AR,Central Arkansas,ASUN,1000,2009,,35.0832533,-92.459899,96.23611450195312,"{'lat': 35.0832533, 'lon': -92.459899, 'tz': '-06:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 90.0}, 'humidity': {'afternoon': 57.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 56.98, 'max': 71.64, 'afternoon': 69.35, 'night': 62.19, 'evening': 67.87, 'morning': 57.65}, 'pressure': {'afternoon': 1019.0}, 'wind': {'max': {'speed': 20.8, 'direction': 210.0}}}"
2016-02-19,California,Duke,,5.0,10.0,2.0,2.0,6.0,0.0,,,Jack Coombs Field,Durham,NC,Duke,Atlantic Coast,2000,1931,,35.9980856,-78.94423610000001,125.2663421630859,"{'lat': 35.9980856, 'lon': -78.94423610000001, 'tz': '-05:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 34.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 28.44, 'max': 51.96, 'afternoon': 46.17, 'night': 34.77, 'evening': 47.82, 'morning': 28.58}, 'pressure': {'afternoon': 1035.0}, 'wind': {'max': {'speed': 10.29, 'direction': 190.0}}}"
2016-02-19,San Diego,Vanderbilt,,4.0,8.0,1.0,8.0,10.0,1.0,,,Hawkins Field,Nashville,TN,Vanderbilt,Southeastern,3626,2002,,36.1433984,-86.8073934,161.9081268310547,"{'lat': 36.1433984, 'lon': -86.8073934, 'tz': '-06:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 29.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 50.47, 'max': 69.64, 'afternoon': 66.11, 'night': 50.81, 'evening': 65.61, 'morning': 50.47}, 'pressure': {'afternoon': 1021.0}, 'wind': {'max': {'speed': 29.97, 'direction': 190.0}}}"
2016-02-19,Georgia Southern,Georgia,,1.0,4.0,0.0,4.0,7.0,1.0,,,Foley Field,Athens,GA,Georgia,Southeastern,3291,1966renovated 2015,,33.9408739,-83.37970969999999,209.9534606933594,"{'lat': 33.9408739, 'lon': -83.37970969999999, 'tz': '-05:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 40.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 35.02, 'max': 64.38, 'afternoon': 57.16, 'night': 42.91, 'evening': 60.1, 'morning': 35.24}, 'pressure': {'afternoon': 1032.0}, 'wind': {'max': {'speed': 10.29, 'direction': 180.0}}}"
2016-02-19,Memphis,Tennessee,,4.0,9.0,3.0,8.0,8.0,1.0,,,Lindsey Nelson Stadium,Knoxville,TN,Tennessee,Southeastern,4387,1959rebuilt 1993,,35.949736,-83.92927000000002,275.599609375,"{'lat': 35.949736, 'lon': -83.92927000000002, 'tz': '-05:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 20.0}, 'humidity': {'afternoon': 37.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 32.56, 'max': 65.12, 'afternoon': 60.78, 'night': 36.0, 'evening': 61.92, 'morning': 32.76}, 'pressure': {'afternoon': 1026.0}, 'wind': {'max': {'speed': 27.74, 'direction': 220.0}}}"
2016-02-19,UNLV,Texas,,4.0,8.0,2.0,3.0,8.0,2.0,,,UFCU Disch–Falk Field,Austin,TX,Texas,Big 12,7373,1975,[14],30.2799584,-97.7261606,176.8224334716797,"{'lat': 30.2799584, 'lon': -97.7261606, 'tz': '-06:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 53.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 63.23, 'max': 80.01, 'afternoon': 73.17, 'night': 63.45, 'evening': 77.76, 'morning': 63.34}, 'pressure': {'afternoon': 1021.0}, 'wind': {'max': {'speed': 13.87, 'direction': 190.0}}}"
2016-02-19,Rutgers,Miami,,1.0,5.0,2.0,4.0,9.0,1.0,,,,,,,,,,,,,,failed
2016-02-19,Arizona,Rice,,8.0,6.0,0.0,1.0,4.0,3.0,,,Reckling Park,Houston,TX,Rice,The American,6193,2000,,29.7132708,-95.404089,14.29854393005371,"{'lat': 29.7132708, 'lon': -95.404089, 'tz': '-06:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 20.0}, 'humidity': {'afternoon': 50.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 62.06, 'max': 78.46, 'afternoon': 76.46, 'night': 64.35, 'evening': 71.96, 'morning': 62.49}, 'pressure': {'afternoon': 1022.0}, 'wind': {'max': {'speed': 17.22, 'direction': 130.0}}}"
2016-02-19,Hofstra,Texas A&M,,2.0,10.0,2.0,5.0,7.0,1.0,,,Olsen Field at Blue Bell Park,College Station,TX,Texas A&M,Southeastern,6100,1978renovated 2014,,30.6060601,-96.3413557,103.0995330810547,"{'lat': 30.6060601, 'lon': -96.3413557, 'tz': '-06:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 90.0}, 'humidity': {'afternoon': 63.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 60.21, 'max': 79.05, 'afternoon': 72.59, 'night': 62.92, 'evening': 75.76, 'morning': 60.35}, 'pressure': {'afternoon': 1022.0}, 'wind': {'max': {'speed': 18.34, 'direction': 150.0}}}"
2016-02-19,Villanova,Houston,,1.0,3.0,2.0,13.0,12.0,1.0,,,Schroeder Park,Houston,TX,Houston,Big 12,5000,1995,,29.7267987,-95.3453574,11.68445110321045,"{'lat': 29.7267987, 'lon': -95.3453574, 'tz': '-06:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 20.0}, 'humidity': {'afternoon': 50.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 62.38, 'max': 78.08, 'afternoon': 76.12, 'night': 64.51, 'evening': 72.3, 'morning': 63.05}, 'pressure': {'afternoon': 1022.0}, 'wind': {'max': {'speed': 17.22, 'direction': 130.0}}}"
2016-02-19,North Dakota,USC,,1.0,5.0,1.0,0.0,3.0,1.0,,,Dedeaux Field,Los Angeles,CA,USC,Pac-12,2500,1974,,34.0238376,-118.2898635,53.52592468261719,"{'lat': 34.0238376, 'lon': -118.2898635, 'tz': '-08:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 54.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 50.9, 'max': 65.46, 'afternoon': 64.2, 'night': 55.74, 'evening': 61.11, 'morning': 50.9}, 'pressure': {'afternoon': 1020.0}, 'wind': {'max': {'speed': 8.05, 'direction': 240.0}}}"
2016-02-19,Oregon,San Diego State,,8.0,7.0,2.0,2.0,7.0,2.0,,,Tony Gwynn Stadium,San Diego,CA,San Diego State,Mountain West,3000,1997,,32.774026,-117.0788554,133.0369110107422,"{'lat': 32.774026, 'lon': -117.0788554, 'tz': '-08:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 58.0}, 'precipitation': {'total': 0.5}, 'temperature': {'min': 51.28, 'max': 66.24, 'afternoon': 65.12, 'night': 54.21, 'evening': 59.85, 'morning': 51.3}, 'pressure': {'afternoon': 1019.0}, 'wind': {'max': {'speed': 11.41, 'direction': 270.0}}}"
2016-02-19,Albany,South Carolina,,1.0,4.0,0.0,10.0,10.0,0.0,,,Founders Park,Columbia,SC,South Carolina,Southeastern,8242,2009,,33.9865404,-81.042621,52.44177627563477,"{'lat': 33.9865404, 'lon': -81.042621, 'tz': '-05:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 36.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 31.68, 'max': 60.46, 'afternoon': 54.57, 'night': 37.96, 'evening': 57.33, 'morning': 32.65}, 'pressure': {'afternoon': 1034.0}, 'wind': {'max': {'speed': 9.73, 'direction': 176.0}}}"
2016-02-19,Sacramento State,Auburn,,5.0,7.0,1.0,10.0,14.0,7.0,,,Samford Stadium – Hitchcock Field at Plainsman Park,Auburn,AL,Auburn,Southeastern,4096,1950rebuilt 1996,,32.5996377,-85.48956489999999,193.3800048828125,"{'lat': 32.5996377, 'lon': -85.48956489999999, 'tz': '-06:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 41.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 39.47, 'max': 69.39, 'afternoon': 64.11, 'night': 44.37, 'evening': 62.47, 'morning': 39.47}, 'pressure': {'afternoon': 1029.0}, 'wind': {'max': {'speed': 16.11, 'direction': 170.0}}}"
2016-02-19,Rhode Island,Florida State,,1.0,5.0,6.0,19.0,17.0,0.0,,,Mike Martin Field at Dick Howser Stadium,Tallahassee,FL,Florida State,Atlantic Coast,6700,1983,,30.4405434,-84.3040448,21.59014511108398,"{'lat': 30.4405434, 'lon': -84.3040448, 'tz': '-05:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 41.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 42.55, 'max': 71.65, 'afternoon': 66.06, 'night': 48.36, 'evening': 67.86, 'morning': 42.98}, 'pressure': {'afternoon': 1031.0}, 'wind': {'max': {'speed': 10.29, 'direction': 90.0}}}"
