date,time,conference,game,loc_1,road_team,road_score,home_team,home_score
"Tuesday, May 23",11:00 am,Atlantic Coast Conference,1,"Durham, NC",Virginia Tech,7,Boston College,11
"Tuesday, May 23",3:30 pm,Atlantic Coast Conference,2,"Durham, NC",Georgia Tech,5,North Carolina,11
"Tuesday, May 23",7:00 pm,Atlantic Coast Conference,3,"Durham, NC",NC State,8,Duke,7
"Wednesday, May 24",11:00 am,Atlantic Coast Conference,4,"Durham, NC",Pittsburgh,9,Notre Dame,5
"Wednesday, May 24",3:00 pm,Atlantic Coast Conference,5,"Durham, NC",Virginia,15,Georgia Tech,1
"Wednesday, May 24",7:00 pm,Atlantic Coast Conference,6,"Durham, NC",Virginia Tech,,Clemson,
"Thursday, May 25",11:00 am,Atlantic Coast Conference,7,"Durham, NC",Pittsburgh,,Wake Forest,
"Thursday, May 25",3:00 pm,Atlantic Coast Conference,8,"Durham, NC",North Carolina,,Virginia,
"Thursday, May 25",7:00 pm,Atlantic Coast Conference,9,"Durham, NC",NC State,,Miami,
"Friday, May 26",11:00 am,Atlantic Coast Conference,10,"Durham, NC",Boston College,,Clemson,
"Friday, May 26",3:00 pm,Atlantic Coast Conference,11,"Durham, NC",Duke,,Miami,
"Friday, May 26",7:00 pm,Atlantic Coast Conference,12,"Durham, NC",Notre Dame,,Wake Forest,
"Wednesday, May 24",1:00 pm,America East Conference,1,"Binghamton, NY",UMass Lowell,6,Bryant,0
"Wednesday, May 24",5:00 pm,America East Conference,2,"Binghamton, NY",New Jersey Tech,6,Binghamton,14
"Thursday, May 25",11:00 am,America East Conference,3,"Binghamton, NY",TBA,,Maine,
"Thursday, May 25",3:00 pm,America East Conference,4,"Binghamton, NY",TBA,,UMBC,
"Tuesday, May 23",9:00 pm,American Athletic,1,"Clearwater, FL",Cincinnati,3,UCF,4
"Tuesday, May 23",12:30 pm,American Athletic,2,"Clearwater, FL",South Florida,12,East Carolina,11
"Tuesday, May 23",5:30 pm,American Athletic,3,"Clearwater, FL",Tulane,10,Houston,8
"Tuesday, May 23",7:30 pm,American Athletic,4,"Clearwater, FL",Memphis,10,Wichita State,6
"Wednesday, May 24",3:00 pm,American Athletic,5,"Clearwater, FL",Cincinnati,6,East Carolina,5
"Wednesday, May 24",6:30 pm,American Athletic,6,"Clearwater, FL",Wichita State,,Houston,
"Thursday, May 25",1:00 pm,American Athletic,7,"Clearwater, FL",South Florida,,UCF,
"Thursday, May 25",4:30 pm,American Athletic,8,"Clearwater, FL",Tulane,,Memphis,
"Tuesday, May 23",11:00 am,Atlantic 10 Conference,101,"Richmond, VA",Richmond,3,Saint Louis,6
"Tuesday, May 23",3:00 pm,Atlantic 10 Conference,102,"Richmond, VA",Rhode Island,4,Davidson,8
"Tuesday, May 23",7:00 pm,Atlantic 10 Conference,103,"Richmond, VA",George Mason,5,Dayton,4
"Wednesday, May 24",11:00 am,Atlantic 10 Conference,104,"Richmond, VA",Saint Louis,23,Saint Joseph's,8
"Wednesday, May 24",3:00 pm,Atlantic 10 Conference,105,"Richmond, VA",Davidson,11,George Mason,15
"Wednesday, May 24",7:00 pm,Atlantic 10 Conference,106,"Richmond, VA",Rhode Island,,Richmond,
"Thursday, May 25",11:00 am,Atlantic 10 Conference,107,"Richmond, VA",TBA,,Dayton,
"Tuesday, May 23",10:00 am,Atlantic Sun Conference,1,"DeLand, FL",Liberty,12,Lipscomb,11
"Tuesday, May 23",2:30 pm,Atlantic Sun Conference,2,"DeLand, FL",Jacksonville,0,Florida Gulf Coast,7
"Tuesday, May 23",7:00 pm,Atlantic Sun Conference,3,"DeLand, FL",Eastern Kentucky,3,Stetson,8
"Wednesday, May 24",10:00 am,Atlantic Sun Conference,4,"DeLand, FL",Jacksonville,8,Liberty,0
"Wednesday, May 24",3:30 pm,Atlantic Sun Conference,5,"DeLand, FL",Jacksonville State,6,Stetson,1
"Wednesday, May 24",7:00 pm,Atlantic Sun Conference,6,"DeLand, FL",Austin Peay,,Eastern Kentucky,
"Thursday, May 25",10:00 am,Atlantic Sun Conference,7,"DeLand, FL",Florida Gulf Coast,,Lipscomb,
"Thursday, May 25",2:30 pm,Atlantic Sun Conference,8,"DeLand, FL",Austin Peay,,Stetson,
"Thursday, May 25",7:00 pm,Atlantic Sun Conference,9,"DeLand, FL",Jacksonville State,,Eastern Kentucky,
"Friday, May 26",10:00 am,Atlantic Sun Conference,10,"DeLand, FL",Jacksonville,,Lipscomb,
"Friday, May 26",2:30 pm,Atlantic Sun Conference,11,"DeLand, FL",Liberty,,Florida Gulf Coast,
"Friday, May 26",7:00 pm,Atlantic Sun Conference,12,"DeLand, FL",Austin Peay,,Jacksonville State,
"Wednesday, May 24",10:00 am,Big 12 Conference,1,"Arlington, TX",Kansas State,3,TCU,16
"Wednesday, May 24",1:30 pm,Big 12 Conference,2,"Arlington, TX",Kansas,6,Texas,3
"Wednesday, May 24",5:00 pm,Big 12 Conference,3,"Arlington, TX",Oklahoma,9,Oklahoma State,5
"Wednesday, May 24",8:30 pm,Big 12 Conference,4,"Arlington, TX",Texas Tech,,West Virginia,
"Thursday, May 25",10:00 am,Big 12 Conference,5,"Arlington, TX",TBA,,Kansas State,
"Thursday, May 25",5:00 pm,Big 12 Conference,7,"Arlington, TX",TBA,,TCU,
"Wednesday, May 24",2:30 pm,Big East Conference,1,"Mason, OH",Georgetown,4,Connecticut,5
"Wednesday, May 24",6:30 pm,Big East Conference,2,"Mason, OH",Seton Hall,0,Xavier,0
"Thursday, May 25",1:00 pm,Big South Conference,1,"High Point, NC",Gardner-Webb,,Campbell,
"Thursday, May 25",5:00 pm,Big South Conference,2,"High Point, NC",Winthrop,,USC Upstate,
"Tuesday, May 23",11:00 am,Big Ten Conference,101,"Omaha, NE",Michigan,3,Iowa,13
"Tuesday, May 23",3:00 pm,Big Ten Conference,102,"Omaha, NE",Illinois,3,Indiana,4
"Tuesday, May 23",6:45 pm,Big Ten Conference,103,"Omaha, NE",Michigan State,2,Maryland,3
"Wednesday, May 24",3:00 pm,Big Ten Conference,104,"Omaha, NE",Rutgers,6,Nebraska,7
"Wednesday, May 24",8:00 pm,Big Ten Conference,105,"Omaha, NE",Illinois,,Michigan,
"Thursday, May 25",3:00 pm,Big Ten Conference,107,"Omaha, NE",TBA,,Iowa,
"Wednesday, May 24",12:00 pm,Colonial Athletic Association,1,"Mt. Pleasant, SC",Delaware,7,College of Charleston,4
"Wednesday, May 24",4:00 pm,Colonial Athletic Association,2,"Mt. Pleasant, SC",William & Mary,0,Northeastern,6
"Thursday, May 25",3:00 pm,Colonial Athletic Association,4,"Mt. Pleasant, SC",TBA,,UNC Wilmington,
"Thursday, May 25",7:00 pm,Colonial Athletic Association,5,"Mt. Pleasant, SC",TBA,,Elon,
"Wednesday, May 24",10:00 am,Conference Usa,1,"Houston, TX",Louisiana Tech,13,Charlotte,8
"Wednesday, May 24",1:30 pm,Conference Usa,2,"Houston, TX",Middle Tennessee,5,UTSA,1
"Wednesday, May 24",5:00 pm,Conference Usa,3,"Houston, TX",Rice,2,Dallas Baptist,13
"Wednesday, May 24",8:30 pm,Conference Usa,4,"Houston, TX",Florida Atlantic,,Western Kentucky,
"Wednesday, May 24",12:00 pm,Horizon League,1,"Greene County, OH",Milwaukee,12,Youngstown State,3
"Wednesday, May 24",4:00 pm,Horizon League,2,"Greene County, OH",Purdue Fort Wayne,3,Northern Kentucky,6
"Thursday, May 25",11:00 am,Horizon League,3,"Greene County, OH",TBA,,Wright State,
"Thursday, May 25",3:00 pm,Horizon League,4,"Greene County, OH",TBA,,Oakland,
"Friday, May 19",11:00 am,Ivy League,1,"Philadelphia, PA",Princeton,2,Harvard,3
"Friday, May 19",3:00 pm,Ivy League,2,"Philadelphia, PA",Columbia,6,Pennsylvania,10
"Saturday, May 20",11:00 am,Ivy League,3,"Philadelphia, PA",Columbia,11,Princeton,13
"Sunday, May 21",11:00 am,Ivy League,4,"Philadelphia, PA",Harvard,7,Pennsylvania,10
"Sunday, May 21",4:00 pm,Ivy League,5,"Philadelphia, PA",Harvard,3,Princeton,10
"Monday, May 22",11:00 am,Ivy League,6,"Philadelphia, PA",Pennsylvania,16,Princeton,3
"Wednesday, May 24",11:00 am,Metro Atlantic Athletic Conference,1,"Pomona, NY",Manhattan,17,Canisius,3
"Wednesday, May 24",3:00 pm,Metro Atlantic Athletic Conference,2,"Pomona, NY",Niagara,2,Quinnipiac,13
"Wednesday, May 24",7:00 pm,Metro Atlantic Athletic Conference,3,"Pomona, NY",TBA,,Canisius,
"Thursday, May 25",11:00 am,Metro Atlantic Athletic Conference,4,"Pomona, NY",TBA,,Fairfield,
"Thursday, May 25",3:00 pm,Metro Atlantic Athletic Conference,5,"Pomona, NY",TBA,,Rider,
