park_name,plotted?,host_school,nickname,logo_file,display_name,display_name2,color1,color2,color3,found_date,capacity,former_names,renovation,st_address,coords_string1,surface,description
Alabama - Sewell–Thomas Stadium,y,Alabama,Crimson Tide,alabama.png,Sewell–Thomas Stadium,aka. 'The Joe',#9E1B32,#000000,#828A8F,1948,8500,Thomas Field,"Renovated in 1996, 2001, and underwent a full renovation in 2015 that essentially created a brand-new stadium. The renovation added 12 suites, a new outfield walk, a playground and mini infield for families, a pre-game picnic area, team store, commissary, new seats, an expanded canopy overhang over the primary seating area, and new player amenities including a home team locker room and lounge, showers and restrooms, meeting room, weight room, bullpen and a four-lane indoor batting facility.","241 Paul W Bryant Drive, Tuscaloosa, Alabama 35401, United States",33°12′19″N 87°32′19″W,Natural grass,"Sewell–Thomas Stadium, often referred to as \The Joe"
Arkansas - Baum-Walker Stadium - college,y,Arkansas,Razorbacks,arkansas.png,Baum-Walker Stadium,at George Cole Field,#9D2235,#FFFFFF,,1996,11000,Baum Stadium,"Renovated in 2003 and 2004, adding a new indoor training facility, luxury boxes, and club seats","1255 S Razorback Rd, Fayetteville, AR 72701, USA",36°3′40″N 94°10′34″W,Grass,"The stadium was named in honor of Arkansas alumnus and businessman Charlie Baum, while the field was named in honor of George Cole, the former Athletic Director of the University【8†source】"
Auburn - Plainsman Park,y,Auburn,Tigers,auburn.png,Samford Stadium,Hitchcock Field at Plainsman Park,#0C2340,#E87722,,1950,4096,"Plainsman Park (1950–1997), Hitchcock Field at Plainsman Park (1997–2003)","The stadium was significantly renovated in 1996. In October of 2022, expansion plans for Plainsman Park were approved, including the addition of a 1st Base Club, a Right Field Terrace, and a Green Monster Terrace1.",351 South Donahue Drive,32.5998°N 85.4897°W,Natural Grass/Artificial Turf,"Plainsman Park, officially Samford Stadium – Hitchcock Field at Plainsman Park, is the college baseball venue for the Auburn University Tigers. It has a seating capacity of 4,096. The park's signature is its 37-foot high left field fence, which is 315 feet from home plate. The home team bullpen is located behind the left field fence1."
Clemson - Doug Kingsmore Stadium,y,Clemson,Tigers,clemson.png,Doug Kingsmore Stadium,,#0C2340,#E87722,,1970,6017,Beautiful Tiger Field (1970–2003),"Renovations began in 2002, which included the construction of a brick facade, green roof, enlarged press box, patio areas, ticket booths, enlarged concession stands and restrooms, chair-back seats, left-field grandstand, grand stairway entrance with Hall of Fame area,","114 Baseball Dr, Clemson, SC 29634",,Natural grass,
Coastal Carolina - college,y,Coastal Carolina,Chanticleer,coastcar.png,Springs Brooks Stadium,,#A27752,#006F71,,2015,2500,Charles Watson Stadium - Vrooman Field,"Renovations in 2004 included a new scoreboard, fence, infield, and sound system. New lights were installed in 2005. In 2008, new seats and turf were installed, along with renovations to the clubhouse. The capacity was expanded to nearly 2,200 in 2008. The facility underwent a major renovation in 2015 with the addition of new grandstands, restrooms, concessions stands, coaches offices, student-athlete locker rooms and lounges, team meeting space, umpire locker room, and a state-of-the-art video board and scoreboard","965 One Landon Loop, Conway, South Carolina","33.7935°N, 79.0152°W",Natural Grass,"Springs Brooks Stadium, formerly known as Charles Watson Stadium - Vrooman Field, underwent renovations in 2004, 2005, and 2008. In 2015, it was reopened with its new name and hosted its first game. The renovations turned it into one of the best overall baseball facilities in the nation with state-of-the-art features and amenities【11†source】"
Florida Univ - TEMP,y,Florida,Gators,florida.png,Condron Family Ballpark,at Alfred A. McKethan Field,#002657,#22884C,,2021,5500,Florida Ballpark at Alfred A. McKethan Field,N/A,"2800 Citrus Road, Gainesville, Florida",29.636374°N 82.363786°W,Natural grass and clay with a synthetic turf backstop,"The current stadium facility seats approximately 7,000 fans and includes a press box, concession stands, locker rooms, and coaching staff offices【6†source】"
Kentucky - Kentucky Proud Park,y,Kentucky,Wildcats,kentucky.png,Kentucky Proud Park,,#0033A0,#FFFFFF,,2019,5000,N/A,N/A,"510 Wildcat Court Lexington, Kentucky 40506","38.018294216766, -84.5032954216",Artificial turf; AstroTurf Rootzone Diamond Blend,"Kentucky Proud Park is a baseball stadium in Lexington, Kentucky. It is the home field of the University of Kentucky Wildcats college baseball team. Opened in 2018, with the Wildcats playing their first season in the stadium in 2019, it has a permanent capacity of 2,500, with grass berm seating adding more than 1,500 to the total capacity. Temporary seating can be added to bring the capacity to 7,000 for NCAA tournament games. The park replaced Cliff Hagan Stadium and received its name in a deal between JMI Sports and the Kentucky Farm Bureau, which chose to donate its naming rights to the Kentucky Department of Agriculture. The park features a large entrance right being home plate and a left field entrance directly connected to the parking lot. It also includes an interactive screen at the entrance that allows fans to view the history of the team, the information about the stadium, the players who played in the major leagues, and design their own uniform with the Kentucky colors. The large concourse wraps around the entire field and is spacious with dealerships, bathrooms and other signs. Club and lounge areas are also available to fans. A small grass area in left field is accessible for kids to get entertained during the game. The Kentucky Proud Park includes a big video board, measured at 48 feet wide and 30 feet tall, the video board is the eight largest video board in all College Baseball."
LSU - Alex Box Stadium - college,y,LSU,Tigers,lsu.png,Alex Box Stadium,Skip Bertman Field,#461D7C,#FDD023,,2009,10326,N/A,"Additional seating in right field was added before the 2010 season, and additional suites were constructed for the 2012 season","Gourrier Ave, Baton Rouge, LA 70803-0001",30.40696°N 91.18731°W,Natural grass,"The stadium was named for Simeon Alex Box, an LSU letterman, Purple Heart and Distinguished Service Cross recipient, who was killed in North Africa during World War II. The field was named and dedicated in honor of former LSU head baseball coach and athletic director Skip Bertman【9†source】"
Miami - Alex Rodriguez Park at Mark Light Field,y,Miami (FL),Hurricane,miamifl.png,Alex Rodriguez Park,at Mark Light Field,#005030,#F47321,,1973,5000,Mark Light Field (1973–2009),"1974, 1996, 2007–2009","6201 San Amaro Dr, Coral Gables, FL 33146",25.71167°N 80.28222°W,Natural grass,"Alex Rodriguez Park at Mark Light Field is the home field for the Miami Hurricanes baseball team at the University of Miami in Coral Gables, Florida. The stadium holds a capacity of 5,000 spectators and is located on the University of Miami's campus in Coral Gables."
Oklahoma State - O'Brate Stadium,y,Oklahoma St.,Cowboys,okstate.png,O'Brate Stadium,,#FF7300,#000000,,2021,3500,N/A,N/A,"103 N Bellis St, Stillwater, OK 74075",36°07′52″N 97°04′08″W,Grass,"O'Brate Stadium is a baseball park located in Stillwater, Oklahoma. It serves as the home field of the Oklahoma State University Cowboys baseball team. The stadium is named after Cecil O'Brate, who donated a large portion of the funds for its construction. The stadium was scheduled to host its first game on March 20, 2020, but the opening was postponed due to COVID-19 concerns until February 24, 20211. The stadium cost around $70 million to construct, with Cecil O'Brate contributing $35 million towards this. The facility includes outdoor and indoor practice facilities, elite batting cages, and amenities such as a 7,400-square-foot locker room and player lounge equipped with a nutrition center, hot and cold tubs, and a sports medicine area."
Vanderbilt - Hawkins Field - college,y,Vanderbilt,Commodores,vandy.png,Hawkins Field,,#000000,#866D4B,,2002,3802,N/A,"In 2006, a complex including a locker room, offices, and a weight room was added along the third base line. The capacity was increased to 3,700 in 2008 with new temporary bleachers and further expansions. The dugouts were also renovated and a new trainer's room was added. In 2012, artificial turf replaced the grass playing field","2600 Jess Neely Drive, Nashville, Tennessee, U.S.","36.1428°N, 86.8077°W",AstroTurf GameDay Grass 3D,"Hawkins Field, home to the Vanderbilt Commodores, opened in 2002. It has undergone multiple renovations, adding facilities and increasing its seating capacity. The venue is named for the family of Charles Hawkins III, a benefactor of the university and baseball program【12†source】"
U of Virginia - college,y,Virginia,Cavaliers,virginia.png,Davenport Field,at Disharoon Park,#232D4B,#F84C1E,,2002,5500,"UVa Baseball Field (prior to 2002), Davenport Field at UVA Baseball Stadium (prior to 2018)",N/A,"434 Lannigan Lane, Charlottesville, Virginia 22904",38.04583°N 78.51389°W,Bermuda grass,"Davenport Field at Disharoon Park is a baseball stadium in Charlottesville, Virginia. It is the home field of the University of Virginia Cavaliers college baseball team. The stadium has a capacity of ~5,900 and opened in 2002. The field is named after former Virginia Student Aid Foundation executive director Ted Davenport, and the stadium is named after Les and Ann Disharoon."
Wake Forrest - college,y,Wake Forest,Demon Deacons,wake.png,David F. Couch Ballpark,,#000000,#8c6d2c,,1956,3823,"Ernie Shore Field, Gene Hooks Field at Wake Forest Baseball Park",Renovated in 1993 and 2016. A $14 million Player Development Center was added in 2017,"401 Deacon Boulevard, Winston-Salem, North Carolina",36.12972°N 80.25222°W,Unknown,The ballpark was originally named after major league pitcher and North Carolina native Ernie Shore. It was renamed David F. Couch Ballpark in 2016 following a significant donation【5†source】
