,college division,conference,code,list of schools
,NCAA-1,America East Conference,AmEast,Albany - Binghamton - Bryant - Maine - Mass-Lowell - New Jersey Tech - UMBC
,NCAA-1,American Athletic Conference,AAC,Central Florida - Cincinnati - East Carolina - Houston - Memphis - South Florida - Tulane - Wichita State
,NCAA-1,Atlantic 10 Conference,Atl10,Davidson - Dayton - Fordham - George Mason - George Washington - Massachusetts - Rhode Island - Richmond - Saint Joseph's - Saint Louis - St. Bonaventure - VCU
,NCAA-1,Atlantic Coast Conference,ACC,Boston College - Clemson - Duke - Florida State - Georgia Tech - Louisville - Miami - North Carolina - North Carolina State - Notre Dame - Pittsburgh - Virginia - Virginia Tech - Wake Forest
,NCAA-1,Atlantic Sun Conference,AtlSun,Austin Peay - Bellarmine - Central Arkansas - Eastern Kentucky - Florida Gulf Coast - Jacksonville - Jacksonville State - Kennesaw State - Liberty - Lipscomb - North Alabama - North Florida - Queens of NC - Stetson
,NCAA-1,Big 12 Conference,Big12,Baylor - Kansas - Kansas State - Oklahoma - Oklahoma State - Texas - Texas Christian - Texas Tech - West Virginia
,NCAA-1,Big East Conference,BigEast,Butler - Connecticut - Creighton - Georgetown - Seton Hall - St. John's - Villanova - Xavier
,NCAA-1,Big South Conference,BigSou,Campbell - Charleston Southern - Gardner-Webb - High Point - Longwood - Presbyterian - Radford - UNC Asheville - USC Upstate - Winthrop
,NCAA-1,Big Ten Conference,Big10,Illinois - Indiana - Iowa - Maryland - Michigan - Michigan State - Minnesota - Nebraska - Northwestern - Ohio State - Penn State - Purdue - Rutgers
,NCAA-1,Big West Conference,BigWest,Cal Poly - Cal State Bakersfield - Cal State Fullerton - Cal State Northridge - Hawaii - Long Beach State - UC Davis - UC Irvine - UC Riverside - UC San Diego - UC Santa Barbara
,NCAA-1,Colonial Athletic Association,CAA,Col of Charleston - Delaware - Elon - Hofstra - Monmouth - North Carolina A&T - Northeastern - Stony Brook - Towson - UNC Wilmington - William and Mary
,NCAA-1,Conference USA,ConfUSA,Alabama-Birmingham - Dallas Baptist - Florida Atlantic - Florida International - Louisiana Tech - Middle Tennessee - Rice - UNC Charlotte - UT San Antonio - Western Kentucky
,NCAA-1,Horizon League,Horiz,Milwaukee - Northern Kentucky - Oakland - Purdue Fort Wayne - Wright State - Youngstown State
,NCAA-1,Independent,IndyNCAA,Hartford
,NCAA-1,Ivy League,Ivy,Brown - Columbia - Cornell - Dartmouth - Harvard - Penn - Princeton - Yale
,NCAA-1,Metro Atlantic Athletic Conference,MAAC,Canisius - Fairfield - Iona - Manhattan - Marist - Mount St. Mary's - Niagara - Quinnipiac - Rider - Siena - St. Peter's
,NCAA-1,Mid-American Conference,MAC,Akron - Ball State - Bowling Green - Central Michigan - Eastern Michigan - Kent State - Miami-Ohio - Northern Illinois - Ohio - Toledo - Western Michigan
,NCAA-1,Mid-Eastern Athletic Conference,MEAC,Coppin State - Delaware State - Norfolk State - UMES
,NCAA-1,Missouri Valley Conference,MVC,Belmont - Bradley - Evansville - Illinois State - Illinois-Chicago - Indiana State - Missouri State - Murray State - Southern Illinois - Valparaiso
,NCAA-1,Mountain West Conference,MWC,Air Force - Fresno State - Nevada - New Mexico - San Diego State - San Jose State - UNLV
,NCAA-1,Northeast Conference,NEC,Central Connecticut State - Fairleigh Dickinson - Long Island - Merrimack - Sacred Heart - Stonehill - Wagner
,NCAA-1,Ohio Valley Conference,OVC,Eastern Illinois - Lindenwood - Little Rock - Morehead State - SIU Edwardsville - Southeast Missouri State - Southern Indiana - Tennessee Tech - Tennessee-Martin
,NCAA-1,Pacific-12 Conference,Pac12,Arizona - Arizona State - California - Oregon - Oregon State - Stanford - UCLA - USC - Utah - Washington - Washington State
,NCAA-1,Patriot League,Patriot,Army - Bucknell - Holy Cross - Lafayette - Lehigh - Navy
,NCAA-1,Southeastern Conference,SEC,Alabama - Arkansas - Auburn - Florida - Georgia - Kentucky - LSU - Mississippi State - Missouri - Ole Miss - South Carolina - Tennessee - Texas A&M - Vanderbilt
,NCAA-1,Southern Conference,SoCon,Citadel - East Tennessee state - Mercer - Samford - UNC Greensboro - VMI - Western Carolina - Wofford
,NCAA-1,Southland Conference,Sthland,Houston Christian - Incarnate Word - Lamar - McNeese State - New Orleans - Nicholls State - Northwestern State - Southeastern Louisiana - Texas A&M Corpus Christi
,NCAA-1,Southwest Athletic Conference,SWAC,Alabama A&M - Alabama State - Alcorn State - Arkansas-Pine Bluff - Bethune Cookman - Florida A&M - Grambling State - Jackson State - Mississippi Valley State - Prairie View A&M - Southern - Texas Southern
,NCAA-1,Sun Belt Conference,SBC,Appalachian State - Arkansas State - Coastal Carolina - Georgia Southern - Georgia State - James Madison - Louisiana - Louisiana-Monroe - Marshall - Old Dominion - South Alabama - Southern Miss - Texas State - Troy
,NCAA-1,West Coast Conference,WCC,BYU - Gonzaga - Loyola Marymount - Pacific - Pepperdine - Portland - San Diego - San Francisco - Santa Clara - St. Mary's CA
,NCAA-1,Western Athletic Conference,WAC,Abilene Christian - Cal Baptist - Grand Canyon - New Mexico State - Sacramento State - Sam Houston State - Seattle - Stephen F. Austin - Tarleton State - UT Arlington - UT Rio Grande Valley - Utah Tech - Utah Valley
31 record(s),,,,
