"Connecticut","Elliot Ballpark","2021-03-23","J. O. Christian Field","None listed","Jim Calhoun Way east of Separatist Road, Storrs, Connecticut, USA","41.800728, -72.253796","AstroTurf OPS (artificial turf)","Elliot Ballpark is a baseball stadium on the campus of the University of Connecticut (UConn) in Storrs, Connecticut, United States. It is the home field of the UConn Huskies baseball team of NCAA Division I's Big East Conference. The stadium is designed to seat 1,500 people, with additional space on grass berms which can also accommodate temporary bleachers."
"Oregon State","Goss Stadium at Coleman Field","1907-04-12","Coleman Field","Major remodel in 1998 with a $2.3 million donation, Lights added in 2002, State-of-the-art scoreboard installed in 2006, Infield replaced with FieldTurf in late 2006, Expansion project in 2008, $3 million renovation project in 2015 with a donation from Jacoby Ellsbury","430 SW Langton Place, Corvallis, Oregon, U.S.","44.5632, -123.2776","Infield: FieldTurf (2007–present), Outfield: FieldTurf (2015)","Goss Stadium at Coleman Field is a college baseball park in the northwest United States, on the campus of Oregon State University in Corvallis, Oregon. It is home to the Oregon State Beavers of the Pac-12 Conference. Through the 2014 season, OSU had an all-time record of 1134–474–1 at the venue. The field was established in 1907 and underwent a major remodel in 1998. Since then, it has had several updates and expansions, including a $3 million renovation in 2015."
"Tennessee","Lindsey Nelson Stadium","1993","N/A","The stadium underwent renovations in 2020 and 2021, which included new AstroTurf, a new video board, and an enhanced entrance on the third base line.","1235 Phillip Fulmer Way, Knoxville, TN 37996","Pending","AstroTurf (2019–present)","Lindsey Nelson Stadium is a baseball stadium in Knoxville, Tennessee. It is the home field of the Tennessee Volunteers baseball team. The stadium is named after Lindsey Nelson, a Hall of Fame sportscaster and Tennessee alumnus."
"Miami","Alex Rodriguez Park at Mark Light Field","1972-1973","Mark Light Field (1973–2009)","1974, 1996, 2007–2009","From the City and Points North: Take I-95 South until it becomes U.S.1. Continue south for about 5.5 miles to SW 57th Ave. (Red Road). Turn right onto Red Road and make another immediate right turn onto Ponce De Leon Blvd. At the first light, turn left onto San Amaro Drive. Mark Light Field is on San Amaro Drive1.","25.71167°N 80.28222°W","Natural grass","Alex Rodriguez Park at Mark Light Field is the home field for the Miami Hurricanes baseball team at the University of Miami in Coral Gables, Florida. The stadium holds a capacity of 5,000 spectators and is located on the University of Miami's campus in Coral Gables."
"Virginia","Davenport Field at Disharoon Park","Opened February 16, 2002","UVa Baseball Field (prior to 2002), Davenport Field at UVA Baseball Stadium (prior to 2018)","N/A","434 Lannigan Lane, Charlottesville, Virginia 22904","38.04583°N 78.51389°W","Bermuda grass","Davenport Field at Disharoon Park is a baseball stadium in Charlottesville, Virginia. It is the home field of the University of Virginia Cavaliers college baseball team. The stadium has a capacity of ~5,900 and opened in 2002. The field is named after former Virginia Student Aid Foundation executive director Ted Davenport, and the stadium is named after Les and Ann Disharoon."
"Campbell University","Jim Perry Stadium","Dates back to the 1940s (as Taylor Field)","Taylor Field (?–2012)","Renovations in 2011–2012 and 2017-2018 included a new entrance and ticket booth, restrooms and concession stand, as well as improved exterior landscaping. A new grandstand, dugouts, and a pavilion were also added. The latest addition provided a complete turf playing surface, a state-of-the-art locker room, new offices, and an HD video board.","76 Upchurch Lane, Buies Creek, North Carolina 27546","35° 24' 37.76\" N, -78° 44' 7.66\" W","ProGrass Turf","Jim Perry Stadium, previously known as Taylor Field, is a baseball stadium in Buies Creek, North Carolina. It is home to the Campbell Fighting Camels baseball team and has a capacity of 1,250. The stadium has undergone major renovations and features modern amenities like a HD video board and a state-of-the-art locker room."
"East Carolina University","Clark-LeClair Stadium","2004–05","N/A","N/A","9999 Charles Boulevard, Greenville, North Carolina","35°35′36″N 77°22′02″W","Celebration Bermuda turf with a clay base infield and crushed-brick warning track","Clark-LeClair Stadium is a baseball park located on the campus of East Carolina University in Greenville, North Carolina. It is the home field of the East Carolina Pirates of the American Athletic Conference. The stadium has a capacity of 5,000 and includes amenities like a VIP booth, coach's offices, a player clubhouse, as well as state-of-the-art broadcast facilities."
"O'Brate Stadium","2021","N/A","N/A","103 N Bellis St, Stillwater, OK 74075","36°07′52″N 97°04′08″W","Grass","O'Brate Stadium is a baseball park located in Stillwater, Oklahoma. It serves as the home field of the Oklahoma State University Cowboys baseball team. The stadium is named after Cecil O'Brate, who donated a large portion of the funds for its construction. The stadium was scheduled to host its first game on March 20, 2020, but the opening was postponed due to COVID-19 concerns until February 24, 20211. The stadium cost around $70 million to construct, with Cecil O'Brate contributing $35 million towards this. The facility includes outdoor and indoor practice facilities, elite batting cages, and amenities such as a 7,400-square-foot locker room and player lounge equipped with a nutrition center, hot and cold tubs, and a sports medicine area."
"Samford Stadium – Hitchcock Field at Plainsman Park","1950","Plainsman Park (1950–1997), Hitchcock Field at Plainsman Park (1997–2003)","The stadium was significantly renovated in 1996. In October of 2022, expansion plans for Plainsman Park were approved, including the addition of a 1st Base Club, a Right Field Terrace, and a Green Monster Terrace1.","351 South Donahue Drive","32.5998°N 85.4897°W","Natural Grass/Artificial Turf","Plainsman Park, officially Samford Stadium – Hitchcock Field at Plainsman Park, is the college baseball venue for the Auburn University Tigers. It has a seating capacity of 4,096. The park's signature is its 37-foot high left field fence, which is 315 feet from home plate. The home team bullpen is located behind the left field fence1."
"UFCU Disch–Falk Field","February 17, 1975","Disch-Falk Field (1975-August 1, 2006)","Renovated in 2006-2008, new seating opportunities, expanded lower bowl, field-level box seats, seating berm and observation patio, larger concession areas, box office windows, and restrooms. Surface changed from AstroTurf (1975–2007) to FieldTurf (2008–present)","1300 E Martin Luther King Jr Blvd, Austin, Texas 78702","30° 16' 28.20\" N, -97° 43' 20.99\" W","FieldTurf (2008–present)","UFCU Disch-Falk Field, which originally opened in 1975 and underwent a major renovation in 2009, remains one of college baseball’s premier facilities. It was named for former Longhorns coaches Billy Disch and Bibb Falk. The $27 million renovation, completed in time for the 2009 season, added new seating opportunities and improved amenities. The field also features a seating berm down the left-field line and an observation patio down the right-field line. The new design also incorporates 19 suites, making UFCU Disch-Falk Field a premier business entertainment destination. The venue features an enclosed concourse twice the size of the previous concourse, with approximately 20 feet added to the width. The stadium also features a brick and glass façade similar to that used in the renovations of Darrell K Royal-Texas Memorial Stadium."
