college division,conference,Column2,Column1,code,list of schools,conference_2,date_range,host_raw,final game info,coords,park_name
NCAA-1,America East Conference,,,AmEast,Albany - Binghamton - Bryant - Maine - Mass-Lowell - New Jersey Tech - UMBC,America East, May 24-27 , Hosted by Binghamton , 1 p.m. May 27 (if-necessary game follows),"42.09407309399747, -75.97434398228548",Binghamton University Baseball Stadium
NCAA-1,American Athletic Conference,,,AAC,Central Florida - Cincinnati - East Carolina - Houston - Memphis - South Florida - Tulane - Wichita State,AAC, May 23-28 ," Clearwater, Florida ", 12 p.m.  May 28 on ESPNEWS,"27.971440128408492, -82.73193409586342",BayCare Ballpark
NCAA-1,Atlantic 10 Conference,,,Atl10,Davidson - Dayton - Fordham - George Mason - George Washington - Massachusetts - Rhode Island - Richmond - Saint Joseph's - Saint Louis - St. Bonaventure - VCU,Atlantic 10, May 23-27 , Hosted by VCU , noon May 27 (if-necessary game follows),"37.57188393968009, -77.4639457926692",The Diamond at VCU
NCAA-1,Atlantic Coast Conference,,,ACC,Boston College - Clemson - Duke - Florida State - Georgia Tech - Louisville - Miami - North Carolina - North Carolina State - Notre Dame - Pittsburgh - Virginia - Virginia Tech - Wake Forest,ACC, May 23-28 ," Durham, North Carolina ", noon May 28 on ESPN2,"35.99168076973268, -78.90446541205787",Durham Bulls Athletic Park
NCAA-1,Atlantic Sun Conference,,,AtlSun,Austin Peay - Bellarmine - Central Arkansas - Eastern Kentucky - Florida Gulf Coast - Jacksonville - Jacksonville State - Kennesaw State - Liberty - Lipscomb - North Alabama - North Florida - Queens of NC - Stetson,ASUN, May 23-27 , hosted by Stetson , 1 p.m. May 28,"29.02013973894475, -81.30254338012672",Conrad Park
NCAA-1,Big 12 Conference,,,Big12,Baylor - Kansas - Kansas State - Oklahoma - Oklahoma State - Texas - Texas Christian - Texas Tech - West Virginia,Big 12, May 24-28 ," Arlington, Texas ", 6 p.m. May 28 on ESPNU,"32.75161433993007, -97.08299611948354",
NCAA-1,Big East Conference,,,BigEast,Butler - Connecticut - Creighton - Georgetown - Seton Hall - St. John's - Villanova - Xavier,Big East, May 24-27 , Hosted by Xavier , 2 p.m. May 27 (if-necessary game follows),"39.330758030470975, -84.33450398070137",Prasco Park
NCAA-1,Big South Conference,,,BigSou,Campbell - Charleston Southern - Gardner-Webb - High Point - Longwood - Presbyterian - Radford - UNC Asheville - USC Upstate - Winthrop,Big South, May 25-27 , hosted by High Point , noon May 27 on ESPNU,"35.95932696001227, -80.0118647890267",Truist Point
NCAA-1,Big Ten Conference,,,Big10,Illinois - Indiana - Iowa - Maryland - Michigan - Michigan State - Minnesota - Nebraska - Northwestern - Ohio State - Penn State - Purdue - Rutgers,Big Ten, May 23-28 ," Omaha, Nebraska ", 3 p.m. May 28 on BTN,"41.267172349007524, -95.93183511213992",Charles Schwab Field
NCAA-1,Big West Conference,,,BigWest,Cal Poly - Cal State Bakersfield - Cal State Fullerton - Cal State Northridge - Hawaii - Long Beach State - UC Davis - UC Irvine - UC Riverside - UC San Diego - UC Santa Barbara,Big West, no tournament,,, no tournament,
NCAA-1,Colonial Athletic Association,,,CAA,Col of Charleston - Delaware - Elon - Hofstra - Monmouth - North Carolina A&T - Northeastern - Stony Brook - Towson - UNC Wilmington - William and Mary,CAA, May 24-27 , hosted by Charleston , TBD May 27,"32.79562901797844, -79.90202063996678",The Ballpark at Patriots Point
