,school_id,school_name,enrollment_total,enrollment_classification,division,level,field,lat,long,State,foul_ft,fop_ft,foul_pct
1,2237,Grand Blanc HS,2812,2812,A,high_school,Grand Blanc,-83.6283145,42.9187188,MI,26521.94592,93196.20356,22.15365509
5,5628,Northville HS,2509,2509,A,high_school,Northville HS,-83.493445,42.4123981,MI,28783.62472,95926.11184,23.08049517
6,4183,Rockford HS,2480,2480,A,high_school,Rockford,-85.5686971,43.0900641,MI,33509.41989,99484.0565,25.19628842
10,5074,Howell HS,2375,2375,A,high_school,Howell,-83.9426426,42.6179456,MI,21113.74457,92971.30237,18.50702186
11,3953,Lake Orion HS,2309,2309,A,high_school,Lake Orion,-83.2369353,42.7539465,MI,32957.70367,90213.89903,26.7575504
16,3747,Canton - Salem HS,2183,2183,A,high_school,Plymouth-Canton-Salem,-83.4986405,42.3483182,MI,30570.45529,92980.97771,24.74310054
18,5116,Canton HS,2127,2127,A,high_school,Canton High School,-83.4915152,42.3441818,MI,34332.19241,96250.28949,26.29157596
21,5140,West Bloomfield HS,2052,2052,A,high_school,West Bloomfield HS,-83.3594581,42.5673665,MI,23398.92395,95260.59986,19.7193813
23,1833,Novi HS,2033,2033,A,high_school,Novi HS,-83.4924439,42.4615268,MI,23776.2784,89712.79509,20.95027977
24,8077,Hudsonville HS,2026,2026,A,high_school,Hudsonville High School,-85.8754492,42.9134789,MI,30486.64899,96953.2159,23.92238019
25,8077,Hudsonville HS - practice,2026,2026,A,high_school,Hudsonville HS - Field ,-85.8768694,42.9142415,MI,31074.66908,93415.48669,24.96154727
31,4638,Novi - Detroit Catholic Central HS,933,1866,A,high_school,Detroit Catholic Central - Field ,-83.5440067,42.4880269,MI,33484.08652,90187.56369,27.07498967
32,4638,Novi - Detroit Catholic Central HS - field 2,933,1866,A,high_school,Detroit Catholic Central HS - Novi,-83.5434495,42.488053,MI,18311.14017,96536.82368,15.94380915
43,7632,Holt HS,1745,1745,A,high_school,Holt High School,-84.5799503,42.6367415,MI,38310.32164,95405.74017,28.65050101
44,7632,Holt HS - practice,,,A,high_school,Holt HS - Field ,-84.5796448,42.6372277,MI,39740.35399,98054.4689,28.84023736
51,3945,Kalamazoo Central HS,1687,1687,A,high_school,Kalamazoo (Growlers),-85.5621405,42.2904771,MI,28703.9038,99711.97972,22.35230021
52,3945,Kalamazoo College,,,,college,Kalamazoo College,-85.6092979,42.2877622,MI,30733.43808,109771.8076,21.8735165
55,6213,Grand Ledge HS,1653,1653,A,high_school,Grand Ledge,-84.7539894,42.7472938,MI,28836.44315,79360.87681,26.65171666
56,,Grand Ledge Bridge St (u),,,,youth,Grand Ledge Bridge St (u),-84.7448975,42.7543876,MI,11531.24658,37085.62343,23.71861162
57,,Grand Ledge Hayes (u),,,,youth,Grand Ledge Hayes (u),-84.7006386,42.7518189,MI,8451.511667,43892.76376,16.14600947
58,,Grand Ledge JV,,,,youth,Grand Ledge JV,-84.7588678,42.7462458,MI,23246.96814,70056.74482,24.91537303
60,4662,Brownstown Township - Woodhaven HS,1626,1626,A,high_school,Brownstone Woodhaven HS,-83.2698289,42.121292,MI,35410.33247,85450.42451,29.29845332
66,6733,Rochester - Adams HS,1528,1528,A,high_school,Rochester Adams,-83.1998424,42.6972168,MI,29388.40556,93346.11326,23.94469448
67,3607,Jenison HS,1508,1508,A,high_school,Jenison High School,-85.837665,42.917629,MI,31315.79972,98281.33665,24.16395964
78,6007,Okemos HS,1427,1427,A,high_school,Okemos HS,-84.4559105,42.6876301,MI,27678.98939,88218.98884,23.8822021
82,4547,Saginaw - Heritage HS,1398,1398,A,high_school,Saginaw Heritage HS,-84.0129481,43.4554596,MI,36530.40683,103302.15,26.12439311
84,4547,Saginaw - Heritage HS - Field 2,1398,1398,A,high_school,Saginaw Heritage HS Field ,-84.0135834,43.4547419,MI,20533.80242,98696.82566,17.22191919
88,3508,Livonia - Franklin HS,1379,1379,A,high_school,Livonia Franklin HS,-83.3473911,42.356909,MI,19946.90059,88016.32906,18.47564273
95,2583,Battle Creek (Bailey),,,,high_school,Battle Creek (Bailey),-85.1503842,42.3416038,MI,32229.58648,103628.3847,23.72299998
96,2583,Battle Creek - Lakeview HS,1338,1338,A,high_school,Battle Creek lakeview,-85.2302768,42.2937644,MI,39069.38689,95422.21581,29.04968497
108,7962,Muskegon - Mona Shores HS,1240,1240,A,high_school,Muskegon Mona Shores,-86.271558,43.1845307,MI,32818.44376,90825.49529,26.5427032
110,4794,Portage Northern HS,1227,1227,A,high_school,Portage Northern High School,-85.5987309,42.2356888,MI,24002.98348,89004.59756,21.24015332
