FOP_expected (sqft),factor
1153,7.37E-10
1145,7.57E-10
1155,7.68E-10
1213,8.51E-10
1106,7.85E-10
1200,7.94E-10
1212,8.02E-10
1227,8.14E-10
1149,7.85E-10
,#DIV/0!
1162,7.79E-10
1170,7.88E-10
1201,8.14E-10
1145,7.70E-10
1172,7.81E-10
1229,8.51E-10
1195,8.23E-10
1131,7.16E-10
1199,7.75E-10
1166,7.72E-10
1242,8.62E-10
1238,8.59E-10
1160,7.81E-10
1158,7.82E-10
1213,7.97E-10
,#DIV/0!
1319,8.74E-10
1128,7.43E-10
1160,7.72E-10
1193,8.16E-10
1188,7.86E-10
1187,8.04E-10
1158,8.26E-10
1192,7.99E-10
1171,7.87E-10
1160,7.45E-10
1178,8.04E-10
1295,8.46E-10
