,School,FOP_area,Foul_area
0,Charlotte High School,8.498998899984464e-07,3.631508050030001e-07
1,Dewitt HS,8.671026250021392e-07,2.0894656000209084e-07
2,Eastern HS,8.870001600012716e-07,3.912354000000073e-07
3,Eaton Rapids 1,1.0322901850032817e-06,3.7857514499894434e-07
4,Eaton Rapids 2,8.684989699998397e-07,3.468753850062348e-07
5,Everett HS,9.531379150013272e-07,3.761244299996706e-07
6,Holt HS 1,9.722548849986972e-07,3.90412010007995e-07
7,Holt HS 2,9.992710250001213e-07,4.049917149997707e-07
8,Lansing Catholic HS,9.020181099938023e-07,1.884082650078678e-07
9,St Johns HS,9.853695099948802e-07,3.801694350071016e-07
10,Waverly HS ,9.055759400044627e-07,3.1661439499594936e-07
11,Willianston HS,9.218552699963309e-07,3.2231242000127597e-07
12,Sexton HS,9.772071999935376e-07,2.56934960002563e-07
13,Haslett HS,8.819903550072343e-07,3.066406200043558e-07
14,East Lansing HS,9.151017849981158e-07,2.86482140008377e-07
15,Bath HS,1.0460540400020604e-06,1.7612177000166366e-07
16,Mason HS,9.833148050003464e-07,2.532164250036368e-07
17,Grand Ledge HS,8.101867899996665e-07,2.9438894000010116e-07
18,Muni Park,9.286261750007887e-07,2.5994951500384917e-07
19,Okemos HS,8.997530149954668e-07,2.8229929500980045e-07
20,Michigan State (Old College Field),1.0707755400022116e-06,3.372546149963356e-07
21,Olds Park,1.0639653249943755e-06,2.315927400055428e-07
22,Portland HS,9.06045025002365e-07,4.060632249986825e-07
23,Ionia HS,9.061295349957326e-07,3.1421306000670034e-07
24,Fowlerville HS,9.66507240000379e-07,2.021200850008117e-07
25,Portland St Pats,9.06045025002365e-07,4.060632249986825e-07
26,Comerica Park,1.152596339998367e-06,2.855569049964323e-07
27,Ionia HS Practice Field,8.380620149993872e-07,3.0095366000093904e-07
28,Orchard Lake St. Mary’s,8.958518200000048e-07,2.789330049992099e-07
29,Northville,9.740683900032694e-07,2.9227797499606684e-07
30,Muskegon Mona Shores,9.338418500037611e-07,3.374309199973239e-07
31,Grand Blanc,9.540867649994971e-07,2.715148249981644e-07
32,Grand Rapids Kenowa Hills,9.570447799954526e-07,3.8726892000201297e-07
33,Rochester Adams,9.521927900023233e-07,2.9978254999640274e-07
34,Lake Orion,9.210966549992925e-07,3.365013800039211e-07
35,Brownstown Woodhaven,8.636853550010671e-07,3.579092449976942e-07
36,Howell,9.471739400003286e-07,2.1510187499634792e-07
37,Detroit Western,1.0955363750002252e-06,2.919567650045434e-07
