,School,FOP_area,Foul_area,FOP_expected (sqft),factor
0,Charlotte High School,14246.62791,3312.744076,1153,12.35613869
1,Dewitt HS,14597.96798,1898.026984,1145,12.74931701
2,Eastern HS,14911.37519,3558.935831,1155,12.91028155
3,Eaton Rapids 1,17290.67172,3456.0812,1213,14.25446968
4,Eaton Rapids 2,14546.76149,3166.746508,1106,13.15258724
5,Everett HS,16011.03298,3424.02107,1200,13.34252748
6,Holt HS 1,16317.70457,3557.139406,1212,13.46345261
7,Holt HS 2,16771.52584,3689.91975,1227,13.66872522
8,Lansing Catholic HS,15163.86468,1713.867043,1149,13.19744532
9,St Johns HS,16632.91113,3444.468224,,#DIV/0!
10,Waverly HS ,15222.17254,2880.40461,1162,13.09997637
11,Willianston HS,15487.6017,2933.763363,1170,13.23726641
12,Sexton HS,16426.61066,2337.418105,1201,13.67744434
13,Haslett HS,14828.25711,2789.20046,1145,12.95044289
14,East Lansing HS,15384.72544,2605.870286,1172,13.12689884
15,Bath HS,17607.16342,1600.152922,1229,14.3264145
16,Mason HS,16485.9228,2309.518314,1195,13.7957513
17,Grand Ledge HS,13622.05943,2677.552453,1131,12.04426121
18,Muni Park,15609.27009,2364.93077,1199,13.01857388
19,Okemos HS,15113.33927,2570.043253,1166,12.96169748
20,Michigan State (Old College Field),17999.25774,3068.148122,1242,14.49215599
21,Olds Park,17885.59977,2106.803972,1238,14.44717267
22,Portland HS,15267.58954,3685.280765,1160,13.16171512
23,Ionia HS,15286.44293,2848.50171,1158,13.20072792
24,Fowlerville HS,16229.90622,1840.61806,1213,13.37997215
25,Portland St Pats,15267.58954,3685.280765,,#DIV/0!
26,Comerica Park,19252.0388,2613.991406,1319,14.59593541
27,Ionia HS Practice Field,14138.36251,2728.256685,1128,12.53400931
28,Orchard Lake St. Mary’s,15024.68334,2543.224079,1160,12.95231322
29,Northville,16289.36045,2672.439363,1193,13.65411605
30,Muskegon Mona Shores,15813.93695,3047.605031,1188,13.31139474
31,Grand Blanc,16086.63397,2462.743245,1187,13.55234538
32,Grand Rapids Kenowa Hills,16167.09835,3506.17465,1158,13.96122483
33,Rochester Adams,15996.68205,2728.772027,1192,13.42003528
34,Lake Orion,15488.74585,3060.229283,1171,13.22693924
35,Brownstown Woodhaven,14376.19881,3287.477963,1160,12.39327484
36,Howell,15892.16123,1960.417105,1178,13.49079901
37,Detroit Western,18297.11301,2672.864115,1295,14.1290448
