,School,Primary,Secondary,,Conf_div,Formal_name,description,2022_win,2022_loss,
0,Charlotte High School,Orange,Black,,white,,,19,13,
1,Dewitt HS,Blue,Gold,,blue,,,9,8,
2,Eastern HS,Blue,Gold,,red,,,0,8,
3,Eaton Rapids 1,Maroon,White,,white,,,22,6,
4,Eaton Rapids 2,Maroon,White,,white,,,x,x,
5,Everett HS,Red,Blue,,blue,,,0,9,
6,Holt HS 1,Brown,Gold,,blue,,,17,17,1
7,Holt HS 2,Brown,Gold,,blue,,,x,x,
8,Lansing Catholic HS,Sky Blue,Silver,,white,,,22,12,
9,St Johns HS,Red,White,,red,D2 Dist 40,,11,4,
10,Waverly HS ,Black,Gold,,blue,,,2,16,1
11,Willianston HS,Green,White,,red,Dist 63 D2,,17,17,1
12,Sexton HS,Red,White,,white,Dist 48 D2,,0,8,
13,Haslett HS,Blue,Gold,,red,,,3,12,
14,East Lansing HS,Blue,White,Black,blue,,,7,12,
15,Bath HS,,,,,,,1,17,
16,Mason HS,Blue,Red,,red,,,8,7,
17,Grand Ledge HS,Blue,Gold,,blue,,,18,13,1
18,Muni Park,,,,,,,,,
19,Okemos HS,Maroon,White,,blue,,,21,9,1
20,Michigan State (Old College Field),,,,,,,,,
21,Olds Park,,,,,,,,,
*****,Portland HS,Red,White,,white,,,11,5,
,Ionia HS,Royal Blue,White,,white,,,5,6,3
,Fowlerville HS,Purple,Gold,,red,,,6,20,1
,Portland St Pats,,,,,,,,,
