field,foul,fop,home_lat,home_lon
Hudsonville High School,"-85.87544920000001,42.9134789,0 -85.87629819999999,42.9140928,0 -85.8763733,42.9140398,0 -85.87602990000001,42.9137009,0 -85.87551759999999,42.9133434,0 -85.87537279999999,42.9133434,0 -85.87487659999999,42.9137127,0 -85.8745413,42.9140388,0 -85.8745547,42.91408,0 -85.8746003,42.9141056,0 -85.87544920000001,42.9134789,0 ","-85.87544920000001,42.9134789,0 -85.8746003,42.9141056,0 -85.8751757,42.9145092,0 -85.875755,42.9145073,0 -85.87629819999999,42.9140928,0 -85.87544920000001,42.9134789,0 ",-85.87544920000001,42.9134789
Hudsonville HS - Field 2,"-85.8768694,42.9142415,0 -85.8777116,42.9148249,0 -85.8777867,42.9147601,0 -85.8774648,42.9144615,0 -85.8769633,42.9140961,0 -85.8767943,42.914102,0 -85.8766253,42.9142316,0 -85.876518,42.9143259,0 -85.8764831,42.9143338,0 -85.8763517,42.914434,0 -85.875995,42.9147954,0 -85.8760808,42.9148524,0 -85.8768694,42.9142415,0 ","-85.8768694,42.9142415,0 -85.8760808,42.9148524,0 -85.87664940000001,42.9152777,0 -85.8771778,42.9152678,0 -85.8777116,42.9148249,0 -85.8768694,42.9142415,0 ",-85.8768694,42.9142415
Hudsonville Christian HS,"-85.84562560000001,42.8840691,0 -85.84565910000001,42.884951,0 -85.8458469,42.8849412,0 -85.8458093,42.8840706,0 -85.8458066,42.8840293,0 -85.8457879,42.8840018,0 -85.84575839999999,42.8839723,0 -85.8457289,42.8839527,0 -85.8456886,42.8839369,0 -85.84565379999999,42.883933,0 -85.84560279999999,42.883931,0 -85.8455009,42.883935,0 -85.84518970000001,42.8839487,0 -85.8444186,42.8839586,0 -85.8444293,42.8840981,0 -85.84562560000001,42.8840691,0 ","-85.84562560000001,42.8840691,0 -85.8444293,42.8840981,0 -85.8444483,42.8846094,0 -85.84445100000001,42.8846605,0 -85.8444858,42.8847155,0 -85.8445287,42.8847587,0 -85.8445851,42.884802,0 -85.8446307,42.8848413,0 -85.844695,42.8848845,0 -85.84475140000001,42.8849179,0 -85.8448157,42.8849454,0 -85.8448533,42.8849592,0 -85.8449043,42.8849651,0 -85.8449794,42.8849651,0 -85.8451135,42.8849612,0 -85.8452824,42.8849572,0 -85.84565910000001,42.884951,0 -85.84562560000001,42.8840691,0 ",-85.84562560000001,42.8840691
Ironwood Youth Field,"-112.1892842,33.6000906,0 -112.1899548,33.6000906,0 -112.1899709,33.6000146,0 -112.1892601,33.6000168,0 -112.189193,33.600066,0 -112.1892091,33.6003207,0 -112.1891689,33.6003207,0 -112.1891689,33.6006089,0 -112.1892923,33.6006066,0 -112.1892842,33.6000906,0 ","-112.1892842,33.6000906,0 -112.1892923,33.6006066,0 -112.1895229,33.600601,0 -112.1898502,33.6003955,0 -112.1899279,33.6002682,0 -112.1899548,33.6000906,0 -112.1892842,33.6000906,0 ",-112.1892842,33.6000906
Ubly high School,"-82.9346814,43.7078311,0 -82.93558659999999,43.7072649,0 -82.9353412,43.7072921,0 -82.9351588,43.7074589,0 -82.9351186,43.7074666,0 -82.93452310000001,43.7077778,0 -82.9345177,43.7078534,0 -82.9349469,43.7081908,0 -82.93539749999999,43.7084448,0 -82.93546190000001,43.7084409,0 -82.9346814,43.7078311,0 ","-82.9346814,43.7078311,0 -82.93546190000001,43.7084409,0 -82.9355826,43.7084334,0 -82.9356416,43.7084198,0 -82.9357059,43.7083829,0 -82.93575149999999,43.7083461,0 -82.9358079,43.7082957,0 -82.9358481,43.7082569,0 -82.9358883,43.7082143,0 -82.9359178,43.7081668,0 -82.9359527,43.7081086,0 -82.9359688,43.7080659,0 -82.9359795,43.7080078,0 -82.9359903,43.7079515,0 -82.93598489999999,43.7079011,0 -82.93597149999999,43.7078236,0 -82.93595809999999,43.7077751,0 -82.93593660000001,43.7077101,0 -82.93590709999999,43.7076384,0 -82.935883,43.7075764,0 -82.93585880000001,43.7075356,0 -82.9358213,43.7074891,0 -82.93578909999999,43.7074445,0 -82.9357274,43.7073747,0 -82.93567640000001,43.7073262,0 -82.9356255,43.7072816,0 -82.93558659999999,43.7072649,0 -82.9346814,43.7078311,0 ",-82.9346814,43.7078311
Ironwood High School,"-112.1874074,33.6001283,0 -112.1874208,33.6010421,0 -112.1874771,33.6010398,0 -112.1875013,33.6010398,0 -112.1875496,33.6010175,0 -112.1875361,33.6000825,0 -112.1874664,33.60002,0 -112.1870453,33.6000289,0 -112.1863426,33.6001228,0 -112.1863426,33.6001429,0 -112.1874074,33.6001283,0 ","-112.1874074,33.6001283,0 -112.1863426,33.6001429,0 -112.1863439,33.6004263,0 -112.1863519,33.6004933,0 -112.186368,33.6005558,0 -112.1863841,33.600605,0 -112.1864002,33.6006474,0 -112.1864324,33.6006943,0 -112.1864767,33.6007636,0 -112.1865142,33.6008127,0 -112.1865437,33.6008463,0 -112.1865786,33.6008775,0 -112.1866215,33.6009088,0 -112.1867234,33.6009736,0 -112.1868495,33.6010473,0 -112.1874208,33.6010421,0 -112.1874074,33.6001283,0 ",-112.1874074,33.6001283
Harbor Springs Youth 1,"-84.97434610000001,45.434841,0 -84.9739277,45.4344138,0 -84.9742442,45.434873,0 -84.97426299999999,45.4348956,0 -84.9743756,45.4349069,0 -84.9744776,45.4348617,0 -84.974963,45.4346114,0 -84.974963,45.4345662,0 -84.97434610000001,45.434841,0 ","-84.97434610000001,45.434841,0 -84.974963,45.4345662,0 -84.9749577,45.43454740000001,0 -84.9749389,45.4345305,0 -84.9749121,45.4345079,0 -84.9748879,45.4344853,0 -84.9748611,45.4344646,0 -84.9748262,45.4344495,0 -84.9747967,45.4344307,0 -84.9747646,45.4344138,0 -84.97472430000001,45.43439490000001,0 -84.9746894,45.4343818,0 -84.97464650000001,45.4343667,0 -84.974609,45.4343573,0 -84.97457679999999,45.43434789999999,0 -84.97454190000001,45.4343404,0 -84.9745044,45.4343347,0 -84.9744668,45.4343272,0 -84.97442119999999,45.4343253,0 -84.97436759999999,45.43432150000001,0 -84.974322,45.43432150000001,0 -84.9742818,45.4343234,0 -84.97423879999999,45.4343272,0 -84.9741906,45.4343309,0 -84.974153,45.4343385,0 -84.9741128,45.434346,0 -84.9740752,45.4343573,0 -84.97402959999999,45.4343667,0 -84.9739948,45.4343818,0 -84.9739599,45.4343987,0 -84.9739277,45.4344138,0 -84.97434610000001,45.434841,0 ",-84.97434610000001,45.434841
Harbor Springs Youth 2,"-84.9733378,45.43516,0 -84.973386,45.43457180000001,0 -84.97329480000001,45.4346977,0 -84.9732734,45.4348499,0 -84.9732197,45.4351506,0 -84.9732466,45.43518259999999,0 -84.9732814,45.43521270000001,0 -84.9738983,45.4352428,0 -84.97416920000001,45.43516570000001,0 -84.9733378,45.43516,0 ","-84.9733378,45.43516,0 -84.97416920000001,45.43516570000001,0 -84.9741744,45.43511670000001,0 -84.974169,45.4350414,0 -84.9741449,45.434968,0 -84.97411270000001,45.4348984,0 -84.9740698,45.4348457,0 -84.97402150000001,45.4347892,0 -84.9739759,45.43475340000001,0 -84.9739062,45.4347064,0 -84.9738579,45.43468000000001,0 -84.9738096,45.43465560000001,0 -84.9737318,45.4346085,0 -84.9736675,45.43458220000001,0 -84.97361650000001,45.43456519999999,0 -84.9735629,45.4345558,0 -84.973528,45.43455960000001,0 -84.97346899999999,45.43455960000001,0 -84.973418,45.4345633,0 -84.973386,45.43457180000001,0 -84.9733378,45.43516,0 ",-84.9733378,45.43516
Harbor Springs High School,"-84.9734496,45.434179,0 -84.97342089999999,45.4333516,0 -84.97336989999999,45.43334969999999,0 -84.9733619,45.4334081,0 -84.9732626,45.43392850000001,0 -84.9732814,45.4342297,0 -84.9733887,45.4343049,0 -84.9738152,45.4342993,0 -84.97462520000001,45.4341939,0 -84.97462520000001,45.434175,0 -84.9734496,45.434179,0 ","-84.9734496,45.434179,0 -84.97462520000001,45.434175,0 -84.97457060000001,45.43389959999999,0 -84.9745492,45.4338017,0 -84.9745358,45.43373590000001,0 -84.9745224,45.43368319999999,0 -84.9745009,45.43363420000001,0 -84.97447680000001,45.4335956,0 -84.9744553,45.4335693,0 -84.9744231,45.43354109999999,0 -84.9743909,45.4335166,0 -84.9743587,45.433494,0 -84.9743266,45.4334714,0 -84.9742863,45.4334507,0 -84.974238,45.43343000000001,0 -84.97418709999999,45.433415,0 -84.9741307,45.4334018,0 -84.97408780000001,45.433398,0 -84.9739108,45.43338300000001,0 -84.9735621,45.4333623,0 -84.97342089999999,45.4333516,0 -84.9734496,45.434179,0 ",-84.9734496,45.434179
Plymouth-Canton-Salem,"-83.49864049999999,42.3483182,0 -83.4986834,42.3491429,0 -83.4987746,42.3491369,0 -83.4988068,42.3489526,0 -83.49886840000001,42.3486493,0 -83.4988577,42.3484788,0 -83.4988389,42.3484768,0 -83.49883629999999,42.3483638,0 -83.4988524,42.3483519,0 -83.4988443,42.348229,0 -83.4987558,42.3481795,0 -83.49858949999999,42.3481676,0 -83.49819789999999,42.3481735,0 -83.4975354,42.3482825,0 -83.4975273,42.3483499,0 -83.49864049999999,42.3483182,0 ","-83.49864049999999,42.3483182,0 -83.4975273,42.3483499,0 -83.4974737,42.349014,0 -83.497691,42.3491667,0 -83.4986834,42.3491429,0 -83.49864049999999,42.3483182,0 ",-83.49864049999999,42.3483182
