host,district,park_name,Plot Note,Map Link MHSAA
Marquette,1,Marquette HS - Hurley Field,,"http://maps.google.com/maps?q=North Marquette Fields,   Marquette, MI "
Midland Dow,2,Midland HH Dow High School,,"http://maps.google.com/maps?q=H H Dow High School - Baseball, 3901 N. Saginaw Rd.  Midland , MI "
Muskegon Mona Shores,3,Muskegon Mona Shores HS,,"http://maps.google.com/maps?q=Mona Shores Baseball Field, 1121 W. Seminole Rd.  Muskegon, MI "
Grand Rapids Forest Hills Northern,4,Grand Rapids Forest Hills Northern HS,,"http://maps.google.com/maps?q=FHN Stadium - Baseball, 3801 Leonard NE  Grand Rapids, MI "
Grandville,5,Grandville High School - high school,,"http://maps.google.com/maps?q=Grandville High School - Baseball, 4700 Canal SW  Grandville, MI "
Lowell,6,Lowell High School - high school,,"http://maps.google.com/maps?q=Lowell High School, 11700 Vergennes St  Lowell, MI 49331"
Zeeland West,7,Zeeland West HS,,"http://maps.google.com/maps?q=Zeeland Baseball Fields, 3091 96th Ave.  Zeeland, MI 49464"
Portage Northern,8,Portage Northern High School,,"http://maps.google.com/maps?q=Portage Northern HS - Baseball, 1000 Idaho Street  Portage, MI "
DeWitt,9,Dewitt High School,,"http://maps.google.com/maps?q=DeWitt High School, 2957 West Herbison Road  DeWitt, MI 48820"
Jackson,10,Jackson High School - high school,,"http://maps.google.com/maps?q=Glick Community Field, 544 Wildwood Ave  Jackson, MI "
Brighton,11,Brighton High School - high school,,"http://maps.google.com/maps?q=BHS Baseball, 7878 Brighton Rd  Brighton, MI "
Saline,12,Saline High School - Field 1 - high school,,"http://maps.google.com/maps?q=Saline High School - Baseball, 1300 Campus Parkway  Saline, MI "
Monroe,13,Monroe High School - high school,,"http://maps.google.com/maps?q=Monroe High School - Baseball, 901 Herr Rd  Monroe, MI "
Livonia Franklin,14,Livonia Franklin HS,,"http://maps.google.com/maps?q=Livonia Franklin, 31000 Joy Rd  Livonia, MI 48150"
Northville,15,Northville HS,,"http://maps.google.com/maps?q=Northville High School - Baseball, 45700 W. Six Mile Rd.  Northville, MI "
Livonia Stevenson,16,Livonia Aldai Stevenson High School,,"http://maps.google.com/maps?q=Adlai E Stevenson HS, 33500 Six Mile Road  Livonia, MI "
Brownstown Woodhaven,17,Brownstone Woodhaven HS,,"http://maps.google.com/maps?q=Woodhaven High School - Baseball, 24787 Van Horn Rd  Brownstown, MI "
Allen Park,18,,,"http://maps.google.com/maps?q=James Gulliver Field - Baseball, 18401Champaign  Allen Park, MI "
Detroit Western,19,,y - Hamtramock Stadium -  replott with visible fence,"http://maps.google.com/maps?q=Historic Hamtramck Stadium, 3201 Dan St  Hamtramck, MI 48212"
Grosse Pointe North,20,Grosse Pointe Woods University Liggett School,,"http://maps.google.com/maps?q=Grosse Pointe North, 707 Vernier  Grosse Pointe, MI 48236"
