Division,District Host?,Regional Host?,district number,Host / Field Name,Plot Note,Map Link MHSAA,District_#,SF-FNL-HOST
1,y,,1,Marquette,y,"http://maps.google.com/maps?q=North Marquette Fields,   Marquette, MI ",1,
1,y,,2,Midland Dow,y,"http://maps.google.com/maps?q=H H Dow High School - Baseball, 3901 N. Saginaw Rd.  Midland , MI ",2,
1,y,,3,Muskegon Mona Shores,y,"http://maps.google.com/maps?q=Mona Shores Baseball Field, 1121 W. Seminole Rd.  Muskegon, MI ",3,
1,y,,4,Grand Rapids Forest Hills Northern,y,"http://maps.google.com/maps?q=FHN Stadium - Baseball, 3801 Leonard NE  Grand Rapids, MI ",4,
1,y,,5,Grandville,y,"http://maps.google.com/maps?q=Grandville High School - Baseball, 4700 Canal SW  Grandville, MI ",5,
1,y,,6,Lowell,y,"http://maps.google.com/maps?q=Lowell High School, 11700 Vergennes St  Lowell, MI 49331",6,
1,y,,7,Zeeland West,y,"http://maps.google.com/maps?q=Zeeland Baseball Fields, 3091 96th Ave.  Zeeland, MI 49464",7,
1,y,,8,Portage Northern,y,"http://maps.google.com/maps?q=Portage Northern HS - Baseball, 1000 Idaho Street  Portage, MI ",8,
1,y,,9,DeWitt,y,"http://maps.google.com/maps?q=DeWitt High School, 2957 West Herbison Road  DeWitt, MI 48820",9,
1,y,,10,Jackson,y,"http://maps.google.com/maps?q=Glick Community Field, 544 Wildwood Ave  Jackson, MI ",10,
1,y,,11,Brighton,y,"http://maps.google.com/maps?q=BHS Baseball, 7878 Brighton Rd  Brighton, MI ",11,
1,y,,12,Saline,y,"http://maps.google.com/maps?q=Saline High School - Baseball, 1300 Campus Parkway  Saline, MI ",12,
1,y,,13,Monroe,y,"http://maps.google.com/maps?q=Monroe High School - Baseball, 901 Herr Rd  Monroe, MI ",13,
1,y,,14,Livonia Franklin,y,"http://maps.google.com/maps?q=Livonia Franklin, 31000 Joy Rd  Livonia, MI 48150",14,
1,y,,15,Northville,y,"http://maps.google.com/maps?q=Northville High School - Baseball, 45700 W. Six Mile Rd.  Northville, MI ",15,
1,y,,16,Livonia Stevenson,y,"http://maps.google.com/maps?q=Adlai E Stevenson HS, 33500 Six Mile Road  Livonia, MI ",16,
