date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id
2021-02-20,Mississippi State,Texas,State Farm College Baseball Showdown,8,12,0,3,9,2,
2021-02-20,Boston College,Charleston Southern,,12,11,1,4,7,3,
2021-02-20,West Virginia,Georgia State,,6,10,1,7,13,3,
2021-02-20,Dayton,South Carolina,,5,3,1,12,11,1,
2021-02-20,Bellarmine,Louisville,,1,4,1,5,9,0,
2021-02-20,Pittsburgh,Indiana State,Snowbird Classic,8,10,1,2,6,1,
2021-02-20,Eastern Kentucky,Georgia Tech,,9,11,1,6,11,2,
2021-02-20,Tennessee,Georgia Southern,,5,6,1,3,8,0,
2021-02-20,North Florida,Florida State,,7,11,0,4,8,2,
2021-02-20,Cincinnati,Clemson,,2,7,0,5,6,1,
2021-02-20,Presbyterian,Auburn,,1,8,0,6,11,0,
2021-02-20,Evansville,Georgia,,5,6,0,6,10,0,
2021-02-20,Santa Clara,UC Santa Barbara,,6,12,0,9,12,1,
2021-02-20,Ole Miss,TCU,State Farm College Baseball Showdown,7,9,0,3,8,2,
2021-02-20,West Virginia,Georgia State,,4,11,1,20,20,0,
2021-02-20,Northeastern,Wake Forest,,0,8,1,9,15,1,
2021-02-20,Ball State,Arizona,,8,10,3,7,10,3,
2021-02-20,Arkansas,Texas Tech,State Farm College Baseball Showdown,13,11,2,9,9,1,
2021-02-20,Louisiana Tech,Notre Dame,,,,,,,,
2021-02-20,VMI,NC State,,,,,,,,
2021-02-20,Oklahoma State,Sam Houston,,,,,,,,
2021-02-20,Evansville,Georgia,,3,3,4,7,8,1,
2021-02-20,Florida Gulf Coast,South Florida,,4,9,0,1,12,2,
2021-02-20,UConn,Virginia,,10,12,2,9,8,1,
2021-02-20,Miami,Florida,,10,11,3,9,14,3,
2021-02-20,James Madison,North Carolina,,4,7,0,7,12,2,
2021-02-20,Duke,Coastal Carolina,,12,14,2,4,3,4,
2021-02-20,Rhode Island,East Carolina,,1,4,1,7,7,2,
2021-02-20,Air Force,LSU,,1,6,0,6,8,1,
2021-02-20,McNeese,Alabama,,3,5,1,4,7,1,
2021-02-20,Xavier,Texas A&M,,10,13,4,6,7,1,
2021-02-20,Alabama State,Jacksonville State,,3,6,1,5,8,0,
2021-02-20,Boston College,Charleston Southern,,12,14,0,1,4,4,
2021-02-20,Missouri,Grand Canyon,,4,9,2,8,11,0,
2021-02-20,Florida Gulf Coast,South Florida,,4,9,0,1,12,2,
2021-02-20,San Francisco,UCLA,,2,6,1,8,11,0,
2021-02-20,Xavier,Texas A&M,,2,4,0,0,3,0,
2021-02-20,Missouri,Grand Canyon,,9,12,1,7,10,2,
2021-02-20,Utah,Cal State Fullerton,,1,2,1,3,6,0,
2021-02-20,Kent State,Virginia Tech,,,,,,,,
2021-02-20,Wright State,Vanderbilt,,,,,,,,
2021-02-21,Kent State,Virginia Tech,,1,6,0,3,3,0,
2021-02-21,Boston College,Charleston Southern,,10,9,1,2,9,3,
2021-02-21,West Virginia,Georgia State,,3,3,1,2,5,3,
2021-02-21,Dayton,South Carolina,,1,3,1,5,9,2,
