field,foul,fop,home_plate,foul_ft,fop_ft,foul_pct
. Beal City,"[(-84.9127615, 43.6741539, 0.0), (-84.9127521, 43.6750365, 0.0), (-84.9128487, 43.6750404, 0.0), (-84.9129264, 43.6744119, 0.0), (-84.9129318, 43.6741093, 0.0), (-84.912846, 43.6740472, 0.0), (-84.9127897, 43.6740355, 0.0), (-84.9124356, 43.6740355, 0.0), (-84.9115478, 43.674086, 0.0), (-84.9115397, 43.6741577, 0.0), (-84.9127615, 43.6741539, 0.0)]","[(-84.9127615, 43.6741539, 0.0), (-84.9115486, 43.6741598, 0.0), (-84.9115566, 43.6743238, 0.0), (-84.9115674, 43.674479, 0.0), (-84.9115768, 43.6745343, 0.0), (-84.9116022, 43.6746002, 0.0), (-84.9116384, 43.6746691, 0.0), (-84.9116787, 43.6747234, 0.0), (-84.911731, 43.6747816, 0.0), (-84.9117967, 43.6748359, 0.0), (-84.9118664, 43.6748815, 0.0), (-84.9119268, 43.6749135, 0.0), (-84.9120207, 43.6749533, 0.0), (-84.9120824, 43.6749756, 0.0), (-84.9121548, 43.6749931, 0.0), (-84.9122178, 43.6750086, 0.0), (-84.9122889, 43.6750183, 0.0), (-84.9125598, 43.675028, 0.0), (-84.9127521, 43.6750365, 0.0), (-84.9127615, 43.6741539, 0.0)]","-84.9127615,43.6741539,0",25698.31188574179,89488.15585159321,22.310183123544366
. Buchanan,"[(-86.3709785, 41.8239409, 0.0), (-86.3717456, 41.8245526, 0.0), (-86.3711961, 41.8239464, 0.0), (-86.3710915, 41.8238485, 0.0), (-86.3710995, 41.8238195, 0.0), (-86.3710003, 41.8238095, 0.0), (-86.3709333, 41.8238065, 0.0), (-86.370826, 41.8238235, 0.0), (-86.3708649, 41.8238565, 0.0), (-86.3707442, 41.8239464, 0.0), (-86.3706463, 41.8239914, 0.0), (-86.3705591, 41.8240314, 0.0), (-86.3705349, 41.8240933, 0.0), (-86.3705175, 41.8241463, 0.0), (-86.3705054, 41.8241893, 0.0), (-86.3704786, 41.8242292, 0.0), (-86.3704236, 41.8242962, 0.0), (-86.3703311, 41.8243602, 0.0), (-86.3702801, 41.8243861, 0.0), (-86.3701728, 41.8244191, 0.0), (-86.3700213, 41.8244241, 0.0), (-86.3699274, 41.8244121, 0.0), (-86.3698577, 41.8243931, 0.0), (-86.3697799, 41.8243582, 0.0), (-86.369733, 41.8243332, 0.0), (-86.3697169, 41.8243432, 0.0), (-86.3698403, 41.8244511, 0.0), (-86.3700572, 41.8245925, 0.0), (-86.3709785, 41.8239409, 0.0)]","[(-86.3709785, 41.8239409, 0.0), (-86.3700572, 41.8245925, 0.0), (-86.3700867, 41.8246095, 0.0), (-86.3701403, 41.8246355, 0.0), (-86.3702275, 41.8246785, 0.0), (-86.3703401, 41.8247185, 0.0), (-86.3704447, 41.8247534, 0.0), (-86.3705976, 41.8247904, 0.0), (-86.3709825, 41.8248724, 0.0), (-86.3714747, 41.8248724, 0.0), (-86.3716464, 41.8246745, 0.0), (-86.3717456, 41.8245526, 0.0), (-86.3709785, 41.8239409, 0.0)]","-86.37097850000001,41.8239409,0",22659.935252631738,88476.13650535869,20.389361342531473
. Grosse Pointe Woods University Liggett,"[(-82.9007499, 42.4260393, 0.0), (-82.9002148, 42.4267599, 0.0), (-82.9002644, 42.4267847, 0.0), (-82.9007191, 42.4263412, 0.0), (-82.9009283, 42.4260601, 0.0), (-82.900888, 42.4259551, 0.0), (-82.9005031, 42.4258007, 0.0), (-82.8997977, 42.4256086, 0.0), (-82.8997776, 42.4256364, 0.0), (-82.9007499, 42.4260393, 0.0)]","[(-82.9007499, 42.4260393, 0.0), (-82.8997751, 42.4256428, 0.0), (-82.8993929, 42.4262744, 0.0), (-82.8994398, 42.4263862, 0.0), (-82.9002148, 42.4267599, 0.0), (-82.9007499, 42.4260393, 0.0)]","-82.90074989999999,42.4260393,0",22388.47394072804,83118.81883091317,21.219835475435236
. Jackson Lumen Christi,"[(-84.4602665, 42.2219816, 0.0), (-84.4603248, 42.2228422, 0.0), (-84.4603637, 42.2228313, 0.0), (-84.4604355, 42.2221971, 0.0), (-84.4604267, 42.2221917, 0.0), (-84.4604221, 42.2221073, 0.0), (-84.4604167, 42.2219354, 0.0), (-84.4603248, 42.2218719, 0.0), (-84.4599453, 42.2218848, 0.0), (-84.4599399, 42.2218798, 0.0), (-84.4596938, 42.2218992, 0.0), (-84.4591856, 42.2219677, 0.0), (-84.4591654, 42.2220179, 0.0), (-84.4602665, 42.2219816, 0.0)]","[(-84.4602665, 42.2219816, 0.0), (-84.4591654, 42.2220179, 0.0), (-84.4590689, 42.2222215, 0.0), (-84.4590689, 42.2222389, 0.0), (-84.4590803, 42.2223034, 0.0), (-84.4590937, 42.2223521, 0.0), (-84.4591232, 42.2224241, 0.0), (-84.4591446, 42.2224742, 0.0), (-84.4591725, 42.2225165, 0.0), (-84.459197, 42.2225513, 0.0), (-84.4592345, 42.222587, 0.0), (-84.4592734, 42.2226302, 0.0), (-84.4593136, 42.2226605, 0.0), (-84.4593747, 42.2227037, 0.0), (-84.4594243, 42.2227315, 0.0), (-84.4594692, 42.2227548, 0.0), (-84.4595175, 42.2227797, 0.0), (-84.4595658, 42.222801, 0.0), (-84.4596174, 42.2228209, 0.0), (-84.4596523, 42.2228308, 0.0), (-84.4597012, 42.2228442, 0.0), (-84.4597374, 42.2228541, 0.0), (-84.4597823, 42.2228621, 0.0), (-84.4598206, 42.22287, 0.0), (-84.4598863, 42.222878, 0.0), (-84.4599312, 42.2228819, 0.0), (-84.4599956, 42.2228839, 0.0), (-84.4600405, 42.2228844, 0.0), (-84.4600895, 42.2228824, 0.0), (-84.4601498, 42.222877, 0.0), (-84.4601954, 42.2228705, 0.0), (-84.4602383, 42.2228631, 0.0), (-84.4602946, 42.2228507, 0.0), (-84.4603248, 42.2228422, 0.0), (-84.4602665, 42.2219816, 0.0)]","-84.4602665,42.2219816,0",20497.61883570762,92031.701896671,18.215358186028524
. Kalamazoo Christian,"[(-85.6134503, 42.273406, 0.0), (-85.613464, 42.2725382, 0.0), (-85.6133923, 42.2725373, 0.0), (-85.6133749, 42.272569, 0.0), (-85.613293, 42.272963, 0.0), (-85.6132957, 42.2733024, 0.0), (-85.6132622, 42.2733044, 0.0), (-85.6132635, 42.273354, 0.0), (-85.6132689, 42.2733847, 0.0), (-85.6133065, 42.2734294, 0.0), (-85.6133722, 42.273479, 0.0), (-85.6134003, 42.2734959, 0.0), (-85.6134942, 42.2735455, 0.0), (-85.6135807, 42.273547, 0.0), (-85.6135921, 42.2735247, 0.0), (-85.6140642, 42.2735247, 0.0), (-85.6145135, 42.2734383, 0.0), (-85.6145228, 42.2734125, 0.0), (-85.6134503, 42.273406, 0.0)]","[(-85.6134503, 42.273406, 0.0), (-85.6145228, 42.2734125, 0.0), (-85.6146321, 42.2733227, 0.0), (-85.6145932, 42.2729803, 0.0), (-85.614569, 42.2728672, 0.0), (-85.6145369, 42.2728057, 0.0), (-85.6144939, 42.2727521, 0.0), (-85.6144269, 42.2726936, 0.0), (-85.6143786, 42.2726608, 0.0), (-85.6143303, 42.272638, 0.0), (-85.6142552, 42.2726013, 0.0), (-85.6141707, 42.2725725, 0.0), (-85.614101, 42.2725586, 0.0), (-85.6139079, 42.2725328, 0.0), (-85.6137805, 42.2725239, 0.0), (-85.6134653, 42.2725169, 0.0), (-85.6134503, 42.273406, 0.0)]","-85.6134503,42.273406,0",23934.31071069777,92206.40662628204,20.608027278885217
. Royal Oak Shrine,"[(-83.1842663, 42.5195961, 0.0), (-83.18421, 42.5185464, 0.0), (-83.1841402, 42.5185829, 0.0), (-83.1841443, 42.5189566, 0.0), (-83.1841483, 42.5189852, 0.0), (-83.1841724, 42.5191464, 0.0), (-83.1841764, 42.5192057, 0.0), (-83.184163, 42.5192422, 0.0), (-83.1841872, 42.5192482, 0.0), (-83.1841966, 42.5193984, 0.0), (-83.1841751, 42.5194024, 0.0), (-83.1841805, 42.5196277, 0.0), (-83.1842368, 42.5196653, 0.0), (-83.1851487, 42.5196544, 0.0), (-83.1851487, 42.5196258, 0.0), (-83.1852507, 42.5196268, 0.0), (-83.1852453, 42.5195823, 0.0), (-83.1842663, 42.5195961, 0.0)]","[(-83.1842663, 42.5195961, 0.0), (-83.1852453, 42.5195823, 0.0), (-83.185425, 42.5190238, 0.0), (-83.1850508, 42.5187539, 0.0), (-83.1848698, 42.5186897, 0.0), (-83.1847115, 42.5186363, 0.0), (-83.1846566, 42.5186225, 0.0), (-83.1844769, 42.5185829, 0.0), (-83.1843602, 42.5185553, 0.0), (-83.1842355, 42.5185256, 0.0), (-83.18421, 42.5185464, 0.0), (-83.1842663, 42.5195961, 0.0)]","-83.1842663,42.5195961,0",14713.118772613512,97502.16666117308,13.111510357735614
. Hemlock,"[(-84.2333581, 43.4238904, 0.0), (-84.2345075, 43.4238797, 0.0), (-84.2345061, 43.4238563, 0.0), (-84.2342634, 43.4238592, 0.0), (-84.2342138, 43.4238505, 0.0), (-84.2338396, 43.4237433, 0.0), (-84.2336089, 43.4237414, 0.0), (-84.2332535, 43.4237346, 0.0), (-84.2331382, 43.4238125, 0.0), (-84.2331556, 43.4242118, 0.0), (-84.2333085, 43.424505, 0.0), (-84.23333, 43.424544, 0.0), (-84.2333353, 43.4247261, 0.0), (-84.2333715, 43.42473, 0.0), (-84.2333581, 43.4238904, 0.0)]","[(-84.2333581, 43.4238904, 0.0), (-84.2333715, 43.42473, 0.0), (-84.2336129, 43.424729, 0.0), (-84.2336746, 43.4247329, 0.0), (-84.2338034, 43.4247271, 0.0), (-84.2338919, 43.4247173, 0.0), (-84.2339911, 43.4247057, 0.0), (-84.2340636, 43.4246959, 0.0), (-84.2341521, 43.4246764, 0.0), (-84.2342446, 43.4246346, 0.0), (-84.2343318, 43.4245956, 0.0), (-84.234368, 43.4245449, 0.0), (-84.2344203, 43.4244612, 0.0), (-84.2344605, 43.4243969, 0.0), (-84.2344873, 43.4243219, 0.0), (-84.2345168, 43.4242479, 0.0), (-84.2345343, 43.4241816, 0.0), (-84.2345396, 43.4241076, 0.0), (-84.234537, 43.4240307, 0.0), (-84.2345075, 43.4238797, 0.0), (-84.2333581, 43.4238904, 0.0)]","-84.2333581,43.4238904,0",24829.666201981476,87160.37509010498,22.17131623089777
. Chesaning,"[(-84.1253816, 43.1946837, 0.0), (-84.124137, 43.194711, 0.0), (-84.1241505, 43.1948753, 0.0), (-84.1243422, 43.1948724, 0.0), (-84.1254969, 43.1948401, 0.0), (-84.1256243, 43.1947423, 0.0), (-84.1255693, 43.1938027, 0.0), (-84.1253414, 43.1938066, 0.0), (-84.1253816, 43.1946837, 0.0)]","[(-84.1253816, 43.1946837, 0.0), (-84.1253414, 43.1938066, 0.0), (-84.1249632, 43.1938198, 0.0), (-84.1248773, 43.1938227, 0.0), (-84.1247835, 43.1938325, 0.0), (-84.1246963, 43.193855, 0.0), (-84.1246078, 43.1938853, 0.0), (-84.1245058, 43.1939332, 0.0), (-84.1244294, 43.1939772, 0.0), (-84.1243771, 43.1940202, 0.0), (-84.1243168, 43.1940721, 0.0), (-84.1242805, 43.194118, 0.0), (-84.1242296, 43.1941728, 0.0), (-84.1241893, 43.1942187, 0.0), (-84.1241585, 43.1942872, 0.0), (-84.1241451, 43.1943497, 0.0), (-84.1241411, 43.1944348, 0.0), (-84.1241397, 43.1945218, 0.0), (-84.1241357, 43.1946274, 0.0), (-84.124137, 43.194711, 0.0), (-84.1253816, 43.1946837, 0.0)]","-84.1253816,43.1946837,0",42709.40335811998,93437.23628365758,31.370148738518182
. Maple City Glen Lake,"[(-85.9189024, 44.8515684, 0.0), (-85.9179837, 44.8521969, 0.0), (-85.9180213, 44.852233, 0.0), (-85.9188367, 44.8517672, 0.0), (-85.9191049, 44.8516236, 0.0), (-85.9191062, 44.8515066, 0.0), (-85.918716, 44.8512899, 0.0), (-85.9179864, 44.8508848, 0.0), (-85.917981, 44.8509286, 0.0), (-85.9189024, 44.8515684, 0.0)]","[(-85.9189024, 44.8515684, 0.0), (-85.917981, 44.8509286, 0.0), (-85.9173614, 44.8515589, 0.0), (-85.9179837, 44.8521969, 0.0), (-85.9189024, 44.8515684, 0.0)]","-85.91890239999999,44.8515684,0",23438.08516080072,92407.7167202153,20.23214029358934
. Midland Bullock Creek,"[(-84.2944185, 43.5717901, 0.0), (-84.2955906, 43.5717978, 0.0), (-84.2955959, 43.5716822, 0.0), (-84.2947417, 43.5716628, 0.0), (-84.294735, 43.5716832, 0.0), (-84.294574, 43.5716832, 0.0), (-84.2945767, 43.571656, 0.0), (-84.2943594, 43.571654, 0.0), (-84.2942227, 43.5717493, 0.0), (-84.2942361, 43.571896, 0.0), (-84.2942964, 43.5718969, 0.0), (-84.2943031, 43.5720174, 0.0), (-84.2942522, 43.5720194, 0.0), (-84.2942535, 43.5726879, 0.0), (-84.2943997, 43.5726908, 0.0), (-84.2944185, 43.5717901, 0.0)]","[(-84.2944185, 43.5717901, 0.0), (-84.2943997, 43.5726908, 0.0), (-84.294865, 43.5727034, 0.0), (-84.2949549, 43.5727053, 0.0), (-84.2951038, 43.5726879, 0.0), (-84.2951145, 43.5726937, 0.0), (-84.2952486, 43.5726694, 0.0), (-84.2953103, 43.5726529, 0.0), (-84.2953639, 43.5726305, 0.0), (-84.2954592, 43.5725654, 0.0), (-84.2955088, 43.5725217, 0.0), (-84.2955503, 43.5724722, 0.0), (-84.2955731, 43.5724236, 0.0), (-84.2956013, 43.572373, 0.0), (-84.2956187, 43.5723157, 0.0), (-84.2956268, 43.5722788, 0.0), (-84.2956281, 43.5722419, 0.0), (-84.2956187, 43.5721875, 0.0), (-84.2955812, 43.5720816, 0.0), (-84.2955651, 43.5720631, 0.0), (-84.2955906, 43.5717978, 0.0), (-84.2944185, 43.5717901, 0.0)]","-84.29441850000001,43.5717901,0",29072.807794037537,99260.194611535,22.654194360822594
