,school,,,
0,Grand Rapids Forest Hills Northern HS,,,
1,Grandville HS,,,
2,Brighton HS,,,
3,Monroe HS,,,
4,Detroit Western HS,,,
5,Birmingham Groves HS,,,
6,Hartland HS,,,
7,Grand Rapids Forest Hills Central HS,,,
8,Muskegon Reeths-Puffer HS,,,
9,Detroit U-D Jesuit HS,,,
10,Warren De La Salle Collegiate HS,,,
11,New Baltimore Anchor Bay HS,,,
12,Bloomfield Hills Brother Rice HS,,,
13,White Lake Lakeland HS,,,
14,Flushing HS,,,
15,Mount Pleasant HS,,,
16,Alpena HS,,,
17,Bay City Western HS,,,
18,Midland Dow HS,,,
19,Grand Haven HS,x,,
20,Greenville HS,x,,
21,Cedar Springs HS,,no field on campus,
22,Grand Rapids Northview HS,x,,
23,Byron Center HS,,,
24,Caledonia HS,,,
25,Grand Rapids Ottawa Hills HS,,,
26,Lowell HS,,,
27,Kalamazoo Central HS,,,
28,Portage Central HS,,,
29,Sturgis HS,,,
30,Coldwater HS,,,
31,Dexter HS,,,
32,Ann Arbor Pioneer HS,,,
33,Temperance Bedford HS,,,
34,Ypsilanti Community HS,,,
35,Southgate Anderson HS,,,
36,Taylor HS,,,
37,Gibraltar Carlson HS,x,,
38,Livonia Churchill HS,,,
39,Redford Thurston HS,,,
40,Wayne Memorial HS,,,
41,Melvindale HS,x,,
42,Lincoln Park HS,x,,
43,Detroit Cass Tech HS,,no field on campus,
44,River Rouge HS,,no field on campus,very basic field located a few blocks north'
45,Warren Mott HS,x,,
46,Royal Oak HS,,,
47,Roseville HS,,,
48,Macomb Dakota HS,x,,
49,Utica Ford HS,x,,
50,Sterling Heights Stevenson HS,,,
51,South Lyon East HS,,,
52,South Lyon HS,,,
53,Farmington HS,,,
54,Birmingham Seaholm HS,,,
55,North Farmington HS,,,
56,Walled Lake Western HS,,,
57,Milford HS,x,,
58,Auburn Hills Avondale HS,,,
59,Utica Eisenhower HS,,,
60,Romeo HS,,,
61,Oxford HS,,,
62,Clarkston HS,,,
63,Waterford Mott HS,,,
64,Swartz Creek HS,,,
65,Flint Kearsley HS,,,
66,Lapeer HS,,,
67,Davison HS,,,
68,Holland West Ottawa HS,,,
69,St Joseph HS,,,
70,Zeeland West HS,x,,
71,Ferndale HS,,2 diamonds on campus. No fences,
72,Fraser HS,,,
73,Warren Woods Tower HS,,,
74,Bay City Central HS,,,
75,Grand Rapids Union HS,,,
76,East Kentwood HS,,,
77,Kalamazoo Loy Norrix HS,x,,
78,Battle Creek Central HS,,,
79,Saline HS,,,
80,Belleville HS,,,
81,Wyandotte Roosevelt HS,,,
82,Westland John Glenn HS,,,
83,Dearborn HS,,,
84,Detroit Renaissance HS,,,
85,Southfield Arts & Technology HS,,,
86,Berkley HS,,,
87,Warren Cousino HS,,,
88,Livonia Stevenson HS,,,
89,Walled Lake Northern HS,,,
90,Waterford Kettering HS,,,
91,Holly HS,,,
92,Flint Carman-Ainsworth HS,,,
93,Utica HS,,,
94,Ada Forest Hills Eastern HS,,,
95,Fruitport HS,,,
96,Hamilton HS,,,
97,Milan HS,,,
