Team,division,class,enrollment,joined,city,county,previous conference,,,
DeWitt Panthers,blue,A,1013,2003,DeWitt,Clinton,Ingham County League,,,
East Lansing Trojans,blue,A,1119,2003,East Lansing,Ingham,Capital Area Conference,,,
Grand Ledge Comets,blue,A,1687,2003,Grand Ledge,Eaton,Capital Area Conference,,,
Holt Rams,blue,A,1713,2003,Delhi Township,Ingham,Capital Area Conference,,,
Lansing Everett Vikings,blue,A,1388,2003,Lansing,Ingham,Capital Area Conference,,,
Lansing Waverly Warriors,blue,A,1056,2003,Delta Township,Eaton,Capital Area Conference,,,
Okemos Chiefs,blue,A,1437,2003,Meridian Township,Ingham,Capital Circuit League,,,
Fowlerville Gladiators,red,B,834,2003,Fowlerville,Livingston,Ingham County League,,,
Haslett Vikings,red,A,881,2003,Meridian Township,Ingham,Ingham County League,,,
Lansing Eastern Quakers,red,B,843,2003,Lansing,Ingham,Capital Area Conference,,,
Mason Bulldogs,red,A,964,2003,Mason,Ingham,Capital Circuit League,,,
St. Johns Redwings,red,A,938,2005,St. Johns,Clinton,Independent,,,
Williamston Hornets,red,B,621,2003,Williamston,Ingham,Ingham County League,,,
Charlotte Orioles,white,B,780,"2003, 2017",Charlotte,Eaton,Independent,,,
Eaton Rapids Greyhounds,white,B,763,2003,Eaton Rapids,Eaton,Capital Circuit League,,,
Ionia Bulldogs,white,B,844,2003,Ionia,Ionia,Mid-Michigan Athletic Conference,,,
Lansing Catholic Cougars,white,B,520,2003,Lansing,Ingham,Capital Circuit League,,,
Lansing Sexton Big Reds,white,B,478,2003,Lansing,Ingham,Capital Area Conference,,,
Portland Raiders,white,B,580,2007,Portland,Ionia,Mid-Michigan Athletic Conference - B,,,
