conf_name,link
Catholic High School League,/wiki/Catholic_High_School_League
Detroit Public School League,/wiki/Detroit_Public_School_League
Downriver League,/wiki/Downriver_League
Flint Metro League,/wiki/Flint_Metro_League
Kensington Lakes Activities Association,/wiki/Kensington_Lakes_Activities_Association
Lakes Valley Conference,/w/index.php?title=Lakes_Valley_Conference&action=edit&redlink=1
Macomb Area Conference,/wiki/Macomb_Area_Conference
Oakland Activities Association,/wiki/Oakland_Activities_Association
Ottawa-Kent Conference,/wiki/Ottawa-Kent_Conference
Saginaw Valley League,/wiki/Saginaw_Valley_League
Southeastern Conference,/wiki/Southeastern_Conference_(MHSAA)
Southwestern Michigan Athletic Conference,/wiki/Southwestern_Michigan_Athletic_Conference
Tri-Valley Conference,/wiki/Tri-Valley_Conference_(Michigan)
Western Wayne Athletic Conference,/wiki/Western_Wayne_Athletic_Conference
BCS League,/wiki/BCS_League
Blue Water Area Conference,/w/index.php?title=Blue_Water_Area_Conference&action=edit&redlink=1
Capital Area Activities Conference,/wiki/Capital_Area_Activities_Conference
Catholic High School League,/wiki/Catholic_High_School_League
Central State Activities Association,/w/index.php?title=Central_State_Activities_Association&action=edit&redlink=1
Charter School Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6906
Detroit Public School League,/wiki/Detroit_Public_School_League
Genesee Area Conference,/wiki/Genesee_Area_Conference
Great Northern UP Conference,/wiki/Great_Northern_UP_Conference
Greater Lansing Activities Conference,/wiki/Greater_Lansing_Activities_Conference
Huron League,/wiki/Huron_League_(MHSAA)
Interstate 8 Athletic Conference,/wiki/Interstate_8_Athletic_Conference
Lakes 8 Activities Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6937
Lenawee County Athletic Association,/w/index.php?title=Lenawee_County_Athletic_Association&action=edit&redlink=1
Macomb Area Conference,/wiki/Macomb_Area_Conference
Michigan Metro Athletic Conference,/w/index.php?title=Michigan_Metro_Athletic_Conference&action=edit&redlink=1
Northern Michigan Football Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=9367
Ottawa-Kent Conference,/wiki/Ottawa-Kent_Conference
Southern Michigan Football Conference,http://highschoolsports.mlive.com/football/standings/?grouping=7010
Southwestern Michigan Athletic Conference,/wiki/Southwestern_Michigan_Athletic_Conference
Straits Area Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6988
Tri-Valley Conference,/wiki/Tri-Valley_Conference_(Michigan)
West Michigan Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6992
West-Pac Conference,/w/index.php?title=West-Pac_Conference&action=edit&redlink=1
Wolverine Conference,/wiki/Wolverine_Conference
BCS League,/wiki/BCS_League
Big 8 Conference,/wiki/Big_8_Conference_(MHSAA)
Cascades Conference,/w/index.php?title=Cascades_Conference&action=edit&redlink=1
Catholic High School League,/wiki/Catholic_High_School_League
Central Michigan 8-Man,/w/index.php?title=Central_Michigan_8-Man&action=edit&redlink=1
Central Michigan Athletic Conference,/w/index.php?title=Central_Michigan_Athletic_Conference&action=edit&redlink=1
Central State Activities Association,/w/index.php?title=Central_State_Activities_Association&action=edit&redlink=1
Charter School Conference,/w/index.php?title=Charter_School_Conference&action=edit&redlink=1
Detroit Public School League,/wiki/Detroit_Public_School_League
Genesee Area Conference,/wiki/Genesee_Area_Conference
Greater Thumb Conference,/w/index.php?title=Greater_Thumb_Conference&action=edit&redlink=1
Highland Conference,/w/index.php?title=Highland_Conference&action=edit&redlink=1
Jack Pine Conference,/wiki/Jack_Pine_Conference
Kalamazoo Valley Association,/w/index.php?title=Kalamazoo_Valley_Association&action=edit&redlink=1
Lake Michigan Conference,/wiki/Lake_Michigan_Conference
Lakeland Athletic Conference,/wiki/Lakeland_Athletic_Conference
Lenawee County Athletic Association,/w/index.php?title=Lenawee_County_Athletic_Association&action=edit&redlink=1
Macomb Area Conference,/wiki/Macomb_Area_Conference
Michigan Independent Athletic Conference,/w/index.php?title=Michigan_Independent_Athletic_Conference&action=edit&redlink=1
Mid-Eastern Football Conference,/w/index.php?title=Mid-Eastern_Football_Conference&action=edit&redlink=1
Mid-Peninsula Athletic Conference,/wiki/Mid-Peninsula_Athletic_Conference
Mid-State Activities Conference South,/w/index.php?title=Mid-State_Activities_Conference_South&action=edit&redlink=1
North Central Thumb 8-Man League,/w/index.php?title=North_Central_Thumb_8-Man_League&action=edit&redlink=1
North Star League,/w/index.php?title=North_Star_League&action=edit&redlink=1
Northern Michigan Football Conference,/w/index.php?title=Northern_Michigan_Football_Conference&action=edit&redlink=1
Northwest Conference,/w/index.php?title=Northwest_Conference_(MHSAA)&action=edit&redlink=1
Ottawa-Kent Conference,/wiki/Ottawa-Kent_Conference
Red Arrow Conference,/w/index.php?title=Red_Arrow_Conference&action=edit&redlink=1
Southern Central Athletic Association,/w/index.php?title=Southern_Central_Athletic_Association&action=edit&redlink=1
Southern Michigan Football Conference,/w/index.php?title=Southern_Michigan_Football_Conference&action=edit&redlink=1
Southwestern Athletic Conference,/w/index.php?title=Southwestern_Athletic_Conference_(MHSAA)&action=edit&redlink=1
Straits Area Conference,/w/index.php?title=Straits_Area_Conference&action=edit&redlink=1
Tri-County Conference,/wiki/Tri-County_Conference_(Michigan)
West Michigan Conference,/w/index.php?title=West_Michigan_Conference&action=edit&redlink=1
West-Pac,/w/index.php?title=West-Pac&action=edit&redlink=1
Western Michigan 'D' League,/w/index.php?title=Western_Michigan_%27D%27_League&action=edit&redlink=1
edit,/w/index.php?title=List_of_Michigan_High_School_Association_member_conferences&action=edit&section=4
BCS League,/wiki/BCS_League
Big 8 Conference,/wiki/Big_8_Conference_(MHSAA)
Bridge Alliance 8 Man,/w/index.php?title=Bridge_Alliance_8_Man&action=edit&redlink=1
Catholic High School League,/wiki/Catholic_High_School_League
Central Michigan Athletic Conference,http://www.mhsaa.com/aboutthemhsaa/leaguesconferences/leaguemembership/leagueid/6903.aspx
Christian Football League,http://highschoolsports.mlive.com/football/standings/?class_grouping=&grouping=christian-football-league
Great Western Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6920
Independent,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6925
Lakes 8 Activities Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6937
Lenawee County Athletic Association,/w/index.php?title=Lenawee_County_Athletic_Association&action=edit&redlink=1
Michigan Independent Athletic Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=6943
Mid-Eastern Football Conference,http://www.mhsaa.com/aboutthemhsaa/leaguesconferences.aspx
Mid-Michigan 8-Man Football League,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=8892
Northwest Conference,/w/index.php?title=Northwest_Conference_(MHSAA)&action=edit&redlink=1
Red Arrow Conference,http://www.mhsaa.com/aboutthemhsaa/leaguesconferences/leaguemembership/leagueid/6972.aspx
Skii Valley Conference,http://www.mhsaa.com/AbouttheMHSAA/LeaguesConferences/LeagueMembership/tabid/481/Default.aspx?Leagueid=9109
Southern Central Athletic Association,/w/index.php?title=Southern_Central_Athletic_Association&action=edit&redlink=1
Southern Michigan Football Conference,/w/index.php?title=Southern_Michigan_Football_Conference&action=edit&redlink=1
Southwestern Athletic Conference,/w/index.php?title=Southwestern_Athletic_Conference_(MHSAA)&action=edit&redlink=1
Tri-Valley Conference,/wiki/Tri-Valley_Conference_(Michigan)
